gene	call	pass_count	failed_gates	ms_genetic	cross_genetics	local_breadth	residual_or_perturbation	reachable_modality	not_blocked	direction_clear	strong_l2g_disease_count	strong_qtl_coloc_disease_count	ms_max_l2g_score	ms_max_relevant_qtl_h4	local_positive_disease_count	wave62_call	wave104_call	wave128_call	blocker_text
PRKAA1	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	True	False	False	False	True	False	0	3	0.0663758516311645	0.9400257527850644	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
PRXL2B	GENETICS_COMPARATOR	3	local_breadth;residual_or_perturbation;reachable_modality;direction_clear	True	True	False	False	False	True	False	0	3	0.1307160258293151	0.8331383135067753	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan False  |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |       
CLEC16A	GENETICS_COMPARATOR	2	local_breadth;residual_or_perturbation;reachable_modality;not_blocked;direction_clear	True	True	False	False	False	False	False	6	4	0.6525351405143738	0.0	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan prior_branch_blocker_or_directionality_unresolved nan True  | prior_branch_blocker_or_directionality_unresolved | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | Genetics may be broad, but current modality is absent or wrong-direction restoration. |  |  |  |       
INAVA	GENETICS_COMPARATOR	2	local_breadth;residual_or_perturbation;reachable_modality;not_blocked;direction_clear	True	True	False	False	False	False	False	4	5	0.6894342303276062	0.9828462411264802	1.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan intracellular adaptor, weak local lipid-state evidence, and no clear selective modality True  |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:innate_regulatory_locus_no_druggable_route;no_high_confidence_directional_support | innate_regulatory_locus_no_druggable_route | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:innate_regulatory_locus_no_druggable_route;no_
ANKRD55	GENETICS_COMPARATOR	2	local_breadth;residual_or_perturbation;reachable_modality;not_blocked;direction_clear	True	True	False	False	False	False	False	4	3	0.7806254625320435	0.9983304925105227	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan does not map cleanly to the shared lipid-lysosomal myeloid state True  |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:nonselective_regulatory_locus_no_modality;no_high_confidence_directional_support | nonselective_regulatory_locus_no_modality | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:nonselective_regulatory_locus_no_modality;no_high_confidence_directiona
RGS1	GENETICS_COMPARATOR	2	local_breadth;residual_or_perturbation;reachable_modality;not_blocked;direction_clear	True	True	False	False	False	False	False	4	2	0.884235680103302	0.9856571406462532	1.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan intracellular RGS protein with difficult selectivity and unclear agonize-vs-inhibit disease direction True  |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:g_protein_regulator_locus_no_druggable_route;no_high_confidence_directional_support | g_protein_regulator_locus_no_druggable_route | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:g_protein_regulator_locus_no
MMEL1	GENETICS_COMPARATOR	2	local_breadth;residual_or_perturbation;reachable_modality;not_blocked;direction_clear	True	True	False	False	False	False	False	2	3	0.8332656621932983	0.9565789491198184	1.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan True  |  | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:locus_resolved_without_module_or_modality_support;no_high_confidence_directional_support | locus_resolved_without_module_or_modality_support | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:locus_resolved_without_module_or_modality_support;no_high_confidence_directional_support | locus_resolved_without_mo
CD5	GENETICS_COMPARATOR	2	local_breadth;residual_or_perturbation;reachable_modality;not_blocked;direction_clear	True	True	False	False	False	False	False	1	5	0.9009516835212708	0.9970245508905228	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan True  |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:broad_t_cell_surface_axis_prior_art_and_direction_unclear;no_high_confidence_directional_support | broad_t_cell_surface_axis_prior_art_and_direction_unclear | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:broad_t_cell_surface_axis_prio
CD86	GENETICS_COMPARATOR	2	local_breadth;residual_or_perturbation;reachable_modality;not_blocked;direction_clear	True	True	False	False	False	False	False	1	5	0.9702414870262146	0.9982892957376484	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		nan nan nan True  |  | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:costimulation_axis_prior_art_and_systemic_safety;no_high_confidence_directional_support | costimulation_axis_prior_art_and_systemic_safety | weak_reachability;insufficient_cross_disease_breadth;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:costimulation_axis_prior_art_and_systemic_safety
PDCD1	GENETICS_COMPARATOR	2	local_breadth;residual_or_perturbation;reachable_modality;not_blocked;direction_clear	True	True	False	False	False	False	False	0	8	0.0	0.9587479572161116	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE		checkpoint_axis_safety_prior_art nan nan True checkpoint_axis_safety_prior_art |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  |  |  | checkpoint_axis_safety_prior_art |
CD274	NO_PIVOT_TARGET	5	ms_genetic;not_blocked	False	True	True	True	True	False	True	1	8	0.0	0.0	4.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan True  |  | no_strong_ms_anchor;manual_or_prior_blocker |  | no_strong_ms_anchor;manual_or_prior_blocker |  | insufficient_breadth; no_ms_anchor; prior_demoted_or_class_blocked; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 1882 |  |  |  |     NO_REOPEN_BLOCKED_BRANCH prior global survivor audit marked a blocked branch NO_GO_WAVE62_TARGET_RESOLUTION
PTPRC	NO_PIVOT_TARGET	4	ms_genetic;cross_genetics;residual_or_perturbation	False	False	True	False	True	True	True	1	2	0.0	0.0	3.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR	NO_REOPEN_GENETICS_FIRST_ROUTE	nan nan nan True  |  | no_strong_ms_anchor |  | no_strong_ms_anchor |  | pan_leukocyte_broad_immune_node |  |  |  |  nan     
CLEC7A	NO_PIVOT_TARGET	4	ms_genetic;cross_genetics;reachable_modality	False	False	True	True	False	True	True	0	1	0.0	0.0	3.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_GENETIC_ANCHOR		nan nan nan False  |  |  |  |  |  |  |  |  |  |   
