study_id	disease_label	feature_id	analysis_id	analysis_summary	feature_label	metabolite_name	refmet_name	ephx2_role	ephx2_family	site	source_note
ST000422	T1D	ME147411	AN000669	Reversed phase POSITIVE ION MODE	9,13-DiHOME(11)	9,13-dihydroxy-11-octadecenoic acid	9,13-DiHOME(11)	diol	linoleate_epome_dihome	9,13	T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME147269	AN000669	Reversed phase POSITIVE ION MODE	Eicosanoyl-EA	N-(2-hydroxyethyl)icosanamide	Eicosanoyl-EA	other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME147179	AN000669	Reversed phase POSITIVE ION MODE	N-Ethyl N-(2-hydroxy-ethyl) arachidonoyl amine	N-ethyl N-(2-hydroxy-ethyl) arachidonoyl amine	N-Ethyl N-(2-hydroxy-ethyl) arachidonoyl amine	other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME147224	AN000669	Reversed phase POSITIVE ION MODE	N-Ethyl N-(2-hydroxy-ethyl) arachidonoyl amine	N-ethyl N-(2-hydroxy-ethyl) arachidonoyl amine + 12.5185	N-Ethyl N-(2-hydroxy-ethyl) arachidonoyl amine	other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME147381	AN000669	Reversed phase POSITIVE ION MODE	11Z-Eicosaenoyl-EA	(Z)-N-(2-hydroxyethyl)icos-11-enamide	11Z-Eicosaenoyl-EA	other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME148480	AN000670	Reversed phase NEGATIVE ION MODE	15,16-EpODE	15,16-epoxy-13-OH-9Z,11E-octadecadienoic acid	15,16-EpODE	epoxide	other_pufa_epoxide_diol	15,16	T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME148529	AN000670	Reversed phase NEGATIVE ION MODE	9R-HOME(12E)	9R-hydroxy-12E-octadecenoic acid	9R-HOME(12E)	other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME148542	AN000670	Reversed phase NEGATIVE ION MODE	9R-HOME(12E)	9R-hydroxy-12E-octadecenoic acid - 11.299293	9R-HOME(12E)	other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME148563	AN000670	Reversed phase NEGATIVE ION MODE	9R-HOME(12E)	9R-hydroxy-12E-octadecenoic acid - 12.092731	9R-HOME(12E)	other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME148566	AN000670	Reversed phase NEGATIVE ION MODE	9R-HOME(12E)	9R-hydroxy-12E-octadecenoic acid - 12.186865	9R-HOME(12E)	other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME148568	AN000670	Reversed phase NEGATIVE ION MODE	9R-HOME(12E)	9R-hydroxy-12E-octadecenoic acid - 12.346562	9R-HOME(12E)	other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
ST000422	T1D	ME148570	AN000670	Reversed phase NEGATIVE ION MODE	9R-HOME(12E)	9R-hydroxy-12E-octadecenoic acid - 12.434561	9R-HOME(12E)	other_oxylipin			T1D good glycemic control vs non-diabetic plasma LC-MS
