document	line	check	status	detail
docs/validation/MANIFEST_METADATA_VS_RAW_DATA_GIT_POLICY_V52.md	47	raw_or_credential_wording	PASS_CONTEXTUAL	If unsure whether a received file is metadata or raw/restricted content, treat it
docs/validation/MANIFEST_METADATA_VS_RAW_DATA_GIT_POLICY_V52.md	48	raw_or_credential_wording	PASS_CONTEXTUAL	as restricted. Record a receipt blocker and request clarification. Do not commit
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	18	raw_or_credential_wording	PASS_CONTEXTUAL	| `docs/validation/RECEIVED_PACKAGE_FILE_NAMING_POLICY_V52.md` | safe paths and names for manifests, classifier outputs, and raw-package quarantine |
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	21	raw_or_credential_wording	PASS_CONTEXTUAL	| `docs/validation/MANIFEST_METADATA_VS_RAW_DATA_GIT_POLICY_V52.md` | boundary between commit-eligible manifests and raw/restricted package content |
docs/validation/DATA_OWNER_PACKAGE_README_V52.md	11	raw_or_credential_wording	PASS_CONTEXTUAL	Send a manifest before sending raw data. The manifest should state:
docs/validation/DATA_OWNER_PACKAGE_README_V52.md	20	raw_or_credential_wording	PASS_CONTEXTUAL	Do not send restricted raw data until the allowed-use terms are clear.
docs/validation/DATA_OWNER_PACKAGE_README_V52.md	67	raw_or_credential_wording	PASS_CONTEXTUAL	| metadata versus raw data git policy | `docs/validation/MANIFEST_METADATA_VS_RAW_DATA_GIT_POLICY_V52.md` |
docs/validation/DATA_OWNER_PACKAGE_README_V52.md	78	raw_or_credential_wording	PASS_CONTEXTUAL	1. raw restricted files before allowed-use terms are documented;
docs/validation/RECEIVED_PACKAGE_INTAKE_SAFETY_AUDIT_V52.md	6	raw_or_credential_wording	PASS_CONTEXTUAL	does not inspect raw received-package data.
docs/validation/RECEIVED_PACKAGE_INTAKE_SAFETY_AUDIT_V52.md	15	raw_or_credential_wording	PASS_CONTEXTUAL	- no raw-data file extensions
docs/validation/RECEIVED_PACKAGE_INTAKE_SAFETY_AUDIT_V52.md	16	raw_or_credential_wording	PASS_CONTEXTUAL	- no non-placeholder email addresses
docs/validation/RECEIVED_PACKAGE_INTAKE_SAFETY_AUDIT_V52.md	17	raw_or_credential_wording	PASS_CONTEXTUAL	- no TSV headers that look like raw per-sample clinical or expression data
