gene	intervention_class	wave83_call	total_score	reachability_score	cross_autoimmune_score	ms_score	perturbation_response_score	safety_prior_penalty	hard_failures	accessible_uniprot	manual_closure_reason	manual_closure_source	chembl_activity_count	chembl_target_id	wave34a_target_class	wave34a_modality	positive_disease_count	positive_diseases	positive_fdr10_compartment_count	genetic_breadth_disease_count	genetic_breadth_diseases	qtl_breadth_disease_count	ms_genetic_score	ms_expr_delta	ms_expr_p	target_resolution_score	genetics_first_score	global_meta_score	model_support_contexts	model_strong_support_contexts	direct_selective	direct_selectivity_score	efferocytosis_screen_call	ibd_response_fdr10	wave68_call	l1000_wave24_call	wave39_call	wave62_call	wave34a_call	wave71_call	wave55_score	manual_prior_blocked	primary_route_note
FAP	enzyme	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	12.072337717084885	7.5	4.8	0.0	0.0	1.0	no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	1			0.0	CHEMBL4683	cell-surface serine protease	enzyme inhibitor, antibody, or targeted delivery handle	2.0	type 1 diabetes mellitus;ulcerative colitis	0.0	4.0	Psoriasis	0.0	0.0	0.0	1.0	0.3099681138992309	10.2125	0.86087	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION	PARK_DIRECTION_OR_MODALITY_UNRESOLVED	NO_REOPEN_INSUFFICIENT_CONVERGENCE	8.0	0	Genetic signal survives triage but direction/modality is not clean enough for promotion.
IFNGR2	intracellular_other	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	11.61831150440745	5.0	6.0	2.0	0.0	2.0	no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support	1			0.0	CHEMBL2364171			1.0	type 1 diabetes mellitus	0.0	6.0	Crohn;RA	3.0	0.5718780339946261	0.1589069164410972	0.3887701856855546	2.456410029382995	0.0	0.9994	0.0	0.0	0	-0.1009923741845148	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	19.0	1	insufficient_independent_convergence_after_guardrails
PTPRC	intracellular_other	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	11.050376656342884	4.0	6.1	0.0	2.0	1.0	no_strong_ms_anchor	1			0.0	CHEMBL3243			3.0	Crohn disease;Sjogren syndrome;ulcerative colitis	0.0	3.0	Crohn	2.0	0.0	0.0	0.4867941866985115	3.3840110422859	0.0	-2.2289	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	13.0	0	pan_leukocyte_broad_immune_node
IL15	receptor_or_ligand_axis	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	11.0	5.0	5.0	1.0	2.0	2.0	no_strong_ms_anchor;manual_or_prior_blocker	1			46.0	CHEMBL3712954			5.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0		0.0	0.0	1.1957614008388182	0.1225512579945805	0.0	0.0	0.0	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE				4.0	1	prior_demoted_or_class_blocked; generic_ifn_cytokine_or_chemokine_axis; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 46
CASP4	surface_secreted_other	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	10.731413	4.0	6.0	0.0	2.0	1.0	no_strong_ms_anchor	1			61.0	CHEMBL2226			4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	2.0	0.0		0.0	0.0	0.2066862758954002	0.4927047679399916	0.0	0.0	-1.074348	0.0	0.0	0	0.0		1	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE			NO_REOPEN_INSUFFICIENT_CONVERGENCE	0.0	0	insufficient_breadth; no_ms_anchor; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 61
CCL20	receptor_or_ligand_axis	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	10.406572645389565	3.0	8.0	1.0	0.0	2.0	no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support	1			0.0				4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	5.0	UC	1.0	0.0	1.1469018183892334	0.0611072952242856	3.370962635930428	0.0	-0.396287	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		PARK_REVIEW	NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	22.0	1	generic_ifn_cytokine_or_chemokine_axis; prior_art_or_trial_saturation; reachable protein class by UniProt location/features
KCNJ2	transporter_or_trafficking	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	10.382754442840813	4.0	6.7	0.0	2.0	2.0	no_strong_ms_anchor;manual_or_prior_blocker	1			23.0	CHEMBL1914276			4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	2.0	1.0	AITD	0.0	0.0	0.0024263976862091	0.9930959415390695	1.5516962856054306	0.0	-2.2	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE	NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	6.0	1	insufficient_breadth; no_ms_anchor; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 23
ITPR3	intracellular_other	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	10.1119053769132	4.0	6.5	0.0	0.0	1.0	no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	1			0.0	CHEMBL3904			2.0	type 1 diabetes mellitus;ulcerative colitis	0.0	5.0	T1D	2.0	0.0	0.0	0.4260857806918434	2.3173691794213296	0.0	1.0572	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	20.0	0	insufficient_independent_convergence_after_guardrails
HLA-DRB1	receptor_or_ligand_axis	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	10.0	5.0	4.0	1.0	2.0	2.0	no_strong_ms_anchor;manual_or_prior_blocker	1			105.0	CHEMBL3831291			4.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0		0.0	0.0	0.5468677387854282	0.057765674762618	0.0	0.0	0.0	0.0	0.0	0	0.0		1	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE				0.0	1	prior_demoted_or_class_blocked; core_machinery_or_hla_marker; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 105; Wave15 residual state support in 7 diseases
CD226	receptor_or_ligand_axis	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	9.780279692452575	4.5	5.5	0.0	0.0	1.0	no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	1			0.0		cell-surface immunoglobulin-family receptor	antagonist antibody or ligand-blocking biologic	0.0		0.0	6.0	Crohn;PBC;T1D	4.0	0.0	0.0	0.3764303817680995	1.4273646163504914	6.0375	1.0572	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION	DEMOTE_NO_TARGET_LEVEL_GENETIC_PACKAGE	NO_REOPEN_INSUFFICIENT_CONVERGENCE	20.0	0	No broad local credible-set/eQTL-backed genetic package; GWAS-only evidence is insufficient.
TIMP1	enzyme	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	9.77234375	3.0	7.0	0.0	2.0	2.0	no_strong_ms_anchor;manual_or_prior_blocker	1			0.0				4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	4.0	0.0		0.0	0.0	0.0	0.415232450290228	0.0	0.0	-0.910625	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE			NO_REOPEN_INSUFFICIENT_CONVERGENCE	0.0	1	insufficient_breadth; no_ms_anchor; prior_demoted_or_class_blocked; prior_art_or_trial_saturation; reachable protein class by UniProt location/features
FKBP1A	kinase_or_phosphosignaling	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	9.718427952887534	5.0	4.7	0.0	2.0	2.0	no_strong_ms_anchor;manual_or_prior_blocker	1			1023.0	CHEMBL1902			4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	1.0	Sjogren	0.0	0.0	0.0	0.2385454869670045	2.0982146859169006	0.0	-1.185217	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE	NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_INSUFFICIENT_CONVERGENCE	6.5	1	insufficient_breadth; no_ms_anchor; not_surface_secreted_extracellular_by_uniprot; prior_demoted_or_class_blocked; directional_negative_disease_signal; ChEMBL exact target found; ChEMBL activity records: 1023
ITGB4	receptor_or_ligand_axis	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	9.7	4.0	5.7	1.0	0.0	1.0	no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support	1			4.0	CHEMBL6066233			4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.0	1.0	MS	0.0	0.4255515583281347	0.0	0.1442983736782742	0.0	0.0	0.0	0.0	0.0	0	0.0		0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE				8.0	0	insufficient_breadth; no_ms_anchor; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 4
CD274	receptor_or_ligand_axis	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	9.46895046795875	5.0	7.2	0.0	2.0	2.0	no_strong_ms_anchor;manual_or_prior_blocker	1			1882.0	CHEMBL3580522			4.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0.0	1.0	UC	8.0	0.0	0.3544765521359103	0.3282160655447695	2.9596697863916814	0.0	-12.7	0.0	0.0	0	0.0	UNRESOLVED	1	PARK_GENETIC_PERTURBATION_INTERSECTION		NO_GO_SURFACEOME_RESCUE	NO_GO_WAVE62_TARGET_RESOLUTION		NO_REOPEN_BLOCKED_BRANCH	8.0	1	insufficient_breadth; no_ms_anchor; prior_demoted_or_class_blocked; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 1882
APOL1	transporter_or_trafficking	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	9.45	4.0	5.0	0.0	2.0	1.0	no_strong_ms_anchor	1			593.0	CHEMBL4680021			4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.0	0.0		0.0	0.0	0.0	0.5940095372095473	0.0	0.0	-2.2	0.0	0.0	0	0.0		1	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE			NO_REOPEN_INSUFFICIENT_CONVERGENCE	0.0	0	insufficient_breadth; no_ms_anchor; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 593
CD74	receptor_or_ligand_axis	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	9.275	5.0	4.0	1.0	2.0	2.0	no_strong_ms_anchor;manual_or_prior_blocker	1			25.0	CHEMBL4692			4.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0		0.0	0.0	0.2553907019006836	0.2187160729350419	0.0	0.0	-2.9	0.0	0.0	0	0.0	UNRESOLVED	1	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE			NO_REOPEN_INSUFFICIENT_CONVERGENCE	0.0	1	prior_demoted_or_class_blocked; directional_negative_disease_signal; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 25; Wave15 residual state support in 8 diseases
TNFAIP3	enzyme	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	9.188774519519521	3.375	7.5	0.0	0.0	2.0	no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support	0			0.0	CHEMBL4523200	ubiquitin-editing enzyme/scaffold	restore A20 function or mimic negative-feedback complex	3.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	9.0	Psoriasis;RA;SLE;T1D	2.0	0.0	0.328353196360478	0.3606610619177491	2.4501634634634843	16.924999999999997	-3.6	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL			NO_GO_WAVE62_TARGET_RESOLUTION	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	NO_REOPEN_INSUFFICIENT_CONVERGENCE	19.0	1	Genetics may be broad, but current modality is absent or wrong-direction restoration.
PTPRE	kinase_or_phosphosignaling	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	9.149999999999999	4.0	7.7	0.0	0.0	2.0	no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support	1			61.0	CHEMBL4850			4.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	3.0	1.0	AS	0.0	0.0	0.0	0.5499680359747707	0.0	0.0	-2.2	0.0	0.0	0	0.0	UNRESOLVED	0	DESCRIPTIVE_GENE_SIGNAL		NO_GO_SURFACEOME_RESCUE			NO_REOPEN_INSUFFICIENT_CONVERGENCE	7.0	1	insufficient_breadth; no_ms_anchor; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 61
