dataset	organism	contrast	gene	case_column	control_column	log2fc	p	fdr	note
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	HLA-DQB1	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.248428946936584			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	HLA-DRA	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.8983422396130969			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	HLA-DRB1	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.940740337609693			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	HMOX1	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	0.2744547377708919			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	HSP90AA1	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	0.2779900280028915			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	HSPA1A	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	0.674605249292032			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	HSPA1B	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.38243243252358283			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	IFI30	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.35374033459240617			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	IFIT1	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-3.146861414227657			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	IRF1	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-3.9261439194936916			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	ISG15	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-2.7374546268646633			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	JUN	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	0.6815114672381783			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	KLF6	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.5263291660870806			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	RFX5	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.805236552451376			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	STAT1	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-3.352641139926016			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	ATF4	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-1.0952280481162529			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	BAX	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.31231632012598354			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	CASP3	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.6792248742129656			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	CD74	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.9127692169064421			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	CIITA	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-1.7604500561922594			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	CTSS	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	0.07729287280805863			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	CXCL10	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-6.72481363735331			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	DDIT3	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-1.5765083947844811			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	DNAJB1	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	0.029541751101041847			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	FOS	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.3799611213679892			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	GADD45A	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	0.6769225062178172			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	GBP1	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-4.859183595177072			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	HLA-DMA	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.7856962380317576			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	HLA-DMB	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-1.0378802164039858			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	HLA-DPA1	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-1.129827866580806			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	HLA-DPB1	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.8651990605061055			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	HLA-DQA1	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-1.3842866308256614			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	HLA-DQB1	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-1.263477329940188			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	HLA-DRA	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.7615149314156344			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	HLA-DRB1	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.8679512597688266			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	HMOX1	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	0.18845853285709602			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	HSP90AA1	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	0.24205004998488633			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	HSPA1A	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	0.6781101336412938			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	HSPA1B	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.14657562079415598			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	IFI30	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.8677301323444362			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	IFIT1	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-3.576847832506112			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	IRF1	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-2.6669916293728857			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	ISG15	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-3.5415020770187047			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	JUN	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	0.23714738813555947			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	KLF6	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.07938020198983331			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	RFX5	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.7497412852878123			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	STAT1	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-3.2289306600678387			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	ATF4	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.2886901005160327			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	BAX	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.15609954772410095			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	CASP3	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.6155355913446376			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	CD74	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.945758234596056			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	CIITA	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-2.734352984657213			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	CTSS	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.06979404737747252			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	CXCL10	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-7.70811315668574			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	DDIT3	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.3894133499253596			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	DNAJB1	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.08283589481037801			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	FOS	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.5345428011235338			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	GADD45A	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	0.44381793554523963			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	GBP1	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-2.692346632202179			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	HLA-DMA	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.0171384191875266			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	HLA-DMB	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.0553853955948025			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	HLA-DPA1	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.1606564764109173			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	HLA-DPB1	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.9201757075765702			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	HLA-DQA1	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.4561558546398068			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	HLA-DQB1	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.107797532564354			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	HLA-DRA	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.9149287112337383			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	HLA-DRB1	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.8714745270140813			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	HMOX1	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	0.8033555705565512			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	HSP90AA1	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	0.2334484919480584			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	HSPA1A	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.49642150638211824			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	HSPA1B	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.3371996863491828			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	IFI30	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.5611132354037092			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	IFIT1	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-2.569368121981195			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	IRF1	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.5971094651139683			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	ISG15	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-2.0456732840236906			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	JUN	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.8050929854696909			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	KLF6	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.3812483447336579			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	RFX5	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.4431438025710248			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	STAT1	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-2.862936626777495			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	ATF4	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-1.001230614032413			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	BAX	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	0.09452546214920066			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	CASP3	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.9599960341868696			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	CD74	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.7614610651429814			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	CIITA	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.7730873231626783			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	CTSS	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.016387931343569306			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	CXCL10	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-7.895425897810127			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	DDIT3	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-1.1452411651927275			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	DNAJB1	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	0.1607498401758507			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	FOS	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	0.1916299599214626			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	GADD45A	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.12278153815952031			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	GBP1	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-3.0198790911346727			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	HLA-DMA	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.8126165862470991			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	HLA-DMB	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.9041534582685671			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	HLA-DPA1	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.9138473724640264			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	HLA-DPB1	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.7620547626804974			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	HLA-DQA1	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-1.259323441893489			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	HLA-DQB1	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-1.067661551565248			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	HLA-DRA	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.6641798441559086			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	HLA-DRB1	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.7830326954902276			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	HMOX1	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	1.9390157351746167			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	HSP90AA1	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	0.18741014076287144			single processed CPM column per condition/timepoint; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	HSPA1A	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-1.2195733736383376			single processed CPM column per condition/timepoint; descriptive only
