candidate	source	mechanism	modality	source_call	base_score	support_summary	recommended_next_test	has_concrete_next_test	closure_reason	closed_or_blocked	no_go_source	concrete_bonus	closure_penalty	no_go_penalty	rerank_score
LPL	wave91	lipid_loader_repair		NO_GO_DIRECT_ATLAS_CONTRADICTION	6.5	ibd=NONRESPONSE_HIGH_WEAK; ra=NONRESPONSE_HIGH_TREND; ms=MS_WM_UP_NOMINAL; wave62=nan	NO_GO_DIRECT_SYSTEMIC_LIPOLYSIS_TARGET_MARKER_ONLY	True		False	True	0.5	0.0	-2.0	5.0
TNFRSF1A_DAMPING	wave83	modulate TNFR1/TNF pathway output without worsening demyelination	small molecule or genetic perturbation depending on route	NO_GO_INTERVENTION_CLASS_META_RANK	6.0	selectivity=0.6211601610564657; target_vs_ifn=0.6624135343272808	TNFRSF1A/TNF perturbation is genetically broad but MS direction is unsafe because TNF blockade can worsen demyelinating biology; local MS expression is negative.	True		False	True	0.5	0.0	-2.0	4.5
ahr_tryptophan	wave83	AHR / tryptophan-kynurenine sensing	AHR agonists/antagonists and IDO/TDO enzyme inhibitors exist; route direction is disease- and ligand-context dependent	NO_GO_INTERVENTION_CLASS_META_RANK	5.5	route_positive_disease_union_count=5.0; l1000_qval_hits=0.0	AHR/IDO/kynurenine immunoregulation is broad, crowded, and often immunosuppressive rather than a selective barrier-repair control.	True		False	True	0.5	0.0	-2.0	4.0
GALC_LYSOSOMAL_SPHINGOLIPID	wave83	GALC lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_INTERVENTION_CLASS_META_RANK	5.5	gate_pass=4/10	foundation_model_support; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	True		False	True	0.5	0.0	-2.0	4.0
CCL2	wave91	inflammatory_nfkb		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	5.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_BROAD_CHEMOKINE_REDUNDANCY_AND_PRIOR_ART	True		False	True	0.5	0.0	-2.0	4.0
OSM	wave91	inflammatory_nfkb		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	5.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NONRESPONSE_HIGH_WEAK; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_OSM_OSMR_IBD_RA_PRIOR_ART_AND_MS_DIRECTION_AMBIGUITY	True		False	True	0.5	0.0	-2.0	4.0
CXCL8	wave91	inflammatory_nfkb		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	5.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NONRESPONSE_HIGH_WEAK; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_GENERIC_NEUTROPHIL_CHEMOKINE_LOW_MS_ANCHOR	True		False	True	0.5	0.0	-2.0	4.0
scfa_ffar_hcar	wave83	SCFA receptors FFAR2/FFAR3/HCAR2	SCFAs, niacin/HCAR2 agonism, and synthetic GPCR ligands exist, but selectivity and exposure are weak	NO_GO_INTERVENTION_CLASS_META_RANK	5.1	route_positive_disease_union_count=4.0; l1000_qval_hits=0.0	Microbiome/SCFA and niacin anti-inflammatory routes are crowded and hard to make target-selective.	True		False	True	0.5	0.0	-2.0	3.5999999999999996
s1p_receptors	wave83	S1P receptor trafficking / barrier axis	approved/clinical S1P receptor modulators exist	NO_GO_INTERVENTION_CLASS_META_RANK	5.1	route_positive_disease_union_count=4.0; l1000_qval_hits=0.0	Approved MS and UC S1P modulators make this direct broad immunosuppressive trafficking prior art.	True		False	True	0.5	0.0	-2.0	3.5999999999999996
CFB_FACTOR_B_INHIBITION	wave83	Factor B inhibition of alternative complement amplification	Secreted complement alternative-pathway serine protease; strong ChEMBL activity landscape; oral factor B inhibitors exist.	NO_GO_INTERVENTION_CLASS_META_RANK	5.1	Local extra: broad-positive 4 diseases; retained residual 4 diseases; strict-core residual only Crohn stromal; MS anchor absent.	Direct prior art: iptacopan/LNP023 in IgA nephropathy and complement diseases; Google Patents factor B inhibitor method claims.; Encapsulated-bacteria infection risk, complement host defense, kidney/complement indication crowding.	True		False	True	0.5	0.0	-2.0	3.5999999999999996
FMNL2_RESIDUAL_ROUTE	wave83	intracellular actin regulator, no target-resolved genetics, no local ChEMBL route, not surface/secreted despite broad recurrence	no selective FMNL2 route; broad formin/actin modulation would be toxic and nonselective	NO_GO_INTERVENTION_CLASS_META_RANK	5.1	route_score=2.0	no_reachable_modality;no_genetic_target_resolution;no_fdr_response_support	True		False	True	0.5	0.0	-2.0	3.5999999999999996
CXCR2_TARGETED_ROUTE	wave83	CXCR2 targeted autoimmune route	small molecule or biologic depending on target	NO_GO_INTERVENTION_CLASS_META_RANK	5.0	gate_pass=4/9	ms_external_genetic_anchor; strict_ms_white_matter_anchor; real_perturbation_or_efferocytosis; module_specific_not_generic_immunology; prior_art_not_blocking	True		False	True	0.5	0.0	-2.0	3.5
LILRB2_INHIBITORY_RECEPTOR	wave83	LILRB2 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	NO_GO_INTERVENTION_CLASS_META_RANK	4.8	ra_p=0.560814978120791; ibd_p=0.0086707511794567	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	True		False	True	0.5	0.0	-2.0	3.3
DAP_RESIDUAL_ROUTE	wave83	intracellular ribosome/autophagy protein, no target-resolved genetics, no surface/secreted route	none credible for selective systemic therapy	NO_GO_INTERVENTION_CLASS_META_RANK	4.7	route_score=2.0	no_reachable_modality;no_genetic_target_resolution;no_fdr_response_support	True		False	True	0.5	0.0	-2.0	3.2
IFI30	wave91	ifn_apc;lysosomal_apc		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	4.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	NO_GO_DIRECT_ANTIGEN_PROCESSING_HOST_DEFENSE_AND_POOR_DRUGGABILITY	True		False	True	0.5	0.0	-2.0	3.0
CIITA	wave91	hla_ii_apc		NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	4.5	ibd=NO_SUPPORT; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=NO_GO_WAVE62_TARGET_RESOLUTION	UNSPECIFIED_ROUTE_NOT_AUDITED	True		False	True	0.5	0.0	-2.0	3.0
HLA-DRB1	wave91	hla_ii_apc;ifn_apc;mif_cd74_receptor_state		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	4.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_BROAD_MHC_CLASS_II_AND_HLA_RISK_TAG	True		False	True	0.5	0.0	-2.0	3.0
CTSS	wave91	lysosomal_apc		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	4.5	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_CATHEPSIN_S_PRIOR_AUDITED_HOST_DEFENSE_AND_PRIOR_ART	True		False	True	0.5	0.0	-2.0	3.0
GPR65_ACID_SENSING_GPCR	wave83	GPR65/TDAG8 pH-sensing immune modulation	small-molecule agonist/PAM or GPCR modulator	NO_GO_INTERVENTION_CLASS_META_RANK	4.4	GPR65 has cross-disease genetic support (5 OT diseases: AS;Crohn;MS;Psoriasis;UC; 5 GWAS traits, min p=4e-18) and GPCR chemical matter, but local support is weak and contradictory (positive diseases=1.0, negative diseases=2.0), MS expression support is absent (delta=0.09040507812532, p=0.6241465917972195), and direct IBD/autoimmune prior art blocks novelty.	GPR65 remains a plausible biology axis but not a V3 finding: target-resolved direction, non-IBD coloc, and disease-cell agonist/PAM perturbation are missing, while public literature/patent prior art already covers autoimmune GPR65 modulation.	True		False	True	0.5	0.0	-2.0	2.9000000000000004
SLAMF7_SIGNAL_BIAS	wave83	SLAMF7 engagement or antagonism in myeloid/APC states	antibody_or_biologic_hypothetical	NO_GO_INTERVENTION_CLASS_META_RANK	4.0	target_generic_ratio=0.991730388441186	NO_GO_NO_HUMAN_DISEASE_ANCHOR;NO_GO_WRONG_OR_UNKNOWN_DIRECTION;NO_GO_GENERIC_INFLAMMATION_ONLY;NO_GO_REPAIR_GUARDRAIL_FAIL;NO_GO_HOST_DEFENSE_OR_TOXICITY_FAIL;NO_GO_NO_CROSS_DISEASE_REPLICATION;NO_GO_PRIOR_ART_BLOCKED_OR_UNSEARCHED	True		False	True	0.5	0.0	-2.0	2.5
LILRB4_INHIBITORY_RECEPTOR	wave83	LILRB4 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	NO_GO_INTERVENTION_CLASS_META_RANK	4.0	ra_p=0.8590436380792678; ibd_p=0.008190714158896	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	True		False	True	0.5	0.0	-2.0	2.5
LILRB5_INHIBITORY_RECEPTOR	wave83	LILRB5 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	NO_GO_INTERVENTION_CLASS_META_RANK	4.0	ra_p=nan; ibd_p=nan	does not pass target-level local gates	True		False	True	0.5	0.0	-2.0	2.5
CD68	wave91	complement_phagocytosis		PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	4.0	ibd=NONRESPONSE_HIGH_WEAK; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	UNSPECIFIED_ROUTE_NOT_AUDITED	True		False	True	0.5	0.0	-2.0	2.5
CXCR4	wave91	mif_cd74_receptor_state		NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	4.0	ibd=NONRESPONSE_HIGH_NOMINAL; ra=NO_SUPPORT; ms=MS_WM_NULL_OR_WEAK; wave62=nan	NO_GO_BROAD_TRAFFICKING_AXIS_AND_EXISTING_AUTOIMMUNE_PRIOR_ART	True		False	True	0.5	0.0	-2.0	2.5
GSK3B_INHIBITION	wave83	partial GSK3B inhibition to damp antigen-processing readouts	small molecule or genetic perturbation depending on route	NO_GO_INTERVENTION_CLASS_META_RANK	3.9	selectivity=0.7779563820432978; target_vs_ifn=0.8271572726202511	Gsk3b_KO has real perturbation support but GSK3B is pleiotropic, prior-art crowded in neuroimmune disease, and locally lacks FDR-supported MS/cross-disease cell-state anchoring.	True		False	True	0.5	0.0	-2.0	2.4000000000000004
RFX5_MHCII_PARTIAL_SUPPRESSION	wave83	partially suppress RFX5/MHC-II transcriptional output	small molecule or genetic perturbation depending on route	NO_GO_INTERVENTION_CLASS_META_RANK	3.9	selectivity=0.5231987939104686; target_vs_ifn=0.5517938735080701	RFX5 is a direct antigen-presentation transcriptional node, but the whole HLA-II axis is already closed for host-defense and nonselective antigen-presentation suppression risk.	True		False	True	0.5	0.0	-2.0	2.4000000000000004
CHUK_IKK_MODULATION	wave83	modulate IKK-alpha/NF-kB pathway output	small molecule or genetic perturbation depending on route	NO_GO_INTERVENTION_CLASS_META_RANK	3.8	selectivity=0.3353338408117842; target_vs_ifn=0.402896081494298	CHUK/IKK-alpha is weakly perturbation-positive but broad NF-kB biology lacks selectivity and novelty.	True		False	True	0.5	0.0	-2.0	2.3
LILRB1	wave110		gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	3.0	score=5.0;direct=0;foundation=1;ms=0;genetics=0;broad=2.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	2.0
LILRB3	wave110		gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	3.0	score=5.0;direct=0;foundation=1;ms=0;genetics=0;broad=2.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	2.0
RYK	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	3.0	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	2.0
TPX2	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	3.0	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	2.0
CTSB_LYSOSOMAL_SPHINGOLIPID	wave83	CTSB lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_INTERVENTION_CLASS_META_RANK	3.5	gate_pass=3/10	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	True		False	True	0.5	0.0	-2.0	2.0
LIPA_LYSOSOMAL_SPHINGOLIPID	wave83	LIPA lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_INTERVENTION_CLASS_META_RANK	3.5	gate_pass=3/10	foundation_model_support; cross_disease_genetic_breadth; ms_genetic_anchor; strict_ms_white_matter; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	True		False	True	0.5	0.0	-2.0	2.0
ASAH1_LYSOSOMAL_SPHINGOLIPID	wave83	ASAH1 lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_INTERVENTION_CLASS_META_RANK	3.5	gate_pass=2/10	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	True		False	True	0.5	0.0	-2.0	2.0
HEXA_LYSOSOMAL_SPHINGOLIPID	wave83	HEXA lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_INTERVENTION_CLASS_META_RANK	3.5	gate_pass=2/10	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	True		False	True	0.5	0.0	-2.0	2.0
HEXB_LYSOSOMAL_SPHINGOLIPID	wave83	HEXB lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	NO_GO_INTERVENTION_CLASS_META_RANK	3.5	gate_pass=2/10	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	True		False	True	0.5	0.0	-2.0	2.0
AXIN1	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.9000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.9000000000000004
BEAN1	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.9000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.9000000000000004
PLSCR4	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.9000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.9000000000000004
PTGES3	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.9000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.9000000000000004
bile_acid_fxr_tgr5	wave83	Bile-acid receptors FXR/TGR5	FXR agonists and TGR5 agonist chemistry exist; gut-restricted FXR concepts are plausible	NO_GO_INTERVENTION_CLASS_META_RANK	3.4	route_positive_disease_union_count=1.0; l1000_qval_hits=0.0	This is the least obviously saturated cross-autoimmune route, but local V3 state support is absent and PBC/IBD/metabolic bile-acid art is substantial.	True		False	True	0.5	0.0	-2.0	1.9
COQ4	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
CRTC2	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
FZD4	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
GABPA	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
HEXA	wave110		gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=0;foundation=1;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
ICAM2	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
IFT52	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
INTS7	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
KIF24	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
LRRC7	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
MGST2	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
MMS22L	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
PDCD6IP	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
POC5	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
SLC38A9	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
TBX6	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.75
4732456N10RIK	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
A4GNT	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
AHCTF1	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
ANKUB1	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
BC048403	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
BPIFB2	wave110	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1		False		False	False	-1.0	0.0	0.0	1.5
