timestamp_utc	database	class	disease_scope	query	hit_count	closest_prior_art_or_top_results	url	worker_interpretation
2026-05-27	PubMed	CD74_MIF	SLE	anti-CD74 systemic lupus erythematosus milatuzumab	1	PMID:33619162 milatuzumab anti-CD74 experience in SLE	https://pubmed.ncbi.nlm.nih.gov/?term=anti-CD74+systemic+lupus+erythematosus+milatuzumab	Direct anti-CD74 SLE prior art blocks SLE claim.
2026-05-27	PubMed	CD74_MIF	T1D	MIF CD74 type 1 diabetes	2	PMID:29095944 MIF inhibition delays autoimmune diabetes onset in NOD macrophage/T-cell context; PMID:39323959 serum/urinary MIF/CD74 in diabetes	https://pubmed.ncbi.nlm.nih.gov/?term=MIF+CD74+type+1+diabetes	Direct T1D MIF/CD74 biology exists.
2026-05-27	ClinicalTrials.gov	CD74_MIF	trials	CD74 autoimmune	4	NCT01845740 SC milatuzumab in SLE; NCT00504972 anti-CD74 hLL1 oncology; noisy autoimmune hepatitis biomarker records	https://clinicaltrials.gov/search?term=CD74+autoimmune	Anti-CD74 clinical prior art exists.
2026-05-27	ClinicalTrials.gov	CD74_MIF	trials	ibudilast multiple sclerosis	4	NCT01982942 progressive MS ibudilast; ALS and PK records	https://clinicaltrials.gov/search?term=ibudilast+multiple+sclerosis	MIF/PDE-like repositioning around MS is crowded by ibudilast.
2026-05-27	GooglePatents	CD74_MIF	MS_Sjogren_T1D_UC_AITD	CD74 MIF multiple sclerosis autoimmune	NA_browser	US20170114117A1 covers CD74-derived MIF-binding compounds in MS/EAE; WO2012104344A1 anti-CD74 antibody/ADC patents list Sjogren, MS, diabetes, UC, Hashimoto and others	https://patents.google.com/patent/US20170114117A1/en	Blocking patent prior art for CD74/MIF autoimmune intervention.
2026-05-27	PubMed	endosomal_acidification	pan_autoimmune	endosomal acidification autoimmune disease	24	PMID:41700914 reduced late endosome/lysosome function promotes SLE; other lysosomal degradation/TLR records	https://pubmed.ncbi.nlm.nih.gov/?term=endosomal+acidification+autoimmune+disease	Mechanism is real but globally perturbing pH is nonspecific.
2026-05-27	PubMed	endosomal_acidification	SLE	hydroxychloroquine lysosomal acidification lupus	3	PMID:32634079 chloroquine/hydroxychloroquine in immune regulation and disease	https://pubmed.ncbi.nlm.nih.gov/?term=hydroxychloroquine+lysosomal+acidification+lupus	HCQ/chloroquine saturate this clinical concept, especially in SLE.
2026-05-27	PubMed	endosomal_acidification	pan_autoimmune	V-ATPase inhibitor autoimmune	3	PMID:17157574 V-ATPase inhibitor FR177995 in adjuvant-induced arthritic rats; other V-ATPase immune records	https://pubmed.ncbi.nlm.nih.gov/?term=V-ATPase+inhibitor+autoimmune	Druggable only as tool biology; chronic autoimmune therapeutic window looks poor.
2026-05-27	ClinicalTrials.gov	endosomal_acidification	SLE_trials	hydroxychloroquine lupus	100+	Many lupus HCQ records returned	https://clinicaltrials.gov/search?term=hydroxychloroquine+lupus	SLE endosomal acidification is clinically saturated.
2026-05-27	GooglePatents	endosomal_acidification	pan_autoimmune	endosomal acidification autoimmune lysosomal pH V-ATPase	NA_browser	Search returned broad V-ATPase/lysosomal pH and delivery patents, not a selective CD74/CIITA state therapy	https://patents.google.com/?q=endosomal+acidification+autoimmune+lysosomal+pH+V-ATPase	Patent search does not reveal a narrow safe target; biology too broad.
2026-05-27	PubMed	LIPA_LAL	pan_autoimmune	"lysosomal acid lipase" autoimmune disease	14	Records include altered lipid homeostasis/autophagy in lupus and immune-dynamics studies	https://pubmed.ncbi.nlm.nih.gov/?term=%22lysosomal+acid+lipase%22+autoimmune+disease	LIPA is biology-rich but not target-anchored across autoimmunity.
2026-05-27	PubMed	LIPA_LAL	MS	LIPA "multiple sclerosis" microglia remyelination	0	No PubMed hits for exact query	https://pubmed.ncbi.nlm.nih.gov/?term=LIPA+%22multiple+sclerosis%22+microglia+remyelination	Exact MS-LIPA-remyelination query did not support a direct published claim.
2026-05-27	PubMed	LIPA_LAL	therapy	sebelipase alfa autoimmune	1	PMID:39650963 LAL deficiency review/cases, not autoimmune therapy	https://pubmed.ncbi.nlm.nih.gov/?term=sebelipase+alfa+autoimmune	Existing modality is LAL-D enzyme replacement, not autoimmune.
2026-05-27	ClinicalTrials.gov	LIPA_LAL	trials	sebelipase alfa	9	LAL deficiency trials including NCT01307098, NCT01371825, NCT02112994	https://clinicaltrials.gov/search?term=sebelipase+alfa	Strong delivery precedent, wrong indication and not selective to CD74/HLA state.
2026-05-27	GooglePatents	LIPA_LAL	lysosomal_lipid	lysosomal acid lipase autoimmune LIPA	NA_browser	WO2017218926A1 and WO2022122883A1 cover LAL deficiency compositions/variants	https://patents.google.com/patent/WO2022122883A1/en	Modality space exists but autoimmune use is not cleanly supported.
2026-05-27	PubMed	NPC2	pan_autoimmune	NPC2 autoimmune disease	6	Top hits mostly unrelated/noisy atopic dermatitis/ataxia/pulmonary lipid contexts	https://pubmed.ncbi.nlm.nih.gov/?term=NPC2+autoimmune+disease	Weak autoimmune prior art and weak druggability.
2026-05-27	PubMed	NPC2	MS	NPC2 "multiple sclerosis"	3	PMID:28082351 fingolimod increases NPC1/NPC2 in NPC mutant fibroblasts; broad lipid/neuro records	https://pubmed.ncbi.nlm.nih.gov/?term=NPC2+%22multiple+sclerosis%22	Indirect S1P/lipid link, not a target claim.
2026-05-27	PubMed	NPC2	IBD	NPC2 inflammatory bowel disease	1	PMID:29357083 gastrointestinal pathology in NPC1 null mouse model	https://pubmed.ncbi.nlm.nih.gov/?term=NPC2+inflammatory+bowel+disease	IBD-specific therapeutic prior art absent; relevance weak.
2026-05-27	ClinicalTrials.gov	NPC2	trials	NPC2	12	Mostly Niemann-Pick or unrelated biomarker/infection records	https://clinicaltrials.gov/search?term=NPC2	No autoimmune NPC2 intervention trial found.
2026-05-27	GooglePatents	NPC2	lysosomal_lipid	NPC2 autoimmune disease lysosomal lipid	NA_browser	Patent results mostly lysosomal-storage/phospholipidosis, not autoimmune CD74/HLA state	https://patents.google.com/?q=NPC2+autoimmune+disease+lysosomal+lipid	Novelty is not the blocker; intervention relevance is.
2026-05-27	PubMed	uptake_Fc_complement_receptors	pan_autoimmune	FCGR autoimmune disease therapeutic antibody	1239	Top records include FcRn therapeutics and FCGR variant response studies	https://pubmed.ncbi.nlm.nih.gov/?term=FCGR+autoimmune+disease+therapeutic+antibody	Fc receptor therapeutic space is highly saturated.
2026-05-27	PubMed	uptake_Fc_complement_receptors	pan_autoimmune	FCGR2B agonist autoimmune disease	4	Records include lupus Fc-gamma-RIIB homeostasis biology	https://pubmed.ncbi.nlm.nih.gov/?term=FCGR2B+agonist+autoimmune+disease	Promising biology but not CD74/HLA-specific and patent-heavy.
2026-05-27	PubMed	uptake_Fc_complement_receptors	SLE	ITGAM lupus complement receptor	56	ITGAM rs1143679 and SLE/complement-receptor studies	https://pubmed.ncbi.nlm.nih.gov/?term=ITGAM+lupus+complement+receptor	SLE genetics/biology crowded; not a novel cross-disease intervention.
2026-05-27	PubMed	uptake_Fc_complement_receptors	pan_autoimmune	complement receptor autoimmune therapy	1114	Many complement/Fc/immune complex therapy records	https://pubmed.ncbi.nlm.nih.gov/?term=complement+receptor+autoimmune+therapy	Too broad for a selective CD74/CIITA-state intervention.
2026-05-27	ClinicalTrials.gov	uptake_Fc_complement_receptors	trials	FCGR2B autoimmune	1	NCT02605525 withdrawn SM101 in IgA nephropathy	https://clinicaltrials.gov/search?term=FCGR2B+autoimmune	Clinical translation exists but not in target disease/state.
2026-05-27	ClinicalTrials.gov	uptake_Fc_complement_receptors	trials	ITGAM lupus	1	NCT01230112 role of ITGAM in SLE	https://clinicaltrials.gov/search?term=ITGAM+lupus	Biomarker/genetics rather than therapeutic program.
2026-05-27	GooglePatents	uptake_Fc_complement_receptors	SLE_MG_autoimmune	FCGR2B agonist autoimmune disease	NA_browser	WO2005113815A2 FCGR2B promoter polymorphisms and SLE; US20230272072A1 dual PD-1/LAG-3/Fc-gamma-RIIb autoimmune composition; MG FcRn patents are active	https://patents.google.com/patent/WO2005113815A2/en	Blocking/crowded biologics and Fc engineering space.
2026-05-27	GooglePatents	uptake_Fc_complement_receptors	MG	FcRn myasthenia gravis autoimmune	NA_browser	US20190194277A1 and WO2019110823A1 cover FcRn antagonists for generalized myasthenia gravis	https://patents.google.com/patent/US20190194277A1/en	MG uptake/Fc receptor space is already therapeutically occupied.
2026-05-27	FDA_web	uptake_Fc_complement_receptors	MG	efgartigimod myasthenia gravis FcRn FDA	NA_browser	FDA approval page: Vyvgart/efgartigimod for AChR-positive generalized myasthenia gravis, FcRn blockade	https://www.fda.gov/news-events/press-announcements/fda-approves-new-treatment-myasthenia-gravis	MG is a poor lead indication for a broad Fc-receptor novelty claim.
2026-05-27	PubMed	LGALS3	MS	galectin-3 multiple sclerosis experimental autoimmune encephalomyelitis	11	PMID:37491623 transcriptional upregulation of galectin-3 in MS; PMID:29920290 galectin-3 localization in EAE	https://pubmed.ncbi.nlm.nih.gov/?term=galectin-3+multiple+sclerosis+experimental+autoimmune+encephalomyelitis	MS/EAE galectin-3 biology is known.
2026-05-27	EuropePMC	LGALS3	pan_autoimmune	galectin-3 autoimmune disease inhibitor	4759	MED:41477833 galectin-3 exacerbates autoimmune diabetes; broad inhibitor/autoimmune records	https://europepmc.org/search?query=galectin-3+autoimmune+disease+inhibitor	Very crowded literature.
2026-05-27	EuropePMC_preprint	LGALS3	preprints	galectin-3 autoimmune SRC:PPR	45	Preprints include Galectin-3 signaling and experimental optic neuritis	https://europepmc.org/search?query=galectin-3+autoimmune+SRC%3APPR	Active preprint space; novelty risk.
2026-05-27	ClinicalTrials.gov	LGALS3	trials	galectin-3 inhibitor	35	Includes GB1211/selvigaltin, TD139/GB0139, belapectin/GR-MD-02-type programs; many non-autoimmune or biomarker records	https://clinicaltrials.gov/search?term=galectin-3+inhibitor	Clinical chemical matter exists, but indication and IP space are crowded.
2026-05-27	GooglePatents	LGALS3	pan_autoimmune	galectin-3 inhibitor autoimmune disease psoriasis	NA_browser	WO2021242776A2 covers inflammatory diseases by blocking galectin-3; search also found psoriasis/autoimmune-adjacent records	https://patents.google.com/patent/WO2021242776A2/en	Galectin-3 blockade in inflammatory disease is patent-crowded.
2026-05-27	PubMed	LGALS9	pan_autoimmune	galectin-9 autoimmune disease	146	PMID:41868890 serum galectin-9 in SLE/lupus nephritis; broad RA/PBC/autoimmune records	https://pubmed.ncbi.nlm.nih.gov/?term=galectin-9+autoimmune+disease	Crowded immunoregulatory checkpoint biology.
2026-05-27	EuropePMC	LGALS9	pan_autoimmune	galectin-9 autoimmune disease	7160	MED:41539656 ATF3/Tim-3 pathway in PBC; MED:41868890 SLE galectin-9/MCP-1	https://europepmc.org/search?query=galectin-9+autoimmune+disease	Pan-autoimmune space is broad and active.
2026-05-27	PubMed	LGALS9	MS	galectin-9 multiple sclerosis	21	PMID:42035925 galectins as neuroimmune stress regulators; other MS biomarker/stress records	https://pubmed.ncbi.nlm.nih.gov/?term=galectin-9+multiple+sclerosis	MS novelty is weak.
2026-05-27	PubMed	LGALS9	IBD	galectin-9 inflammatory bowel disease	16	PMID:41009653 galectin-1/9 in immune-mediated inflammatory disease; PMID:39951917 dichotomous Gal-9 effects in murine IBD models	https://pubmed.ncbi.nlm.nih.gov/?term=galectin-9+inflammatory+bowel+disease	IBD direction is complex.
2026-05-27	PubMed	LGALS9	T1D	galectin-9 type 1 diabetes	8	PMID:40019367 engineered platelets presenting PD-L1/Gal-9/BTLA to ameliorate T1D; PMID:38771941 engineered extracellular vesicles with PD-L1/Gal-9	https://pubmed.ncbi.nlm.nih.gov/?term=galectin-9+type+1+diabetes	T1D Gal-9 intervention concept is not novel.
2026-05-27	ClinicalTrials.gov	LGALS9	trials	galectin-9 autoimmune	3	NCT05422313 RA galectin-9 biomarker; NCT04558814 SLE galectin-9 biomarker; NCT05010902 MS pregnancy cohort	https://clinicaltrials.gov/search?term=galectin-9+autoimmune	Mostly biomarker, but disease literature and patents still crowd therapeutic claims.
2026-05-27	GooglePatents	LGALS9	RA_autoimmune	galectin-9 autoimmune disease therapeutic	NA_browser	EP1736541B1/US8268324B2 modified galectin-9 for autoimmune disease; US12448420B2 active patent for stabilized galectin-9 in RA/bone disease	https://patents.google.com/patent/US12448420B2/en	Galectin-9 therapeutic use in autoimmunity/RA is patent-crowded.
2026-05-27	PubMed	trafficking_SNX10	IBD	SNX10 colitis macrophage	2	PMID:34010669 targeting SNX10 improves mouse colitis via PIKfyve/TBK1/c-Rel; PMID:26856241 SNX10 regulates macrophage polarization in experimental colitis	https://pubmed.ncbi.nlm.nih.gov/?term=SNX10+colitis+macrophage	Direct IBD mouse intervention prior art; not a clean new IBD target.
2026-05-27	PubMed	trafficking_SNX10	pan_autoimmune	SNX10 autoimmune	1	PMID:26141367 SNX10 deficiency prevents bone erosion in collagen-induced arthritis	https://pubmed.ncbi.nlm.nih.gov/?term=SNX10+autoimmune	RA-model prior art exists.
2026-05-27	ClinicalTrials.gov	trafficking	trials	SNX10 autoimmune	0	No records returned	https://clinicaltrials.gov/search?term=SNX10+autoimmune	No clinical program; modality remains immature.
2026-05-27	GooglePatents	trafficking_SNX10	IBD	SNX10 autoimmune colitis	NA_browser	No clean first-page SNX10 autoimmune therapeutic patent identified; literature is the main blocker	https://patents.google.com/?q=SNX10+autoimmune+colitis	Clinical white space exists, but not novelty against mouse colitis mechanism.
2026-05-27	PubMed	trafficking_SORT1	pan_autoimmune	SORT1 autoimmune disease	9	Records include autoimmune liver disease SORT1/CD4 T-cell mechanism and RA biomarker studies	https://pubmed.ncbi.nlm.nih.gov/?term=SORT1+autoimmune+disease	SORT1 autoimmune biology exists but is not mature as intervention.
2026-05-27	PubMed	trafficking_SORT1	MS	SORT1 multiple sclerosis	2	PMID:26566674 role of sortilin in autoimmune neuroinflammation; pediatric MS expression record	https://pubmed.ncbi.nlm.nih.gov/?term=SORT1+multiple+sclerosis	MS/EAE sortilin prior art exists.
2026-05-27	ClinicalTrials.gov	trafficking	trials	SORT1 autoimmune	0	No records returned	https://clinicaltrials.gov/search?term=SORT1+autoimmune	No autoimmune clinical program found.
2026-05-27	GooglePatents	trafficking_SORT1	delivery	targeting sortilin autoimmune	NA_browser	EP3193942B1 lysosomal targeting via SORT1; WO2024123896A2 targeting sortilin; US20200024348A1 anti-sortilin antibodies	https://patents.google.com/patent/EP3193942B1/en	Delivery/targeting patent space exists; autoimmune CD74/HLA use not clear.
2026-05-27	PubMed	trafficking_M6PR	pan_autoimmune	M6PR autoimmune disease	4	PMID:32728216 lysosome-targeting chimeras for extracellular protein degradation; mTORC1/M6PR/T-cell record	https://pubmed.ncbi.nlm.nih.gov/?term=M6PR+autoimmune+disease	M6PR is more delivery technology than disease target.
2026-05-27	PubMed	trafficking_M6PR	MS	M6PR multiple sclerosis	1	Unrelated ALS/FTD autophagy-lysosome review	https://pubmed.ncbi.nlm.nih.gov/?term=M6PR+multiple+sclerosis	No MS-specific intervention signal.
2026-05-27	GooglePatents	trafficking_M6PR	delivery	M6PR lysosome-targeting chimera autoimmune disease	NA_browser	LyTAC/lysosomal targeting patents exist; no specific CD74/CIITA autoimmune claim verified	https://patents.google.com/?q=M6PR+lysosome-targeting+chimera+autoimmune+disease	Feasible as delivery platform only, not as target.
2026-05-27	PubMed	trafficking_RAB7A	pan_autoimmune	RAB7A autoimmune disease	1	PMID:32960812 NOTCH-induced endosomal rerouting disables Tregs in vasculitis	https://pubmed.ncbi.nlm.nih.gov/?term=RAB7A+autoimmune+disease	Thin autoimmune target literature.
2026-05-27	PubMed	trafficking_RAB7A	MS	RAB7A multiple sclerosis	0	No PubMed hits for exact query	https://pubmed.ncbi.nlm.nih.gov/?term=RAB7A+multiple+sclerosis	Novelty is not enough; druggability and safety are poor.
2026-05-27	GooglePatents	trafficking_RAB7A	pan_autoimmune	RAB7A autoimmune disease therapeutic	NA_browser	First-page results were mostly RNA-editing/delivery or unrelated, not RAB7A autoimmune therapy	https://patents.google.com/?q=RAB7A+autoimmune+disease+therapeutic	Not blocked, but not translationally feasible as a direct target.
