gene	source	value
FAM49B	wave37	{'gene_symbol': 'FAM49B', 'n_sgrna': 4, 'median_efficient_lfc': 0.8303292742060054, 'median_noneater_lfc': -0.4052069832833535, 'median_efficient_minus_noneater_lfc': 0.7903403938506244, 's1_median_efficient_lfc': 0.6232189443573029, 's3_median_efficient_lfc': 0.8219007118067845, 's1_median_noneater_lfc': 0.0230479371905629, 's3_median_noneater_lfc': -0.6291401309098584, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.25, 'noneater_p_wilcoxon': 0.375, 'contrast_p_wilcoxon': 0.125, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 0.8221627590893646, 'noneater_fdr': 0.9645063778899814, 'contrast_fdr': 0.920009505703422, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
FAM49B	ms	{'gene': 'FAM49B', 'mean_case': 12.172398167066344, 'mean_control': 12.067592066618197, 'delta_log2': 0.1048061004481475, 'hedges_g': 0.3952262652337288, 'welch_t': 0.9745698041157668, 'p': 0.3462797066387407, 'fdr': 0.9141270983319502, 'gene_norm': 'FAM49B'}
FAM49B	broad	{'gene': 'FAM49B', 'positive_disease_count': 3, 'positive_diseases': 'Crohn disease;psoriasis;ulcerative colitis', 'negative_disease_count': 0, 'negative_diseases': nan, 'best_p': 0.0032668493854675, 'max_abs_delta': 1.1065720539452557}
FAM49B	ibd	{'gene': 'FAM49B', 'ibd_best_raw_p': 0.1118693613878562, 'ibd_best_raw_fdr': 1.0, 'ibd_best_paired_p': 0.1131935714113792, 'ibd_best_paired_fdr': 1.0, 'ibd_response_nominal': 0, 'ibd_response_fdr10': 0}
FAM49B	wave62	{}
FAM49B	wave71	{'gene': 'FAM49B', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -0.7, 'raw_channel_points': 0.586141, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 0.0, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY', 'evidence_summary': 'inhibit_or_reduce; 3.0; Crohn disease; psoriasis; ulcerative colitis; 0.1048061004481475; 0.920009505703422; 0.0', 'blockers': 'no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'FAM49B'}
LYN	wave110	{'candidate': 'LYN', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': nan, 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.65, 'support_summary': 'score=6.0;direct=0;foundation=1;ms=0;genetics=0;broad=3.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
LYN	wave81	{'gene': 'LYN', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 0, 'direct_table_presence': 1, 'direct_perturbation_detail': nan, 'foundation_model_support': 1, 'foundation_table_presence': 1, 'foundation_model_detail': 'wave70c:support=3,strong=1,token_contexts=6', 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 3, 'broad_positive_diseases': 'Crohn disease;psoriasis;ulcerative colitis', 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave70c_geneformer', 'wave62_call': nan, 'ms_delta_log2': 0.1003572031246236, 'ms_p': 0.4510979646191576, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
LYN	wave37	{'gene_symbol': 'LYN', 'n_sgrna': 4, 'median_efficient_lfc': -0.5460059137416946, 'median_noneater_lfc': 0.2369520326333497, 'median_efficient_minus_noneater_lfc': -0.7373579923120679, 's1_median_efficient_lfc': -0.6267889339882255, 's3_median_efficient_lfc': -0.2397674489971961, 's1_median_noneater_lfc': 0.4369316773198273, 's3_median_noneater_lfc': 0.0631482563743752, 'efficient_consistent_positive': False, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.125, 'noneater_p_wilcoxon': 0.125, 'contrast_p_wilcoxon': 0.125, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 0.8221627590893646, 'noneater_fdr': 0.8757238508867174, 'contrast_fdr': 0.920009505703422, 'screen_call': 'UNRESOLVED'}
LYN	ms	{'gene': 'LYN', 'mean_case': 11.842358355350871, 'mean_control': 11.74200115222625, 'delta_log2': 0.1003572031246236, 'hedges_g': 0.3215565422361939, 'welch_t': 0.7694419625640537, 'p': 0.4510979646191576, 'fdr': 0.9225905944386774, 'gene_norm': 'LYN'}
LYN	broad	{'gene': 'LYN', 'positive_disease_count': 3, 'positive_diseases': 'Crohn disease;psoriasis;ulcerative colitis', 'negative_disease_count': 0, 'negative_diseases': nan, 'best_p': 0.0014884442769417, 'max_abs_delta': 2.4250122019920344}
LYN	ibd	{'gene': 'LYN', 'ibd_best_raw_p': 0.0124701068861812, 'ibd_best_raw_fdr': 0.735902312729011, 'ibd_best_paired_p': 0.8536441932351698, 'ibd_best_paired_fdr': 1.0, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
LYN	wave62	{}
LYN	wave71	{'gene': 'LYN', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -2.9, 'raw_channel_points': 0.397328, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 1.4, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 1.5, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 2, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_BLOCKED_OR_BROAD_CLASS; MODEL_OPPOSING_BUT_BLOCKED_COMPARATOR', 'evidence_summary': 'SRC-family Fc receptor kinase comparator; DESCRIPTIVE_GENE_SIGNAL; token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction; GSE282122_DC_post_nonremission_to_remission; GSE282122_DC_post_nonremission_to_remission_CD_only; GSE282122_Mono_macro_post_nonremission_to_remission_CD_only', 'blockers': 'SRC_family_broad_selectivity_safety', 'source_waves': 'wave70;wave70c', 'gene_norm': 'LYN'}
CCDC121	wave110	{'candidate': 'CCDC121', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.4000000000000004, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
CCDC121	wave81	{'gene': 'CCDC121', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 2, 'broad_positive_diseases': 'psoriasis;type 1 diabetes mellitus', 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': 0.4429917115479078, 'ms_p': 0.2380875945504296, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
CCDC121	wave37	{'gene_symbol': 'CCDC121', 'n_sgrna': 4, 'median_efficient_lfc': 0.6599562719645746, 'median_noneater_lfc': -0.1934270415891927, 'median_efficient_minus_noneater_lfc': 0.6827272084298491, 's1_median_efficient_lfc': 0.5665245637192033, 's3_median_efficient_lfc': 0.7533879802099459, 's1_median_noneater_lfc': -0.0860108379600836, 's3_median_noneater_lfc': -0.6668322081509164, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.25, 'noneater_p_wilcoxon': 0.625, 'contrast_p_wilcoxon': 0.125, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 0.8221627590893646, 'noneater_fdr': 0.9889744952178532, 'contrast_fdr': 0.920009505703422, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
CCDC121	ms	{'gene': 'CCDC121', 'mean_case': 9.067668870216028, 'mean_control': 8.62467715866812, 'delta_log2': 0.4429917115479078, 'hedges_g': 0.5046135897539198, 'welch_t': 1.2192800541044675, 'p': 0.2380875945504296, 'fdr': 0.9004758652001262, 'gene_norm': 'CCDC121'}
CCDC121	broad	{'gene': 'CCDC121', 'positive_disease_count': 2, 'positive_diseases': 'psoriasis;type 1 diabetes mellitus', 'negative_disease_count': 0, 'negative_diseases': nan, 'best_p': 0.0005710430890544, 'max_abs_delta': 1.7564789040090492}
CCDC121	ibd	{'gene': 'CCDC121', 'ibd_best_raw_p': 0.4779766626494838, 'ibd_best_raw_fdr': 1.0, 'ibd_best_paired_p': 0.0169316519870611, 'ibd_best_paired_fdr': 0.7741885867689382, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
CCDC121	wave62	{}
CCDC121	wave71	{'gene': 'CCDC121', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -0.7, 'raw_channel_points': 0.494674, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 0.0, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'evidence_summary': 'inhibit_or_reduce; 2.0; psoriasis; type 1 diabetes mellitus; 0.4429917115479078; 0.920009505703422', 'blockers': 'insufficient_directional_cross_disease_state_support; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'CCDC121'}
CHST11	wave110	{'candidate': 'CHST11', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.4000000000000004, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
CHST11	wave81	{'gene': 'CHST11', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 2, 'broad_positive_diseases': 'Crohn disease;Sjogren syndrome', 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': 'NO_GO_WAVE62_TARGET_RESOLUTION', 'ms_delta_log2': -0.2506943649676447, 'ms_p': 0.1533386150844086, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
CHST11	wave37	{'gene_symbol': 'CHST11', 'n_sgrna': 3, 'median_efficient_lfc': 0.5998529742537517, 'median_noneater_lfc': 0.0148847252626025, 'median_efficient_minus_noneater_lfc': 0.8502554113258909, 's1_median_efficient_lfc': 0.7762067498856018, 's3_median_efficient_lfc': 0.4234991986219016, 's1_median_noneater_lfc': 0.0600894315510314, 's3_median_noneater_lfc': -0.0303199810258263, 'efficient_consistent_positive': True, 'noneater_consistent_positive': False, 'efficient_p_wilcoxon': 0.5, 'noneater_p_wilcoxon': 1.0, 'contrast_p_wilcoxon': 0.5, 'modules': nan, 'tracked_candidate': False, 'efficient_fdr': 0.9600924529799222, 'noneater_fdr': 1.0, 'contrast_fdr': 0.9971256078463696, 'screen_call': 'KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR'}
CHST11	ms	{'gene': 'CHST11', 'mean_case': 11.450039376124394, 'mean_control': 11.70073374109204, 'delta_log2': -0.2506943649676447, 'hedges_g': -0.6138213042731105, 'welch_t': -1.493399558811383, 'p': 0.1533386150844086, 'fdr': 0.8989378106274888, 'gene_norm': 'CHST11'}
CHST11	broad	{'gene': 'CHST11', 'positive_disease_count': 2, 'positive_diseases': 'Crohn disease;Sjogren syndrome', 'negative_disease_count': 1, 'negative_diseases': 'Sjogren syndrome', 'best_p': 0.0167480242158238, 'max_abs_delta': 1.5098792509484302}
CHST11	ibd	{'gene': 'CHST11', 'ibd_best_raw_p': 0.0286834207635979, 'ibd_best_raw_fdr': 0.8826348492705997, 'ibd_best_paired_p': 0.0558354837455287, 'ibd_best_paired_fdr': 1.0, 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0}
CHST11	wave62	{'gene': 'CHST11', 'approved_name': 'carbohydrate sulfotransferase 11', 'wave62_score': 0.7377994656562805, 'wave62_call': 'NO_GO_WAVE62_TARGET_RESOLUTION', 'manual_blocker': nan, 'prior_context_blocker': nan, 'max_l2g_score': 0.7377994656562805, 'best_l2g_disease': 'Celiac', 'strong_l2g_disease_count': 1, 'strong_l2g_diseases': 'Celiac', 'supporting_l2g_disease_count': 1, 'supporting_l2g_diseases': 'Celiac', 'ms_max_l2g_score': 0.0, 'ms_l2g_study_loci': nan, 'strong_qtl_coloc_disease_count': 0, 'strong_qtl_coloc_diseases': nan, 'relevant_qtl_coloc_disease_count': 0, 'relevant_qtl_coloc_diseases': nan, 'myeloid_qtl_coloc_disease_count': 0, 'max_qtl_h4': 0.0, 'ms_max_qtl_h4': 0.0, 'ms_max_relevant_qtl_h4': 0.0, 'ms_relevant_qtl_biosamples': nan, 'direction_proxy_values': nan, 'local_positive_disease_count': 2.0, 'local_negative_disease_count': 1.0, 'local_positive_diseases': 'Crohn disease;Sjogren syndrome', 'ms_wm_delta_log2': -0.2506943649676447, 'ms_wm_p': 0.1533386150844086, 'ms_wm_fdr': 0.8989378106274888, 'in_lipid_lysosomal_myeloid_neighborhood': False, 'residual_retained_disease_count': 0.0, 'strict_core_covariate_surviving_disease_count': 0.0, 'wave34_call': nan, 'gwas_catalog_trait_count': 0.0, 'chembl_target_id': nan, 'druggable_activity_count': 0.0, 'wave34a_call': nan, 'wave34a_direction': nan, 'wave34a_route_reason': nan, 'wave55_score': 4.0, 'wave55_genetic_diseases_ge_0_25': 'Celiac', 'wave61_best_call': nan, 'wave61_best_manual_blocker': nan, 'wave61_best_target_suppression': 0.0, 'wave61_best_selectivity': 0.0, 'gene_norm': 'CHST11'}
CHST11	wave71	{'gene': 'CHST11', 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'wave71_reason': 'insufficient_independent_convergence_after_guardrails', 'meta_score': -2.2, 'raw_channel_points': 0.181467, 'positive_channel_points': 0.0, 'hard_no_channel_penalty': 0.7, 'hard_block_penalty': 0.0, 'soft_prior_penalty': 0.0, 'text_prior_penalty': 1.5, 'evidence_channel_count': 0, 'positive_status_count': 0, 'parked_status_count': 0, 'hard_no_status_count': 1, 'genetics_channel_count': 0, 'perturbation_channel_count': 0, 'modality_channel_count': 0, 'expression_channel_count': 0, 'reopener_channel_count': 0, 'evidence_channels': nan, 'hard_block_reason': nan, 'soft_penalty_reason': nan, 'top_calls': 'NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'evidence_summary': 'inhibit_or_reduce; 2.0; Crohn disease; Sjogren syndrome; -0.2506943649676447; 0.9971256078463696', 'blockers': 'insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant', 'source_waves': 'wave38', 'gene_norm': 'CHST11'}
FBXO16	wave110	{'candidate': 'FBXO16', 'source': 'wave81', 'source_wave': 'wave81_perturbation_first_rescue', 'mechanism': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'modality': 'gene/protein route unresolved', 'source_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'primary_blocker': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail', 'missing_gates': nan, 'escape_score': 3.4000000000000004, 'support_summary': 'score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1', 'manual_escape_logic': nan, 'recommended_next_test': nan, 'has_concrete_next_test': False}
FBXO16	wave81	{'gene': 'FBXO16', 'wave81_call': 'PARK_PERTURBATION_FIRST_CANDIDATE', 'score': 6, 'direct_perturbation': 1, 'direct_table_presence': 1, 'direct_perturbation_detail': 'wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR', 'foundation_model_support': 0, 'foundation_table_presence': 0, 'foundation_model_detail': nan, 'ms_anchor': 0, 'genetics_or_target_resolution': 0, 'broad_positive_disease_count': 2, 'broad_positive_diseases': 'Crohn disease;Sjogren syndrome', 'ibd_response_nominal': 1, 'ibd_response_fdr10': 0, 'modality_channel': 0, 'prior_not_blocked': 1, 'blocker': nan, 'sources': 'wave37_efferocytosis_crispr', 'wave62_call': nan, 'ms_delta_log2': nan, 'ms_p': nan, 'wave71_call': 'NO_REOPEN_INSUFFICIENT_CONVERGENCE', 'decision_reason': 'perturbation/model support exists but critical MS/genetics/modality/direction gates fail'}
