gene	wave81_call	score	direct_perturbation	direct_table_presence	direct_perturbation_detail	foundation_model_support	foundation_table_presence	foundation_model_detail	ms_anchor	genetics_or_target_resolution	broad_positive_disease_count	broad_positive_diseases	ibd_response_nominal	ibd_response_fdr10	modality_channel	prior_not_blocked	blocker	sources	wave62_call	ms_delta_log2	ms_p	wave71_call	decision_reason
EFR3A	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	Crohn disease	1	0	0	1		wave37_efferocytosis_crispr		0.2644865146297235	0.0409895429330483	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
FAM49B	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	3	Crohn disease;psoriasis;ulcerative colitis	0	0	0	1		wave37_efferocytosis_crispr		0.1048061004481475	0.3462797066387407	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
FBXO16	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	2	Crohn disease;Sjogren syndrome	1	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
IGLON5	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	ulcerative colitis	1	0	0	1		wave37_efferocytosis_crispr		-0.3955086162820667	0.6674202686855241	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
LRRC61	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0	0	0	1		wave37_efferocytosis_crispr		0.697050672079687	0.5819581822185158	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
LYN	PARK_PERTURBATION_FIRST_CANDIDATE	6	0	1		1	1	wave70c:support=3,strong=1,token_contexts=6	0	0	3	Crohn disease;psoriasis;ulcerative colitis	1	0	0	1		wave70c_geneformer		0.1003572031246236	0.4510979646191576	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
MAN1A2	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	Crohn disease	1	0	0	1		wave37_efferocytosis_crispr		0.241003244143517	0.1354181777450778	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
MREG	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	psoriasis	1	0	0	1		wave37_efferocytosis_crispr		-1.1356746357606893	0.3109854665752915	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PLIN4	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	Sjogren syndrome	1	0	0	1		wave37_efferocytosis_crispr		-1.206250847650037	0.1457111954023493	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PLSCR4	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		1	0	0	1		wave37_efferocytosis_crispr		-1.1416657903505385	0.404356273022419	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PTGES3	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		1	0	0	1		wave15_direct_perturbation		0.4320648854278541	0.1500753529637361		perturbation/model support exists but critical MS/genetics/modality/direction gates fail
RECQL4	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	2	Crohn disease;psoriasis	1	0	0	1		wave37_efferocytosis_crispr		-0.1913098158967807	0.8338579124203143	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
SLC39A3	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	psoriasis	1	0	0	1		wave37_efferocytosis_crispr		0.3504390439417388	0.0598622921599721	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
YWHAE	PARK_PERTURBATION_FIRST_CANDIDATE	6	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	type 1 diabetes mellitus	1	0	0	1		wave37_efferocytosis_crispr		0.114292112036793	0.2622980587157738	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
4732456N10RIK	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
A4GNT	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		-0.3152428595482235	0.7399499612583098	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
ABTB2	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	2	type 1 diabetes mellitus;ulcerative colitis	0	0	0	1		wave37_efferocytosis_crispr		-0.1477415366285122	0.8826494351185098	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
AHCTF1	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		0.3408473138799657	0.049567863682125	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
ANKUB1	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		-1.2693646866680273	0.2100113496282079	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
BC048403	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
BPIFB2	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
CEBPB	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave15_direct_perturbation		-0.0039576040128572	0.989829783430383	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
COQ4	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	Crohn disease	0	0	0	1		wave37_efferocytosis_crispr		-0.6008962503040909	0.4537961785760602	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
CRTC2	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	Crohn disease	0	0	0	1		wave37_efferocytosis_crispr		-0.0615243246865482	0.5813061664829845	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
DNAH9	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		-1.8230947503604025	0.2980806846969469	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
FZD4	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	psoriasis	0	0	0	1		wave37_efferocytosis_crispr		0.2341258402195833	0.5017585026468344	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
GABPA	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	Crohn disease	0	0	0	1		wave37_efferocytosis_crispr		0.2091261469968142	0.1983017103021269	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
GM20604	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
GM2825	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
HADHB	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		0.0918642518435639	0.5702518246064191	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
HEXA	PARK_PERTURBATION_FIRST_CANDIDATE	5	0	1		1	1	wave57:support=1,strong=1,token_contexts=3	0	0	1	Crohn disease	1	0	0	1		wave57_geneformer		-0.2333966796222828	0.3783657469096832		perturbation/model support exists but critical MS/genetics/modality/direction gates fail
HEXB	PARK_PERTURBATION_FIRST_CANDIDATE	5	0	1		1	1	wave57:support=1,strong=1,token_contexts=4	0	0	0		1	0	0	1		wave57_geneformer		0.2440950857530737	0.2023278254000029		perturbation/model support exists but critical MS/genetics/modality/direction gates fail
ICAM2	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	ulcerative colitis	0	0	0	1		wave37_efferocytosis_crispr		-0.6152780866644587	0.1858442878877425	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
IFT52	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	type 1 diabetes mellitus	0	0	0	1		wave37_efferocytosis_crispr		0.9637758346159933	0.2158251853456009	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
IL12RB1	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		-0.2815930933581256	0.2204069956157945	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
INTS7	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	type 1 diabetes mellitus	0	0	0	1		wave37_efferocytosis_crispr		-0.3213691215850422	0.7500444708175612	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
KIF24	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	Crohn disease	0	0	0	1		wave37_efferocytosis_crispr		-0.3756311047878879	0.6371485606723378	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
KLHL33	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		0.0937445244466315	0.9391868189731134	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
LARP4B	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		0.0685719768411186	0.636350966574614	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
LHX2	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr	NO_GO_WAVE62_TARGET_RESOLUTION	0.1614119352184504	0.8939418631098478	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
LILRB1	PARK_PERTURBATION_FIRST_CANDIDATE	5	0	0		1	1	wave70c:support=1,strong=1,token_contexts=2	0	0	2	Crohn disease;ulcerative colitis	1	0	0	1		wave70c_geneformer		-0.2480039987346405	0.3035041507515239	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
LILRB3	PARK_PERTURBATION_FIRST_CANDIDATE	5	0	0		1	1	wave70c:support=2,strong=0,token_contexts=4	0	0	2	Crohn disease;ulcerative colitis	1	0	0	1		wave70c_geneformer		-0.3769548589371787	0.5039530830837081	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
LRRC7	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	type 1 diabetes mellitus	0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
MCMBP	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		0.1090013411621377	0.3668729499595036	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
MGST2	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	type 1 diabetes mellitus	0	0	0	1		wave37_efferocytosis_crispr		-0.0569195742125767	0.7931953916304236	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
MMS22L	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	type 1 diabetes mellitus	0	0	0	1		wave37_efferocytosis_crispr		-0.3694222186304907	0.6584127480472038	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
NDST4	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
NKAIN2	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		0.1459157680322858	0.8993021428533917	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
OBFC1	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		-0.0286067267747522	0.9064160647311352	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
OLFR266	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
OLFR615	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PCDHB12	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		-1.2623092634816753	0.1527083847928057	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PDCD6IP	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	type 1 diabetes mellitus	0	0	0	1		wave37_efferocytosis_crispr		0.0525392734147782	0.6288941416097741	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PLLP	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		-0.401151847235722	0.7092657869613989	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
POC5	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	type 1 diabetes mellitus	0	0	0	1		wave37_efferocytosis_crispr		-1.2807223485285002	0.2516597340064326	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PYDC3	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
RYK	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	2	Crohn disease;ulcerative colitis	0	0	0	1		wave37_efferocytosis_crispr		0.081309930835447	0.5201429831615564	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
SCGB1C1	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
SEMA4G	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr		1.151461158958096	0.3539897406882862	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
SLC38A9	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	1	psoriasis	0	0	0	1		wave37_efferocytosis_crispr		-0.0138294648293957	0.941748458767518	NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
TAGAP1	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
TAS2R106	PARK_PERTURBATION_FIRST_CANDIDATE	5	1	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0	0		0	0	0		0	0	0	1		wave37_efferocytosis_crispr				NO_REOPEN_INSUFFICIENT_CONVERGENCE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
