gene_symbol	uniprot_id	polymer_entity_id	entry_id	entity_id	description	entity_length	reference_sequence_coverage	entity_sequence_coverage	reference_ranges	auth_asym_ids	source_url
CD74	P04233	3PGD_3	3PGD	3	HLA class II histocompatibility antigen gamma chain	15	0.05067567567567568	1.0	106-120	C,F	https://data.rcsb.org/rest/v1/core/polymer_entity/3PGD/3
CD74	P04233	3QXA_3	3QXA	3	HLA class II histocompatibility antigen gamma chain peptide	15	0.05067567567567568	1.0	103-117	C,F	https://data.rcsb.org/rest/v1/core/polymer_entity/3QXA/3
CD74	P04233	3QXD_3	3QXD	3	HLA class II histocompatibility antigen gamma chain peptide	15	0.05067567567567568	1.0	103-117	C,F	https://data.rcsb.org/rest/v1/core/polymer_entity/3QXD/3
CD74	P04233	4AEN_3	4AEN	3	HLA CLASS II HISTOCOMPATIBILITY ANTIGEN GAMMA CHAIN	16	0.05067567567567568	0.9375	106-120	C	https://data.rcsb.org/rest/v1/core/polymer_entity/4AEN/3
CD74	P04233	4AH2_2	4AH2	2	HLA CLASS II HISTOCOMPATIBILITY ANTIGEN GAMMA CHAIN, HLA CLASS II HISTOCOMPATIBILITY ANTIGEN\,DRB1-1 BETA CHAIN	229	0.05067567567567568	0.06550218340611354	106-120	B	https://data.rcsb.org/rest/v1/core/polymer_entity/4AH2/2
CD74	P04233	5KSU_3	5KSU	3	HLA class II histocompatibility antigen gamma chain	15	0.05067567567567568	1.0	103-117	C,F	https://data.rcsb.org/rest/v1/core/polymer_entity/5KSU/3
CD74	P04233	5KSV_3	5KSV	3	HLA class II histocompatibility antigen gamma chain	15	0.05067567567567568	1.0	109-123	C	https://data.rcsb.org/rest/v1/core/polymer_entity/5KSV/3
CD74	P04233	7YX9_3	7YX9	3	CLIP 103-107	15	0.05067567567567568	1.0	103-117	E,G	https://data.rcsb.org/rest/v1/core/polymer_entity/7YX9/3
CD74	P04233	7YXB_3	7YXB	3	CLIP peptide	20	0.05067567567567568	0.75	103-117	G,H	https://data.rcsb.org/rest/v1/core/polymer_entity/7YXB/3
CD74	P04233	7Z0Q_3	7Z0Q	3	CLIP peptide	17	0.05067567567567568	0.8823529411764706	103-117	G	https://data.rcsb.org/rest/v1/core/polymer_entity/7Z0Q/3
CD74	P04233	8VSJ_6	8VSJ	6	Class-II-associated invariant chain peptide	15	0.05067567567567568	1.0	103-117	P	https://data.rcsb.org/rest/v1/core/polymer_entity/8VSJ/6
CD74	P04233	9CYL_3	9CYL	3	Class-II-associated invariant chain peptide	15	0.05067567567567568	1.0	103-117	P	https://data.rcsb.org/rest/v1/core/polymer_entity/9CYL/3
CD74	P04233	9CYM_3	9CYM	3	Class-II-associated invariant chain peptide	16	0.05067567567567568	0.9375	103-117	P	https://data.rcsb.org/rest/v1/core/polymer_entity/9CYM/3
CD74	P04233	9EJH_3	9EJH	3	HLA class II histocompatibility antigen gamma chain	13	0.04391891891891892	1.0	110-122	C	https://data.rcsb.org/rest/v1/core/polymer_entity/9EJH/3
MIF	P14174	1GIF_1	1GIF	1	GLYCOSYLATION-INHIBITING FACTOR	115	1.0	1.0	1-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/1GIF/1
MIF	P14174	1MIF_1	1MIF	1	MACROPHAGE MIGRATION INHIBITORY FACTOR	115	1.0	1.0	1-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/1MIF/1
MIF	P14174	3HOF_1	3HOF	1	Macrophage migration inhibitory factor	123	1.0	0.9349593495934959	1-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3HOF/1
MIF	P14174	9JIT_1	9JIT	1	Macrophage migration inhibitory factor	115	1.0	1.0	1-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/9JIT/1
MIF	P14174	9JIV_1	9JIV	1	Macrophage migration inhibitory factor	115	1.0	1.0	1-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/9JIV/1
MIF	P14174	9JIY_1	9JIY	1	Macrophage migration inhibitory factor	115	1.0	1.0	1-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/9JIY/1
MIF	P14174	9JIZ_1	9JIZ	1	Macrophage migration inhibitory factor	115	1.0	1.0	1-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/9JIZ/1
MIF	P14174	9JJ0_1	9JJ0	1	Macrophage migration inhibitory factor	115	1.0	1.0	1-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/9JJ0/1
MIF	P14174	1CA7_1	1CA7	1	PROTEIN (MACROPHAGE MIGRATION INHIBITORY FACTOR)	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/1CA7/1
MIF	P14174	1GCZ_1	1GCZ	1	MACROPHAGE MIGRATION INHIBITORY FACTOR	122	0.991304347826087	0.9344262295081968	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/1GCZ/1
MIF	P14174	1GD0_1	1GD0	1	MACROPHAGE MIGRATION INHIBITORY FACTOR	122	0.991304347826087	0.9344262295081968	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/1GD0/1
MIF	P14174	1LJT_1	1LJT	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/1LJT/1
MIF	P14174	1P1G_1	1P1G	1	PROTEIN (MACROPHAGE MIGRATION INHIBITORY FACTOR)	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/1P1G/1
MIF	P14174	2OOH_1	2OOH	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/2OOH/1
MIF	P14174	2OOW_1	2OOW	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/2OOW/1
MIF	P14174	2OOZ_1	2OOZ	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/2OOZ/1
MIF	P14174	3B9S_1	3B9S	1	Macrophage Migration Inhibitory Factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3B9S/1
MIF	P14174	3CE4_1	3CE4	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3CE4/1
MIF	P14174	3DJH_1	3DJH	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3DJH/1
MIF	P14174	3DJI_1	3DJI	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C,D,E,F	https://data.rcsb.org/rest/v1/core/polymer_entity/3DJI/1
MIF	P14174	3IJG_1	3IJG	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3IJG/1
MIF	P14174	3IJJ_1	3IJJ	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3IJJ/1
MIF	P14174	3JSF_1	3JSF	1	Macrophage migration inhibitory factor	122	0.991304347826087	0.9344262295081968	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3JSF/1
MIF	P14174	3JSG_1	3JSG	1	Macrophage migration inhibitory factor	122	0.991304347826087	0.9344262295081968	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3JSG/1
MIF	P14174	3JTU_1	3JTU	1	Macrophage migration inhibitory factor	122	0.991304347826087	0.9344262295081968	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3JTU/1
MIF	P14174	3L5P_1	3L5P	1	Macrophage migration inhibitory factor	122	0.991304347826087	0.9344262295081968	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3L5P/1
MIF	P14174	3L5R_1	3L5R	1	Macrophage migration inhibitory factor	122	0.991304347826087	0.9344262295081968	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3L5R/1
MIF	P14174	3L5S_1	3L5S	1	Macrophage migration inhibitory factor	122	0.991304347826087	0.9344262295081968	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3L5S/1
MIF	P14174	3L5T_1	3L5T	1	Macrophage migration inhibitory factor	122	0.991304347826087	0.9344262295081968	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3L5T/1
MIF	P14174	3L5U_1	3L5U	1	Macrophage migration inhibitory factor	122	0.991304347826087	0.9344262295081968	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3L5U/1
MIF	P14174	3L5V_1	3L5V	1	Macrophage migration inhibitory factor	122	0.991304347826087	0.9344262295081968	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3L5V/1
MIF	P14174	3SMB_1	3SMB	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3SMB/1
MIF	P14174	3SMC_1	3SMC	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3SMC/1
MIF	P14174	3U18_1	3U18	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3U18/1
MIF	P14174	3WNR_1	3WNR	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3WNR/1
MIF	P14174	3WNS_1	3WNS	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3WNS/1
MIF	P14174	3WNT_1	3WNT	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/3WNT/1
MIF	P14174	4ETG_1	4ETG	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4ETG/1
MIF	P14174	4EUI_1	4EUI	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4EUI/1
MIF	P14174	4EVG_1	4EVG	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4EVG/1
MIF	P14174	4F2K_1	4F2K	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4F2K/1
MIF	P14174	4GRU_1	4GRU	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4GRU/1
MIF	P14174	4K9G_1	4K9G	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4K9G/1
MIF	P14174	4OSF_1	4OSF	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4OSF/1
MIF	P14174	4OYQ_1	4OYQ	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4OYQ/1
MIF	P14174	4P01_1	4P01	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4P01/1
MIF	P14174	4P0H_1	4P0H	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4P0H/1
MIF	P14174	4PKK_1	4PKK	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4PKK/1
MIF	P14174	4PKZ_1	4PKZ	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4PKZ/1
MIF	P14174	4PLU_1	4PLU	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4PLU/1
MIF	P14174	4TRF_1	4TRF	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4TRF/1
MIF	P14174	4TRU_1	4TRU	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4TRU/1
MIF	P14174	4WR8_1	4WR8	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R	https://data.rcsb.org/rest/v1/core/polymer_entity/4WR8/1
MIF	P14174	4WRB_1	4WRB	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4WRB/1
MIF	P14174	4XX7_1	4XX7	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4XX7/1
MIF	P14174	4Z15_1	4Z15	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4Z15/1
MIF	P14174	4Z1T_1	4Z1T	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4Z1T/1
MIF	P14174	4Z1U_1	4Z1U	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C,D,E,F	https://data.rcsb.org/rest/v1/core/polymer_entity/4Z1U/1
MIF	P14174	5B4O_1	5B4O	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5B4O/1
MIF	P14174	5BS9_1	5BS9	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5BS9/1
MIF	P14174	5BSC_1	5BSC	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5BSC/1
MIF	P14174	5BSI_1	5BSI	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C,D,E,F,G,J	https://data.rcsb.org/rest/v1/core/polymer_entity/5BSI/1
MIF	P14174	5BSJ_1	5BSJ	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5BSJ/1
MIF	P14174	5EIZ_1	5EIZ	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5EIZ/1
MIF	P14174	5HVS_1	5HVS	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5HVS/1
MIF	P14174	5HVT_1	5HVT	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5HVT/1
MIF	P14174	5J7P_1	5J7P	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5J7P/1
MIF	P14174	5J7Q_1	5J7Q	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5J7Q/1
MIF	P14174	5UMJ_1	5UMJ	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5UMJ/1
MIF	P14174	5UMK_1	5UMK	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5UMK/1
MIF	P14174	5UZY_1	5UZY	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5UZY/1
MIF	P14174	5V70_1	5V70	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5V70/1
MIF	P14174	5V73_1	5V73	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5V73/1
MIF	P14174	5XEJ_1	5XEJ	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5XEJ/1
MIF	P14174	6B1C_1	6B1C	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6B1C/1
MIF	P14174	6B1K_1	6B1K	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6B1K/1
MIF	P14174	6B2C_1	6B2C	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6B2C/1
MIF	P14174	6BG6_1	6BG6	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6BG6/1
MIF	P14174	6BG7_1	6BG7	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6BG7/1
MIF	P14174	6CB5_1	6CB5	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6CB5/1
MIF	P14174	6CBF_1	6CBF	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6CBF/1
MIF	P14174	6CBG_1	6CBG	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6CBG/1
MIF	P14174	6CBH_1	6CBH	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6CBH/1
MIF	P14174	6FVE_1	6FVE	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6FVE/1
MIF	P14174	6FVH_1	6FVH	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6FVH/1
MIF	P14174	6OY8_1	6OY8	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6OY8/1
MIF	P14174	6OYB_1	6OYB	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6OYB/1
MIF	P14174	6OYE_1	6OYE	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6OYE/1
MIF	P14174	6OYG_1	6OYG	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/6OYG/1
MIF	P14174	6PEG_1	6PEG	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	D,E,F	https://data.rcsb.org/rest/v1/core/polymer_entity/6PEG/1
MIF	P14174	7E45_1	7E45	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/7E45/1
MIF	P14174	7E47_1	7E47	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/7E47/1
MIF	P14174	7E49_1	7E49	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/7E49/1
MIF	P14174	7E4A_1	7E4A	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/7E4A/1
MIF	P14174	7E4B_1	7E4B	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/7E4B/1
MIF	P14174	7E4C_1	7E4C	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/7E4C/1
MIF	P14174	7EDQ_1	7EDQ	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/7EDQ/1
MIF	P14174	7EE8_1	7EE8	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/7EE8/1
MIF	P14174	7KQX_1	7KQX	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/7KQX/1
MIF	P14174	7XTX_1	7XTX	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/7XTX/1
MIF	P14174	7XVX_1	7XVX	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/7XVX/1
MIF	P14174	8CA0_1	8CA0	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/8CA0/1
MIF	P14174	8IMR_1	8IMR	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/8IMR/1
MIF	P14174	8SON_1	8SON	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/8SON/1
MIF	P14174	8SPN_1	8SPN	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/8SPN/1
MIF	P14174	8TT8_1	8TT8	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/8TT8/1
MIF	P14174	8TT9_1	8TT9	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/8TT9/1
MIF	P14174	9BNQ_1	9BNQ	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/9BNQ/1
MIF	P14174	9BNR_1	9BNR	1	Macrophage migration inhibitory factor	114	0.991304347826087	1.0	2-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/9BNR/1
MIF	P14174	1CGQ_1	1CGQ	1	PROTEIN (MACROPHAGE MIGRATION INHIBITORY FACTOR)	115	0.9826086956521739	0.9826086956521739	3-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/1CGQ/1
MIF	P14174	4GRN_1	4GRN	1	Macrophage migration inhibitory factor	116	0.9826086956521739	0.9741379310344828	3-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4GRN/1
MIF	P14174	4GRO_1	4GRO	1	Macrophage migration inhibitory factor	117	0.9826086956521739	0.9658119658119658	3-115	A,B,C,D,E,F,G,H	https://data.rcsb.org/rest/v1/core/polymer_entity/4GRO/1
MIF	P14174	4GRP_1	4GRP	1	Macrophage migration inhibitory factor	118	0.9826086956521739	0.9576271186440678	3-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4GRP/1
MIF	P14174	4GRQ_1	4GRQ	1	Macrophage migration inhibitory factor	116	0.9826086956521739	0.9741379310344828	3-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4GRQ/1
MIF	P14174	4GRR_1	4GRR	1	Macrophage migration inhibitory factor	116	0.9826086956521739	0.9741379310344828	3-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4GRR/1
MIF	P14174	4XX8_1	4XX8	1	Macrophage migration inhibitory factor	113	0.9826086956521739	1.0	3-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/4XX8/1
MIF	P14174	5HVV_1	5HVV	1	Macrophage migration inhibitory factor	113	0.9826086956521739	1.0	3-115	A,B,C	https://data.rcsb.org/rest/v1/core/polymer_entity/5HVV/1
