portfolio_size	package_ids	n_methods	n_decisions	methods	decisions	burden_min	burden_max	min_scenario_score	max_scenario_score	pareto
3	D01_independent_ms_response_bulk;D07_replicated_lesion_spatial;D08_genotype_linked_immune_perturbation	11	7	M05;M06;M11;M12;M13;M18;M19;M20;M22;M29;M30	causal_gene_direction;context_specific_genetic_effect;cross_cohort_transport;external_monitoring_validation;mediation_identifiability;progression_compartment_localization;spatial_neighborhood	6	11	7	14	False
3	D01_independent_ms_response_bulk;D03_longitudinal_progression_molecular_ipd;D08_genotype_linked_immune_perturbation	11	7	M05;M06;M11;M12;M13;M21;M22;M23;M24;M29;M30	causal_gene_direction;context_specific_genetic_effect;cross_cohort_transport;external_monitoring_validation;mediation_identifiability;progression_association;progression_trajectory	8	12	7	15	False
3	D03_longitudinal_progression_molecular_ipd;D05_randomized_progression_molecular_substudy;D06_primary_human_directional_perturbation	11	7	M04;M05;M12;M17;M20;M21;M22;M23;M24;M29;M30	causal_axis_orientation;functional_safety;intervention_direction;mediation_identifiability;progression_association;progression_trajectory;treatment_molecular_mechanism	11	15	7	22	False
3	D03_longitudinal_progression_molecular_ipd;D04_randomized_progression_trial_ipd;D06_primary_human_directional_perturbation	10	9	M04;M05;M09;M17;M21;M22;M23;M24;M25;M30	causal_axis_orientation;causal_treatment_effect;clinical_utility;effect_transport;functional_safety;intervention_direction;mediation_identifiability;progression_association;progression_trajectory	9	14	9	23	False
3	D01_independent_ms_response_bulk;D02_ms_response_single_cell_trajectory;D05_randomized_progression_molecular_substudy	10	8	M11;M12;M13;M14;M15;M16;M20;M22;M23;M29	composition_response;cross_cohort_transport;external_monitoring_validation;mediation_identifiability;progression_trajectory;trajectory_response;treatment_molecular_mechanism;within_cell_response	8	12	8	15	False
3	D01_independent_ms_response_bulk;D06_primary_human_directional_perturbation;D08_genotype_linked_immune_perturbation	10	8	M04;M05;M06;M11;M12;M13;M17;M22;M29;M30	causal_axis_orientation;causal_gene_direction;context_specific_genetic_effect;cross_cohort_transport;external_monitoring_validation;functional_safety;intervention_direction;mediation_identifiability	7	12	8	20	False
3	D03_longitudinal_progression_molecular_ipd;D04_randomized_progression_trial_ipd;D07_replicated_lesion_spatial	10	8	M09;M18;M19;M20;M21;M22;M23;M24;M25;M30	causal_treatment_effect;clinical_utility;effect_transport;mediation_identifiability;progression_association;progression_compartment_localization;progression_trajectory;spatial_neighborhood	8	13	8	22	False
3	D04_randomized_progression_trial_ipd;D06_primary_human_directional_perturbation;D07_replicated_lesion_spatial	10	8	M04;M05;M09;M17;M18;M19;M20;M21;M25;M30	causal_axis_orientation;causal_treatment_effect;clinical_utility;effect_transport;functional_safety;intervention_direction;progression_compartment_localization;spatial_neighborhood	7	13	8	20	False
3	D04_randomized_progression_trial_ipd;D07_replicated_lesion_spatial;D08_genotype_linked_immune_perturbation	10	8	M05;M06;M09;M18;M19;M20;M21;M22;M25;M30	causal_gene_direction;causal_treatment_effect;clinical_utility;context_specific_genetic_effect;effect_transport;mediation_identifiability;progression_compartment_localization;spatial_neighborhood	7	13	8	22	False
3	D02_ms_response_single_cell_trajectory;D03_longitudinal_progression_molecular_ipd;D07_replicated_lesion_spatial	10	8	M14;M15;M16;M18;M19;M20;M21;M22;M23;M24	composition_response;mediation_identifiability;progression_association;progression_compartment_localization;progression_trajectory;spatial_neighborhood;trajectory_response;within_cell_response	9	14	8	19	False
3	D02_ms_response_single_cell_trajectory;D05_randomized_progression_molecular_substudy;D07_replicated_lesion_spatial	10	8	M12;M14;M15;M16;M18;M19;M20;M22;M23;M29	composition_response;mediation_identifiability;progression_compartment_localization;progression_trajectory;spatial_neighborhood;trajectory_response;treatment_molecular_mechanism;within_cell_response	9	14	8	15	False
3	D05_randomized_progression_molecular_substudy;D06_primary_human_directional_perturbation;D08_genotype_linked_immune_perturbation	10	8	M04;M05;M06;M12;M17;M20;M22;M23;M29;M30	causal_axis_orientation;causal_gene_direction;context_specific_genetic_effect;functional_safety;intervention_direction;mediation_identifiability;progression_trajectory;treatment_molecular_mechanism	10	15	8	23	False
3	D01_independent_ms_response_bulk;D05_randomized_progression_molecular_substudy;D08_genotype_linked_immune_perturbation	10	7	M05;M06;M11;M12;M13;M20;M22;M23;M29;M30	causal_gene_direction;context_specific_genetic_effect;cross_cohort_transport;external_monitoring_validation;mediation_identifiability;progression_trajectory;treatment_molecular_mechanism	8	12	7	14	False
3	D03_longitudinal_progression_molecular_ipd;D04_randomized_progression_trial_ipd;D05_randomized_progression_molecular_substudy	10	7	M09;M12;M20;M21;M22;M23;M24;M25;M29;M30	causal_treatment_effect;clinical_utility;effect_transport;mediation_identifiability;progression_association;progression_trajectory;treatment_molecular_mechanism	10	14	7	21	False
3	D03_longitudinal_progression_molecular_ipd;D07_replicated_lesion_spatial;D08_genotype_linked_immune_perturbation	10	7	M05;M06;M18;M19;M20;M21;M22;M23;M24;M30	causal_gene_direction;context_specific_genetic_effect;mediation_identifiability;progression_association;progression_compartment_localization;progression_trajectory;spatial_neighborhood	9	14	7	18	False
3	D05_randomized_progression_molecular_substudy;D07_replicated_lesion_spatial;D08_genotype_linked_immune_perturbation	10	7	M05;M06;M12;M18;M19;M20;M22;M23;M29;M30	causal_gene_direction;context_specific_genetic_effect;mediation_identifiability;progression_compartment_localization;progression_trajectory;spatial_neighborhood;treatment_molecular_mechanism	9	14	7	14	False
3	D02_ms_response_single_cell_trajectory;D03_longitudinal_progression_molecular_ipd;D05_randomized_progression_molecular_substudy	10	7	M12;M14;M15;M16;M20;M21;M22;M23;M24;M29	composition_response;mediation_identifiability;progression_association;progression_trajectory;trajectory_response;treatment_molecular_mechanism;within_cell_response	11	15	7	15	False
3	D03_longitudinal_progression_molecular_ipd;D05_randomized_progression_molecular_substudy;D08_genotype_linked_immune_perturbation	10	6	M05;M06;M12;M20;M21;M22;M23;M24;M29;M30	causal_gene_direction;context_specific_genetic_effect;mediation_identifiability;progression_association;progression_trajectory;treatment_molecular_mechanism	11	15	6	14	False
3	D04_randomized_progression_trial_ipd;D06_primary_human_directional_perturbation;D08_genotype_linked_immune_perturbation	9	9	M04;M05;M06;M09;M17;M21;M22;M25;M30	causal_axis_orientation;causal_gene_direction;causal_treatment_effect;clinical_utility;context_specific_genetic_effect;effect_transport;functional_safety;intervention_direction;mediation_identifiability	8	14	9	23	False
3	D03_longitudinal_progression_molecular_ipd;D04_randomized_progression_trial_ipd;D08_genotype_linked_immune_perturbation	9	8	M05;M06;M09;M21;M22;M23;M24;M25;M30	causal_gene_direction;causal_treatment_effect;clinical_utility;context_specific_genetic_effect;effect_transport;mediation_identifiability;progression_association;progression_trajectory	9	14	8	22	False
3	D06_primary_human_directional_perturbation;D07_replicated_lesion_spatial;D08_genotype_linked_immune_perturbation	9	8	M04;M05;M06;M17;M18;M19;M20;M22;M30	causal_axis_orientation;causal_gene_direction;context_specific_genetic_effect;functional_safety;intervention_direction;mediation_identifiability;progression_compartment_localization;spatial_neighborhood	8	14	8	20	False
3	D03_longitudinal_progression_molecular_ipd;D06_primary_human_directional_perturbation;D08_genotype_linked_immune_perturbation	9	8	M04;M05;M06;M17;M21;M22;M23;M24;M30	causal_axis_orientation;causal_gene_direction;context_specific_genetic_effect;functional_safety;intervention_direction;mediation_identifiability;progression_association;progression_trajectory	10	15	8	20	False
3	D01_independent_ms_response_bulk;D05_randomized_progression_molecular_substudy;D07_replicated_lesion_spatial	9	7	M11;M12;M13;M18;M19;M20;M22;M23;M29	cross_cohort_transport;external_monitoring_validation;mediation_identifiability;progression_compartment_localization;progression_trajectory;spatial_neighborhood;treatment_molecular_mechanism	7	11	7	14	False
3	D01_independent_ms_response_bulk;D03_longitudinal_progression_molecular_ipd;D05_randomized_progression_molecular_substudy	9	6	M11;M12;M13;M20;M21;M22;M23;M24;M29	cross_cohort_transport;external_monitoring_validation;mediation_identifiability;progression_association;progression_trajectory;treatment_molecular_mechanism	9	12	6	14	False
3	D03_longitudinal_progression_molecular_ipd;D05_randomized_progression_molecular_substudy;D07_replicated_lesion_spatial	9	6	M12;M18;M19;M20;M21;M22;M23;M24;M29	mediation_identifiability;progression_association;progression_compartment_localization;progression_trajectory;spatial_neighborhood;treatment_molecular_mechanism	10	14	6	17	False
