gene	disease	dataset	channel	comparison	effect	p	quality	score	limitation	axis	positive_nominal	negative_nominal
LPL	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	-1.3086963262514208	1.2850108220271388e-10	0.4	-1.222923617504412	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,tissue_remodeling	False	True
TREM2	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	0.8607854880244659	8.430320954774106e-06	0.4	0.6868876191257758	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	True	False
SPP1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	0.5671982380525685	0.0027943925010752	0.4	0.44684544347610844	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	tissue_remodeling	True	False
PLIN2	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	-1.056666309572169	1.1056835194324656e-07	0.4	-0.8882309317758211	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux	False	True
CD36	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	1.439335384470142	3.219608107982223e-12	0.4	1.4223111687982988	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux	True	False
FABP5	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	5.017138479658413	7.039718843998281e-42	0.4	2.4000000000000004	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux	True	False
C1QA	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	0.9603308907512756	8.67367152705158e-07	0.4	0.7881704437750293	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	complement_phagocytosis	True	False
C1QB	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	1.5629674152756516	1.0220164241506183e-13	0.4	1.5377804491653908	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	complement_phagocytosis	True	False
C1QC	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	1.3441269778319307	5.258258012661552e-11	0.4	1.272013789888944	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	complement_phagocytosis	True	False
CTSB	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	2.707237299176071	5.082854504357561e-28	0.4	2.224342379505643	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lysosome_antigen_processing	True	False
CTSD	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	2.757344990828196	2.152716481219786e-28	0.4	2.254406994496918	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lysosome_antigen_processing	True	False
LAMP1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	0.1641524533682199	0.3755178581517834	0.4	0.24933698521440756	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lysosome_antigen_processing	False	False
NAMPT	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	3.7823135462943136	2.5913448087228164e-36	0.4	2.4000000000000004	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	metabolic_licensing	True	False
IFI30	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	3.3005805137508064	6.869889820082816e-35	0.4	2.4000000000000004	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lysosome_antigen_processing,interferon_chemokine	True	False
ASAH1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	-2.493122044942252	1.2696737643768015e-24	0.4	-2.0958732269653515	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,lysosome_antigen_processing	False	True
TPP1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	0.8722473983443851	7.068219214769904e-06	0.4	0.6958950107643997	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lysosome_antigen_processing	True	False
LIPA	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	2.5139547367579116	3.3901438483310376e-24	0.4	2.108372842054747	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,lysosome_antigen_processing	True	False
IL1B	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	2.119805160983738	1.3954386972858358e-17	0.4	1.8718830965902429	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	interferon_chemokine,metabolic_licensing	True	False
TNF	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	1.2789290791106147	2.835990697062375e-10	0.4	1.1810394376162128	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	interferon_chemokine,metabolic_licensing	True	False
CXCL10	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	2.5501359067718177	5.828852043984778e-26	0.4	2.1300815440630907	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	interferon_chemokine	True	False
MSR1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	0.4796046410733627	0.010643947332546	0.4	0.39322452742690533	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,complement_phagocytosis	True	False
MARCO	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	-0.0839699163400465	0.6498364550024567	0.4	-0.22355780844897719	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	False	False
MERTK	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved	-1.5062722191106126	5.260949312642277e-13	0.4	-1.5037633314663674	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	False	True
ACSL1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	-1.4685372762271542	2.801330464529486e-13	0.4	-1.4811223657362929	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux	False	True
APOE	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	-2.3893187906791717	5.026250705837242e-23	0.4	-2.0335912744075033	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,tissue_remodeling	False	True
GPNMB	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	-2.2419695672651168	3.6814190524526815e-22	0.4	-1.9451817403590703	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,tissue_remodeling	False	True
LPL	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	-1.28935595740962	1.4113442156185563e-10	0.4	-1.2095710746149972	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,tissue_remodeling	False	True
TREM2	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	1.6088940561544236	1.8519833430321763e-14	0.4	1.5653364336926543	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	True	False
SPP1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	0.7885801495200935	5.807272427932973e-05	0.4	0.6102652044384984	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	tissue_remodeling	True	False
PLIN2	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	-1.3462536617768293	9.916485499362615e-12	0.4	-1.3298285939833108	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux	False	True
CD36	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	1.52770909276127	8.424987001192975e-14	0.4	1.516625455656762	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux	True	False
FABP5	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	5.625849028181017	6.973251082898379e-51	0.4	2.4000000000000004	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux	True	False
C1QA	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	0.641360153458725	0.0004839948592467	0.4	0.5096510406009457	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	complement_phagocytosis	True	False
C1QB	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	1.890407600398684	7.945475016766924e-19	0.4	1.7342445602392107	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	complement_phagocytosis	True	False
C1QC	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	0.9781294209471296	2.2143690585767986e-07	0.4	0.8344244427000028	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	complement_phagocytosis	True	False
CTSB	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	2.506298188122708	3.167847296254386e-25	0.4	2.103778912873625	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lysosome_antigen_processing	True	False
CTSD	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	2.435284320748645	2.4397131536700316e-25	0.4	2.061170592449187	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lysosome_antigen_processing	True	False
LAMP1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	0.627675041456318	0.0008763497246139	0.4	0.4914125949896877	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lysosome_antigen_processing	True	False
NAMPT	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	4.120311603297076	9.092187961248673e-34	0.4	2.4000000000000004	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	metabolic_licensing	True	False
IFI30	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	4.197290124201901	1.6792606795153664e-45	0.4	2.4000000000000004	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lysosome_antigen_processing,interferon_chemokine	True	False
ASAH1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	-2.136885834005066	2.0585339419011857e-21	0.4	-1.8821315004030397	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,lysosome_antigen_processing	False	True
TPP1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	0.5582147332515328	0.0023126222795695	0.4	0.44855264276853646	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lysosome_antigen_processing	True	False
LIPA	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	2.5006617926500536	1.7242470149433966e-26	0.4	2.100397075590032	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,lysosome_antigen_processing	True	False
IL1B	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	2.099908662897848	8.03977452549473e-17	0.4	1.8599451977387087	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	interferon_chemokine,metabolic_licensing	True	False
TNF	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	1.5914270218597668	2.5212146931351622e-14	0.4	1.55485621311586	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	interferon_chemokine,metabolic_licensing	True	False
CXCL10	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	2.7886315636523396	2.564202401566088e-29	0.4	2.273178938191404	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	interferon_chemokine	True	False
MSR1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	0.7118502231170755	0.0001803009941183	0.4	0.5560090596712818	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,complement_phagocytosis	True	False
MARCO	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	0.0270255741945119	0.8805430552451624	0.4	0.20729653319463162	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	False	False
MERTK	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_normal_control	-1.8130762235968831	7.580543034856272e-18	0.4	-1.6878457341581299	bulk skin; paired involved/uninvolved contrast is stronger than normal-control contrast but not cell-specific	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	False	True
ACSL1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	-0.9227804919970168	6.1024680963345e-08	0.65	-1.376297660960562	bulk paired skin; not cell-specific	lipid_droplet_efflux	False	True
APOE	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	-1.9316430227851753	3.5060510731588664e-11	0.65	-2.613038935029246	bulk paired skin; not cell-specific	lipid_droplet_efflux,tissue_remodeling	False	True
GPNMB	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	-1.5610115899876829	4.796327819478128e-11	0.65	-2.2638081673552874	bulk paired skin; not cell-specific	lipid_droplet_efflux,tissue_remodeling	False	True
LPL	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	-1.0118516549148844	8.590846734596652e-09	0.65	-1.5328426213538229	bulk paired skin; not cell-specific	lipid_droplet_efflux,tissue_remodeling	False	True
TREM2	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	0.6387188954113213	2.0959136854864125e-05	0.65	0.9478769731822195	bulk paired skin; not cell-specific	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	True	False
SPP1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	0.4627137814929255	0.0003742459638568	0.65	0.746891870227042	bulk paired skin; not cell-specific	tissue_remodeling	True	False
PLIN2	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	-0.825571297086063	7.086649072718152e-07	0.65	-1.2014105087542337	bulk paired skin; not cell-specific	lipid_droplet_efflux	False	True
CD36	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	1.1088038711667765	4.2596469828463167e-10	0.65	1.7557386403130162	bulk paired skin; not cell-specific	lipid_droplet_efflux	True	False
FABP5	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	3.479578114983217	3.5060510731588664e-11	0.65	3.5652893817157274	bulk paired skin; not cell-specific	lipid_droplet_efflux	True	False
C1QA	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	0.7506696752276898	2.758991944461462e-06	0.65	1.0961398330074448	bulk paired skin; not cell-specific	complement_phagocytosis	True	False
C1QB	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	1.3040286869106756	6.318838689896031e-10	0.65	1.8969040867727558	bulk paired skin; not cell-specific	complement_phagocytosis	True	False
C1QC	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	1.1033958221246356	8.993574231497771e-09	0.65	1.6003238370063713	bulk paired skin; not cell-specific	complement_phagocytosis	True	False
CTSB	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	2.23251719780039	4.101836280095948e-11	0.65	2.8692803422161512	bulk paired skin; not cell-specific	lysosome_antigen_processing	True	False
CTSD	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	2.247105667818543	4.5529287065367746e-11	0.65	2.874259721849505	bulk paired skin; not cell-specific	lysosome_antigen_processing	True	False
LAMP1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	0.1369679021744445	0.3049570567684003	0.65	0.4012781213227316	bulk paired skin; not cell-specific	lysosome_antigen_processing	False	False
NAMPT	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	2.662215145493622	3.694568926535923e-11	0.65	3.259702161461316	bulk paired skin; not cell-specific	metabolic_licensing	True	False
IFI30	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	2.511651413061874	3.5060510731588664e-11	0.65	3.1300133738191325	bulk paired skin; not cell-specific	lysosome_antigen_processing,interferon_chemokine	True	False
ASAH1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	-1.9856868660364777	3.5060510731588664e-11	0.65	-2.6612094201519905	bulk paired skin; not cell-specific	lipid_droplet_efflux,lysosome_antigen_processing	False	True
TPP1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	0.718101360973844	9.655319243835846e-06	0.65	1.0251197358404072	bulk paired skin; not cell-specific	lysosome_antigen_processing	True	False
LIPA	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	1.9230573201356345	4.101836280095948e-11	0.65	2.5945943655128256	bulk paired skin; not cell-specific	lipid_droplet_efflux,lysosome_antigen_processing	True	False
IL1B	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	1.4989178161297214	3.5060510731588664e-11	0.65	2.2273412889068878	bulk paired skin; not cell-specific	interferon_chemokine,metabolic_licensing	True	False
TNF	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	0.9852056021469576	2.0311008851614722e-08	0.65	1.4723566076578143	bulk paired skin; not cell-specific	interferon_chemokine,metabolic_licensing	True	False
CXCL10	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	1.7732102608472198	1.0402060786884075e-10	0.65	2.400877294448895	bulk paired skin; not cell-specific	interferon_chemokine	True	False
MSR1	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	0.4532903793708952	0.0009595994474677	0.65	0.7098889341203021	bulk paired skin; not cell-specific	lipid_droplet_efflux,complement_phagocytosis	True	False
MARCO	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	-0.0934281812167838	0.4835011839462342	0.65	-0.3740564592416437	bulk paired skin; not cell-specific	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	False	False
MERTK	psoriasis	GSE13355	expression_screen	psoriasis_involved_vs_uninvolved_paired	-1.3669613313305868	3.8574757988593025e-10	0.65	-1.9761963148771367	bulk paired skin; not cell-specific	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	False	True
ACSL1	UC	GSE75214	expression_screen	UC_active_colon_vs_control_colon	1.1360781513194962	8.611370370899762e-09	0.4	1.0014594942431707	bulk intestinal mucosal biopsies; strong inflammation and cell-composition confounding	lipid_droplet_efflux	True	False
