pert_id	compound	target	moa	mechanism_class	call	passed_gates	gate_count	failed_gates	n_opposite_queries	opposite_queries	best_opposite_rank	min_opposite_qval	max_opposite_abs_score	wave24_call	wave24_blocker	promotion_gate
BRD-K50204028	BRD-K50204028	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	6	9	known_target;recurrent_reversal;mechanism_class_relevant	1	ifn_lysosomal_apc_state	22	5.87567820342275e-05	10.707519840654928	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K77987382	mebendazole	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	6	9	known_target;recurrent_reversal;mechanism_class_relevant	1	mif_cd74_receptor_state	49	0.0002426697405796	9.180494888748996	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K69023402	thapsigargin	ATP2A1	ATPase inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	not_toxic_or_steroid;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	2	3.33468284702094e-07	17.082030143641155	NO_GO	high-risk cytotoxic/steroid/stress compound	NO_GO
BRD-K05153001	BRD-K05153001	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	mif_cd74_receptor_state	6	3.22959318770476e-07	17.020802134374406	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K36198571	WAY-170523	MMP13	Metalloproteinase inhibitor	secreted_remodeling	NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;not_generic_prior_bucket;promotion_gate_open	1	mif_cd74_receptor_state	3	3.27392831556839e-07	16.9113711542581	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-U33728988	QL-X-138	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	mif_cd74_receptor_state	1	3.08543314439944e-07	16.845859883731617	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K34092021	arvanil	CNR1	TRPV agonist	endocannabinoid_neuroimmune	NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;not_generic_prior_bucket;promotion_gate_open	1	ifn_lysosomal_apc_state	4	4.70712929556801e-06	15.376579635335606	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K64642496	KO-143	ABCG2	Breast cancer resistance protein inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	ifn_lysosomal_apc_state	9	4.70712929556801e-06	14.82274321283012	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K39345836	BRD-K39345836	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	ifn_lysosomal_apc_state	10	4.71443193564889e-06	14.390388546436828	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K82109576	vincristine	TUBB	Tubulin inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	not_toxic_or_steroid;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	11	4.70712929556801e-06	14.387397878432148	NO_GO	high-risk cytotoxic/steroid/stress compound	NO_GO
BRD-K61323504	SB-225002	CXCR2	CCK receptor antagonist		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	not_generic_prior_bucket;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	7	4.7161861024928e-06	14.11547676636583	NO_GO_PRIOR	generic/prior-art inflammatory target CXCR2	NO_GO
BRD-A18411371	BRD-A18411371	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	mif_cd74_receptor_state	13	8.83733908701768e-06	13.499473221234853	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-U86222656	BRD-U86222656	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	mif_cd74_receptor_state	31	8.83733908701768e-06	13.480086748485506	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-A72180425	K784-3188	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	mif_cd74_receptor_state	26	8.83733908701768e-06	13.472385956940853	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-A68065211	BRD-A68065211	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	mif_cd74_receptor_state	29	8.83733908701768e-06	13.450463661991735	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K72864428	BRD-K72864428	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	ifn_lysosomal_apc_state	25	3.07544512029992e-05	13.371809411005424	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-A01643550	prednisolone-acetate	NR3C1	Glucocorticoid receptor agonist		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	not_toxic_or_steroid;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	34	8.83733908701768e-06	13.28766883741419	NO_GO	high-risk cytotoxic/steroid/stress compound	NO_GO
BRD-A36275421	BRD-A36275421	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	mif_cd74_receptor_state	8	8.83733908701768e-06	13.230134814124764	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K30707190	PNU-74654	CTNNB1	Beta-catenin inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	not_toxic_or_steroid;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open	2	ifn_lysosomal_apc_state;mif_cd74_receptor_state	16	8.83733908701768e-06	13.162351638455757	NO_GO	oncology/cell-cycle/stress target CTNNB1	NO_GO
BRD-K15025317	BAY-11-7082	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	mif_cd74_receptor_state	24	8.83733908701768e-06	13.128937812776554	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K07005393	BRD-K07005393	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	mif_cd74_receptor_state	10	8.83733908701768e-06	13.053426287481226	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K86930074	cediranib	FLT1	KIT inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	mif_cd74_receptor_state	38	8.83733908701768e-06	13.020553292819171	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K28040935	BRD-K28040935	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	mif_cd74_receptor_state	27	8.83733908701768e-06	12.67213517355033	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K52219182	ICI-63197	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	ifn_lysosomal_apc_state	19	5.87567820342275e-05	12.060641024749144	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K41859756	NVP-AUY922	HSP90AA1	HSP inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	not_toxic_or_steroid;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open	3	gse111972_ms_wm_full_top150;ifn_lysosomal_apc_state;mif_cd74_receptor_state	20	8.83733908701768e-06	11.983223112892274	NO_GO	oncology/cell-cycle/stress target HSP90AA1	NO_GO
BRD-K30867024	SB-216641	HTR1B	Serotonin receptor antagonist		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	ifn_lysosomal_apc_state	29	5.87567820342275e-05	11.690597573938415	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K05562558	BRD-K05562558	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	ifn_lysosomal_apc_state	24	5.87567820342275e-05	11.590946164451555	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K08502430	angiogenesis-inhibitor	EGFR	Angiogenesis inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	ifn_lysosomal_apc_state	21	6.03624873173514e-05	11.586956961065882	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K84895041	BMY-45778	PTGIR	IP receptor activator		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	ifn_lysosomal_apc_state	20	6.03624873173514e-05	11.465620672655405	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K90382497	GW-843682X	PLK3	PLK inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	ifn_lysosomal_apc_state	17	5.87567820342275e-05	11.272585056707127	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K87947369	tozasertib	FLT3	JAK inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	ifn_lysosomal_apc_state	35	6.09760480042738e-05	11.201360157681972	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K41895714	AS-605240	PIK3CG	PI3K inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	ifn_lysosomal_apc_state	33	6.09760480042738e-05	11.125735382487234	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K84203638	BRD-K84203638	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	ifn_lysosomal_apc_state	32	6.13340618985539e-05	11.063086624873144	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K39256324	rottlerin	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	ifn_lysosomal_apc_state	28	7.47387429893282e-05	11.061495597897231	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K05396879	BRD-K05396879	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	ifn_lysosomal_apc_state	27	5.87567820342275e-05	11.04831775592356	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K89930444	AG-592	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	ifn_lysosomal_apc_state	38	5.87567820342275e-05	10.944999664873114	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K30468800	BRD-K30468800	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	ifn_lysosomal_apc_state	15	5.87567820342275e-05	10.855979967315806	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-A20968261	WAY-213613	SLC1A2	Glutamate inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	ifn_lysosomal_apc_state	16	6.03624873173514e-05	10.610461329784936	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K73290745	ICI-199441	OPRK1	Opioid receptor agonist		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	mif_cd74_receptor_state	46	0.0002426697405796	10.12646901358551	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K08316444	rotenone	ND1	Mitochondrial complex I inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	mif_cd74_receptor_state	44	0.0002426697405796	10.113180817307558	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K56196992	BRD-K56196992	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	mif_cd74_receptor_state	43	0.0002426697405796	9.431873164070948	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K50464341	berbamine	CALM1	Calmodulin antagonist		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	ifn_lysosomal_apc_state	39	0.0005871982494016	9.32209861539278	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K10846167	BRD-K10846167	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	mif_cd74_receptor_state	50	0.0002595698393733	9.105607666589558	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K00429057	BRD-K00429057	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	ifn_lysosomal_apc_state	44	0.0005871982494016	8.183865744318917	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K94127894	SA-89068	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	ifn_lysosomal_apc_state	49	0.0005871982494016	8.163578196247721	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K94353609	fluocinolone	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	gse111972_ms_wm_full_top150	1	0.566910809286373	7.492613130981653	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-A79803969	memantine	GRIN1	Glutamate receptor antagonist	neuroimmune_excitotoxicity_not_myeloid	NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	gse111972_ms_wm_full_top150	3	0.566910809286373	7.187086554972128	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K11742128	triprolidine	HRH1	Histamine receptor antagonist		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	gse111972_ms_wm_full_top150	4	0.805603902146875	5.276130949829359	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K30697463	BRD-K30697463	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	gse111972_ms_wm_full_top150	13	0.805603902146875	5.146876653537675	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-A77216878	manumycin-a	FNTA	NFKB pathway inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	gse111972_ms_wm_full_top150	25	0.909831846556634	4.887911434391583	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K43637719	KU-C104141	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	gse111972_ms_wm_full_top150	8	0.879621510318152	4.703804360071263	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K81142122	STK-249718	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	gse111972_ms_wm_full_top150	7	0.844712216679552	4.684185153620095	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K44779798	miglitol	GAA	Glucosidase inhibitor		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	gse111972_ms_wm_full_top150	10	0.885415802724685	4.595228987965119	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K80962769	BRD-K80962769	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	gse111972_ms_wm_full_top150	37	0.981075911167448	4.573627760568319	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K99621550	tubocurarine	CHRNA2	Acetylcholine receptor antagonist		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	gse111972_ms_wm_full_top150	34	1.0	4.533147125528841	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K18518344	digitoxigenin	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	gse111972_ms_wm_full_top150	29	1.0	4.369332872125633	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K83643280	BG-FA-0953	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	gse111972_ms_wm_full_top150	23	1.0	4.250938051917775	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K32398298	alprazolam	GABRA1	Benzodiazepine receptor agonist		NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant;promotion_gate_open	1	gse111972_ms_wm_full_top150	21	1.0	4.049253381662196	PARK_REVIEW	non-obvious target requires prior-art and safety review	NO_GO
BRD-K80346834	BRD-K80346834	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	gse111972_ms_wm_full_top150	36	1.0	4.040051692686092	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K72381041	BRD-K72381041	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	gse111972_ms_wm_full_top150	24	1.0	3.947999512621361	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
BRD-K32636001	BRD-K32636001	nan			NO_REOPEN_L1000_UPSTREAM_REGULATOR	5	9	known_target;recurrent_reversal;selective_vs_generic_ifn;mechanism_class_relevant	1	gse111972_ms_wm_full_top150	31	1.0	3.9310511829178343	PARK_UNKNOWN	unresolved target/MOA; cannot nominate without deconvolution	PARK_UNKNOWN_ONLY
