entity	modality	source_file	evidence_label	p_value	effect	direction	status	note	used_for_joint_model	has_p_value
metabolic_sterol	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	0.01	4.3	1	supported	dynamic response readout survives in mucosal IBD	False	True
apc_axis	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	IFN-beta HLA-II/CD74 branch	0.2	3.3	1	provisional	therapy-specific context; not primary rule	False	True
apc_hla_ifn_monitoring	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	IFN-beta HLA-II/CD74 branch	0.2	3.3	1	provisional	therapy-specific context; not primary rule	False	True
coupled_apc_axis	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	IFN-beta HLA-II/CD74 branch	0.2	3.3	1	provisional	therapy-specific context; not primary rule	False	True
hla_ii_apc	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	IFN-beta HLA-II/CD74 branch	0.2	3.3	1	provisional	therapy-specific context; not primary rule	False	True
mif_cd74_receptor_state	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	IFN-beta HLA-II/CD74 branch	0.2	3.3	1	provisional	therapy-specific context; not primary rule	False	True
apc_axis	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	T/B-readable early IFN/APC/STAT1 monitoring state	0.2	3.4	1	provisional	replication-gated secondary audit	False	True
apc_hla_ifn_monitoring	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	T/B-readable early IFN/APC/STAT1 monitoring state	0.2	3.4	1	provisional	replication-gated secondary audit	False	True
ifn_apc	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	T/B-readable early IFN/APC/STAT1 monitoring state	0.2	3.4	1	provisional	replication-gated secondary audit	False	True
tb_readable_compartment	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	T/B-readable early IFN/APC/STAT1 monitoring state	0.2	3.4	1	provisional	replication-gated secondary audit	False	True
apc_axis	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Postpartum HLA-II/CD64 APC-arm imbalance	0.2	3.4	1	provisional	clinically anchored but MS postpartum data-gated	False	True
apc_hla_ifn_monitoring	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Postpartum HLA-II/CD64 APC-arm imbalance	0.2	3.4	1	provisional	clinically anchored but MS postpartum data-gated	False	True
hla_ii_apc	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Postpartum HLA-II/CD64 APC-arm imbalance	0.2	3.4	1	provisional	clinically anchored but MS postpartum data-gated	False	True
postpartum_apc_split	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Postpartum HLA-II/CD64 APC-arm imbalance	0.2	3.4	1	provisional	clinically anchored but MS postpartum data-gated	False	True
layer_transfer_map	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	ZMIZ1 opposite-direction MS/Crohn decoupling	0.01	3.4	1	supported	transfer-validity finding; not target	False	True
zmiz1	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	ZMIZ1 opposite-direction MS/Crohn decoupling	0.01	3.4	1	supported	transfer-validity finding; not target	False	True
chr1_kif21b_gpr25	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	chr1 KIF21B/GPR25 locus resolves to real biology but hard target	0.01	3.3	1	supported	controlled-data handoff; no intervention claim	False	True
gpr25	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	chr1 KIF21B/GPR25 locus resolves to real biology but hard target	0.01	3.3	1	supported	controlled-data handoff; no intervention claim	False	True
kif21b	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	chr1 KIF21B/GPR25 locus resolves to real biology but hard target	0.01	3.3	1	supported	controlled-data handoff; no intervention claim	False	True
layer_transfer_map	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	PTGER4 mixed shared/distinct signal closes naive transfer	0.01	3.3	-1	negative-established	closed transfer target unless signal-specific data arrive	False	True
ptger4	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	PTGER4 mixed shared/distinct signal closes naive transfer	0.01	3.3	-1	negative-established	closed transfer target unless signal-specific data arrive	False	True
mhc_overlap_is_distinct_signal_not_simple_shared_biology	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	MHC overlap is distinct-signal, not simple shared biology	0.01	3.2	-1	negative-established	HLA overlap should not be overread as shared causal variant	False	True
layer_transfer_map	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	UC genetics vs treatment-response layer split	0.01	4.3	1	supported	genetic and response-transfer axes separated	False	True
apc_axis	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Crohn downstream IFN/APC convergence exceeds genetic proximity	0.01	3.3	1	supported	response-monitoring analogy, not genetic target transfer	False	True
apc_hla_ifn_monitoring	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Crohn downstream IFN/APC convergence exceeds genetic proximity	0.01	3.3	1	supported	response-monitoring analogy, not genetic target transfer	False	True
ifn_apc	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Crohn downstream IFN/APC convergence exceeds genetic proximity	0.01	3.3	1	supported	response-monitoring analogy, not genetic target transfer	False	True
layer_transfer_map	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Crohn downstream IFN/APC convergence exceeds genetic proximity	0.01	3.3	1	supported	response-monitoring analogy, not genetic target transfer	False	True
layer_transfer_map	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	RA pregnancy comparator but blood APC treatment-response nontransfer	0.01	3.3	1	supported	use RA for postpartum timing, not blood APC biomarker transfer	False	True
postpartum_apc_split	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	RA pregnancy comparator but blood APC treatment-response nontransfer	0.01	3.3	1	supported	use RA for postpartum timing, not blood APC biomarker transfer	False	True
apc_axis	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Sjogren antigen-presentation but not lysosomal/APC lesion-rim transfer	0.01	2.3	1	supported	limited comparator role	False	True
layer_transfer_map	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Sjogren antigen-presentation but not lysosomal/APC lesion-rim transfer	0.01	2.3	1	supported	limited comparator role	False	True
lysosomal_apc	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Sjogren antigen-presentation but not lysosomal/APC lesion-rim transfer	0.01	2.3	1	supported	limited comparator role	False	True
no_load_bearing_invariant_found_in_v26	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	No load-bearing invariant found in V26	0.01	2.4	-1	negative-established	do not claim conserved invariant	False	True
broad_simulator	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	No validated broad immune-state simulator from held data	0.01	4.3	-1	negative-established	use only low-resolution directional priors in bounded domain	False	True
coupled_apc_axis	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Coupled-axis successor rule does not beat scalar	0.01	4.3	-1	negative-established	no V27 successor locked	False	True
locked_v7_general_cross_disease_baseline_fallback_killed	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Locked V7 general cross-disease baseline fallback killed	0.01	4.3	-1	negative-established	baseline fallback rejected; dynamic mucosal IBD survives	False	True
chr1_kif21b_gpr25	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	GPR25 demoted from protected favorite	0.01	3.3	-1	negative-established	conditional causal candidate only	False	True
gpr25	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	GPR25 demoted from protected favorite	0.01	3.3	-1	negative-established	conditional causal candidate only	False	True
metabolic_sterol	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	NAMPT/eNAMPT not reactivated as target	0.01	2.2	-1	negative-established	marker/covariate only	False	True
chr1_kif21b_gpr25	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	ZFP36L1 chr14 parked	0.2	2.2	-1	provisional	suggestive PP.H4 only; needs robust coloc/QTL direction	False	True
zfp36l1	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	ZFP36L1 chr14 parked	0.2	2.2	-1	provisional	suggestive PP.H4 only; needs robust coloc/QTL direction	False	True
rel_pus10_usp34	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	REL/PUS10/USP34 chr2 closed	0.01	2.2	-1	negative-established	no disease SuSiE-coloc summary	False	True
ebv_ifn_imprint	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	EBV/IFN APC imprint downgraded by specificity control	0.01	3.3	-1	negative-established	reopen only with EBV-stratified data	False	True
complement_lipid_axis	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Complement/lipid progressive axis downgraded	0.01	2.3	-1	negative-established	weak lipid context only	False	True
apc_axis	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Lysosomal APC bottleneck not proven	0.2	3.3	-1	provisional	strong coupling, no bottleneck proof	False	True
lysosomal_apc	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Lysosomal APC bottleneck not proven	0.2	3.3	-1	provisional	strong coupling, no bottleneck proof	False	True
metabolic_sterol	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Metabolic/sterol setpoint is context/confounder axis, not intervention-grade	0.2	3.2	-1	provisional	use as covariate/context	False	True
multi_lineage_and_rpt_lenses_add_prioritization_not_evidence	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	Multi-lineage and RPT lenses add prioritization, not evidence	0.01	2.3	1	supported	keep model output proposal-only	False	True
chr1_kif21b_gpr25	corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	First-principles druggability discipline changed target interpretation	0.01	4.4	1	supported	do not use class precedent as druggability shortcut	False	True
genetic_backdrop_ms_uc	genetics	analysis/v21_ldsc_backdrop/ldsc_rg_results.tsv	MS_vs_Crohn_full	0.0015	0.1675	1	rg	rg=0.1675; se=0.0527	True	True
genetic_backdrop_ms_uc	genetics	analysis/v21_ldsc_backdrop/ldsc_rg_results.tsv	MS_vs_Crohn_no_mhc	0.0015	0.1675	1	rg	rg=0.1675; se=0.0527	True	True
genetic_backdrop_ms_uc	genetics	analysis/v21_ldsc_backdrop/ldsc_rg_results.tsv	MS_vs_RA_full	0.0002	0.1692	1	rg	rg=0.1692; se=0.0453	True	True
genetic_backdrop_ms_uc	genetics	analysis/v21_ldsc_backdrop/ldsc_rg_results.tsv	MS_vs_SLE_full	6.0712e-05	0.2439	1	rg	rg=0.2439; se=0.0608	True	True
genetic_backdrop_ms_uc	genetics	analysis/v21_ldsc_backdrop/ldsc_rg_results.tsv	MS_vs_UC_full	4.8771e-14	0.3342	1	rg	rg=0.3342; se=0.0444	True	True
ms_uc_genetic_backdrop	genetics	analysis/v21_ldsc_backdrop/ldsc_rg_results.tsv	MS_vs_UC_full	4.8771e-14	0.3342	1	rg	rg=0.3342; se=0.0444	True	True
genetic_backdrop_ms_uc	genetics	analysis/v21_ldsc_backdrop/ldsc_rg_results.tsv	MS_vs_UC_no_mhc	4.8771e-14	0.3342	1	rg	rg=0.3342; se=0.0444	True	True
ms_uc_genetic_backdrop	genetics	analysis/v21_ldsc_backdrop/ldsc_rg_results.tsv	MS_vs_UC_no_mhc	4.8771e-14	0.3342	1	rg	rg=0.3342; se=0.0444	True	True
apc_axis	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	B1_APC_HLAII_treatment_response		7.2	1	promising_followup	Most actionable non-genetic lead: dynamic APC remodeling should be tested as an MS response-monitoring or subgroup biomarker, not as baseline static IFN/APC.	True	False
apc_hla_ifn_monitoring	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	B1_APC_HLAII_treatment_response		7.2	1	promising_followup	Most actionable non-genetic lead: dynamic APC remodeling should be tested as an MS response-monitoring or subgroup biomarker, not as baseline static IFN/APC.	True	False
hla_ii_apc	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	B1_APC_HLAII_treatment_response		7.2	1	promising_followup	Most actionable non-genetic lead: dynamic APC remodeling should be tested as an MS response-monitoring or subgroup biomarker, not as baseline static IFN/APC.	True	False
ifn_apc	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	B1_APC_HLAII_treatment_response		7.2	1	promising_followup	Most actionable non-genetic lead: dynamic APC remodeling should be tested as an MS response-monitoring or subgroup biomarker, not as baseline static IFN/APC.	True	False
apc_axis	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	C1_dynamic_IFN_APC_monitoring_transfer		7.0	1	promising_followup	High-value clinical utility lead: use early APC delta as response-monitoring endpoint/subgroup selector in MS rather than importing IBD drugs directly.	True	False
apc_hla_ifn_monitoring	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	C1_dynamic_IFN_APC_monitoring_transfer		7.0	1	promising_followup	High-value clinical utility lead: use early APC delta as response-monitoring endpoint/subgroup selector in MS rather than importing IBD drugs directly.	True	False
ifn_apc	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	C1_dynamic_IFN_APC_monitoring_transfer		7.0	1	promising_followup	High-value clinical utility lead: use early APC delta as response-monitoring endpoint/subgroup selector in MS rather than importing IBD drugs directly.	True	False
layer_transfer_map	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	C1_dynamic_IFN_APC_monitoring_transfer		7.0	1	promising_followup	High-value clinical utility lead: use early APC delta as response-monitoring endpoint/subgroup selector in MS rather than importing IBD drugs directly.	True	False
apc_axis	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	B2_postpartum_APC_split		6.6	1	promising_followup	Good Tier -1/Tier 0 biology lead, especially for postpartum MS flare prediction, but no direct druggable node yet.	True	False
apc_hla_ifn_monitoring	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	B2_postpartum_APC_split		6.6	1	promising_followup	Good Tier -1/Tier 0 biology lead, especially for postpartum MS flare prediction, but no direct druggable node yet.	True	False
hla_ii_apc	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	B2_postpartum_APC_split		6.6	1	promising_followup	Good Tier -1/Tier 0 biology lead, especially for postpartum MS flare prediction, but no direct druggable node yet.	True	False
postpartum_apc_split	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	B2_postpartum_APC_split		6.6	1	promising_followup	Good Tier -1/Tier 0 biology lead, especially for postpartum MS flare prediction, but no direct druggable node yet.	True	False
chr1_kif21b_gpr25	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	D1_ZMIZ1_opposite_direction		6.4	-1	hard_target_real_biology	Locked decoupling finding, not a therapeutic lead. Use as pattern template for other opposite-direction loci.	True	False
zmiz1	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	D1_ZMIZ1_opposite_direction		6.4	-1	hard_target_real_biology	Locked decoupling finding, not a therapeutic lead. Use as pattern template for other opposite-direction loci.	True	False
layer_transfer_map	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	C2_FPR2_biased_resolution_IBD_first_MS_bridge		5.8	-1	hard_target_real_biology	Worth keeping as a wet-lab resolution-route comparator, not a computationally promoted MS therapeutic lead.	True	False
chr1_kif21b_gpr25	genetics	analysis/v20_lead_slate/lead_slate_v20.tsv	A1_ZFP36L1_chr14_MS_Crohn	0.26002531220896197	5.656	1	promising_followup	Best next genetics follow-up after chr1/chr10: suggestive H4 and immune-regulatory plausibility, but needs SuSiE-coloc and allele-aligned QTL direction before target work.	True	True
zfp36l1	genetics	analysis/v20_lead_slate/lead_slate_v20.tsv	A1_ZFP36L1_chr14_MS_Crohn	0.26002531220896197	5.656	1	promising_followup	Best next genetics follow-up after chr1/chr10: suggestive H4 and immune-regulatory plausibility, but needs SuSiE-coloc and allele-aligned QTL direction before target work.	True	True
genetic_backdrop_ms_uc	genetics	analysis/v20_lead_slate/lead_slate_v20.tsv	A2_REL_PUS10_chr2_MS_UC	0.5159831203968521	4.618	1	promising_followup	Not a target yet, but a rational next genetics-region test because it sits just below the prior focus loci and may connect to lymphocyte/APC control.	True	True
rel_pus10_usp34	genetics	analysis/v20_lead_slate/lead_slate_v20.tsv	A2_REL_PUS10_chr2_MS_UC	0.5159831203968521	4.618	1	promising_followup	Not a target yet, but a rational next genetics-region test because it sits just below the prior focus loci and may connect to lymphocyte/APC control.	True	True
chr1_kif21b_gpr25	genetics	analysis/v20_lead_slate/lead_slate_v20.tsv	A4_STAT3_chr17_MS_Crohn	0.9732429988806987	4.552	-1	negative_or_not_now	Closed as a V20 lead; prior first-pass signal did not survive multi-signal follow-up.	True	True
d3_mhc_distinct_causal_variants	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	D3_MHC_distinct_causal_variants		4.5	-1	negative_or_not_now	Important negative: autoimmune HLA overlap should not be treated as simple shared causal biology between MS and gut diseases.	True	False
c3_tyk2_allosteric_subgroup	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	C3_TYK2_allosteric_subgroup		3.5	-1	negative_or_not_now	Do not prioritize without a treatment-by-biomarker signal; druggability exists but biology is generic.	True	False
ebv_ifn_imprint	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	B3_MS_SLE_EBV_axis		3.0	-1	negative_or_not_now	Do not surface as a V20 lead because this run added no primary-data layer beyond the map flag.	True	False
genetic_backdrop_ms_uc	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	D2_PTGER4_mixed_signal		2.8	-1	negative_or_not_now	Closed as not-a-clean-transfer-target; useful negative example that druggable known target can fail direction discipline.	True	False
layer_transfer_map	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	D2_PTGER4_mixed_signal		2.8	-1	negative_or_not_now	Closed as not-a-clean-transfer-target; useful negative example that druggable known target can fail direction discipline.	True	False
ptger4	lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	D2_PTGER4_mixed_signal		2.8	-1	negative_or_not_now	Closed as not-a-clean-transfer-target; useful negative example that druggable known target can fail direction discipline.	True	False
chr1_kif21b_gpr25	genetics	analysis/v20_lead_slate/lead_slate_v20.tsv	A3_TYK2_chr19_MS_Crohn	0.6252438836686631	1.73	-1	negative_or_not_now	Do not promote from genetics; use as positive control for druggability discipline unless a TYK2-high MS subgroup appears.	True	True
apc_axis	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__treatment_pharmacodynamic	0.8120939530234883	0.5444208178060745	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
apc_hla_ifn_monitoring	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__treatment_pharmacodynamic	0.8120939530234883	0.5444208178060745	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
coupled_apc_axis	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__treatment_pharmacodynamic	0.8120939530234883	0.5444208178060745	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
hla_ii_apc	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__treatment_pharmacodynamic	0.8120939530234883	0.5444208178060745	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
ifn_apc	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__treatment_pharmacodynamic	0.8120939530234883	0.5444208178060745	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
mif_cd74_receptor_state	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__treatment_pharmacodynamic	0.8120939530234883	0.5444208178060745	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
apc_axis	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__treatment_response_tests	1.0	0.3282992727790468	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
apc_hla_ifn_monitoring	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__treatment_response_tests	1.0	0.3282992727790468	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
coupled_apc_axis	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__treatment_response_tests	1.0	0.3282992727790468	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
hla_ii_apc	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__treatment_response_tests	1.0	0.3282992727790468	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
ifn_apc	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__treatment_response_tests	1.0	0.3282992727790468	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
mif_cd74_receptor_state	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__treatment_response_tests	1.0	0.3282992727790468	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
apc_axis	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__cell_state_h5ad	0.8120939530234883	0.4063156482470463	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
apc_hla_ifn_monitoring	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__cell_state_h5ad	0.8120939530234883	0.4063156482470463	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
coupled_apc_axis	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__cell_state_h5ad	0.8120939530234883	0.4063156482470463	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
hla_ii_apc	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__cell_state_h5ad	0.8120939530234883	0.4063156482470463	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
ifn_apc	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__cell_state_h5ad	0.8120939530234883	0.4063156482470463	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
mif_cd74_receptor_state	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__cell_state_h5ad	0.8120939530234883	0.4063156482470463	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
apc_axis	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__cross_disease_summary	1.0	0.083142637345782	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
apc_hla_ifn_monitoring	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__cross_disease_summary	1.0	0.083142637345782	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
coupled_apc_axis	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__cross_disease_summary	1.0	0.083142637345782	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
hla_ii_apc	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__cross_disease_summary	1.0	0.083142637345782	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
ifn_apc	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__cross_disease_summary	1.0	0.083142637345782	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
mif_cd74_receptor_state	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	perturbation_mixscale__cross_disease_summary	1.0	0.083142637345782	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
apc_axis	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	treatment_pharmacodynamic__treatment_response_tests	0.3273363318340829	0.729713756918926	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
apc_hla_ifn_monitoring	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	treatment_pharmacodynamic__treatment_response_tests	0.3273363318340829	0.729713756918926	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
complement_lipid_axis	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	treatment_pharmacodynamic__treatment_response_tests	0.3273363318340829	0.729713756918926	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
coupled_apc_axis	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	treatment_pharmacodynamic__treatment_response_tests	0.3273363318340829	0.729713756918926	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
hla_ii_apc	deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	treatment_pharmacodynamic__treatment_response_tests	0.3273363318340829	0.729713756918926	-1	not_supported	no replicated shared latent axis under V26 null gate	True	True
