fixture	result_class	check	status	detail	expected_fixture_status
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\beffect[- ]size\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\bp[- ]?value\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\bpermutation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\bconfidence interval\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\bCI\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\bvalidation (?:pass|fail|passed|failed)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\b(?:pass|fail|passed|failed) validation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\bconsidered a pass\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\bconsidered a fail\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\bshould (?:pass|fail)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_metadata_contradiction.md	BLOCKED_METADATA_CONTRADICTION	forbidden_metric_language:\bclean validation claim\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	required_guard:No biological claim	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	required_guard:locked rule is unchanged	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	required_guard:no post-hoc	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\bAUC\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\bHedges\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\beffect[- ]size\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\bp[- ]?value\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\bpermutation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\bconfidence interval\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\bCI\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\bvalidation (?:pass|fail|passed|failed)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\b(?:pass|fail|passed|failed) validation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\bconsidered a pass\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\bconsidered a fail\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\bshould (?:pass|fail)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_redaction.md	BLOCKED_REDACTION	forbidden_metric_language:\bclean validation claim\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	required_guard:No biological claim	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	required_guard:locked rule is unchanged	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	required_guard:no post-hoc	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\bAUC\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\bHedges\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\beffect[- ]size\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\bp[- ]?value\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\bpermutation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\bconfidence interval\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\bCI\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\bvalidation (?:pass|fail|passed|failed)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\b(?:pass|fail|passed|failed) validation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\bconsidered a pass\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\bconsidered a fail\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\bshould (?:pass|fail)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_schema.md	BLOCKED_SCHEMA	forbidden_metric_language:\bclean validation claim\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	required_guard:No biological claim	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	required_guard:locked rule is unchanged	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	required_guard:no post-hoc	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\bAUC\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\bHedges\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\beffect[- ]size\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\bp[- ]?value\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\bpermutation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\bconfidence interval\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\bCI\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\bvalidation (?:pass|fail|passed|failed)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\b(?:pass|fail|passed|failed) validation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\bconsidered a pass\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\bconsidered a fail\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\bshould (?:pass|fail)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/blocked_terms_or_receipt_gates.md	BLOCKED_TERMS_OR_RECEIPT_GATES	forbidden_metric_language:\bclean validation claim\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/caution_batch_or_confounder.md	CAUTION_BATCH_OR_CONFOUNDER	required_guard:No biological claim	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/caution_batch_or_confounder.md	CAUTION_BATCH_OR_CONFOUNDER	required_guard:locked rule is unchanged	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/caution_batch_or_confounder.md	CAUTION_BATCH_OR_CONFOUNDER	required_guard:no post-hoc	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/caution_batch_or_confounder.md	CAUTION_BATCH_OR_CONFOUNDER	score_language_has_preregistered_boundary	PASS	bounded to aggregate/frozen-grid wording	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	required_guard:No biological claim	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	required_guard:locked rule is unchanged	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	required_guard:no post-hoc	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\bAUC\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\bHedges\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\beffect[- ]size\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\bp[- ]?value\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\bpermutation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\bconfidence interval\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\bCI\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\bvalidation (?:pass|fail|passed|failed)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\b(?:pass|fail|passed|failed) validation\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\bconsidered a pass\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\bconsidered a fail\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\bshould (?:pass|fail)\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_metric_language:\bclean validation claim\b	PASS	absent	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/eligible_for_preregistered_interpretation.md	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	required_guard:No biological claim	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/eligible_for_preregistered_interpretation.md	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	required_guard:locked rule is unchanged	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/eligible_for_preregistered_interpretation.md	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	required_guard:no post-hoc	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/eligible_for_preregistered_interpretation.md	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	score_language_has_preregistered_boundary	PASS	bounded to aggregate/frozen-grid wording	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/inconclusive_small_cohort.md	INCONCLUSIVE_SMALL_COHORT	required_guard:No biological claim	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/inconclusive_small_cohort.md	INCONCLUSIVE_SMALL_COHORT	required_guard:locked rule is unchanged	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/inconclusive_small_cohort.md	INCONCLUSIVE_SMALL_COHORT	required_guard:no post-hoc	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/inconclusive_small_cohort.md	INCONCLUSIVE_SMALL_COHORT	score_language_has_preregistered_boundary	PASS	bounded to aggregate/frozen-grid wording	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/minimum_decision_grade_caution.md	MINIMUM_DECISION_GRADE_CAUTION	required_guard:No biological claim	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/minimum_decision_grade_caution.md	MINIMUM_DECISION_GRADE_CAUTION	required_guard:locked rule is unchanged	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/minimum_decision_grade_caution.md	MINIMUM_DECISION_GRADE_CAUTION	required_guard:no post-hoc	PASS	found	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/minimum_decision_grade_caution.md	MINIMUM_DECISION_GRADE_CAUTION	score_language_has_preregistered_boundary	PASS	bounded to aggregate/frozen-grid wording	PASS
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	required_guard:No biological claim	PASS	found	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	required_guard:locked rule is unchanged	PASS	found	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	required_guard:no post-hoc	FAIL	missing	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\bAUC\b	FAIL	forbidden metric language present	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\bHedges\b	PASS	absent	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\beffect[- ]size\b	FAIL	forbidden metric language present	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\bp[- ]?value\b	PASS	absent	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\bpermutation\b	PASS	absent	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\bconfidence interval\b	PASS	absent	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\bCI\b	PASS	absent	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\bvalidation (?:pass|fail|passed|failed)\b	PASS	absent	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\b(?:pass|fail|passed|failed) validation\b	FAIL	forbidden metric language present	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\bconsidered a pass\b	FAIL	forbidden metric language present	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\bconsidered a fail\b	PASS	absent	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\bshould (?:pass|fail)\b	PASS	absent	FAIL
analysis/v46_safe_wording_fixture_linter/fixtures/synthetic_bad_blocked_metric_leak.md	BLOCKED_REDACTION	forbidden_metric_language:\bclean validation claim\b	PASS	absent	FAIL
