dataset	comparison	feature_type	feature	n_case	n_control	mean_case	mean_control	delta	hedges_g	p	limitation
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	LAMP1	11	10	1561.9318181818182	1067.5049999999999	494.42681818181836	1.2033521099962023	0.009204111965665986	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	NAMPT	11	10	1456.1136363636363	543.26	912.8536363636363	0.9737767224608225	0.033517119787588485	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	IFI30	11	10	14518.663636363637	12793.25	1725.4136363636371	0.32650009774503314	0.4589231800412308	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	ASAH1	11	10	2672.7136363636364	1841.94	830.7736363636363	0.656002145753029	0.13014286763983915	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	TPP1	11	10	1278.1954545454546	823.4	454.7954545454546	1.5807538890589794	0.0013001855562002542	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	LIPA	11	10	3332.1454545454544	2456.2	875.9454545454546	0.5612288231297871	0.18805210888321566	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	IL1B	11	10	983.8136363636364	401.77000000000004	582.0436363636363	0.5500776120971662	0.19770799804873995	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	TNF	11	10	171.66363636363636	153.14000000000001	18.523636363636342	0.18118048622911725	0.6649302547060445	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	CXCL10	11	10	2098.5	303.6	1794.9	0.9045054282285641	0.046762307778872414	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	MSR1	11	10	51.39545454545455	27.76	23.635454545454547	0.6099510270391902	0.15516376811102847	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	MARCO	11	10	498.20000000000005	149.34	348.86	1.2947699321146444	0.005731922999326716	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	gene	MERTK	11	10	201.45454545454547	121.92999999999999	79.52454545454547	0.7800786486277653	0.07667775010962961	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	ACSL1	14	9	158.96071428571426	138.35555555555555	20.605158730158706	0.6050597837380061	0.12301075895320483	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	APOE	14	9	12.221428571428575	12.288888888888888	-0.06746031746031278	-0.0063925302648234926	0.9872819402916104	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	GPNMB	14	9	45.2642857142857	41.17777777777778	4.086507936507921	0.17887529119577406	0.6169386902959983	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	LPL	14	9	23.489285714285717	24.605555555555558	-1.1162698412698404	-0.1370922390616672	0.72907175631993	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	TREM2	14	9	7.700000000000001	7.300000000000001	0.40000000000000036	0.18067878591788022	0.6393157452492788	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	SPP1	14	9	27.08571428571429	20.511111111111113	6.574603174603176	0.24671607364985473	0.4815573688463499	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	PLIN2	14	9	366.3535714285714	364.55	1.803571428571388	0.020036464553319387	0.9643929306508215	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	CD36	14	9	15.807142857142859	19.366666666666667	-3.5595238095238084	-0.28361189507477197	0.5706599384221224	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	FABP5	14	9	218.38571428571427	102.84444444444445	115.54126984126982	1.1557337292250602	0.003583546022062597	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	C1QA	14	9	25.342857142857145	34.04444444444445	-8.701587301587306	-0.6312984324955502	0.13667964359726317	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	C1QB	14	9	18.864285714285717	23.422222222222224	-4.557936507936507	-0.30410427374271115	0.5089552480014825	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	CTSB	14	9	386.14642857142854	397.56111111111113	-11.414682539682588	-0.18334448191471792	0.6522687472350225	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	CTSD	14	9	89.63571428571429	114.72222222222223	-25.086507936507942	-0.7239239786381368	0.10092783891806359	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	LAMP1	14	9	780.2464285714285	890.1833333333334	-109.93690476190488	-0.9171182882794956	0.03405351518367988	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	NAMPT	14	9	132.0	117.90000000000002	14.09999999999998	0.5883764308216284	0.14315612920790866	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	IFI30	14	9	236.65714285714287	239.66666666666666	-3.0095238095237846	-0.023080112056324605	0.9635961153272438	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	ASAH1	14	9	331.9107142857143	358.68333333333334	-26.77261904761906	-0.3237400138005567	0.4276013313533408	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	TPP1	14	9	305.7964285714285	386.22777777777776	-80.43134920634924	-0.665405534989124	0.20740022317090037	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	LIPA	14	9	1067.064285714286	1070.5444444444447	-3.4801587301587915	-0.022285604362328338	0.9568544121753575	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	IL1B	14	9	77.62857142857142	69.88888888888889	7.7396825396825335	0.28535291394089013	0.4603126403067278	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	TNF	14	9	190.25000000000003	80.27777777777777	109.97222222222226	0.5142346364686526	0.14239985047764075	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	CXCL10	14	9	124.8142857142857	85.01111111111112	39.80317460317458	0.8671069500928035	0.021153315914411535	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	MSR1	14	9	12.567857142857145	9.416666666666666	3.1511904761904788	0.39366181666268696	0.3005438924762365	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	MARCO	14	9	7.485714285714287	7.788888888888888	-0.3031746031746012	-0.10400796263025984	0.8039696104363875	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	gene	MERTK	14	9	46.364285714285714	44.44444444444444	1.919841269841271	0.11971668183986066	0.7370269496543793	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	ACSL1	14	9	234.34642857142856	181.42222222222222	52.924206349206344	0.5779536307114552	0.11802323818793814	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	APOE	14	9	12.557142857142855	11.222222222222221	1.3349206349206337	0.14403730486153984	0.7002550467796758	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	GPNMB	14	9	50.48571428571428	39.93333333333334	10.552380952380943	0.4100832756415883	0.31214703799720456	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	LPL	14	9	34.63928571428571	36.04444444444445	-1.405158730158739	-0.11630215281773909	0.8001746931157792	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	TREM2	14	9	6.978571428571429	9.11111111111111	-2.132539682539682	-0.7920345288891628	0.12175847003940471	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	SPP1	14	9	30.535714285714285	33.86666666666667	-3.3309523809523824	-0.18119878209805398	0.659562998256384	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	PLIN2	14	9	181.04285714285717	159.10000000000002	21.94285714285715	0.504618491349855	0.19706261237715858	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	CD36	14	9	58.94285714285714	37.25555555555555	21.68730158730159	0.8115100215881472	0.03714506075281651	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	FABP5	14	9	500.1785714285715	226.9	273.27857142857147	0.9491855051647068	0.012688551457695795	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	C1QA	14	9	37.3	29.34444444444445	7.955555555555549	0.3827655348714401	0.3287628720328901	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	C1QB	14	9	22.392857142857146	23.27777777777778	-0.8849206349206327	-0.04528052433064591	0.9094518133728109	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	CTSB	14	9	213.05	223.2111111111111	-10.161111111111097	-0.1913582689315203	0.6263602167771433	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	CTSD	14	9	77.2	67.77777777777777	9.422222222222231	0.2889083011348183	0.4952712284179409	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	LAMP1	14	9	528.0392857142857	592.6	-64.56071428571431	-0.629029450307136	0.1423999535856589	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	NAMPT	14	9	199.30714285714288	132.68333333333334	66.62380952380954	0.803915157188067	0.030890215272953506	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	IFI30	14	9	3138.2285714285717	2242.8444444444444	895.3841269841273	0.7290164891343965	0.05288293268158903	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	ASAH1	14	9	520.6964285714286	494.9277777777777	25.768650793650863	0.15968023492679795	0.6997604712062486	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	TPP1	14	9	390.22142857142853	501.2444444444445	-111.02301587301599	-0.6243252902269919	0.204450752419306	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	LIPA	14	9	1043.8285714285714	1111.9555555555555	-68.1269841269841	-0.2362213024913806	0.5460599497945866	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	IL1B	14	9	98.125	86.6222222222222	11.502777777777794	0.3035533628010164	0.49128305823594887	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	TNF	14	9	80.33571428571429	116.92222222222222	-36.58650793650793	-0.6580206584959809	0.08224877926350514	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	CXCL10	14	9	117.21428571428571	103.24444444444445	13.969841269841254	0.2979487552987014	0.4398491925327378	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	MSR1	14	9	17.678571428571434	16.649999999999995	1.0285714285714391	0.11014604831025547	0.778103692954188	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	MARCO	14	9	9.15	11.544444444444444	-2.394444444444444	-0.5327919846000615	0.23226706816590512	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	gene	MERTK	14	9	45.464285714285715	49.711111111111116	-4.2468253968254	-0.23421169145028894	0.6093195161142795	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	ACSL1	10	4	749.32390825	565.9265427500001	183.39736549999998	0.876546080548978	0.23324177108458713	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	APOE	10	4	334.8061578	120.52697775	214.27918004999998	0.59064318511543	0.11896397660591176	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	GPNMB	10	4	1380.3763456000001	527.713915625	852.6624299750001	0.584007525674466	0.12480176436815853	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	LPL	10	4	197.5002943	145.992132625	51.508161675	0.3656510781674271	0.529854605927989	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	TREM2	10	4	120.07828950000001	25.931364249999998	94.14692525000001	0.6098124832523428	0.1092507727655961	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	SPP1	10	4	106.76142469999999	78.842192625	27.919232074999996	0.44225507956088184	0.4295539966809155	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	PLIN2	10	4	392.69558605	304.986625375	87.70896067499996	0.8259871797804524	0.12105996841486058	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	CD36	10	4	60.1538947	63.9701645	-3.8162698000000006	-0.10095551955253554	0.7770397130525956	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	FABP5	10	4	395.2121476	268.04178225	127.17036535	0.47916088967463194	0.20887755639115207	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	C1QA	10	4	451.6923632	269.550606	182.14175719999997	0.4461793445626906	0.25371168279566814	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	C1QB	10	4	674.4314177	265.07278425	409.35863345	0.5785751656338184	0.12676739626410122	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	C1QC	10	4	363.7148797	128.24915299999998	235.4657267	0.587575477853657	0.12078418004761626	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	CTSB	10	4	1202.9557865000002	1107.40139675	95.55438975000015	0.16301060401552417	0.677133343516304	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	CTSD	10	4	250.24549800000005	541.39582075	-291.15032274999993	-1.639977959528716	0.003959497511443583	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	LAMP1	10	4	641.8462873	1142.7174003750001	-500.87111307500015	-1.0506763408056423	0.05660050927932611	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	NAMPT	10	4	244.44333615	220.50467562500003	23.93866052499996	0.38991194210476593	0.4579545505145006	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	IFI30	10	4	1101.0912637	532.7473297500001	568.3439339499998	0.5511659211557631	0.1458585901006477	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	ASAH1	10	4	1185.7849299	1159.2028525	26.58207739999989	0.10546427172968703	0.7975538657864553	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	TPP1	10	4	313.66118785	256.516686125	57.144501725	0.46212326796166503	0.24553488083234098	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	LIPA	10	4	2528.4301226	644.8067932499999	1883.62332935	0.7855791723440977	0.047304054703607296	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	IL1B	10	4	57.153189650000016	34.27354325	22.879646400000013	0.8167641284277424	0.1870632114979898	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	TNF	10	4	25.358913100000002	13.42200675	11.936906350000003	0.6063253925607736	0.1744103132634156	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	CXCL10	10	4	984.9558254000001	63.1503445	921.8054809000001	1.1296233817272259	0.009130729937494007	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	MSR1	10	4	17.86165245	8.300442125	9.561210325000001	1.0412061972252031	0.014003479573472841	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	MARCO	10	4	110.7358674	44.92626824999999	65.80959915000001	0.5992824411904897	0.12959249918484914	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	gene	MERTK	10	4	33.76554270000001	29.72797525	4.037567450000012	0.26876793237050023	0.4628411438669725	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	ACSL1	2	4	621.64465	565.9265427500001	55.71810724999989	0.20375235202586828	0.7363986044925004	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	APOE	2	4	873.7626634999999	120.52697775	753.2356857499999	5.689285042858551	0.1193873206243052	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	GPNMB	2	4	3675.448518	527.713915625	3147.734602375	7.9648095369526475	0.06077723675646343	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	LPL	2	4	381.88096625	145.992132625	235.88883362499996	1.5361912220865088	0.10165272547172954	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	TREM2	2	4	329.2701265	25.931364249999998	303.33876225	2.748653587083232	0.2456696320456337	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	SPP1	2	4	137.1735685	78.842192625	58.33137587499999	0.998528091628577	0.11767513293761266	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	PLIN2	2	4	418.65216	304.986625375	113.66553462499996	1.033983366472067	0.3787610425234984	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	CD36	2	4	63.782522	63.9701645	-0.1876425000000026	-0.007954503871002716	0.9954237050192176	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	FABP5	2	4	767.2459105	268.04178225	499.20412825000005	6.31918309524529	0.015174396435147387	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	C1QA	2	4	1096.48444	269.550606	826.9338339999999	5.591815580875697	0.0017679752081278296	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	C1QB	2	4	1891.71057	265.07278425	1626.63778575	8.691887434816019	0.06461970514440524	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	C1QC	2	4	1000.9606945	128.24915299999998	872.7115415000001	4.612919387425556	0.14882827329737622	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	CTSB	2	4	2113.0573750000003	1107.40139675	1005.6559782500003	2.984594745570195	0.1329499065948106	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	CTSD	2	4	347.021469	541.39582075	-194.37435174999996	-1.1304098153347657	0.3940009677979646	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	LAMP1	2	4	377.08033475	1142.7174003750001	-765.6370656250001	-2.0876204123654105	0.01513798085026502	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	NAMPT	2	4	222.492981	220.50467562500003	1.9883053749999533	0.034146299221668695	0.9633315821826569	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	IFI30	2	4	2756.930545	532.7473297500001	2224.18321525	6.598254618983645	0.07981462739533368	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	ASAH1	2	4	1213.0778799999998	1159.2028525	53.87502749999976	0.4349452344548681	0.41583542392990824	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	TPP1	2	4	503.2317825	256.516686125	246.71509637500003	3.7837907181422974	0.09068738702894653	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	LIPA	2	4	6322.83057	644.8067932499999	5678.02377675	34.44376288451093	7.557394996161748e-05	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	IL1B	2	4	77.007348	34.27354325	42.73380474999999	1.0920058857983355	0.3815816659261232	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	TNF	2	4	46.665585500000006	13.42200675	33.243578750000005	1.5120495062147052	0.3558425365502983	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	CXCL10	2	4	1670.535159	63.1503445	1607.3848145	1.5617265031823333	0.398532473398992	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	gene	MSR1	2	4	28.3928585	8.300442125	20.092416375	12.362050675526525	1.823509526062866e-05	bulk minor salivary gland; cell-composition and inflammation confounding
