candidate	source	query	search_url	api_url	raw_file	status	count_or_signal	top_hits
SQLE	ClinicalTrials.gov	"(SQLE OR ""squalene epoxidase"")"	https://clinicaltrials.gov/search?term=%28SQLE+OR+%22squalene+epoxidase%22%29	https://clinicaltrials.gov/api/v2/studies?query.term=%28SQLE+OR+%22squalene+epoxidase%22%29&pageSize=5&format=json	results_v3/wave21_residual_candidate_prior_art/raw_api/clinicaltrials_SQLE.json	200	3	NCT07365423 | RECRUITING | Recurrent Prostate Cancer | Terbinafine for Biochemically Recurrent Prostate Cancer (TerbinaPro); NCT07148141 | ACTIVE_NOT_RECRUITING | Breast Cancer Female, Infertility, Female | Impact of Breast Cancer on Human Folliculogenesis; NCT04724044 | COMPLETED | Community-acquired Pneumonia, Sepsis, Inflammatory Response | Anti-inflammatory Action of Oral Clarithromycin in Community-acquired Pneumonia
SQLE	Google Patents	"(SQLE OR ""squalene epoxidase"") AND (autoimmune OR inflammation OR inhibitor OR antibody OR therapeutic)"	https://patents.google.com/?q=%28SQLE+OR+%22squalene+epoxidase%22%29+AND+%28autoimmune+OR+inflammation+OR+inhibitor+OR+antibody+OR+therapeutic%29	https://patents.google.com/?q=%28SQLE+OR+%22squalene+epoxidase%22%29+AND+%28autoimmune+OR+inflammation+OR+inhibitor+OR+antibody+OR+therapeutic%29	results_v3/wave21_residual_candidate_prior_art/raw_api/google_patents_SQLE.html	200	5	HTML saved; result-count not parsed
SQLE	ChEMBL	SQLE	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL3592/	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SQLE	results_v3/wave21_residual_candidate_prior_art/raw_api/chembl_target_SQLE.json	200	CHEMBL3592:100	CHEMBL5436 | Squalene epoxidase | Sus scrofa | SINGLE PROTEIN; CHEMBL4241 | Squalene monooxygenase | Rattus norvegicus | SINGLE PROTEIN; CHEMBL3592 | Squalene monooxygenase | Homo sapiens | SINGLE PROTEIN
SQLE	UniProt	(gene_exact:SQLE) AND (organism_id:9606)	https://www.uniprot.org/uniprotkb?query=%28gene_exact%3ASQLE%29+AND+%28organism_id%3A9606%29	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ASQLE%29+AND+%28organism_id%3A9606%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_transmem%2Cft_binding%2Cft_act_site&size=3	results_v3/wave21_residual_candidate_prior_art/raw_api/uniprot_SQLE.json	200	3	Q14534 | SQLE | Squalene monooxygenase; E7EVQ6 | SQLE | Squalene monooxygenase; H0YBN7 | SQLE | Squalene monooxygenase
LDLRAD3	PubMed	"(LDLRAD3[Title/Abstract] OR ""low density lipoprotein receptor class A domain containing 3""[Title/Abstract]) AND (autoimmune OR autoimmunity OR inflammation OR ""multiple sclerosis"" OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR rheumatoid)"	https://pubmed.ncbi.nlm.nih.gov/?term=%28LDLRAD3%5BTitle%2FAbstract%5D+OR+%22low+density+lipoprotein+receptor+class+A+domain+containing+3%22%5BTitle%2FAbstract%5D%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28LDLRAD3%5BTitle%2FAbstract%5D+OR+%22low+density+lipoprotein+receptor+class+A+domain+containing+3%22%5BTitle%2FAbstract%5D%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29&retmax=5&sort=relevance&retmode=json	results_v3/wave21_residual_candidate_prior_art/raw_api/pubmed_LDLRAD3.json	200	1	PMID:37752970
LDLRAD3	Europe PMC	"(LDLRAD3 OR ""low density lipoprotein receptor class A domain containing 3"") AND (autoimmune OR autoimmunity OR inflammation OR ""multiple sclerosis"" OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR rheumatoid)"	https://europepmc.org/search?query=%28LDLRAD3+OR+%22low+density+lipoprotein+receptor+class+A+domain+containing+3%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28LDLRAD3+OR+%22low+density+lipoprotein+receptor+class+A+domain+containing+3%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29&format=json&pageSize=5	results_v3/wave21_residual_candidate_prior_art/raw_api/europepmc_LDLRAD3.json	200	174	PMID:40733635;DOI:10.3390/v17071019 | 2025 | Viruses | Insights into the Landscape of Alphavirus Receptor and Antibody Interactions.; PMID:41600940;DOI:10.3390/vaccines14010023 | 2025 | Vaccines (Basel) | Venezuelan Equine Encephalitis Virus: Structural Biology, Vaccines, and Advances in Functional Antibodies.; PMID:42004740;DOI:10.1016/j.imj.2026.100249 | 2026 | Infect Med (Beijing) | Current status on encephalitic alphavirus vaccines development: Advances, challenges, and global health perspectives.; 2026 | Pathogens | Silent Intruders: The Gut Virome in Brain Aging and Cognitive Decline; PMID:41862693;DOI:10.1038/s44298-026-00186-5 | 2026 | Npj Viruses | Venezuelan equine encephalitis virus: novel live-attenuated vaccines for inducing complete protective immunity.
LDLRAD3	Europe PMC preprints	"(LDLRAD3 OR ""low density lipoprotein receptor class A domain containing 3"") AND (autoimmune OR autoimmunity OR inflammation OR ""multiple sclerosis"" OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR rheumatoid) AND SRC:PPR"	https://europepmc.org/search?query=%28LDLRAD3+OR+%22low+density+lipoprotein+receptor+class+A+domain+containing+3%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29+AND+SRC%3APPR	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28LDLRAD3+OR+%22low+density+lipoprotein+receptor+class+A+domain+containing+3%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29+AND+SRC%3APPR&format=json&pageSize=5	results_v3/wave21_residual_candidate_prior_art/raw_api/europepmc_preprint_LDLRAD3.json	200	1	DOI:10.1101/2025.08.04.25332125 | 2025 | PPR | Multi-omic triangulation identifies molecular candidates of atopic dermatitis severity
LDLRAD3	ClinicalTrials.gov	"(LDLRAD3 OR ""low density lipoprotein receptor class A domain containing 3"")"	https://clinicaltrials.gov/search?term=%28LDLRAD3+OR+%22low+density+lipoprotein+receptor+class+A+domain+containing+3%22%29	https://clinicaltrials.gov/api/v2/studies?query.term=%28LDLRAD3+OR+%22low+density+lipoprotein+receptor+class+A+domain+containing+3%22%29&pageSize=5&format=json	results_v3/wave21_residual_candidate_prior_art/raw_api/clinicaltrials_LDLRAD3.json	200	0	
LDLRAD3	Google Patents	"(LDLRAD3 OR ""low density lipoprotein receptor class A domain containing 3"") AND (autoimmune OR inflammation OR inhibitor OR antibody OR therapeutic)"	https://patents.google.com/?q=%28LDLRAD3+OR+%22low+density+lipoprotein+receptor+class+A+domain+containing+3%22%29+AND+%28autoimmune+OR+inflammation+OR+inhibitor+OR+antibody+OR+therapeutic%29	https://patents.google.com/?q=%28LDLRAD3+OR+%22low+density+lipoprotein+receptor+class+A+domain+containing+3%22%29+AND+%28autoimmune+OR+inflammation+OR+inhibitor+OR+antibody+OR+therapeutic%29	results_v3/wave21_residual_candidate_prior_art/raw_api/google_patents_LDLRAD3.html	200	5	HTML saved; result-count not parsed
LDLRAD3	ChEMBL	LDLRAD3	https://www.ebi.ac.uk/chembl/g/#search_results/targets/query=LDLRAD3	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=LDLRAD3	results_v3/wave21_residual_candidate_prior_art/raw_api/chembl_target_LDLRAD3.json	200	target_hits:0	
LDLRAD3	UniProt	(gene_exact:LDLRAD3) AND (organism_id:9606)	https://www.uniprot.org/uniprotkb?query=%28gene_exact%3ALDLRAD3%29+AND+%28organism_id%3A9606%29	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ALDLRAD3%29+AND+%28organism_id%3A9606%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_transmem%2Cft_binding%2Cft_act_site&size=3	results_v3/wave21_residual_candidate_prior_art/raw_api/uniprot_LDLRAD3.json	200	2	Q86YD5 | LDLRAD3 | Low-density lipoprotein receptor class A domain-containing protein 3; E9PR86 | LDLRAD3
IL15	PubMed	"(IL15[Title/Abstract] OR ""IL-15""[Title/Abstract] OR ""interleukin 15""[Title/Abstract]) AND (autoimmune OR autoimmunity OR inflammation OR ""multiple sclerosis"" OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR rheumatoid)"	https://pubmed.ncbi.nlm.nih.gov/?term=%28IL15%5BTitle%2FAbstract%5D+OR+%22IL-15%22%5BTitle%2FAbstract%5D+OR+%22interleukin+15%22%5BTitle%2FAbstract%5D%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28IL15%5BTitle%2FAbstract%5D+OR+%22IL-15%22%5BTitle%2FAbstract%5D+OR+%22interleukin+15%22%5BTitle%2FAbstract%5D%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29&retmax=5&sort=relevance&retmode=json	results_v3/wave21_residual_candidate_prior_art/raw_api/pubmed_IL15.json	200	2335	PMID:32017656; PMID:35173738; PMID:35606650; PMID:38172242; PMID:39604730
IL15	Europe PMC	"(IL15 OR ""IL-15"" OR ""interleukin 15"") AND (autoimmune OR autoimmunity OR inflammation OR ""multiple sclerosis"" OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR rheumatoid)"	https://europepmc.org/search?query=%28IL15+OR+%22IL-15%22+OR+%22interleukin+15%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL15+OR+%22IL-15%22+OR+%22interleukin+15%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29&format=json&pageSize=5	results_v3/wave21_residual_candidate_prior_art/raw_api/europepmc_IL15.json	200	38993	PMID:41107624;DOI:10.1007/s00011-025-02084-7 | 2025 | Inflamm Res | Interleukin 15 and autoimmune disorders: pathophysiology, therapeutic potential, and clinical implications.; PMID:41978157;DOI:10.3390/nu18071107 | 2026 | Nutrients | Effect of Probiotic and Synbiotic Oral Supplementation in Autoimmune Diseases: An Updated Systematic Review and Meta-Analysis of Randomized ; PMID:41257445;DOI:10.1080/07853890.2025.2587931 | 2025 | Ann Med | Chronic obstructive pulmonary disease (COPD) and autoimmune diseases: unravelling complex interactions.; PMID:41041077;DOI:10.7150/thno.121766 | 2025 | Theranostics | GM-CSF&lt;sup&gt;+&lt;/sup&gt; Th: a central player in autoimmunity.; PMID:41472521;DOI:10.1080/1744666x.2025.2611897 | 2026 | Expert Rev Clin Immunol | The role of interleukin-15 in the spectrum of inflammatory diseases.
IL15	Europe PMC preprints	"(IL15 OR ""IL-15"" OR ""interleukin 15"") AND (autoimmune OR autoimmunity OR inflammation OR ""multiple sclerosis"" OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR rheumatoid) AND SRC:PPR"	https://europepmc.org/search?query=%28IL15+OR+%22IL-15%22+OR+%22interleukin+15%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29+AND+SRC%3APPR	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL15+OR+%22IL-15%22+OR+%22interleukin+15%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29+AND+SRC%3APPR&format=json&pageSize=5	results_v3/wave21_residual_candidate_prior_art/raw_api/europepmc_preprint_IL15.json	200	476	DOI:10.21203/rs.3.rs-7272649/v1 | 2025 | PPR | Unveiling the miR-26b-3p/XAF1 Axis: A New Frontier in Systemic Lupus Erythematosus Inflammation Running Head: miR-26b-3p–XAF1 regulation in ; DOI:10.21203/rs.3.rs-9648114/v1 | 2026 | PPR | Critical Dynamics of Peripheral Immune Tolerance: A Treg-Tpex Antagonism Framework for Phase Transition and Immune State Stratification; DOI:10.64898/2026.05.07.723340 | 2026 | PPR | Nephrotoxicity of Immune Checkpoint Inhibitors in Mice with a Human Immune System; DOI:10.1101/2025.09.23.677874 | 2025 | PPR | Functional and dysfunctional T regulatory cell states in human tissues in RA and other autoimmune arthritic diseases; DOI:10.1101/2023.07.25.23293146 | 2023 | PPR | Plasma proteomic profiles of UK Biobank participants with Multiple Sclerosis
