candidate	gene	intervention_node	source_reason	wave63_score	wave63_call	gate_pass_count	failed_gates	manual_or_prior_blocker	ms_l2g	ms_relevant_qtl_h4	strong_l2g_disease_count	relevant_qtl_coloc_disease_count	wave55_genetic_disease_count	local_positive_disease_count	local_negative_disease_count	residual_retained_disease_count	strict_residual_disease_count	ms_expression_min_p	ms_expression_min_fdr	lipid_lysosomal_myeloid_neighborhood	real_perturbation	direct_selectivity_score	direct_target_suppression	foundation_model_support	efferocytosis_support	route_literature_support	chembl_activity_count	route_druggability	wave62_call	wave31_call	wave34_call	wave34a_call	wave57_call	wave61_call	gate_ms_target_resolved	gate_cross_disease_target_resolved	gate_broad_genetic_support	gate_module_or_state_support	gate_strict_residual_or_ms_expression	gate_real_perturbation_support	gate_foundation_model_support	gate_repair_or_efferocytosis_guardrail	gate_druggable_or_modality	gate_no_manual_or_prior_blocker	gate_not_generic_or_cytotoxic
CXCR2	CXCR2	CXCR2	foundation_model_reopener	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	5	ms_target_resolved;cross_disease_target_resolved;strict_residual_or_ms_expression;real_perturbation_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker	Chemokine recruitment route is not a demonstrated transition-controller and lacks V3 immune-cell selectivity.;generic/prior-art inflammatory target CXCR2;NO_GO_L1000_ONLY	0.0	0.0	0.0	1.0	5.0	3.0	0.0	0.0	0.0	0.3775250672864965	0.9141270983319502	False	False	6.07969555152332	0.0	True	False	False	0.0	2.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_L1000_ONLY_CONTROLLER	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		REOPEN_MODEL_SUPPORTED_INTERVENTION_FIRST	NO_GO_L1000_ONLY	False	False	True	True	False	False	True	False	True	False	True
MMEL1	MMEL1	MMEL1	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.8332656621932983	0.9565789491198184	2.0	3.0	4.0	1.0	2.0	0.0	0.0	1.0	1.0	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
RGS14	RGS14	RGS14	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.8030093312263489	0.9952074420704352	3.0	3.0	4.0	1.0	0.0	0.0	0.0	0.0463387063426136	0.8744776374054363	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
RMI2	RMI2	RMI2	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.7914115786552429	0.9780145044618388	2.0	5.0	3.0	0.0	0.0	0.0	0.0	0.9211488002094363	0.9894567607347324	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
ZC2HC1A	ZC2HC1A	ZC2HC1A	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.8042101263999939	0.940410224744996	2.0	1.0	2.0	0.0	1.0	0.0	0.0	0.4076457657420381	0.9175735237914778	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
CD86	CD86	CD86	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.9702414870262146	0.9982892957376484	1.0	5.0	1.0	0.0	0.0	0.0	0.0	0.8000892220307895	0.9754873976997136	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
CD5	CD5	CD5	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.9009516835212708	0.9970245508905228	1.0	5.0	1.0	0.0	0.0	0.0	0.0	0.5553125042665915	0.9394407560829112	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
CYP24A1	CYP24A1	CYP24A1	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.8928307294845581	0.9984951960317858	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
MAPK3	MAPK3	MAPK3	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.8696510791778564	0.9957851255480086	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0083994909993493	0.8344760564031432	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
BCL10	BCL10	BCL10	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.8693645596504211	0.9832271214830944	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.3599515170463142	0.9141270983319502	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
EVI5	EVI5	EVI5	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.8633472323417664	0.9394418403961422	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.7772798209915935	0.9737243919138366	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
AHI1	AHI1	AHI1	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.8092803955078125	0.9791449523035092	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.8703903228307871	0.9807046545060252	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
L3MBTL3	L3MBTL3	L3MBTL3	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.7917315363883972	0.946108611712631	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.1082111145320567	0.8989378106274888	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
SLC30A7	SLC30A7	SLC30A7	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.7069368958473206	0.9435398688903386	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.6779698130602541	0.9604606324595966	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
NADSYN1	NADSYN1	NADSYN1	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.6544780135154724	0.9441308970700886	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.1120612435266447	0.8989378106274888	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
SLC44A2	SLC44A2	SLC44A2	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.6169834136962891	0.9799395832547088	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.625406795080435	0.9496514626470688	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
IQCB1	IQCB1	IQCB1	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.6795490980148315	0.9081168999606112	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.3463087471729988	0.9141270983319502	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
GFI1	GFI1	GFI1	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.5791015028953552	0.952591978762989	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.3049385844032224	0.9075477698307116	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
SHMT1	SHMT1	SHMT1	wave62_parked_target_resolution	2.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;broad_genetic_support;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.5171698927879333	0.986888343720532	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.1554027787810876	0.8989378106274888	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				True	False	False	False	False	False	False	False	False	True	True
GPR65	GPR65	GPR65	wave62_parked_target_resolution	1.75	NO_GO_WAVE63_TRANSITION_CONTROLLER	4	cross_disease_target_resolved;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;no_manual_or_prior_blocker	prior_branch_blocker_or_directionality_unresolved;local module support weak, no rescue in foundation/perturbation gates, and IBD prior art crowds the route;NO_GO_WEAK_LOCAL_AND_PRIOR_ART	0.6238155364990234	0.982319288825745	2.0	1.0	5.0	1.0	2.0	0.0	0.0	0.6241465917972195	0.9490245393797272	False	False	0.0	0.0	False	False	False	99.0	0.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	PARK_GENETIC_SIGNAL_LOCAL_CELLSTATE_MISMATCH			True	False	True	False	False	False	False	False	True	False	True
SP140_TOP1_TOP2_RESCUE	SP140	TOP1_TOP2	Wave62 SP140 genetics plus published Crohn SP140-loss topoisomerase rescue route; tested here as transferability hypothesis only.	1.75	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker;not_generic_or_cytotoxic	topoisomerase_cytotoxicity_and_Crohn_genotype_specificity;genetic and state signal, but no correct-direction modality or direct perturbation validation;NO_GO_UNDRUGGABLE_CHROMATIN_CONTROLLER	0.8754889965057373	0.9868116204727	3.0	3.0	6.0	4.0	0.0	1.0	0.0	0.7262224269643743	0.9677805697088556	False	False	0.0	0.0	False	False	True	0.0	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_MODEL_SCREEN		True	False	True	True	False	False	False	False	False	False	False
IL2RA	IL2RA	IL2RA	wave62_parked_target_resolution	1.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	cross_disease_target_resolved;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker	CD25_IL2_axis_prior_art_directionality;prior_branch_blocker_or_directionality_unresolved;DEMOTE_PRIOR_ART_BLOCKED	0.8340961933135986	0.8424868378351196	5.0	2.0	10.0	0.0	0.0	0.0	0.0	0.3809924198671314	0.9141270983319502	False	False	0.0	0.0	False	False	False	0.0	0.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	DEMOTE_PRIOR_ART_BLOCKED			True	False	True	False	False	False	False	False	False	False	True
BACH2	BACH2	BACH2	wave62v_benchmark_or_module_control	1.0	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	ms_target_resolved;cross_disease_target_resolved;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality		0.0	0.0	3.0	2.0	10.0	1.0	0.0	0.0	0.0	0.2980719423940499	0.9075477698307116	False	False	0.0	0.0	False	False	False	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				False	False	True	False	False	False	False	False	False	True	True
IRF5	IRF5	IRF5	wave62v_benchmark_or_module_control	0.5	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	ms_target_resolved;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker	prior_art_or_crowded_TF_axis;prior_branch_blocker_or_directionality_unresolved;NO_GO_WAVE61_GUARDRAIL	0.0	0.0	7.0	7.0	10.0	0.0	0.0	0.0	0.0	0.5711412387155418	0.9431647247323408	False	True	0.0	0.0	False	False	False	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	PARK_PRIOR_ART_OR_CROWDING		NO_GO_WAVE61_GUARDRAIL	False	True	True	False	False	False	False	False	False	False	True
IL12A	IL12A	IL12A	wave62v_benchmark_or_module_control	0.5	NO_GO_WAVE63_TRANSITION_CONTROLLER	3	ms_target_resolved;module_or_state_support;strict_residual_or_ms_expression;real_perturbation_support;foundation_model_support;repair_or_efferocytosis_guardrail;druggable_or_modality;no_manual_or_prior_blocker	prior_art_IL12_IL23_biologic_class	0.8900686502456665	0.0	4.0	8.0	5.0	1.0	0.0	0.0	0.0	0.4432527767673943	0.9214560346888634	False	False	0.0	0.0	False	False	False	0.0	0.0	NO_GO_WAVE62_TARGET_RESOLUTION		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY				False	True	True	False	False	False	False	False	False	False	True
