claim_id	plain_language_statement	onboarding_status	evidence_role	controlling_artifacts	allowed_scope	forbidden_overread
G04	PTGER4 was closed as a simple shared MS-UC target because multiple signals and disease directions conflict.	CLOSED_DIRECTION	project_negative_established	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md;docs/reports/FINDINGS_REPORT_V37.md;docs/reports/THERAPEUTIC_PATH_V52.md	Use as the clearest example of druggability failing to rescue ambiguous causal direction.	Do not reopen it without signal-specific cell-type QTL and a favorable MS direction.
G05	GPR25 was demoted from an early favorite after denser immune-QTL and direction review.	CLOSED_EVIDENCE	project_negative_established	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md;docs/reports/FINDINGS_REPORT_V37.md	Show the project's willingness to reverse an attractive initial interpretation.	Do not erase that chr1 remains real biology or imply GPR25 was proven irrelevant.
D01	A coupled APC remodeling pattern recurs across the held data, linking HLA-II, IFN/APC, MIF/CD74-related state, IFN readout, and lysosomal processing.	SUPPORTED_CONTEXT	project_supported	docs/findings/DEEP_STRUCTURE_V26.md;docs/reports/FINDINGS_REPORT_V37.md	Present as a recurring mechanistic architecture useful for interpretation and assay design.	Do not present the axis, any component, or a multi-node combination as a validated target or successor rule.
D02	Adding coupled-axis features or flexible multifeature models did not improve the locked monitoring score.	NEGATIVE_ESTABLISHED	project_negative_established	analysis/v27_coupled_axis/v27_scalar_vs_coupled_metrics.tsv;docs/workups/treatment_response/ROBUSTNESS_MAP_V28.md	Explain that more complexity did not buy better validated performance in these small data.	Do not claim simplicity is always superior or no future model could improve with new data.
D03	The project could not validate a broad patient-level immune-state simulator from the held data.	NEGATIVE_ESTABLISHED	project_negative_established	docs/workups/treatment_response/MODEL_CARD_V25.md;docs/reports/FINDINGS_REPORT_V37.md	Explain that bounded directional priors remain possible, but patient prediction and unseen-pathway simulation are unsupported.	Do not describe all computational modeling as useless.
D04	Joint inference recovered the already-known APC and immune-tone structures but no unexpected held-out-validated signal.	CORPUS_BOUNDARY	project_grounded_method	docs/history/JOINT_INFERENCE_V41.md	State that zero of 22 unexpected candidates passed the joint recurrence-plus-holdout gate and the corpus-specific 95% upper bound was 0.127.	Do not call 0.127 a biological effect limit or claim all future public data and methods are exhausted.
D05	The rational discovery boundary is new data rather than more unconstrained mining of the same held corpus.	CORPUS_BOUNDARY	project_grounded_decision	docs/history/JOINT_INFERENCE_V41.md;docs/reports/THERAPEUTIC_PATH_V52.md	Frame this as a decision about the assembled corpus and gate, not a universal ban on computation.	Do not prevent targeted re-analysis, validation, or analysis of genuinely new public datasets.
P01	The held corpus has no usable longitudinal molecular-to-confirmed-disability dataset for progression.	DATA_BLOCKED	project_grounded_coverage	docs/history/V54_RUN_SUMMARY.md;docs/history/PROGRESSION_FRONTIER_V54.md	Lead the progression section with the missing design and distinguish a coverage boundary from a biological null.	Do not say no progression biology exists or that molecular states cannot predict progression.
P02	No V54 module became a portable progression-stage marker, and no candidate became a direction-resolved progression target.	NEGATIVE_ESTABLISHED	project_grounded_negative	docs/history/V54_RUN_SUMMARY.md;docs/history/PROGRESSION_FRONTIER_V54.md	State no progression biomarker, transition, mechanism, target, treatment effect, or means of halting MS was established.	Do not collapse no evidence under this design into evidence of absence.
P03	Relapsing-to-progressive transition was not identifiable in the seven audited datasets.	DATA_BLOCKED	project_grounded_coverage	docs/history/PROGRESSION_FRONTIER_V54.md;analysis/v54_transition_identifiability/REPORT.md	Explain the missing combination of repeated molecular state, changing stage, and repeated disability.	Do not label the transition biologically absent.
P04	The foamy OXPHOS and lysosomal morphology pattern was downgraded after global multiplicity and within-donor checks.	NEGATIVE_ESTABLISHED	project_grounded_negative	docs/history/V54_RUN_SUMMARY.md;analysis/v54_post_result_morphology_multiplicity/REPORT.md;analysis/v54_foamy_donor_estimand_audit/REPORT.md	Use as a concrete example of an initially interesting pattern becoming exploratory after harder controls.	Do not present lesion morphology as a progression mechanism or target.
P05	None of ten known packages qualifies for the complete P1 progression, P2 compartment, or P3 functional-direction role.	DATA_BLOCKED	project_grounded_coverage	docs/validation/PROGRESSION_COHORT_ROLE_MATRIX_V54.md;docs/history/V54_RUN_SUMMARY.md	Explain the three-step evidence path and why existing packages cannot substitute across roles.	Do not describe monitoring cohorts or postmortem morphology as longitudinal progression cohorts.
P06	The exact CD44/CXCR4 microglia score is a future progression candidate by identity only; progression prediction is untested.	LIVE_DATA_GATED	project_supported_identity_only	docs/validation/PROGRESSION_P1_CANDIDATE_STATE_HANDOFF_V54.md;docs/history/V54_RUN_SUMMARY.md	State that both genes and a compatible microglial compartment are required and that only score identity transfers.	Do not apply the score to PBMC, whole blood, bulk CSF, substitute genes, or old V53 thresholds.
C01	A CD44/CXCR4-high MS microglial state was reproduced in bounded analyses, but one discovery partition was strongly brain-bank sensitive.	SUPPORTED_BOUNDED	project_supported	docs/history/V53_RUN_SUMMARY.md;docs/validation/MS_MICROGLIA_SOURCE_BALANCE_ADDENDUM_V53.md	Explain the quality-qualified association and the need for a source-balanced donor replication.	Do not call it progression-specific, causal, localized across lesion contexts, or a target.
C02	Brain-bank or acquisition-source imbalance can mimic a disease signal when source and diagnosis are entangled.	SUPPORTED_METHOD	project_grounded_method	docs/history/V53_RUN_SUMMARY.md;docs/validation/MS_MICROGLIA_SOURCE_BALANCE_ADDENDUM_V53.md	Use the Cramer's V 0.773 and source-adjusted attenuation as the project's concrete confounding lesson.	Do not generalize that every brain-bank result is invalid or that adjustment always solves confounding.
E01	Project-grounded findings are rerunnable here; provisional findings have some internal support but still need decisive outside validation.	GOVERNANCE	project_governance	docs/knowledge/EPISTEMIC_CLASSES.md;docs/reports/FINDINGS_REPORT_V37.md	Explain evidence grades in plain language and always retain status labels next to claims.	Do not use provisional, supported, robust, and validated as synonyms.
E02	Outside-source knowledge is kept separate as context and never becomes project evidence merely by being cited.	GOVERNANCE	project_governance	docs/knowledge/EPISTEMIC_CLASSES.md;knowledge_external/INDEX.md	Point readers to the separate external index and explain that outside agreement can guide attention but cannot change a grounded result.	Do not import outside claims into onboarding as project findings or imply zero recorded contradictions means consensus.
E03	Claude, Gemini, and RPT can suggest questions or confusion points, but their output is not evidence.	GOVERNANCE	project_supported_method	docs/reports/FINDINGS_REPORT_V37.md;docs/history/V54_RUN_SUMMARY.md	Describe models as drafting and adversarial lenses whose concrete proposals require artifact or data checks.	Do not cite model confidence, agreement, or prose as a fact.
A01	The next clinically relevant test is a frozen external validation of the monitoring score on a correctly structured paired cohort.	NEXT_ACTION	project_operational	docs/reports/THERAPEUTIC_PATH_V52.md;docs/validation/PREREGISTRATION_V42.md	Explain that a pass, fail, or inconclusive result is interpreted under rules fixed before data access.	Do not imply that validation is guaranteed to pass or that one small cohort establishes clinical utility.
A02	The next progression test requires a microglia-compatible longitudinal package with repeated confirmed-disability data and provenance.	NEXT_ACTION	project_operational	docs/history/V54_RUN_SUMMARY.md;docs/validation/PROGRESSION_P1_CANDIDATE_STATE_HANDOFF_V54.md;docs/validation/outbound_requests/progression_p1_core_ready_to_send_V54.md	Explain exact required inputs and the no-proxy rule.	Do not substitute relapse, cross-sectional stage, lesion morphology, pharmacodynamics, PBMC, or another score after outcomes are visible.
A03	Seeded method simulations indicate that a very small monitoring-validation cohort may remain inconclusive unless the true effect is large and labels are clean.	SUPPORTED_METHOD	synthetic_method_only	docs/validation/POWER_MAP_V43.md	Use only to explain validation study design, uncertainty, and why effect-size confidence intervals remain useful after an inconclusive result.	Do not treat synthetic effects, power, or confounder settings as biological estimates about MS or as a guarantee about Gafson.
A04	The audited public-data search found no fresh ready-to-run primary monitoring-validation cohort; Gafson remains an access request and Karolinska requires response-label mapping.	DATA_BLOCKED	project_operational_coverage	docs/validation/ALT_COHORT_SCOUT_V44.md;docs/validation/KAROLINSKA_DMF_LABEL_REQUEST_V45.md	Explain verified access constraints and why parallel data requests reduce dependence on one cohort.	Do not claim no cohort exists anywhere, count unlabeled longitudinal data as validation-ready, or describe an unsent request as acquired data.
