gene	primary_gene	present_analysis_count	raw_positive_analysis_count	raw_positive_disease_count	raw_negative_analysis_count	raw_positive_analyses	retained_positive_test_count	retained_univariate_positive_test_count	retained_multivariable_positive_test_count	retained_positive_analysis_count	retained_positive_disease_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_analyses	top_retained_tests
TYK2	False	17	1	1	0	psoriasis_skin_apc:0.576,p=0.05	5	5	0	1	1	1	1	0		psoriasis_skin_apc|complement_phagocytosis:0.576,p=0.0038;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.572,p=0.007;psoriasis_skin_apc|lipid_loader_repair:0.474,p=0.009;psoriasis_skin_apc|mif_cd74_receptor_state:0.488,p=0.029;psoriasis_skin_apc|lysosomal_apc:0.581,p=0.046
CTSS	False	17	2	2	0	ibd_uc_myeloid:0.584,p=0.0018;ibd_crohn_myeloid:0.374,p=0.018	9	9	0	2	2	0	0	0		ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.444,p=0.00022;ibd_crohn_myeloid|complement_phagocytosis:0.45,p=0.00049;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.551,p=0.0052;ibd_crohn_myeloid|hla_ii_apc:0.289,p=0.0052;ibd_uc_myeloid|lipid_loader_repair:0.313,p=0.011;ibd_crohn_myeloid|complement_effector:0.233,p=0.012;ibd_uc_myeloid|hla_ii_apc:0.395,p=0.018;ibd_uc_myeloid|complement_phagocytosis:0.481,p=0.021;ibd_crohn_myeloid|lipid_loader_repair:0.254,p=0.038
IL2RG	False	17	2	2	0	ibd_uc_myeloid:0.53,p=0.0001;ibd_crohn_myeloid:0.495,p=0.018	13	12	1	2	2	0	0	0		ibd_uc_myeloid|hla_ii_apc:0.429,p=0.0019;ibd_uc_myeloid|lipid_loader_repair:0.389,p=0.0038;ibd_crohn_myeloid|hla_ii_apc:0.533,p=0.0041;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.41,p=0.0045;ibd_crohn_myeloid|core_lysosomal_lipid:0.404,p=0.014;ibd_uc_myeloid|complement_phagocytosis:0.335,p=0.017;ibd_uc_myeloid|complement_effector:0.308,p=0.022;ibd_crohn_myeloid|complement_effector:0.48,p=0.023;ibd_crohn_myeloid|mif_cd74_receptor_state:0.479,p=0.024;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.419,p=0.026
JAK1	False	17	3	2	0	ibd_uc_myeloid:0.574,p=0.00038;ibd_uc_epithelial:0.329,p=0.019;ibd_crohn_myeloid:0.285,p=0.031	12	11	1	3	2	0	0	0		ibd_uc_myeloid|c1q_phagocytic_myeloid:0.491,p=0.0032;ibd_uc_myeloid|hla_ii_apc:0.435,p=0.0036;ibd_uc_myeloid|lipid_loader_repair:0.391,p=0.0083;ibd_uc_epithelial|lipid_loader_repair:0.352,p=0.0086;ibd_uc_epithelial|complement_phagocytosis:0.319,p=0.016;ibd_uc_epithelial|lysosomal_apc:0.315,p=0.017;ibd_uc_myeloid|complement_phagocytosis:0.4,p=0.017;ibd_uc_epithelial|core_lysosomal_lipid:0.31,p=0.019;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.288,p=0.029;ibd_crohn_myeloid|complement_phagocytosis:0.279,p=0.035
CD300E	False	17	2	2	0	ibd_crohn_myeloid:0.879,p=0.012;ibd_uc_myeloid:2.41,p=0.03	8	7	1	1	1	0	0	0		ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.752,p=0.014;ibd_crohn_myeloid|complement_effector:0.697,p=0.016;ibd_crohn_myeloid|hla_ii_apc:0.812,p=0.017;ibd_crohn_myeloid|lipid_loader_repair:0.796,p=0.024;ibd_crohn_myeloid|complement_phagocytosis:0.685,p=0.025;ibd_crohn_myeloid|core_lysosomal_lipid:0.538,p=0.03;ibd_crohn_myeloid|mif_cd74_receptor_state:0.642,p=0.04;ibd_crohn_myeloid|lysosomal_apc:0.534,p=0.046
CXCL9	False	17	1	1	0	ibd_crohn_myeloid:0.586,p=0.034	6	6	0	1	1	0	0	0		ibd_crohn_myeloid|inflammatory_nfkb:0.63,p=0.019;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.606,p=0.027;ibd_crohn_myeloid|lipid_loader_repair:0.604,p=0.027;ibd_crohn_myeloid|hla_ii_apc:0.466,p=0.029;ibd_crohn_myeloid|complement_phagocytosis:0.58,p=0.036;ibd_crohn_myeloid|hif_nampt_metabolic:0.558,p=0.045
IFI30	False	17	1	1	0	ibd_uc_myeloid:0.765,p=0.036	1	1	0	1	1	0	0	0		ibd_uc_myeloid|c1q_phagocytic_myeloid:0.764,p=0.037
IRF1	False	17	2	1	0	ibd_crohn_myeloid:0.635,p=0.0037;ibd_crohn_epithelial:0.348,p=0.0092	12	11	1	2	1	0	0	0		ibd_crohn_myeloid|lipid_loader_repair:0.662,p=0.0018;ibd_crohn_myeloid|hla_ii_apc:0.623,p=0.0047;ibd_crohn_myeloid|core_lysosomal_lipid:0.581,p=0.0073;ibd_crohn_myeloid|complement_effector:0.599,p=0.0076;ibd_crohn_myeloid|lysosomal_apc:0.578,p=0.011;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.498,p=0.011;ibd_crohn_epithelial|lysosomal_apc:0.33,p=0.013;ibd_crohn_myeloid|mif_cd74_receptor_state:0.552,p=0.015;ibd_crohn_epithelial|complement_phagocytosis:0.295,p=0.017;ibd_crohn_myeloid|complement_phagocytosis:0.427,p=0.028
JAK2	False	17	1	1	0	ibd_crohn_myeloid:0.565,p=0.03	4	4	0	1	1	0	0	0		ibd_crohn_myeloid|hla_ii_apc:0.483,p=0.028;ibd_crohn_myeloid|lipid_loader_repair:0.535,p=0.038;ibd_crohn_myeloid|complement_effector:0.422,p=0.04;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.518,p=0.043
LAMP3	False	17	1	1	0	ibd_crohn_myeloid:0.751,p=0.014	8	7	1	1	1	0	0	0		ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.612,p=0.013;ibd_crohn_myeloid|hla_ii_apc:0.719,p=0.017;ibd_crohn_myeloid|lipid_loader_repair:0.717,p=0.018;ibd_crohn_myeloid|complement_effector:0.653,p=0.02;ibd_crohn_myeloid|complement_phagocytosis:0.535,p=0.026;ibd_crohn_myeloid|core_lysosomal_lipid:0.525,p=0.028;ibd_crohn_myeloid|mif_cd74_receptor_state:0.608,p=0.035;ibd_crohn_myeloid|lysosomal_apc:0.521,p=0.042
TYROBP	False	17	1	1	0	ibd_uc_myeloid:0.399,p=0.0041	4	4	0	1	1	0	0	0		ibd_uc_myeloid|c1q_phagocytic_myeloid:0.374,p=0.0097;ibd_uc_myeloid|hla_ii_apc:0.274,p=0.024;ibd_uc_myeloid|lipid_loader_repair:0.301,p=0.028;ibd_uc_myeloid|complement_phagocytosis:0.316,p=0.035
APOC1	False	17	0	0	2		0	0	0	0	0	0	0	0		
BIRC3	False	17	0	0	0		0	0	0	0	0	0	0	0		
CD300A	False	17	0	0	0		0	0	0	0	0	0	0	0		
CD300F	False	0	0	0	0		0	0	0	0	0	0	0	0		
FABP5	False	17	0	0	2		0	0	0	0	0	0	0	0		
LGALS3	False	17	0	0	5		0	0	0	0	0	0	0	0		
MERTK	False	17	0	0	1		0	0	0	0	0	0	0	0		
MSR1	False	17	0	0	1		0	0	0	0	0	0	0	0		
NR1H3	False	17	0	0	0		0	0	0	0	0	0	0	0		
PIKFYVE	False	17	0	0	0		0	0	0	0	0	0	0	0		
PPARG	False	17	0	0	1		0	0	0	0	0	0	0	0		
SCARB2	False	17	0	0	0		0	0	0	0	0	0	0	0		
TFE3	False	17	0	0	0		0	0	0	0	0	0	0	0		
TFEB	False	17	0	0	0		0	0	0	0	0	0	0	0		
TREM2	False	17	0	0	0		0	0	0	0	0	0	0	0		
