scenario	step_order	state	description	score_read_allowed	report_state_allowed	path
schema_blocked	2	TERMS_ALLOWED	data-use terms permit the selected aggregate route	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_BLOCK;REPAIR_REQUEST_READY
schema_blocked	3	FORMAT_CANONICAL	canonical aggregate files/columns identified	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_BLOCK;REPAIR_REQUEST_READY
schema_blocked	4	COMPLETENESS_PASS	redaction and required-output completeness gate passed	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_BLOCK;REPAIR_REQUEST_READY
schema_blocked	5	SCHEMA_BLOCK	aggregate schema validation blocked	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_BLOCK;REPAIR_REQUEST_READY
schema_blocked	6	REPAIR_REQUEST_READY	repair request can be drafted; no result interpretation	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_BLOCK;REPAIR_REQUEST_READY
labels_below_floor	1	RECEIVED	package receipt logged; no package content interpreted	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_BLOCKED;SAFE_CLASS_BLOCKED;RESTRICTED_LANGUAGE_READY
labels_below_floor	2	TERMS_ALLOWED	data-use terms permit the selected aggregate route	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_BLOCKED;SAFE_CLASS_BLOCKED;RESTRICTED_LANGUAGE_READY
labels_below_floor	3	FORMAT_CANONICAL	canonical aggregate files/columns identified	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_BLOCKED;SAFE_CLASS_BLOCKED;RESTRICTED_LANGUAGE_READY
labels_below_floor	4	COMPLETENESS_PASS	redaction and required-output completeness gate passed	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_BLOCKED;SAFE_CLASS_BLOCKED;RESTRICTED_LANGUAGE_READY
labels_below_floor	5	SCHEMA_PASS	aggregate schema validation passed	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_BLOCKED;SAFE_CLASS_BLOCKED;RESTRICTED_LANGUAGE_READY
labels_below_floor	6	LABELS_BLOCKED	response-label coverage blocks or severely restricts interpretation	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_BLOCKED;SAFE_CLASS_BLOCKED;RESTRICTED_LANGUAGE_READY
labels_below_floor	7	SAFE_CLASS_BLOCKED	safe-interpretation classifier emitted a blocked/restricted class	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_BLOCKED;SAFE_CLASS_BLOCKED;RESTRICTED_LANGUAGE_READY
labels_below_floor	8	RESTRICTED_LANGUAGE_READY	blocked/restricted report language only; no score interpretation	false	true	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_BLOCKED;SAFE_CLASS_BLOCKED;RESTRICTED_LANGUAGE_READY
batch_or_confounder_caution	1	RECEIVED	package receipt logged; no package content interpreted	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY_WITH_CAUTION
batch_or_confounder_caution	2	TERMS_ALLOWED	data-use terms permit the selected aggregate route	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY_WITH_CAUTION
batch_or_confounder_caution	3	FORMAT_CANONICAL	canonical aggregate files/columns identified	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY_WITH_CAUTION
batch_or_confounder_caution	4	COMPLETENESS_PASS	redaction and required-output completeness gate passed	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY_WITH_CAUTION
batch_or_confounder_caution	5	SCHEMA_PASS	aggregate schema validation passed	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY_WITH_CAUTION
batch_or_confounder_caution	6	LABELS_CLASSIFIED	analyzable-pair and response-label coverage classified	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY_WITH_CAUTION
batch_or_confounder_caution	7	SAFE_CLASS_ASSIGNED	V46 safe-interpretation class assigned	false	false	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY_WITH_CAUTION
batch_or_confounder_caution	8	REPORT_READY_WITH_CAUTION	result report may use only caution-bounded safe-class language	true	true	RECEIVED;TERMS_ALLOWED;FORMAT_CANONICAL;COMPLETENESS_PASS;SCHEMA_PASS;LABELS_CLASSIFIED;SAFE_CLASS_ASSIGNED;REPORT_READY_WITH_CAUTION
