claim_id	status	n_reader_documents	reader_documents	n_controlling_artifacts	plain_language_statement
G03	CLOSED_DIRECTION	26	CASE_STUDY_GENETICS_REVERSALS.md;CASE_STUDY_LEARNING_PATH.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md	2	The chr1 KIF21B/GPR25 region appears biologically real, but causal-gene uncertainty and restoration or up-function direction make it therapeutically hard.
G04	CLOSED_DIRECTION	25	CASE_STUDY_GENETICS_REVERSALS.md;CASE_STUDY_LEARNING_PATH.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md	3	PTGER4 was closed as a simple shared MS-UC target because multiple signals and disease directions conflict.
G05	CLOSED_EVIDENCE	23	CASE_STUDY_GENETICS_REVERSALS.md;CASE_STUDY_LEARNING_PATH.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md	2	GPR25 was demoted from an early favorite after denser immune-QTL and direction review.
M01	LIVE_PROVISIONAL	27	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_MONITOR_VS_TARGET.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_WORKSHOP_GUIDE.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;README.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md	2	The bounded APC/HLA-II early-treatment score is the project's one live clinical lead.
M02	LIVE_PROVISIONAL	16	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_MONITOR_VS_TARGET.md;CONTRIBUTE_A_DATA_SOURCE.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md	2	The locked score produced mixed results across therapies and cohorts.
M03	SUPPORTED_METHOD	21	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_MONITOR_VS_TARGET.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md	1	Within its bounded 19-person evidence set, the simple locked score outperformed more flexible alternatives and survived several statistical stress tests.
M04	SUPPORTED_BOUNDED	22	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_MONITOR_VS_TARGET.md;COLLABORATOR_BRIEF_V55.md;CONFOUND_CHECK_QUICK_REFERENCE.md;CONTRIBUTE_A_DATA_SOURCE.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md	1	The monitoring signal is not explained by the tested steroid-response or simple cell-composition signatures, but broader immune tone attenuates it.
M05	SUPPORTED_BOUNDARY	27	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_MONITOR_VS_TARGET.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_ROUTES.md;COLLABORATOR_WORKSHOP_GUIDE.md;CONTRIBUTE_A_DATA_SOURCE.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_CONTRIBUTE_IDEAS.md;HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;PUBLIC_ISSUE_EXAMPLES.md;QUESTION_STARTERS_BY_DISCIPLINE.md;README.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md	2	A monitoring signal can report whether biology is changing after treatment without identifying what drug target should be changed.
P01	DATA_BLOCKED	24	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;REVIEW_RESPONSE_TEMPLATES.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md	2	The held corpus has no usable longitudinal molecular-to-confirmed-disability dataset for progression.
P02	NEGATIVE_ESTABLISHED	23	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;COLLABORATOR_WORKSHOP_GUIDE.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;README.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md	2	No V54 module became a portable progression-stage marker, and no candidate became a direction-resolved progression target.
P03	DATA_BLOCKED	23	CASE_STUDY_LEARNING_PATH.md;CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md;CHALLENGE_THE_PROJECT.md;COLLABORATOR_BRIEF_V55.md;CONTRIBUTE_A_DATA_SOURCE.md;DATA_THAT_WOULD_CHANGE_THE_ANSWER.md;FAILURE_MODE_ATLAS.md;FAQ.md;FIRST_IDEA_IN_TEN_MINUTES.md;GLOSSARY.md;HOW_TO_READ_NULLS_AND_BOUNDARIES.md;IDEA_TRANSFORMATIONS.md;KNOWN_NON_SOLUTIONS.md;LEAD_STATUS_CARDS.md;MS_RESEARCH_EXPLAINED.md;MYTHS_AND_ACTUAL_FINDINGS.md;OPEN_PROBLEMS_FOR_COLLABORATORS.md;QUESTION_STARTERS_BY_DISCIPLINE.md;REPOSITORY_TOUR.md;RESEARCH_EVOLUTION_TIMELINE.md;STATUS_DECODER.md;VISUAL_INDEX.md;WHAT_HAPPENS_TO_YOUR_IDEA.md	2	Relapsing-to-progressive transition was not identifiable in the seven audited datasets.
