snp	SNP.PP.H4.row1	SNP.PP.H4.row2	SNP.PP.H4.row3	SNP.PP.H4.row4
rs6678702	0	0	0	8.90057338971521e-27
rs6665979	0	0	0	1.70327834021003e-26
rs10753879	0	0	0	8.14364698773433e-27
rs4489589	0	0	0	3.0692006845246e-27
rs4297330	0	0	0	1.35787680019852e-26
rs10920000	0	0	0	1.98708727121802e-31
rs4403654	0	0	0	4.46185704713804e-29
rs10920001	0	0	0	1.68532532716495e-31
rs6682744	0	0	0	1.61341655032746e-26
rs6427840	0	0	0	2.26851039597592e-30
rs11581339	0	0	0	1.50089812032328e-28
rs7542840	0	0	0	1.69436045517412e-30
rs7520407	0	0	0	2.67340479032327e-28
rs7535824	0	0	0	3.05775067398747e-25
rs7524010	0	0	0	3.20373586284183e-31
rs7524025	0	0	0	8.9302008275564e-31
rs7548530	0	0	0	3.27711398093522e-35
rs7526136	0	0	0	8.08039324199057e-31
rs7526265	0	0	0	9.32819275816607e-31
rs7526365	0	0	0	1.44785320915562e-30
rs7526367	0	0	0	4.08037344429288e-30
rs7526482	0	0	0	2.16932486064379e-30
rs7526853	0	0	0	2.05653831015912e-30
rs61825137	0	0	0	1.9685608126075e-30
rs61825138	0	0	0	4.86594064548619e-30
rs66977329	0	0	0	6.79614253543185e-25
rs10920005	0	0	0	5.72405773070961e-36
rs10920006	0	0	0	1.86252949155272e-31
rs10920007	0	0	0	4.08567533928574e-36
rs4915451	0	0	0	5.29235863018958e-19
rs7545177	0	0	0	1.3603020166049e-30
rs6427844	0	0	0	1.1944293534368e-19
rs7539646	0	0	0	1.27206238959774e-30
rs7519383	0	0	0	1.33425214714237e-30
rs1540683	0	0	0	4.36333582552055e-19
rs7542210	0	0	0	3.00208921940462e-30
rs1540682	0	0	0	8.63309270098255e-20
rs7542396	0	0	0	6.15707942280804e-22
rs12141497	0	0	0	9.57269034154654e-31
rs12126708	0	0	0	1.00775529221121e-30
rs12076946	0	0	0	3.59812501012722e-29
rs10920008	0	0	0	1.14131893348125e-30
rs7526031	0	0	0	2.0031550337401e-30
rs35656526	0	0	0	1.51345230874335e-31
rs12042992	0	0	0	3.68299633906403e-32
rs6427846	0	0	0	1.14989750352968e-36
rs6427847	0	0	0	1.40447709307472e-31
rs6427848	0	0	0	2.51422070619546e-31
rs6427849	0	0	0	1.2101120993768e-30
rs56949003	0	0	0	2.57553111402561e-32
rs57068399	0	0	0	1.37642309253046e-32
rs9628674	0	0	0	1.23120666061268e-32
rs6427850	0	0	0	9.05342245564502e-37
rs7535122	0	0	0	6.11311919789634e-36
rs7512898	0	0	0	9.41869631825362e-37
rs6684083	0	0	0	1.72021139422979e-31
rs6427851	0	0	0	1.20282379374088e-31
rs35659516	0	0	0	8.82489736862584e-36
rs6427852	0	0	0	1.64258607898633e-36
rs4915452	0	0	0	1.06709572202369e-32
rs7534184	0	0	0	1.68577819707115e-37
rs12137256	0	0	0	1.01058045141323e-32
rs7530159	0	0	0	5.15856901271018e-33
rs4539164	0	0	0	1.52162021123991e-36
rs12239970	0	0	0	3.10213086112892e-30
rs12748718	0	0	0	4.97598440380678e-35
rs731078	0	0	0	1.05357470624709e-36
rs12730151	0	0	0	6.96530483561166e-35
rs6675463	0	0	0	6.76719825786875e-30
rs7544548	0	0	0	1.33994152243023e-36
rs35247298	0	0	0	7.64726652287191e-32
rs10920010	0	0	0	1.48161399210173e-36
rs10920011	0	0	0	3.44673215770831e-36
rs6664413	0	0	0	7.33358449663487e-37
rs2364685	0	0	0	6.75294817615066e-37
rs7554325	0	0	0	8.215044047026e-37
rs7542613	0	0	0	8.1714578850601e-37
rs7542683	0	0	0	8.07359782638112e-37
rs7520106	0	0	0	1.08183842925069e-36
rs7554612	0	0	0	1.05442685840872e-36
rs10920013	0	0	0	8.397034978029e-30
rs7545387	0	0	0	8.5207923112812e-37
rs7548289	0	0	0	8.93181540558084e-37
rs7515230	0	0	0	2.26908273607407e-21
rs7515329	0	0	0	8.7150266977342e-37
rs7548907	0	0	0	8.57752982627967e-37
rs7526297	0	0	0	8.90772401409569e-37
rs10800725	0	0	0	2.42322398159467e-21
rs10800726	0	0	0	8.98068154721451e-37
rs10800727	0	0	0	9.16524280776435e-37
rs10800728	0	0	0	7.71761025956597e-37
rs55783905	0	0	0	2.63519486685342e-33
rs12047681	0	0	0	6.01045320204273e-37
rs7518368	0	0	0	3.07128977642765e-35
rs12126250	0	0	0	1.88904439033134e-33
rs10800729	0	0	0	7.29844741952469e-37
rs7512279	0	0	0	6.95846859390708e-37
rs12025389	0	0	0	0.0180959000197197
rs10494820	0	0	0	0.0645152187387857
rs10449265	0	0	0	1.62204941829069e-13
rs12070749	0	0	0	3.26344122711352e-30
rs10494819	0	0	0	0.207762180579196
rs7516821	0	0	0	0.262919403055927
rs7550125	0	0	0	0.446707297586818
rs12130226	0	0	0	3.2904080885849e-33
rs12145140	0	0	0	1.09542409333747e-14
rs10800730	0	0	0	5.44358037607031e-30
rs10920017	0	0	0	1.23401338893141e-29
rs7517998	0	0	0	2.19228849972219e-34
rs4915456	0	0	0	7.36721747026058e-13
rs12029036	0	0	0	1.82878965432878e-32
rs7529518	0	0	0	7.9690615561385e-31
rs12088680	0	0	0	2.78479946456436e-30
rs10920018	0	0	0	5.60979085537285e-33
rs7548165	0	0	0	2.92241594859693e-30
rs7523261	0	0	0	9.33815641771832e-33
rs6427854	0	0	0	7.25517458384424e-33
rs6656966	0	0	0	1.06543749201317e-32
rs6427855	0	0	0	1.99296057583133e-36
rs10800731	0	0	0	1.32847927824201e-30
rs4382754	0	0	0	9.6067081418806e-33
rs12039516	0	0	0	2.00308040541155e-32
rs6660092	0	0	0	3.38348274261121e-30
rs12038475	0	0	0	6.97623440820588e-32
rs10800733	0	0	0	1.43129246122523e-30
rs12043133	0	0	0	2.13386269523004e-36
rs11809578	0	0	0	4.08830363103725e-30
rs17694768	0	0	0	1.07155686503199e-32
rs11810437	0	0	0	2.20717210282075e-30
rs12093247	0	0	0	1.92692816024112e-30
rs2047148	0	0	0	1.43723542931276e-32
rs55735825	0	0	0	1.24327459583761e-30
rs2047147	0	0	0	1.36381592544135e-32
rs10920027	0	0	0	8.9469647138368e-31
rs6658395	0	0	0	2.19668060140762e-36
rs12037469	0	0	0	1.51955196075896e-30
rs12081920	0	0	0	1.74284359451855e-30
rs12039314	0	0	0	2.08631309399092e-30
rs7538416	0	0	0	5.11619031129777e-30
rs35369655	0	0	0	6.49293293144789e-33
rs12087381	0	0	0	2.5109820356661e-30
rs10920032	0	0	0	9.430754013626e-33
rs12410302	0	0	0	2.02864135183046e-30
rs10920033	0	0	0	4.03965472292826e-30
rs1963261	0	0	0	1.90583541656017e-30
rs12022671	0	0	0	1.97991339020368e-30
rs2029750	0	0	0	3.79373307532115e-30
rs10800735	0	0	0	2.69036622826287e-31
rs4915458	0	0	0	1.272660083222e-32
rs11800187	0	0	0	6.17665640318788e-31
rs12048165	0	0	0	1.21390675427031e-30
rs12023677	0	0	0	1.21390675427031e-30
rs7552353	0	0	0	5.66685723808935e-31
rs7552653	0	0	0	8.29969141316418e-31
rs10800737	0	0	0	2.0654561500928e-12
rs10920034	0	0	0	1.80375346278358e-30
rs6675265	0	0	0	2.73375397472543e-30
rs7528217	0	0	0	3.35663665948424e-36
rs10920036	0	0	0	8.03366127222475e-30
rs7538023	0	0	0	4.06536812228162e-27
rs10920040	0	0	0	6.31798281759906e-30
rs10753883	0	0	0	5.4377820496123e-30
rs10800742	0	0	0	2.13200361848265e-29
rs12567434	0	0	0	4.47610415941114e-30
rs11803934	0	0	0	5.70252123337676e-30
rs6690988	0	0	0	7.75366474253234e-36
rs10920043	0	0	0	4.03349366569428e-31
rs7547000	0	0	0	1.56631401080797e-12
rs6697037	0	0	0	4.72444080697392e-30
rs6661661	0	0	0	5.47986006015508e-30
rs4915209	0	0	0	6.57162829757742e-33
rs1874080	0	0	0	3.5474283391268e-33
rs41304544	0	0	0	6.53771191134572e-30
rs10753884	0	0	0	6.29158182617826e-33
rs6659127	0	0	0	2.60362561671332e-36
rs55959343	0	0	0	5.12827904346257e-30
rs10920045	0	0	0	8.01523749427108e-33
rs6664990	0	0	0	5.1064995092199e-30
rs60302916	0	0	0	4.38924326404147e-30
rs57610035	0	0	0	4.17931859066163e-30
rs4417100	0	0	0	4.3857534760605e-30
rs6691977	0	0	0	2.49158880285815e-36
rs10920052	0	0	0	8.26357945415836e-36
rs145759918	0	0	0	2.9562883809259e-34
rs61825260	0	0	0	2.39546567440871e-27
rs7520696	0	0	0	1.72936981745453e-36
rs7514015	0	0	0	5.59427062389129e-12
rs10920054	0	0	0	5.60143560202044e-12
rs7533782	0	0	0	7.09391894112846e-36
rs7511678	0	0	0	1.78093944217173e-36
rs72746883	0	0	0	2.27736537397657e-30
rs12034099	0	0	0	4.18165262616211e-34
rs6427862	0	0	0	7.23446395377226e-31
rs7552536	0	0	0	1.00804029213223e-32
rs7522087	0	0	0	1.81823201144877e-12
rs7532914	0	0	0	4.67510831254307e-31
rs6668056	0	0	0	8.56078490686065e-23
rs61825263	0	0	0	9.17777386044344e-36
rs3738250	0	0	0	6.03070431319023e-31
rs3738251	0	0	0	3.42083862884081e-31
rs2292097	0	0	0	2.59887179556243e-31
rs6702767	0	0	0	1.58021458882137e-27
rs58750613	0	0	0	1.28947102903785e-31
rs1983084	0	0	0	1.35813870592666e-31
rs12565385	0	0	0	7.31038194239068e-32
rs4319373	0	0	0	2.18371270151284e-37
rs12401718	0	0	0	5.22627908401686e-32
rs11806338	0	0	0	2.07447790053024e-31
rs11799920	0	0	0	1.93779071798444e-31
rs10800745	0	0	0	4.52677422350124e-31
rs7519444	0	0	0	1.14513331701063e-31
rs112680734	0	0	0	4.50735719302599e-34
rs10920058	0	0	0	1.09907388113718e-30
rs10920059	0	0	0	1.51624419177208e-30
rs36028379	0	0	0	2.29194407979524e-37
rs12564878	0	0	0	3.52710662133442e-36
rs68052659	0	0	0	4.05698375132566e-36
rs66584778	0	0	0	7.50180885425414e-32
rs12060302	0	0	0	8.40656691101023e-31
rs12028470	0	0	0	2.32915069811912e-31
rs35964838	0	0	0	6.04216160747691e-37
rs12128863	0	0	0	3.31687898910603e-36
rs884357	0	0	0	2.47204974327721e-35
rs867291	0	0	0	9.25440451200765e-37
rs3753959	0	0	0	2.76330841698525e-27
rs184164	6.63013176724762e-307	0	0	3.78818881079759e-32
rs296534	1.10115165126739e-305	0	0	4.39485254108209e-32
rs296533	5.66693248290904e-302	0	0	4.67121930813803e-32
rs296532	4.08812562973393e-303	0	0	4.39062986676032e-32
rs12045112	0	0	0	3.6200582442044e-30
rs296526	7.29395536976772e-269	0	0	1.43247979417222e-31
rs296528	4.32822631693606e-262	0	0	1.99439349439703e-31
rs3767494	0	0	0	1.26348642928245e-36
rs3767495	0	0	0	4.45689670139608e-29
rs296529	1.537738581899e-262	0	0	4.1403614132461e-31
rs296530	2.97702274264748e-262	0	0	5.81290818753815e-31
rs56354006	0	0	0	7.34995635304745e-36
rs511104	2.33693379577005e-265	0	0	2.46144899764314e-31
rs57226353	0	0	0	3.85363648744382e-34
rs35730213	2.89394531181257e-97	0	4.67650526752564e-175	4.71291877892439e-27
rs374827	0	0	0	3.00202260262673e-33
rs2134757	0	0	0	5.22671712580668e-31
rs55838263	1.06466718328743e-98	0	0	3.97277415137071e-27
rs12132298	3.71919745909052e-92	5.84941574814454e-178	0.00614209524918522	6.98071764184156e-27
rs12132349	5.7066392848787e-92	6.30347269906698e-179	0.0646206188514477	8.39894608838116e-27
rs59655222	7.40276668768348e-92	3.85587504812792e-180	0.767215506187873	8.23743621709686e-27
rs7554511	6.13689129093959e-94	3.93951163862905e-162	1.73808020448384e-17	4.71807218784127e-27
rs2279837	0	0	0	1.65309111230335e-30
rs41299637	5.64233794162582e-92	1.72645299377139e-179	0.162021779716998	7.38347230977832e-27
rs12131796	1.48132635735314e-93	0	3.22005864053765e-142	6.80849228361051e-27
rs4915463	0	0	0	3.04786196815661e-37
rs296520	3.82586592768995e-90	1	1.70890837965116e-152	2.63880757106703e-27
rs296521	0	0	0	1.45378121901772e-32
rs10800746	4.84540768642834e-139	0	0	1.18020338118686e-29
rs7522462	4.36103455233155e-98	2.64995796252743e-288	1.71961883964435e-214	3.50578449644105e-28
rs905634	6.72052932651483e-163	0	0	1.64752496784643e-31
rs378672	3.7949569586966e-235	0	0	6.34829814928988e-32
rs404339	7.87101471422474e-149	0	0	2.68804244779321e-31
rs296539	4.17734879929716e-264	0	0	3.55344656513026e-33
rs296540	4.87174685640219e-293	0	0	2.42721749391794e-29
rs296543	6.59816388454507e-137	0	0	9.93517998305421e-31
rs296545	1.95036549324018e-136	0	0	9.94591589692881e-31
rs296546	1.63249281776903e-136	0	0	9.82188662635663e-31
rs296547	2.06920284248481e-265	0	0	3.13184616242904e-33
rs370411	5.33804148164137e-264	0	0	3.63980459305669e-33
rs296548	1.00398367519632e-269	0	0	3.34781784582453e-34
rs4915464	0	0	0	1.12483376956412e-31
rs71635524	0	0	0	2.72567489762566e-36
rs11589638	5.40200511993693e-139	0	0	6.38354071386855e-31
rs296551	7.38138969573053e-295	0	0	1.75417557622072e-29
rs11583546	2.64263049685516e-126	0	0	1.45598302026564e-31
rs4915466	0	0	0	1.11734625211146e-33
rs61825289	0	0	0	1.66545682324934e-35
rs7364440	0	0	0	9.93160925780323e-34
rs10920074	3.18187930496054e-154	0	0	1.11352963787879e-32
rs2050786	0	0	0	9.17461621665157e-34
rs10920076	0	0	0	1.17717565854541e-33
rs11579874	1.37236551328708e-145	0	0	3.73394591683626e-33
rs2013233	0	0	0	1.33971351364367e-34
rs432209	0	0	0	1.66376811061229e-31
rs10800747	0	0	0	2.24644905192718e-28
rs6694184	0	0	0	1.58649125915671e-34
rs6678830	0	0	0	1.24419028656345e-29
rs61825291	0	0	0	1.83293499354287e-34
rs12045164	0	0	0	3.12704924828842e-34
rs296553	1.2370151334982e-288	0	0	1.57344798542511e-32
rs61825292	0	0	0	4.33348512161735e-35
rs169850	1.33078867590994e-83	0	0	1.73395234915111e-28
rs6427868	1.026424606711e-155	0	0	7.41908836044813e-32
rs4915468	0	0	0	2.60167489114651e-34
rs1572789	0	0	0	4.04668605587869e-31
rs11805959	0	0	0	2.04444920689065e-25
rs4915470	0	0	0	6.09821004525563e-34
rs4915471	0	0	0	7.84954696398793e-34
rs4915472	0	0	0	6.87214744893019e-34
rs11584383	2.31482616656663e-167	0	0	3.79857020773112e-31
rs12035002	0	0	0	3.8432859264275e-34
rs4915210	0	0	0	3.134409080825e-34
rs3208703	2.06073575471996e-137	0	0	1.39076002222691e-31
rs3198583	0	0	0	2.45852606850359e-34
rs3738255	0	0	0	2.03793205504688e-34
rs11586032	0	0	0	1.05732839270462e-23
rs10920082	0	0	0	2.0407711571535e-34
rs34873729	5.12781290122188e-139	0	0	1.58444663426616e-31
rs12118735	1.33364212282255e-138	0	0	8.61799706306126e-32
rs72749142	3.43699922792874e-256	0	0	4.26593443183323e-22
rs296558	5.46057809889986e-300	0	0	2.22613472519918e-34
rs296557	2.53731231468707e-299	0	0	2.94563317493663e-34
rs7539693	7.85098806811319e-140	0	0	3.96408570039668e-32
rs10494828	2.48098358824682e-139	0	0	4.98052521212719e-32
rs2297909	4.21493165592279e-188	0	0	1.38654410511879e-32
rs59682551	1.80104289951635e-194	0	0	3.04822096421913e-32
rs12140420	4.60097930511242e-140	0	0	3.35728888887895e-32
rs12126806	3.46197122309547e-147	0	0	4.57417014515938e-31
rs67134955	0	0	0	3.03766970885371e-33
rs10920085	6.89105533905747e-301	0	0	1.3353338119038e-34
rs10800749	1.11506831371475e-300	0	0	1.38475546160169e-34
rs10800750	1.11506831371475e-300	0	0	1.38475546160169e-34
rs10920086	5.75348625979024e-301	0	0	1.36871991569525e-34
rs7531978	4.94740138284622e-301	0	0	1.33952056707934e-34
rs10920088	1.78203134672058e-300	0	0	1.39166163831467e-34
rs6427869	5.9876288135659e-301	0	0	1.39330178074357e-34
rs7535723	3.80026700708057e-183	0	0	8.27017321602691e-33
rs11810823	6.44849310773737e-301	0	0	1.28963510638464e-34
rs7538954	0	0	0	2.99758228891989e-37
rs35304341	0	0	0	9.6367268218676e-36
rs10920090	1.15102859466299e-263	0	0	1.38599025618291e-34
rs10920091	1.64546927979451e-250	0	0	3.60648018258044e-33
rs11589573	3.9268009864692e-140	0	0	9.01153311083412e-32
rs11583140	2.61621462601641e-303	0	0	1.44436911389514e-34
rs6687260	7.43785492270005e-303	0	0	1.73923417256464e-34
rs10920094	3.41049479943853e-303	0	0	1.54235904389332e-34
rs2221581	1.29723483207391e-248	0	0	3.44676972876995e-33
rs11580823	5.58235054876763e-142	0	0	3.38967604885748e-31
rs6700264	4.6773762932857e-302	0	0	1.37291355645229e-34
rs12122721	1	0	0	7.94431448633476e-30
rs957957	1.01978202002423e-303	0	0	1.62274945763249e-34
rs7526353	4.15502608320233e-303	0	0	1.35771478099333e-34
rs10753887	0	0	0	9.32625520491712e-33
rs11586763	1.55765511496987e-265	0	0	2.00030370915701e-12
rs56409868	0	0	0	8.37516822449038e-37
rs55862304	2.13847730643926e-141	0	0	2.44600742928191e-31
rs11587290	0	0	0	3.49043916763746e-32
rs6427871	3.6487884773332e-301	0	0	9.70090548562455e-35
rs6701469	1.29006352905297e-302	0	0	7.17556446447497e-35
rs10800751	1.65643858571497e-302	0	0	8.66360231975948e-35
rs72749166	1.57476773268281e-144	0	0	7.28161549663636e-32
rs11807626	8.86278157336725e-254	0	0	8.82372975130509e-35
rs11583328	6.48675705854845e-153	0	0	4.5675830443497e-32
rs10920099	1.06611498871197e-315	0	0	1.1284096012605e-34
rs11576681	1.24678125683276e-152	0	0	4.00057326608934e-32
rs965321	2.39845512984878e-182	0	0	1.8681861593954e-31
rs1995681	4.748145787191e-255	0	0	1.55999401657783e-34
rs10753888	2.44180127275584e-183	0	0	1.78241977278453e-31
rs6673267	2.4342328899468e-315	0	0	1.64582183034009e-34
rs6701496	2.49127214212475e-162	0	0	4.71394728510268e-32
rs1546416	1.18016349086429e-298	0	0	4.763789726126e-32
rs6675915	0	0	0	1.31560619382879e-34
rs1507147	2.92543003676113e-297	0	0	2.96558222936564e-32
rs67602696	1.06022991465138e-175	0	0	4.66436471845156e-31
rs2297906	0	0	0	1.08673777968478e-34
rs10494827	0	0	0	1.15710678243583e-34
rs12122809	2.97668824990559e-166	0	0	8.11851966697206e-32
rs3913893	1.895554628215e-230	0	0	4.33292400669334e-32
rs3850625	0	0	0	4.49074405321502e-37
rs55734382	3.54727541068148e-236	0	0	5.84176194502241e-32
rs6702590	4.24911707260996e-244	0	0	3.93348926781326e-32
rs12138260	4.35312950605717e-270	0	0	1.20807574760685e-24
rs3861928	7.68751061928536e-244	0	0	2.82624141841053e-32
rs3767498	2.26560573381369e-244	0	0	3.49736340242301e-32
rs3767499	0	0	0	1.83170557385631e-34
rs3767500	0	0	0	9.31708307445374e-35
rs3767502	8.39455058054021e-244	0	0	2.31203010723504e-32
rs3818873	6.16491750649779e-286	0	0	3.79961034570377e-34
rs10800755	3.71807673949846e-245	0	0	3.8144807673397e-32
rs10800756	9.1661386525976e-244	0	0	4.49599931218273e-32
rs3767503	0	0	0	2.18339829494965e-34
rs3767504	0	0	0	2.02283007651681e-34
rs3861929	1.26618155584903e-318	0	0	2.93620051818039e-32
rs4915473	0	0	0	6.50522643367079e-28
rs4915474	0	0	0	1.23626726858818e-34
rs4915475	0	0	0	2.07426307369016e-35
rs2297903	0	0	0	3.99689004735952e-35
rs41267503	0	0	0	2.24829739359048e-30
rs7519715	0	0	0	1.54556719929754e-35
rs7415038	0	0	0	9.40785149468962e-33
rs4915477	0	0	0	1.57614237392277e-36
rs61818019	0	0	0	7.83030400684947e-34
rs11585193	0	0	0	2.94987940088323e-36
rs58264851	0	0	0	2.05546647551062e-32
rs72749197	0	0	0	5.30011177221925e-22
rs2296384	0	0	0	2.97771478257155e-28
rs3753960	0	0	0	4.72935777625648e-37
