priority	target_or_axis	dataset_accession	source/system	cell_type_or_tissue	perturbation_or_contrast	controls	sample_size	downloadable_files	expected_resolution_readouts	expected_safety_readouts	feasibility	call
11	LIPA loss-of-function	GSE100260	GEO; human RNA-seq	human iPSC-derived macrophages	CRISPR/Cas9 LIPA-/- vs LIPA+/+	LIPA+/+ isogenic controls	6 samples; 3 LIPA-/-, 3 LIPA+/+	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100260/suppl/GSE100260_control_LIPA_KO_FPKM.tsv.gz	Effect of lysosomal acid lipase loss on lipid-lysosomal/APC/resolution programs in human macrophages	Does LIPA loss induce inflammatory IFN/HLA-II or stress rather than resolution?	Immediate; processed FPKM only; small but direct	PRIMARY_LIPA_LOSS
12	LIPA gain-of-function peritoneal macrophage	GSE243117	GEO; mouse RNA-seq	peritoneal macrophages from Ldlr-/- mice on Western diet	myeloid-specific Lipa overexpression vs Cre-negative littermates	LysMCre-negative LipaTg/wt Ldlr-/- controls	6 samples; 3 control, 3 Lipa OE	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243117/suppl/GSE243117_PM_RldNormalizedCounts.csv.gz; Salmon counts available	Does Lipa augmentation restore lipid clearance/resolution without increasing APC/IFN?	Monitor H2-Aa/Cd74/Ifi30/Ifit genes and stress	Immediate; direct gain-of-function; atherosclerosis context	PRIMARY_LIPA_GAIN
13	LIPA gain-of-function plaque macrophage	GSE285961	GEO; mouse RNA-seq	aortic plaque macrophages from Ldlr-/- mice on Western diet	myeloid-specific Lipa overexpression vs Cre-negative littermates	LysMCre-negative LipaKI/WT Ldlr-/- controls	8 samples; 4 control, 4 Lipa OE	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285961/suppl/GSE285961_PlaqueMacs_RldNormalizedCounts.csv.gz; Salmon counts available	Plaque macrophage replication of Lipa gain-of-function resolution/lipid effects	Same safety modules; plaque inflammatory composition caveat	Immediate; direct gain-of-function and better n than GSE243117	PRIMARY_LIPA_REPLICATION
14	GPNMB lipid-loaded macrophage	GSE274954	GEO; mouse RNA-seq	BMDM	GpnmbR150X mutant vs WT, untreated and OxLDL-treated	WT untreated and WT OxLDL controls	12 samples; 3 per genotype/treatment cell	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274954/suppl/GSE274954_gene_count.csv.gz	Direct test whether Gpnmb loss changes foam-cell/lipid-clearance and inflammatory/APC state under OxLDL	Generic IFN/HLA-II/stress after Gpnmb loss; lipid-loading interaction	Immediate; strong candidate-specific dataset; atherosclerosis model	PRIMARY_GPNMB
15	LXR/retinoid nuclear receptors	GSE254406	GEO; mouse RNA-seq	peritoneal large macrophages	nuclear receptor mutants including Nr1h2, Nr1h3, Rxra, Rxrb and other NR family members	WT color-channel controls	52 samples; mostly 2 replicates per mutant plus WT controls	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE254nnn/GSE254406/suppl/GSE254406_Genes_count_table.tsv.gz	LXR/RXR loss effects on Abca1/Abcg1, efferocytosis/resolution, lipid/APC modules	Generic IFN/HLA-II effects of NR loss; low per-mutant power	Immediate; broad genetic screen; low n per receptor	PRIMARY_NR_SCREEN
16	RAR/RXR macrophage transition	GSE273340	GEO; mouse RNA-seq	peritoneal LYVE1+CD206+ converting macrophages	RARgamma mutant or RXRalpha mutant vs WT controls	WT RAR/RXR color controls	12 samples	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE273nnn/GSE273340/suppl/GSE273340_Genes_count_table.tsv.gz	Retinoid/RXR control of resolving LYVE1+CD206+ macrophage state	HLA-II/IFN and inflammatory lipid modules in resolving macrophage subset	Immediate; focused and biologically close to resolution macrophage transition	PRIMARY_NR_FOCUSED
17	RAR/RXR single-cell macrophage mutants	GSE254572	GEO; mouse scRNA/CITE-seq	peritoneal CD11b+CD115+ cells	WT plus RORalpha, RXRbeta, RARgamma, RXRalpha mutants in hashed 10x run	hashed WT samples	2 GEO files representing 11 hashed biological samples	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE254nnn/GSE254572/suppl/GSE254572_RAW.tar	Cell-state-specific RAR/RXR effects; supports cell-state transition mapping	CITE/hashtag demultiplexing required; generic IFN/HLA-II per cell	Feasible if raw 10x tar manageable; slower than bulk	SECONDARY_SC
18	RXR agonism in brain macrophage/microglia	GSE287142	GEO; mouse RNA-seq	brain microglia/macrophages	bexarotene vs vehicle across young, aged, aged-stroked contexts	age/context-matched vehicle	18 samples; 9 BEX, 9 vehicle	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE287nnn/GSE287142/suppl/GSE287142_rawcount.csv.gz	RXR agonist effect on phagocytosis/resolution/lipid clearance in CNS myeloid cells	Does BEX suppress generic IFN/HLA-II broadly or shift toward repair?	Immediate; strong CNS myeloid pharmacologic comparator	PRIMARY_RXR_PHARM
19	LXR agonism in CNS injury	GSE328020	GEO; mouse bulk RNA-seq	spinal cord contusion injury tissue	AZ876 LXR agonist vs vehicle after spinal-cord injury	vehicle-treated SCI	6 samples; 3/3	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE328nnn/GSE328020/suppl/GSE328020_All.ReadsCount.xlsx	LXR/ABCA1 reverse-cholesterol transport in myelin-rich CNS injury tissue	Cell-composition confounding; IFN/HLA-II tissue signal only	Feasible; bulk tissue and small n make it weak	WEAK_BULK_CNS
20	ABCA1 stabilization/itaconate lipid clearance	GSE288359	GEO; mouse bulk RNA-seq	abdominal aorta	ITA-LNP vs control nanoparticle	Control nanoparticle	7 samples; 4 control, 3 ITA-LNP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288359/suppl/GSE288359_Aorta_ITAvsCTRL-logCPM.csv.gz	ABCA1/cholesterol-efflux response to itaconate nanoparticle; lipid-clearance comparator	Bulk aorta; no APC-specific generic IFN safety	Immediate; indirect and tissue bulk	WEAK_INDIRECT
21	GAS6/MerTK survival context	GSE246338	GEO; mouse microarray	BMDM	WT vs ATF3-CKO under recombinant GAS6 stimulation	WT rGAS6-stimulated BMDM	6 samples; 3 WT, 3 ATF3-CKO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE246nnn/GSE246338/suppl/GSE246338_RAW.tar	GAS6/MerTK-context survival/proliferation transcriptional program; not direct GAS6 effect because no unstimulated group	Check ATF3-dependent IFN/HLA-II/stress under GAS6	Usable only as weak contextual support, not direct GAS6 perturbation	WEAK_CONTEXT
22	MERTK KO tumor-associated macrophages	GSE157241	GEO; mouse RNA-seq	FACS-sorted tumor-associated macrophages	macrophage-specific Mertk KO or tumor Ptdss1 knockdown vs WT tumor/WT mice	WT tumor cells in WT mice	10 samples	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157241/suppl/GSE157241_RAW.tar	Mertk-dependent macrophage phenotype under apoptotic/tumor-cell exposure; phosphatidylserine/efferocytosis context	Tumor context may invert autoimmune interpretation; check IFN/HLA-II/stress	Feasible but context-confounded	SECONDARY_MERTK_CONTEXT
23	Sectm1a upstream efferocytosis/Mertk-LXR support	GSE253579	GEO; mouse RNA-seq	macrophages	Sectm1a knockout vs WT	WT macrophages	6 samples; 3/3	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253579/suppl/GSE253579_Sectm1a-KO_vs_WT-macrophages.xlsx	Related upstream test because Sectm1a report links efferocytosis and Mertk/Abca1/Axl-like biology; can benchmark resolution loss	Excel DE-only file may lack raw counts; no direct target perturbation	Feasible as supporting weak route only	WEAK_RELATED
24	WDFY3/autophagy efferocytosis	GSE211694	GEO; mouse RNA-seq	BMDM	myeloid Wdfy3 knockout vs control	LysMCre-negative controls	8 samples; 4/4	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE211nnn/GSE211694/suppl/GSE211694_20211220_RNAseq-HJ001-HJ008_rldnormcounts.txt.gz; Salmon counts available	Autophagy/efferocytosis regulator effect on resolution and lipid processing; related node	Not listed target; check IFN/HLA-II to avoid autophagy broad effects	Immediate but peripheral/related	SECONDARY_RELATED
25	WDFY3 gain-of-function	GSE290443	GEO; mouse RNA-seq	BMDM	WDFY3 overexpression vs control	WT/control BMDM	10 samples; 5/5	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE290nnn/GSE290443/suppl/GSE290443_20220128_RNAseq_XH001-XH010_rldnormcounts.csv.gz; Salmon counts available	Gain/loss direction with GSE211694; autophagy/efferocytosis axis	Not target list; broad autophagy caveat	Immediate but secondary	SECONDARY_RELATED
26	retromer corpse degradation	GSE310776	GEO; mouse RNA-seq	BMDM	siVps35 plus apoptotic-cell treatment vs siControl plus apoptotic-cell treatment	siControl + AC	6 samples; 3/3	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE310nnn/GSE310776/suppl/GSE310776_fpkm+1.tsv.gz	Corpse degradation/lysosomal trafficking effect on resolution after uptake	Check inflammatory/APC/IFN induction from failed degradation	Immediate; related not central	SECONDARY_RELATED
27	cholesterol-efflux CRISPR screen	GSE299696	GEO; human THP-1 pooled CRISPR activation screen	THP-1 foamy macrophage-like model	BODIPY high vs BODIPY low CRISPR activation screen	bulk input/BODIPY bins	6 samples	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299696/suppl/GSE299696_RAW.tar	Genome-wide genes controlling cholesterol efflux; can rank target neighborhood and discover alternatives	No expression and THP-1 model; no IFN/HLA-II safety	Feasible as screen-only support	PRIMARY_SCREEN_WEAK
28	primary alveolar macrophage PAP and BODIPY states	GSE299689;GSE299693	GEO; human RNA-seq	primary alveolar macrophages	PAP vs control; BODIPY-high vs BODIPY-low sorted AMs	healthy controls; BODIPY-low	6 samples each	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299689/suppl/GSE299689_FPKM_all_samples.txt.gz; https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299693/suppl/GSE299693_FPKM_2_all_samples.txt.gz	Human lipid-loaded macrophage readout comparator for ABCA1/APOE/LPL/GPNMB/LIPA modules	Not perturbational; no IFN stimulus	Immediate as validation/readout, not perturbation	READOUT_ONLY
29	CD300 family	none found in GEO/ArrayExpress scan	GEO/ArrayExpress search result only GSE245971 irrelevant epithelial IRF6 dataset	none	no credible CD300A/CD300LF/CD300E macrophage perturbation transcriptome located in this pass	none	0	none	would need external wet-lab or non-transcriptomic datasets	none	Blocked for local transcriptomic test	NO_USABLE_DATASET
30	AXL/TYRO3/PROS1 direct macrophage perturbation	none strong found; weak Axl tissue dataset GSE205267	GEO	whole aorta tissue for GSE205267	Ang II vs sham; not Axl perturbation in expression matrix	sham tissue	24 samples	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205267/suppl/GSE205267_countTableGeo.txt.gz	GAS6/AXL inflammatory tissue context only	Bulk tissue and no direct Axl inhibition/KO expression contrast	Do not use as target perturbation evidence	NO_GO_WEAK_CONTEXT
31	LINCS/CMap L1000 nuclear receptor and TAM compounds	LINCS2020 local metadata; prior V3 L1000FWD outputs	cell-line L1000, mostly non-macrophage	compound perturbations: GW-3965/T-0901317, PPAR ligands, retinoids, BMS-777607, probucol, ezetimibe, etc.	vehicle in LINCS, cell-line matched	where available in LINCS; not enumerated here	not enumerated	data/raw_v3/lincs2020/compoundinfo_beta.txt; results_v3/wave23_metabolite_barrier_circuit/route_l1000_matches.tsv; results_v3/wave15_perturbation_drug_response/l1000fwd_selectivity_compound_rank.tsv	Can screen for signature reversal only as low-weight external pharmacology	Cell-line signatures can reflect cytotoxic/stress/generic IFN reversal; not APC/resolution proof	Available locally but should not drive claim	LOW_WEIGHT_CAVEAT
32	Arc State/Stack/Evo and Geneformer alternatives	local V3 foundation artifacts	State released CD14 parse outputs; Geneformer V2-104M deletion screens	model perturbation/deletion, not validated activation of listed nodes	model-internal controls where available	available outputs only	not applicable	results_v3/state_parse_cd14_*; results_v3/geneformer_*; tmp_v3/foundation_wave6/geneformer_assets/Geneformer-V2-104M	Could test deletion direction for listed genes if token-covered; cannot model agonism/efferocytosis directly	State gene mapping blocked for released files; Evo blocked locally; Geneformer small embedding shifts require real perturbation validation	Use only as optional veto/triage after real data, not primary evidence	LOW_WEIGHT_MODEL
