gene	axis	modality	direction	target_class	manual_druggability	prior_risk	direction_confidence	manual_note	ot_n_diseases_score_ge_0_5	ot_diseases_score_ge_0_5	ot_n_diseases_score_ge_0_8	ot_diseases_score_ge_0_8	ot_max_score	ot_evidence_count_sum	gwas_catalog_hit_count	gwas_catalog_trait_count	gwas_catalog_min_p	gwas_catalog_traits_short	chembl_status	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_activity_count_nM	chembl_query_url	gtex_gene_status	gtex_gencode_id	gtex_eqtl_tissue_count	gtex_eqtl_tissues	gtex_lookup_url	europepmc_query	europepmc_hit_count	europepmc_examples	europepmc_url	clinicaltrials_count	clinicaltrials_url	chembl_activity_url	broad_positive_disease_count	broad_negative_disease_count	broad_positive_diseases	broad_negative_diseases	ms_wm_delta_log2	ms_wm_p	residual_positive_disease_count	wave14_target_level_call	wave14_audit_priority_call	wave28_gate_call	genetics_first_score	wave34a_call	route_reason
PTPN22	Lyp lymphocyte-receptor signaling phosphatase	small-molecule inhibitor/allosteric modulator concept	unclear across R620W-like risk biology; inhibition is plausible in some models but not directionally settled	intracellular phosphatase	1.5	medium_high	conflicted	Very broad autoimmune genetics, but disease-safe direction and selectivity over other PTPs remain unresolved.	0		0		0.0	0	81	28	5e-174	Autoimmune thyroid disease;Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis);Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS));Crohn's disease vs ulcerative colitis (ordinary least squares (OLS));Early-onset myasthenia gravis;Graves' disease;Hashimoto thyroiditis;Hypothyroidism or rheumatoid arthritis (pleiotropy);Late-onset myasthenia gravis;Myasthenia gravis	ok	CHEMBL2889	Tyrosine-protein phosphatase non-receptor type 22	SINGLE PROTEIN	1114	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTPN22	ok	ENSG00000134242.15	3	Whole_Blood;Colon_Transverse;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=PTPN22&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(PTPN22) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	4800	41317333:Type 1 Diabetes and Other Autoimmune Diseases-Epidemiology, Pathophysiology and Screening. | 41938075:Gene expression profiles of Protein tyrosine phosphatase non-receptor 22, Tumor necrosis f | 41237580:Exploring the role of genetic variants in susceptibility to autoimmune Diseases: A molecul	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28PTPN22%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	9	https://clinicaltrials.gov/api/v2/studies?query.term=PTPN22&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2889&standard_units=nM&limit=1	1	0	Sjogren syndrome		0.81950776939291	0.0313351961928456	0				10.925	PARK_DIRECTION_OR_MODALITY_UNRESOLVED	Genetic signal survives triage but direction/modality is not clean enough for promotion.
FAP	fibroblast activation / tissue remodeling	enzyme inhibitor, antibody, or targeted delivery handle	unclear in autoimmunity; inhibit pathogenic fibroblast activation if causal	cell-surface serine protease	2.75	medium	weak	Druggable stromal gene with GWAS Catalog breadth, but likely locus-proxy/tissue-remodeling rather than target-level immune causality.	0		0		0.0	0	24	15	6e-25	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Inflammatory bowel disease;Inflammatory skin disease;Psoriasis;Psoriasis (PheCode 696.4);Psoriasis and related disorder (PheCode 696);Psoriasis or type 2 diabetes (trans-disease meta-analysis);Psoriasis vulgaris (PheCode 696.41);Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG);Type 1 diabetes	ok	CHEMBL4683	Prolyl endopeptidase FAP	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=FAP	ok	ENSG00000078098.13	2	Spleen;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=FAP&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(FAP) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	4518	41775781:Integrative mendelian randomization approaches for therapeutic target prioritisation in im | 41355193:Epidemiology and Genetics of Rheumatic Diseases Suggest a Constant Rate of DNA Damage as U | 41859079:Expanding horizons: radiolabeled FAPI in imaging of autoimmune diseases.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28FAP%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	19	https://clinicaltrials.gov/api/v2/studies?query.term=FAP&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4683&standard_units=nM&limit=1	2	0	type 1 diabetes mellitus;ulcerative colitis				0				10.2125	PARK_DIRECTION_OR_MODALITY_UNRESOLVED	Genetic signal survives triage but direction/modality is not clean enough for promotion.
STAT4	IL-12/23 transcriptional polarization	indirect cytokine/JAK pathway blockade	reduce STAT4-driven Th1/Th17 polarization	transcription factor	0.75	high	indirect	Broad genetics but poor direct druggability; upstream pathways are already crowded.	0		0		0.0	0	118	31	1e-160	Autoimmune thyroid disease;B-cell lymphoblastic leukemia or rheumatoid arthritis (pleiotropy);Celiac disease;Celiac disease and Rheumatoid arthritis;Celiac disease or Rheumatoid arthritis;Crohn's disease;Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS));Graves' disease;Hashimoto thyroiditis;Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Lupus (localized and systemic) (PheCode 695.4)	ok	CHEMBL4523296	Signal transducer and activator of transcription 4	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=STAT4	ok	ENSG00000138378.17	3	Cells_EBV-transformed_lymphocytes;Colon_Transverse;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=STAT4&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(STAT4) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	7092	42163726:Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis  | 39607709:Autoimmune Disease is Increased in Women With Primary Ovarian Insufficiency. | 42051522:Divergent roles of IL-35 and IL-39 in rheumatoid arthritis: restoring cytokine balance wit	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28STAT4%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	5	https://clinicaltrials.gov/api/v2/studies?query.term=STAT4&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4523296&standard_units=nM&limit=1	2	0	Crohn disease;ulcerative colitis		0.8684079555977076	0.4607005214454064	0				9.9625	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	Genetics may be broad, but current modality is absent or wrong-direction restoration.
GPR65	acidic tissue pH-sensing GPCR	agonist/PAM	agonize/PAM if risk alleles reduce anti-inflammatory cAMP response	GPCR	2.5	high	plausible_but_prior_arted	Previously parked; GPCR tractable but IBD/GPR65 prior art and weak local support remain.	5	AS;Crohn;MS;Psoriasis;UC	2	Crohn;UC	0.904011845588684	17	9	5	4e-18	Ankylosing spondylitis;Crohn's disease;Inflammatory bowel disease;Multiple sclerosis;Ulcerative colitis	ok	CHEMBL3714081	Psychosine receptor	SINGLE PROTEIN	99	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=GPR65	ok	ENSG00000140030.5	3	Whole_Blood;Cells_EBV-transformed_lymphocytes;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=GPR65&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(GPR65) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	432	41775781:Integrative mendelian randomization approaches for therapeutic target prioritisation in im | PPR1217343:CREB/CRTC2-Induced GPR65 Orchestrates Th17 Metabolic Fitness and Pathogenic Effector Funct | 41851628:A curated list of immune system associated genes related to cancer.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28GPR65%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	0	https://clinicaltrials.gov/api/v2/studies?query.term=GPR65&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3714081&standard_units=nM&limit=1	1	2	Sjogren syndrome	type 1 diabetes mellitus;ulcerative colitis	0.09040507812532	0.6241465917972195	0	no_go	prioritize_for_future_coloc_not_DoD	NO_GO_TARGET_FIRST	9.525	PARK_GENETIC_SIGNAL_LOCAL_CELLSTATE_MISMATCH	Genetic signal is plausible but local expression/state support is contradictory.
CCR6	CCR6/CCL20 Th17 tissue entry	CCR6 antagonist or anti-CCR6 biologic	block CCR6-dependent pathogenic Th17 recruitment	chemokine GPCR	2.0	high	plausible_but_crowded	Broad mapped-gene signal but crowded Th17/trafficking biology and no coloc-grade local support.	0		0		0.0	0	57	15	4e-47	Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis);B-cell lymphoblastic leukemia or Crohn's disease (pleiotropy);B-cell lymphoblastic leukemia or rheumatoid arthritis (pleiotropy);Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Graves' disease;Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Inflammatory bowel disease (MTAG);Primary biliary cholangitis;Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive)	ok	CHEMBL4423	C-C chemokine receptor type 6	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CCR6	ok	ENSG00000112486.15	4	Whole_Blood;Spleen;Skin_Sun_Exposed_Lower_leg;Brain_Frontal_Cortex_BA9	https://gtexportal.org/api/v2/reference/gene?geneId=CCR6&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(CCR6) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	8922	41419693:Biosafety assessment of engineered CCL20 locked dimers in vivo. | 41918754:The role of interleukin-17 inhibition in systemic lupus erythematosus-paradoxical hindranc | 41585831:Pediatric Psoriasis: A Peek into the Comorbidity Profile.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CCR6%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	14	https://clinicaltrials.gov/api/v2/studies?query.term=CCR6&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4423&standard_units=nM&limit=1	0	0			0.2229856175356008	0.7784945025694487	0				8.45	PARK_MAPPED_GENE_NEEDS_COLOC	Broad GWAS Catalog support is mapped-gene/top-association only; needs credible-set/eQTL coloc.
CTLA4	CD28/B7/CTLA4 costimulation	CTLA4-Ig or checkpoint agonism	enhance CTLA4-like inhibitory signaling / block CD28-B7	cell-surface checkpoint receptor	3.0	blocking	established_prior_art	Abatacept-class prior art makes this a comparator, not a rescue.	0		0		0.0	0	69	25	2e-90	Autoimmune thyroid disease;Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis);Celiac disease;Celiac disease and Rheumatoid arthritis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Graves' disease;Graves' disease (PheCode 242.1);Hashimoto thyroiditis;Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Late-onset myasthenia gravis;Lymphocytic thyroiditis	ok	CHEMBL2364164	Cytotoxic T-lymphocyte protein 4	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CTLA4	ok	ENSG00000163599.14	2	Whole_Blood;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=CTLA4&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(CTLA4) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	32746	PPR1176377:InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF ins | 41317333:Type 1 Diabetes and Other Autoimmune Diseases-Epidemiology, Pathophysiology and Screening. | PPR1150985:Vestibular Involvement in Systemic Autoimmune and Rheumatologic Diseases: A Systematic Rev	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CTLA4%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	73	https://clinicaltrials.gov/api/v2/studies?query.term=CTLA4&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2364164&standard_units=nM&limit=1	0	0			-0.4650313973144975	0.6033987297082053	0				8.05	DEMOTE_PRIOR_ART_BLOCKED	Direct clinical or therapeutic-class prior art blocks novelty.
IL2RA	IL-2 receptor/Treg tolerance	IL-2 mutein, low-dose IL-2, anti-CD25 variants	increase Treg-biased IL-2 signaling or selectively deplete pathogenic CD25-high cells depending context	cytokine receptor	3.0	blocking	prior_arted	Genetics and modality are strong, but autoimmune/Treg prior art is direct.	0		0		0.0	0	103	35	3e-65	Atopic dermatitis;Autoimmune thyroid disease;Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis);Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Crohn's disease x sex interaction (2df);Epstein Barr virus nuclear antigen 1 IgG levels or multiple sclerosis;Graves' disease;Inflammatory bowel disease;Inflammatory bowel disease (Tractor method with African ancestry);Inflammatory bowel disease x sex interaction (2df);Insulin-dependent diabetes mellitus	ok	CHEMBL1778	Interleukin-2 receptor subunit alpha	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL2RA	ok	ENSG00000134460.15	1	Spleen	https://gtexportal.org/api/v2/reference/gene?geneId=IL2RA&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(IL2RA) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	4622	PPR1176377:InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF ins | 41775781:Integrative mendelian randomization approaches for therapeutic target prioritisation in im | 41516417:Identifying a Common Autoimmune Gene Core as a Tool for Verifying Biological Significance 	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL2RA%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	18	https://clinicaltrials.gov/api/v2/studies?query.term=IL2RA&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL1778&standard_units=nM&limit=1	0	0			-0.9245064384447704	0.3809924198671314	0				7.250000000000001	DEMOTE_PRIOR_ART_BLOCKED	Direct clinical or therapeutic-class prior art blocks novelty.
IL23R	IL-23/Th17 axis	anti-IL23/IL23R biologic	block IL-23 signaling	cytokine receptor	3.0	blocking	established_prior_art	Validated psoriasis/IBD class; not a novel Wave34 rescue.	0		0		0.0	0	89	25	2e-170	Acute anterior uveitis (with or without ankylosing spondylitis);Ankylosing spondylitis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Crohn's disease (Tractor method with European ancestry);Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS));Crohn's disease vs ulcerative colitis (ordinary least squares (OLS));Crohns disease;ICD10 K50, K51: inflammatory bowel disease;Inflammatory bowel disease;Inflammatory bowel disease (MTAG);Inflammatory bowel disease (Tractor method with European ancestry)	ok	CHEMBL4296013	Interleukin-23 receptor	SINGLE PROTEIN	1106	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL23R	ok	ENSG00000162594.15	1	Spleen	https://gtexportal.org/api/v2/reference/gene?geneId=IL23R&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(IL23R) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	10506	41775781:Integrative mendelian randomization approaches for therapeutic target prioritisation in im | 41419940:Genetic pleiotropy underlying obesity and autoimmune disorders: a large-scale cross-trait  | 31644159:Tumor Necrosis Factor Antagonists	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL23R%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	14	https://clinicaltrials.gov/api/v2/studies?query.term=IL23R&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4296013&standard_units=nM&limit=1	0	0					0				7.250000000000001	DEMOTE_PRIOR_ART_BLOCKED	Direct clinical or therapeutic-class prior art blocks novelty.
CXCR5	CXCL13/CXCR5 follicular B/T-cell trafficking	blocking antibody or chemokine-receptor antagonist concept	block follicular recruitment if pathogenic ectopic follicles are causal	chemokine GPCR	2.0	medium_high	plausible_but_unproven	Genetics and MS/autoimmune mapping are broad, but no local target-level coloc or V3 cell-state rescue exists.	0		0		0.0	0	30	16	7e-38	Atopic dermatitis;Celiac disease;Celiac disease and Rheumatoid arthritis;Crohn's disease;Inflammatory bowel disease;Multiple sclerosis;Multiple sclerosis (MTAG);Primary biliary cholangitis;Primary biliary cirrhosis;Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive);Rheumatoid arthritis (MTAG)	ok	CHEMBL1075315	C-X-C chemokine receptor type 5	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CXCR5	ok	ENSG00000160683.4	0		https://gtexportal.org/api/v2/reference/gene?geneId=CXCR5&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(CXCR5) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	8220	41607529:Editorial: Hunting for inflammation mediators: identifying novel biomarkers for autoimmune | 41646546:Age-associated B cells and double-negative B cells: two sides of the same coin? The answer | 41270472:The CXCL13-CXCR5 axis and follicular cytotoxic T cells: Linking T-B crosstalk in autoimmun	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CXCR5%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	9	https://clinicaltrials.gov/api/v2/studies?query.term=CXCR5&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL1075315&standard_units=nM&limit=1	0	0			0.2084468851026795	0.8058502001327881	0				6.6	DEMOTE_NO_TARGET_LEVEL_GENETIC_PACKAGE	No broad local credible-set/eQTL-backed genetic package; GWAS-only evidence is insufficient.
CD226	DNAM-1/TIGIT-ligand costimulatory balance	antagonist antibody or ligand-blocking biologic	reduce CD226 costimulation or restore TIGIT-biased inhibitory balance	cell-surface immunoglobulin-family receptor	2.25	medium	plausible_but_unproven	Genetics-first candidate missed by expression-first screens; needs target-resolved CD226 coloc/eQTL direction and T/NK tissue-state validation.	0		0		0.0	0	27	14	7e-16	Autoimmune thyroid disease;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Inflammatory bowel disease;Multiple sclerosis;Primary biliary cholangitis;Primary sclerosing cholangitis;Primary sclerosing cholangitis (MTAG);Rheumatoid arthritis;Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Rheumatoid arthritis or type 1 diabetes;Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG)	ok				0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CD226	ok	ENSG00000150637.8	0		https://gtexportal.org/api/v2/reference/gene?geneId=CD226&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(CD226) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1822	41041324:Innovations in immunotherapy for autoimmune diseases: recent breakthroughs and future dire | 40723878:The Immune Regulatory Functions of CD226 and Its Implications in Immune-Mediated Diseases. | 40839671:Integrative molecular network analysis of genetic risk factors to infer biomarkers and the	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CD226%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	2	https://clinicaltrials.gov/api/v2/studies?query.term=CD226&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true		0	1		type 1 diabetes mellitus	-0.3352692888469644	0.3764303817680995	0				6.0375	DEMOTE_NO_TARGET_LEVEL_GENETIC_PACKAGE	No broad local credible-set/eQTL-backed genetic package; GWAS-only evidence is insufficient.
TNFRSF14	HVEM/BTLA/LIGHT coinhibitory-costimulatory switch	agonist/inhibitory biologic depending on ligand context	restore BTLA-HVEM inhibitory signaling while avoiding LIGHT costimulation	TNF receptor-family surface receptor	1.75	high	conflicted	Broad genetics maps to HVEM region, but ligand-direction complexity blocks promotion.	0		0		0.0	0	35	10	2e-24	Autoimmune thyroid disease;Celiac disease;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Graves' disease;Inflammatory bowel disease;Multiple sclerosis;Primary sclerosing cholangitis;Rheumatoid arthritis;Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Ulcerative colitis	ok				0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TNFRSF14	ok	ENSG00000157873.17	3	Whole_Blood;Cells_EBV-transformed_lymphocytes;Colon_Transverse	https://gtexportal.org/api/v2/reference/gene?geneId=TNFRSF14&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(TNFRSF14) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1021	40703454:Single-cell transcriptional landscape of peripheral myeloid cells in autoimmune diseases. | 40148470:Exploring new drug treatment targets for immune related bone diseases using a multi omics  | 41323472:Mendelian randomization study of the causal relationship between autoimmune diseases and a	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TNFRSF14%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	0	https://clinicaltrials.gov/api/v2/studies?query.term=TNFRSF14&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true		1	0	type 1 diabetes mellitus		0.1181719314021272	0.5322230065988012	0				5.7125	PARK_DIRECTION_OR_MODALITY_UNRESOLVED	Genetic signal survives triage but direction/modality is not clean enough for promotion.
