candidate	primary_gene	source	path	matched_identifier	source_call	score	ot_disease_count	supporting_disease_count_union	gwas_trait_count	gwas_min_p	local_positive_disease_count	local_negative_disease_count	positive_diseases	negative_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	ms_anchor_route_bool	strict_core_covariate_surviving_disease_count	retained_positive_disease_count	non_ibd_retained_positive_disease_count	foundation_contexts	foundation_strong_contexts	foundation_recommendation	real_perturbation_alignment_call	real_perturbation_alignment_pass	l1000_reversal_pass	chembl_target_id	chembl_activity_count	europepmc_hit_count	clinicaltrials_count	prior_risk	blocker_or_reason
TREM2_APOE_LIPID_REPAIR	TREM2	wave34_genetics_expression	results_v3/wave34_genetics_expression_druggability_scan/wave34_genetics_expression_druggability_rank.tsv	TYROBP	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	5.2			2.0	7e-08	1.0	1.0	type 1 diabetes mellitus		0.1685367778685798	0.2296542729530867		False												0.0	0.0		gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model
LOCALIZED_IL10_RESTORATION	IL10	wave34_genetics_expression	results_v3/wave34_genetics_expression_druggability_scan/wave34_genetics_expression_druggability_rank.tsv	IL10	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	14.5			14.0	5e-55					0.5386340709389863	0.0920894843746553		True										CHEMBL3712920		89396.0	246.0		gate_druggable_surface;gate_perturbation_or_model;gate_not_prior_art_blocked
LOCALIZED_IL10_RESTORATION	IL10	wave34_genetics_expression	results_v3/wave34_genetics_expression_druggability_scan/wave34_genetics_expression_druggability_rank.tsv	IL10RB	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	5.0			2.0	2e-16	1.0		type 1 diabetes mellitus		-0.1026085231641591	0.5115088891402128		False												0.0	0.0		gate_genetic_breadth;gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model
CCR6_TH17_TRAFFICKING	CCR6	wave34a_genetics_first	results_v3/wave34a_genetics_first_target_rescue/genetics_first_candidate_rank.tsv	CCR6	PARK_MAPPED_GENE_NEEDS_COLOC	8.45			15.0	4e-47					0.2229856175356008	0.7784945025694487												CHEMBL4423		8922.0	14.0	high	Broad GWAS Catalog support is mapped-gene/top-association only; needs credible-set/eQTL coloc.
LOCALIZED_IL10_RESTORATION	IL10	wave34a_genetics_first	results_v3/wave34a_genetics_first_target_rescue/genetics_first_candidate_rank.tsv	IL10	PARK_PRIOR_ART_OR_CROWDING	15.775	7.0		14.0	5e-55					0.5386340709389863	0.0920894843746553												CHEMBL3712920		81967.0	246.0	high	Target is plausible but prior-art/crowding risk is high.
SQLE_STEROL_STROMAL	SQLE	wave22_sqle_decision	results_v3/wave22_sqle_failfast/sqle_decision.tsv	SQLE	NO_GO_SQLE_FAILFAST						4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		-0.3408177110309154	0.3307572199460259			2.0	3.0	1.0	3.0	1.0	do_not_promote	model_contradicted_by_gse162463_screen	False	False						local_gate_pass;ms_anchor_pass;cross_disease_residual_specificity_pass;foundation_plus_real_gate_pass;real_perturbation_alignment_pass;l1000_disease_signature_reversal_pass;novel_autoimmune_delta_pass
CCR6_TH17_TRAFFICKING	CCR6	broad_h5ad	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv	CCR6											0.2229856175356008	0.7784945025694487	0.9741955192514664																
TREM2_APOE_LIPID_REPAIR	TREM2	broad_h5ad	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv	LPL		3.9803253182586142					1.0	2.0	Crohn disease	Sjogren syndrome;type 1 diabetes mellitus	1.7595984466157422	0.0006219963760009	0.7144250374746858																
TREM2_APOE_LIPID_REPAIR	TREM2	broad_h5ad	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv	TREM2		1.3473480907518938									0.1899583473475061	0.612719290366184	0.9476308467322015																
TREM2_APOE_LIPID_REPAIR	TREM2	broad_h5ad	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv	TYROBP		1.0					1.0	1.0	type 1 diabetes mellitus	ulcerative colitis	0.1685367778685798	0.2296542729530867	0.9004758652001262																
TREM2_APOE_LIPID_REPAIR	TREM2	broad_h5ad	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv	APOE		-0.9778697003673787						1.0		psoriasis	0.3729255468001433	0.120208663256457	0.8989378106274888																
SQLE_STEROL_STROMAL	SQLE	broad_h5ad	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv	SQLE		18.0					4.0		Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		-0.3408177110309154	0.3307572199460259	0.9141270983319502																
LOCALIZED_IL10_RESTORATION	IL10	broad_h5ad	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv	IL10RB		10.0					1.0		type 1 diabetes mellitus		-0.1026085231641591	0.5115088891402128	0.9331606046263462																
LOCALIZED_IL10_RESTORATION	IL10	broad_h5ad	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv	IL10		2.0									0.5386340709389863	0.0920894843746553	0.8989378106274888																
LOCALIZED_IL10_RESTORATION	IL10	broad_h5ad	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv	IL10RA							1.0	1.0	Sjogren syndrome	ulcerative colitis	-0.3174369158890311	0.0985691833215868	0.8989378106274888																
TREM2_APOE_LIPID_REPAIR	TREM2	broad_residual	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	TYROBP		1.0					1.0	1.0			0.1685367778685798	0.2296542729530867				1.0													
TREM2_APOE_LIPID_REPAIR	TREM2	broad_residual	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	TREM2		1.3473480907518938									0.1899583473475061	0.612719290366184																	
SQLE_STEROL_STROMAL	SQLE	broad_residual	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	SQLE		18.0					4.0				-0.3408177110309154	0.3307572199460259			2.0	3.0	1.0												
