gene	axis	direction	modality	gate_call	hard_failures	target_first_score	genetic_gate	module_gate	perturbation_gate	druggable_gate	novelty_gate	genetics_diseases_ge_0_5	genetics_ready_score	genetics_proxy_call	proper_coloc_or_mr_feasible_this_run	broad_positive_disease_count	strict_residual_disease_count	non_ibd_residual_positive_disease_count	ms_anchor	module_score	foundation_alignment_call	foundation_recommendation	foundation_support_gate_component	perturbation_score	direct_perturbation_rows	best_direct_selectivity_score	best_direct_target_module_effect	best_direct_evidence_call	direct_selective_support	l1000_target_rows	l1000_best_qval	l1000_best_abs_score	l1000_gate_counts	l1000_non_no_go	manual_druggability_score	druggability_score	chembl_druggable_by_activity	chembl_source	chembl_target_chembl_id	chembl_pref_name	chembl_target_type	chembl_activity_records	chembl_best_nM	chembl_error	manual_prior_risk	prior_penalty	europepmc_hit_count	clinicaltrials_total_count	manual_blocker	europepmc_examples_json	best_direct_dataset	best_direct_condition
TYK2	IL-12/23/type-I-IFN cytokine kinase	inhibit TYK2	approved/clinical TYK2 inhibitors	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-7.5	False	False	False	True	False	0	0.0	NO_GO_CAUSAL_PROXY	False	2	0	0	False	2.5	nan	nan	True	0.0	1	-0.4053316992344634	-0.6408352558212436	broad_ifn_jak_like_collapse	False	0				False	3.0	3.0	True	chembl_api	CHEMBL3553	Non-receptor tyrosine-protein kinase TYK2	SINGLE PROTEIN	17210.0			blocking	5.0	7067	17	Direct autoimmune drug class prior art; no new lipid-lysosomal/APC-selective delta.	"[{""id"": ""41317333"", ""source"": ""MED"", ""title"": ""Type 1 Diabetes and Other Autoimmune Diseases-Epidemiology, Pathophysiology and Screening."", ""year"": ""2026""}, {""id"": ""42163726"", ""source"": ""MED"", ""title"": ""Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis and Four Autoimmune Diseases."", ""year"": ""2026""}, {""id"": ""39607709"", ""source"": ""MED"", ""title"": ""Autoimmune Disease is Increased in Women With Primary Ovarian Insufficiency."", ""year"": ""2025""}]"	GSE281048_Zenodo14035992	IFNB_pathway
PDE4D	cAMP brake on inflammatory APC activation	inhibit PDE4D only if isoform selectivity avoids class toxicity	small-molecule PDE4-family inhibitors	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-8.0	False	False	False	True	False	0	0.0		False	0	0	0	False	0.0				0.0	0	0.0			False	0				False	2.5	3.0	True	chembl_api	CHEMBL288	3',5'-cyclic-AMP phosphodiesterase 4D	SINGLE PROTEIN	3788.0			high	3.0	992	0	PDE4D selectivity does not solve weak local module reversal and class prior-art saturation.	"[{""id"": ""41111517"", ""source"": ""MED"", ""title"": ""Immunopharmacological potential of &lt;i&gt;Arctium lappa&lt;/i&gt; L. in immune-mediated skin diseases: A critical review of experimental and clinical evidence."", ""year"": ""2025""}, {""id"": ""PPR1168279"", ""source"": ""PPR"", ""title"": ""A Five-Gene Signature Identified by Integrating Single-Cell Analysis and Machine Learning Benchmarking Enables Rheumatoid Arthritis Diagnosis and Resveratrol Target Discovery"", ""year"": ""2026""}, {""id"": ""41594619"", ""source"": ""MED"", ""title"": ""Trends in Inhibitors, Structural Modifications, and Structure-Function Relationships of Phosphodiesterase 4: A Review."", ""year"": ""2026""}]"		
CTSS	lysosomal antigen-processing cathepsin	inhibit cathepsin S	small-molecule cysteine protease inhibitors	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-8.4	False	False	False	True	False	0	0.0	NO_GO_CAUSAL_PROXY	False	1	0	0	False	1.0	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	True	0.6	0	0.0			False	0				False	3.0	3.0	True	local_v3_druggability_table	CHEMBL2954	Cathepsin S	SINGLE PROTEIN	1000.0	0.1		blocking	5.0	2929	2	Direct cathepsin S autoimmune clinical/prior-art history and local selectivity concerns already demoted this route.	"[{""id"": ""41323472"", ""source"": ""MED"", ""title"": ""Mendelian randomization study of the causal relationship between autoimmune diseases and anemia using proteomic and genetic data."", ""year"": ""2025""}, {""id"": ""40692794"", ""source"": ""MED"", ""title"": ""Cathepsin S: molecular mechanisms in inflammatory and immunological processes."", ""year"": ""2025""}, {""id"": ""41625760"", ""source"": ""MED"", ""title"": ""Diagnostic potential of salivary biomarkers for primary biliary cholangitis: a systematic review."", ""year"": ""2025""}]"		
OSMR	OSM/OSMR tissue inflammatory remodeling	block OSMR signaling	antibody/biologic	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-8.5	False	False	False	True	False	0	0.0	NO_GO_CAUSAL_PROXY	False	1	0	0	False	1.0	nan	nan	True	0.0	0	0.0			False	0				False	2.0	2.0	False	chembl_api	CHEMBL4630885	Oncostatin-M-specific receptor subunit beta	SINGLE PROTEIN	0.0			medium_high	3.5	1121	1	Tissue-remodeling axis remains plausible but local module link and novelty are insufficient.	"[{""id"": ""41775781"", ""source"": ""MED"", ""title"": ""Integrative mendelian randomization approaches for therapeutic target prioritisation in immune-mediated diseases."", ""year"": ""2026""}, {""id"": ""39894192"", ""source"": ""MED"", ""title"": ""Soluble oncostatin M receptor (sOSMR): A potential biomarker in systemic sclerosis diagnosis."", ""year"": ""2025""}, {""id"": ""41867146"", ""source"": ""MED"", ""title"": ""Establishing a flow cytometry-based tissue receptor occupancy assay for an anti-oncostatin M receptor beta subunit therapeutic candidate in inflammatory bowel disease."", ""year"": ""2026""}]"		
PDE4B	cAMP brake on inflammatory APC activation	inhibit PDE4B-selectively if cAMP restoration suppresses APC state	small-molecule PDE4-family inhibitors	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-8.5	False	False	False	True	False	0	0.0		False	0	0	0	False	0.0				0.0	0	0.0			False	0				False	2.5	3.0	True	chembl_api	CHEMBL275	3',5'-cyclic-AMP phosphodiesterase 4B	SINGLE PROTEIN	3847.0			high	3.5	1091	0	Prior local PDE4/LINCS audit did not support a strong reversal signal; PDE4 is clinically/prior-art saturated in psoriasis/IBD.	"[{""id"": ""41899090"", ""source"": ""MED"", ""title"": ""Nerandomilast in Autoimmune-Associated Interstitial Lung Diseases: Translating Evidence from Progressive Pulmonary Fibrosis Studies."", ""year"": ""2026""}, {""id"": ""41851628"", ""source"": ""MED"", ""title"": ""A curated list of immune system associated genes related to cancer."", ""year"": ""2026""}, {""id"": ""39719300"", ""source"": ""MED"", ""title"": ""Rationale for phosphodiesterase-4 inhibition as a treatment strategy for interstitial lung diseases associated with rheumatic diseases."", ""year"": ""2024""}]"		
FAAH	endocannabinoid lipid signaling	inhibit FAAH to increase endocannabinoid tone	small-molecule enzyme inhibitors	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-8.5	False	False	False	True	False	0	0.0		False	0	0	0	False	0.0				0.0	0	0.0			False	1	0.0002426697405796	9.832139601459511	NO_GO:1	False	2.5	3.0	True	chembl_api	CHEMBL2243	Fatty-acid amide hydrolase 1	SINGLE PROTEIN	3498.0			medium_high	3.5	2105	2	CNS/lipid plausibility is not enough; no local module-state or genetics anchor emerged.	"[{""id"": ""41700170"", ""source"": ""MED"", ""title"": ""Altered endocannabinoid system gene expression in inflammatory bowel disease mucosa: New perspectives in inflammatory bowel disease management."", ""year"": ""2026""}, {""id"": ""41146433"", ""source"": ""MED"", ""title"": ""Cannabinoids in immune system-related diseases: From bench to clinic."", ""year"": ""2026""}, {""id"": ""40806215"", ""source"": ""MED"", ""title"": ""Therapeutic Potential of Isoxazole-(Iso)oxazole Hybrids: Three Decades of Research."", ""year"": ""2025""}]"		
TSPO	mitochondrial cholesterol/steroidogenesis and neuroinflammation imaging marker	unclear; ligand direction is not established for autoimmune module control	small-molecule ligands	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-8.5	False	False	False	True	False	0	0.0		False	0	0	0	False	0.0				0.0	0	0.0			False	1	1.0	3.809436687677312	NO_GO:1	False	2.0	3.0	True	chembl_api	CHEMBL5742	Translocator protein	SINGLE PROTEIN	427.0			medium_high	3.5	2984	18	Likely biomarker/imaging handle rather than causal controller in current data.	"[{""id"": ""40741102"", ""source"": ""MED"", ""title"": ""Translocator protein facilitates neutrophil-mediated mucosal inflammation in inflammatory bowel diseases."", ""year"": ""2025""}, {""id"": ""41947663"", ""source"": ""MED"", ""title"": ""PET imaging of microglial pathology in multiple sclerosis."", ""year"": ""2026""}, {""id"": ""PMC12910255"", ""source"": ""PMC"", ""title"": ""Interleukins in Major Depressive Disorder: Lessons From Autoimmune Diseases and Pathways to Clinical Translation"", ""year"": ""2026""}]"		
ALOX5	leukotriene/eicosanoid inflammatory lipid synthesis	inhibit 5-lipoxygenase	small-molecule enzyme inhibitors	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-8.5	False	False	False	True	False	0	0.0	NO_GO_CAUSAL_PROXY	False	0	0	0	False	0.0	nan	nan	True	0.0	0	0.0			False	1	1.0	3.905339840221639	NO_GO:1	False	2.5	3.0	True	chembl_api	CHEMBL215	Polyunsaturated fatty acid 5-lipoxygenase	SINGLE PROTEIN	4326.0			high	3.5	5367	0	Generic eicosanoid route with prior anti-inflammatory clinical history and weak module specificity.	"[{""id"": ""38774879"", ""source"": ""MED"", ""title"": ""Investigation of the causal association between Parkinson's disease and autoimmune disorders: a bidirectional Mendelian randomization study."", ""year"": ""2024""}, {""id"": ""41949720"", ""source"": ""MED"", ""title"": ""Regulatory B Cells at the Crossroads of Epigenetic Control and Immune Homeostasis."", ""year"": ""2026""}, {""id"": ""40840618"", ""source"": ""MED"", ""title"": ""Inhibition of ALOX5-dependent ferroptosis by 6-C-methylquercetin: a potential therapeutic approach for alleviating rheumatoid arthritis."", ""year"": ""2025""}]"		
IL6R	IL-6 receptor inflammatory signaling	block IL-6R	approved anti-IL6R biologics	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-9.0	False	False	False	True	False	0	0.0	NO_GO_CAUSAL_PROXY	False	0	0	0	True	1.0	nan	nan	True	0.0	0	0.0			False	0				False	3.0	3.0	False	chembl_api	CHEMBL2364155	Interleukin-6 receptor subunit alpha	SINGLE PROTEIN	0.0			blocking	5.0	50099	348	Approved autoimmune biologic class; not novel and not module-selective.	"[{""id"": ""41775781"", ""source"": ""MED"", ""title"": ""Integrative mendelian randomization approaches for therapeutic target prioritisation in immune-mediated diseases."", ""year"": ""2026""}, {""id"": ""41323472"", ""source"": ""MED"", ""title"": ""Mendelian randomization study of the causal relationship between autoimmune diseases and anemia using proteomic and genetic data."", ""year"": ""2025""}, {""id"": ""41794919"", ""source"": ""MED"", ""title"": ""Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach."", ""year"": ""2026""}]"		
RIPK1	necroptosis/inflammatory cell-death kinase	inhibit RIPK1 kinase activity	CNS-penetrant and peripheral small-molecule inhibitors	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-9.25	False	False	False	True	False	0	0.0		False	0	0	0	False	0.0				0.0	0	0.0			False	0				False	3.0	3.0	True	chembl_api	CHEMBL5464	Receptor-interacting serine/threonine-protein kinase 1	SINGLE PROTEIN	6272.0			high	4.25	4108	6	Cell-death route is plausible but not specifically tied to the replicated lipid-lysosomal/APC state in local data.	"[{""id"": ""41472723"", ""source"": ""MED"", ""title"": ""Co-occurrence of autoimmune diseases and metabolic disorders in familial mediterranean fever patients: review of literature and case reports."", ""year"": ""2025""}, {""id"": ""41019071"", ""source"": ""MED"", ""title"": ""RIPK1 signaling pathways: implications for autoimmune and neuroinflammatory diseases."", ""year"": ""2025""}, {""id"": ""41633120"", ""source"": ""MED"", ""title"": ""Small-molecule modulators of the necroptotic pathway: A medicinal chemistry perspective."", ""year"": ""2026""}]"		
NLRP3	inflammasome-driven IL-1 beta / pyroptotic myeloid activation	inhibit inflammasome activation	small-molecule inflammasome inhibitors	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-9.25	False	False	False	True	False	0	0.0		False	0	0	0	False	0.0				0.0	0	0.0			False	0				False	3.0	3.0	True	chembl_api	CHEMBL1741208	NACHT, LRR and PYD domains-containing protein 3	SINGLE PROTEIN	1212.0			high	4.25	45855	29	Broad inflammatory prior art is heavy and local module-specific perturbation support is absent.	"[{""id"": ""41519815"", ""source"": ""MED"", ""title"": ""Genetically predicted susceptibility to dust-induced lung diseases and risk of autoimmune diseases: a two sample Mendelian randomization study."", ""year"": ""2026""}, {""id"": ""41472723"", ""source"": ""MED"", ""title"": ""Co-occurrence of autoimmune diseases and metabolic disorders in familial mediterranean fever patients: review of literature and case reports."", ""year"": ""2025""}, {""id"": ""PMC12861005"", ""source"": ""PMC"", ""title"": ""Microbiota-immune crosstalk in autoimmune disorders: Molecular insights and therapeutic pathways"", ""year"": ""2026""}]"		
IRAK4	TLR/MyD88 innate signaling kinase upstream of lysosomal TLR programs	inhibit IRAK4	small-molecule kinase inhibitors/degraders	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-9.25	False	False	False	True	False	0	0.0		False	0	0	0	False	0.0				0.0	0	0.0			False	0				False	3.0	3.0	True	chembl_api	CHEMBL3778	Interleukin-1 receptor-associated kinase 4	SINGLE PROTEIN	13146.0			high	4.25	2987	6	Generic TLR blockade, infection risk, and prior autoimmune programs block a novel cross-module claim.	"[{""id"": ""41153754"", ""source"": ""MED"", ""title"": ""Interferons in Autoimmunity: From Loss of Tolerance to Chronic Inflammation."", ""year"": ""2025""}, {""id"": ""41007813"", ""source"": ""MED"", ""title"": ""Interferon Regulator Factor 5: A Novel Inflammatory Marker and Promising Therapeutic Target in Ulcerative Colitis."", ""year"": ""2025""}, {""id"": ""41851628"", ""source"": ""MED"", ""title"": ""A curated list of immune system associated genes related to cancer."", ""year"": ""2026""}]"		
