gene	selection_reasons	discovery_priority_score	broad_positive_disease_count	broad_negative_disease_count	broad_ms_positive_nominal	ms_wm_delta_log2	ms_wm_p	in_lipid_lysosomal_myeloid_neighborhood	raw_positive_analysis_count	raw_positive_disease_count	raw_negative_analysis_count	retained_positive_analysis_count	retained_positive_disease_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	raw_positive_analyses	top_retained_tests	residual_gate_priority_score
HLA-DRB1	four_disease_low_contradiction;top_rank	19.0	4.0	0.0	False	0.5468677387854282	0.057765674762618	False	4	4	0	4	4	2	2	0	0		ibd_uc_epithelial:0.528,p=0.012;t1d_endothelial_cell:0.304,p=0.024;sjogren_gland_epithelial:0.49,p=0.027;ibd_crohn_epithelial:0.472,p=0.029	ibd_uc_epithelial|lysosomal_apc:0.553,p=0.0019;ibd_uc_epithelial|complement_phagocytosis:0.531,p=0.011;ibd_uc_epithelial|core_lysosomal_lipid:0.466,p=0.012;sjogren_gland_epithelial|complement_effector:0.506,p=0.019;sjogren_gland_epithelial|hif_nampt_metabolic:0.501,p=0.023;sjogren_gland_epithelial|lipid_loader_repair:0.496,p=0.025;sjogren_gland_epithelial|lysosomal_apc:0.493,p=0.026;sjogren_gland_epithelial|core_lysosomal_lipid:0.49,p=0.027	8
FKBP1A	four_disease_low_contradiction	16.02885674584491	4.0	1.0	False	-0.3348545094591504	0.2385454869670045	False	4	4	0	4	4	2	2	0	0		ibd_uc_myeloid:0.497,p=0.005;t1d_acinar_cell:0.529,p=0.015;psoriasis_skin_stromal:0.329,p=0.021;ibd_crohn_myeloid:0.315,p=0.033	t1d_acinar_cell|lysosomal_apc:0.352,p=0.0032;t1d_acinar_cell|ifn_apc:0.32,p=0.0042;psoriasis_skin_stromal|lipid_loader_repair:0.334,p=0.014;ibd_crohn_myeloid|lipid_loader_repair:0.341,p=0.016;t1d_acinar_cell|hla_ii_apc:0.419,p=0.017;psoriasis_skin_stromal|hif_nampt_metabolic:0.32,p=0.018;psoriasis_skin_stromal|inflammatory_nfkb:0.33,p=0.018;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.341,p=0.02	8
CD74	four_disease_low_contradiction;mechanistic_scout	14.5	4.0	1.0	False	0.2553907019006836	0.2187160729350419	False	5	4	0	5	4	3	2	0	0		t1d_ductal_cell:0.544,p=0.00038;sjogren_gland_epithelial:0.362,p=0.0017;ibd_crohn_epithelial:0.946,p=0.013;ibd_uc_epithelial:0.77,p=0.017;t1d_stellate_cell:0.613,p=0.018	t1d_ductal_cell|lipid_loader_repair:0.556,p=0.00025;sjogren_gland_epithelial|complement_effector:0.377,p=0.00042;sjogren_gland_epithelial|lipid_loader_repair:0.38,p=0.00063;t1d_ductal_cell|c1q_phagocytic_myeloid:0.539,p=0.00063;sjogren_gland_epithelial|hif_nampt_metabolic:0.376,p=0.00073;t1d_ductal_cell|complement_phagocytosis:0.489,p=0.00078;sjogren_gland_epithelial|core_lysosomal_lipid:0.37,p=0.00085;sjogren_gland_epithelial|lysosomal_apc:0.376,p=0.00091	8
HAPLN3	top_rank	18.0	3.0	0.0	False	0.8526766392396308	0.3481001034968946	False	6	4	0	4	4	2	2	0	0		psoriasis_skin_apc:1.03,p=0.0016;t1d_acinar_cell:0.205,p=0.011;ibd_crohn_stromal:0.392,p=0.014;t1d_ductal_cell:0.218,p=0.018;ibd_uc_myeloid:0.226,p=0.018;ibd_uc_stromal:0.554,p=0.031	psoriasis_skin_apc|c1q_phagocytic_myeloid:1.03,p=0.0011;psoriasis_skin_apc|complement_phagocytosis:1.03,p=0.0015;psoriasis_skin_apc|hif_nampt_metabolic:0.979,p=0.0035;psoriasis_skin_apc|mif_cd74_receptor_state:0.937,p=0.004;ibd_uc_stromal|hla_ii_apc:0.475,p=0.0046;ibd_uc_stromal|lysosomal_apc:0.632,p=0.0059;ibd_uc_stromal|ifn_apc:0.587,p=0.007;ibd_crohn_stromal|lysosomal_apc:0.405,p=0.0081	8
ACSL1	lipid_lysosomal_two_disease;mechanistic_scout	7.784525010177792	2.0	1.0	False	0.0335463402392637	0.9588038259244676	True	3	2	1	3	2	0	0	1	1	ibd_crohn_stromal:Crohn disease	ibd_crohn_stromal:0.595,p=0.0092;ibd_crohn_myeloid:1.7,p=0.015;ibd_uc_myeloid:1.98,p=0.023	ibd_crohn_myeloid|hla_ii_apc:1.86,p=0.0008;ibd_crohn_stromal|complement_effector:0.607,p=0.0066;ibd_crohn_stromal|lysosomal_apc:0.573,p=0.0074;ibd_crohn_stromal|ifn_apc:0.598,p=0.0088;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.37,p=0.012;ibd_crohn_myeloid|mif_cd74_receptor_state:1.73,p=0.012;ibd_crohn_stromal|c1q_phagocytic_myeloid:0.502,p=0.013;ibd_crohn_stromal|hla_ii_apc:0.573,p=0.013	7
PSME1	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	23.080492267647816	5.0	0.0	False	-0.2037368565985371	0.3993275020823	False	4	3	0	4	3	3	2	0	0		ibd_uc_myeloid:0.463,p=0.00088;t1d_acinar_cell:0.658,p=0.014;t1d_ductal_cell:0.407,p=0.028;psoriasis_skin_apc:0.465,p=0.039	t1d_acinar_cell|lysosomal_apc:0.362,p=4.5e-05;ibd_uc_myeloid|lipid_loader_repair:0.421,p=0.0036;t1d_acinar_cell|ifn_apc:0.342,p=0.0048;t1d_acinar_cell|complement_phagocytosis:0.464,p=0.0091;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.36,p=0.01;ibd_uc_myeloid|hla_ii_apc:0.354,p=0.011;ibd_uc_myeloid|complement_effector:0.382,p=0.011;t1d_ductal_cell|complement_phagocytosis:0.437,p=0.02	7
TMSB10	four_disease_low_contradiction;top_rank	23.099282650539287	4.0	0.0	False	0.1355995347879997	0.2921719507155929	False	6	3	0	6	3	5	2	0	0		t1d_endothelial_cell:0.398,p=0.0013;ibd_uc_epithelial:0.294,p=0.0045;psoriasis_keratinocyte:1.15,p=0.0069;t1d_ductal_cell:0.31,p=0.02;psoriasis_skin_apc:0.697,p=0.037;t1d_acinar_cell:0.642,p=0.037	t1d_endothelial_cell|lysosomal_apc:0.316,p=0.0015;ibd_uc_epithelial|lysosomal_apc:0.303,p=0.0015;ibd_uc_epithelial|complement_phagocytosis:0.298,p=0.0029;t1d_endothelial_cell|c1q_phagocytic_myeloid:0.367,p=0.0043;t1d_endothelial_cell|hla_ii_apc:0.361,p=0.014;ibd_uc_epithelial|core_lysosomal_lipid:0.235,p=0.015;t1d_ductal_cell|complement_phagocytosis:0.337,p=0.016;t1d_endothelial_cell|ifn_apc:0.34,p=0.018	7
PTPN2	four_disease_low_contradiction;top_rank	18.0	4.0	0.0	False	-0.0059418057306839	0.9843569990044077	False	3	3	0	3	3	2	2	0	0		psoriasis_skin_apc:0.488,p=0.0015;ibd_uc_myeloid:0.484,p=0.0036;t1d_endothelial_cell:0.234,p=0.038	psoriasis_skin_apc|hif_nampt_metabolic:0.46,p=0.0045;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.488,p=0.0062;psoriasis_skin_apc|complement_phagocytosis:0.488,p=0.0071;ibd_uc_myeloid|hla_ii_apc:0.452,p=0.0078;psoriasis_skin_apc|mif_cd74_receptor_state:0.449,p=0.011;psoriasis_skin_apc|lipid_loader_repair:0.463,p=0.015;ibd_uc_myeloid|lipid_loader_repair:0.385,p=0.026;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.275,p=0.026	7
CNN3	top_rank	18.175623394097485	3.0	0.0	False	-0.4698433852675929	0.4900943375716319	False	5	3	0	5	3	4	2	0	0		t1d_acinar_cell:0.538,p=0.01;t1d_endothelial_cell:0.453,p=0.015;psoriasis_skin_stromal:0.293,p=0.02;t1d_stellate_cell:0.458,p=0.031;ibd_crohn_stromal:0.254,p=0.041	psoriasis_skin_stromal|inflammatory_nfkb:0.298,p=0.0009;psoriasis_skin_stromal|hif_nampt_metabolic:0.274,p=0.0025;t1d_acinar_cell|lysosomal_apc:0.419,p=0.0061;t1d_acinar_cell|ifn_apc:0.395,p=0.007;t1d_acinar_cell|complement_phagocytosis:0.489,p=0.011;t1d_acinar_cell|hla_ii_apc:0.474,p=0.012;t1d_acinar_cell|mif_cd74_receptor_state:0.502,p=0.014;psoriasis_skin_stromal|lipid_loader_repair:0.296,p=0.014	7
C15ORF48	ms_positive_three_disease;top_rank	24.0	3.0	0.0	True	1.223015588579818	0.0037534871126623	False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:2.42,p=0.0035;ibd_crohn_myeloid:1.44,p=0.024;t1d_endothelial_cell:0.848,p=0.046	ibd_crohn_myeloid|hla_ii_apc:1.58,p=0.0017;ibd_uc_myeloid|hla_ii_apc:1.89,p=0.0069;ibd_uc_myeloid|c1q_phagocytic_myeloid:1.82,p=0.0084;ibd_uc_myeloid|lipid_loader_repair:1.54,p=0.0096;t1d_endothelial_cell|lysosomal_apc:0.656,p=0.01;ibd_crohn_myeloid|mif_cd74_receptor_state:1.47,p=0.019;ibd_crohn_myeloid|complement_effector:1.45,p=0.023;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.14,p=0.023	7
CHI3L1	lipid_lysosomal_two_disease;mechanistic_scout;ms_positive_three_disease;top_rank	23.246925582569283	3.0	0.0	True	2.006853151074319	0.0046126032857275	True	2	2	0	2	2	1	1	0	0		ibd_uc_stromal:4.14,p=0.02;psoriasis_skin_stromal:0.477,p=0.047	psoriasis_skin_stromal|hif_nampt_metabolic:0.455,p=0.01;ibd_uc_stromal|complement_effector:4.19,p=0.012;ibd_uc_stromal|ifn_apc:4.02,p=0.016;ibd_uc_stromal|hla_ii_apc:4.19,p=0.018;psoriasis_skin_stromal|inflammatory_nfkb:0.481,p=0.018;psoriasis_skin_stromal|lipid_loader_repair:0.493,p=0.02;ibd_uc_stromal|lysosomal_apc:4.03,p=0.024;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.48,p=0.045	7
TGM2	top_rank	21.704581079493423	3.0	0.0	False	-0.9454639666769412	0.3323926040170903	False	6	2	1	5	2	0	0	1	1	ibd_uc_stromal:ulcerative colitis	ibd_crohn_myeloid:0.353,p=0.00047;ibd_uc_stromal:0.552,p=0.0037;ibd_crohn_stromal:0.332,p=0.026;ibd_crohn_epithelial:0.22,p=0.033;ibd_uc_myeloid:0.676,p=0.034;ibd_uc_epithelial:0.999,p=0.044	ibd_uc_stromal|lysosomal_apc:0.601,p=0.00018;ibd_crohn_myeloid|hla_ii_apc:0.335,p=0.00084;ibd_uc_stromal|ifn_apc:0.572,p=0.0014;ibd_uc_stromal|hla_ii_apc:0.499,p=0.0015;ibd_crohn_myeloid|lipid_loader_repair:0.328,p=0.0016;ibd_crohn_stromal|complement_effector:0.279,p=0.0019;ibd_crohn_myeloid|complement_effector:0.316,p=0.0021;ibd_uc_stromal|complement_effector:0.557,p=0.0028	6
IL15	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	22.0	5.0	0.0	False	1.1957614008388182	0.1225512579945805	False	3	3	0	2	2	2	2	0	0		psoriasis_skin_stromal:0.269,p=0.034;ibd_uc_myeloid:0.383,p=0.048;sjogren_gland_apc:0.207,p=0.048	psoriasis_skin_stromal|inflammatory_nfkb:0.272,p=0.014;psoriasis_skin_stromal|hif_nampt_metabolic:0.256,p=0.018;sjogren_gland_apc|hif_nampt_metabolic:0.225,p=0.025;sjogren_gland_apc|lysosomal_apc:0.219,p=0.03;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.238,p=0.031;sjogren_gland_apc|hla_ii_apc:0.222,p=0.031;psoriasis_skin_stromal|lipid_loader_repair:0.259,p=0.035;sjogren_gland_apc|mif_cd74_receptor_state:0.212,p=0.043	6
CDC42SE1	top_rank	17.0	3.0	0.0	False	-0.046012389601886	0.7441873395563302	False	4	3	0	3	2	3	2	0	0		t1d_ductal_cell:0.227,p=0.0069;ibd_uc_myeloid:0.404,p=0.032;psoriasis_keratinocyte:0.336,p=0.044;t1d_endothelial_cell:0.35,p=0.05	t1d_ductal_cell|complement_phagocytosis:0.276,p=0.00032;t1d_ductal_cell|c1q_phagocytic_myeloid:0.231,p=0.0038;t1d_ductal_cell|mif_cd74_receptor_state:0.211,p=0.012;t1d_endothelial_cell|hla_ii_apc:0.387,p=0.013;t1d_endothelial_cell|ifn_apc:0.402,p=0.016;psoriasis_keratinocyte|inflammatory_nfkb:0.269,p=0.024;t1d_endothelial_cell|c1q_phagocytic_myeloid:0.316,p=0.036	6
NDUFA11	top_rank	17.027098638435444	3.0	0.0	False	0.2441454867594998	0.1335462695173637	False	2	2	0	2	2	2	2	0	0		t1d_acinar_cell:0.374,p=0.0014;sjogren_gland_stromal:0.229,p=0.042	t1d_acinar_cell|complement_phagocytosis:0.337,p=0.0014;t1d_acinar_cell|mif_cd74_receptor_state:0.325,p=0.0029;t1d_acinar_cell|hla_ii_apc:0.316,p=0.0065;t1d_acinar_cell|lysosomal_apc:0.288,p=0.0094;t1d_acinar_cell|ifn_apc:0.292,p=0.0095;t1d_acinar_cell|c1q_phagocytic_myeloid:0.246,p=0.012;sjogren_gland_stromal|lipid_loader_repair:0.269,p=0.013;sjogren_gland_stromal|hif_nampt_metabolic:0.256,p=0.013	6
SNRPG	top_rank	17.0	3.0	0.0	False	0.3077941475307817	0.1809249646615436	False	4	2	0	4	2	4	2	0	0		t1d_acinar_cell:0.464,p=0.00031;t1d_stellate_cell:0.345,p=0.016;psoriasis_skin_stromal:0.247,p=0.016;t1d_ductal_cell:0.286,p=0.018	t1d_acinar_cell|complement_phagocytosis:0.411,p=0.0006;t1d_acinar_cell|mif_cd74_receptor_state:0.425,p=0.00063;t1d_ductal_cell|complement_phagocytosis:0.339,p=0.0007;t1d_acinar_cell|hla_ii_apc:0.433,p=0.00072;t1d_acinar_cell|lysosomal_apc:0.418,p=0.00092;t1d_acinar_cell|ifn_apc:0.41,p=0.0012;t1d_stellate_cell|complement_effector:0.459,p=0.0014;t1d_ductal_cell|c1q_phagocytic_myeloid:0.292,p=0.0036	6
CALR	lipid_lysosomal_two_disease;mechanistic_scout;top_rank	19.17805084766681	3.0	0.0	False	-0.3627605322732279	0.0595887198784885	True	5	3	0	5	3	1	1	0	0		ibd_uc_epithelial:0.459,p=0.00069;ibd_crohn_epithelial:0.418,p=0.0039;ibd_uc_myeloid:0.262,p=0.011;ibd_crohn_stromal:0.354,p=0.013;psoriasis_skin_stromal:0.472,p=0.037	ibd_uc_epithelial|complement_phagocytosis:0.453,p=0.0007;ibd_uc_epithelial|lysosomal_apc:0.456,p=0.00091;ibd_crohn_epithelial|lysosomal_apc:0.343,p=0.0044;ibd_uc_epithelial|lipid_loader_repair:0.391,p=0.0045;ibd_crohn_epithelial|complement_phagocytosis:0.388,p=0.0066;ibd_uc_epithelial|core_lysosomal_lipid:0.347,p=0.011;ibd_crohn_stromal|lysosomal_apc:0.354,p=0.013;ibd_crohn_stromal|inflammatory_nfkb:0.238,p=0.014	6
DAP	mechanistic_scout;ms_positive_three_disease;top_rank	20.0	3.0	0.0	True	0.3933456450044126	0.0080691967127082	False	3	3	0	2	2	1	1	0	0		psoriasis_skin_stromal:0.245,p=0.0051;ibd_uc_epithelial:0.222,p=0.0062;ibd_crohn_epithelial:0.268,p=0.042	psoriasis_skin_stromal|inflammatory_nfkb:0.246,p=0.0021;psoriasis_skin_stromal|hif_nampt_metabolic:0.239,p=0.004;ibd_uc_epithelial|complement_phagocytosis:0.218,p=0.0061;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.223,p=0.0063;ibd_uc_epithelial|lysosomal_apc:0.214,p=0.0067;psoriasis_skin_stromal|lipid_loader_repair:0.239,p=0.023	6
FMNL2	four_disease_low_contradiction;ms_positive_three_disease;top_rank	24.108688016533844	4.0	0.0	True	0.4116873433440275	0.0323812070948891	False	2	2	0	2	2	1	1	0	0		ibd_uc_epithelial:0.227,p=0.0018;psoriasis_keratinocyte:0.767,p=0.041	ibd_uc_epithelial|lysosomal_apc:0.229,p=0.0011;ibd_uc_epithelial|complement_phagocytosis:0.225,p=0.002;psoriasis_keratinocyte|inflammatory_nfkb:0.663,p=0.049	6
SDC4	mechanistic_scout;top_rank	19.0	2.0	0.0	True	0.9585668826117236	0.0249633235459631	False	2	2	0	2	2	1	1	0	0		t1d_endothelial_cell:0.481,p=0.0012;ibd_uc_myeloid:0.405,p=0.018	t1d_endothelial_cell|lysosomal_apc:0.441,p=0.00028;t1d_endothelial_cell|c1q_phagocytic_myeloid:0.466,p=0.0018;t1d_endothelial_cell|hla_ii_apc:0.467,p=0.0028;t1d_endothelial_cell|ifn_apc:0.457,p=0.0034;t1d_endothelial_cell|hif_nampt_metabolic:0.385,p=0.0039;t1d_endothelial_cell|lipid_loader_repair:0.312,p=0.0088;t1d_endothelial_cell|core_lysosomal_lipid:0.283,p=0.021;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.35,p=0.042	6
CTSL	lipid_lysosomal_two_disease;mechanistic_scout	12.28816590226246	2.0	1.0	True	0.4062437628526023	0.0338072600121596	True	1	1	0	1	1	1	1	0	0		psoriasis_keratinocyte:0.702,p=0.0043	psoriasis_keratinocyte|inflammatory_nfkb:0.638,p=0.015	6
NLRC5	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	22.0	5.0	0.0	False	-0.1754720644354748	0.4867392295596717	False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:0.377,p=0.0036;ibd_crohn_myeloid:0.435,p=0.012;psoriasis_skin_stromal:0.579,p=0.041	psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.49,p=0.0018;ibd_crohn_myeloid|hla_ii_apc:0.378,p=0.016;ibd_crohn_myeloid|lipid_loader_repair:0.415,p=0.018;ibd_uc_myeloid|hla_ii_apc:0.281,p=0.022;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.384,p=0.022;ibd_crohn_myeloid|complement_effector:0.342,p=0.023;ibd_crohn_myeloid|core_lysosomal_lipid:0.256,p=0.025;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.288,p=0.025	5
JAK3	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	17.0	5.0	1.0	False	-1.2743341179086656	0.0149902470163362	False	4	3	0	4	3	2	1	0	0		psoriasis_skin_stromal:0.329,p=0.0044;ibd_uc_myeloid:0.85,p=0.0055;ibd_crohn_myeloid:0.544,p=0.0096;psoriasis_skin_apc:0.961,p=0.019	psoriasis_skin_stromal|inflammatory_nfkb:0.329,p=0.0042;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.964,p=0.0045;psoriasis_skin_stromal|hif_nampt_metabolic:0.324,p=0.0048;psoriasis_skin_apc|complement_phagocytosis:0.961,p=0.0058;psoriasis_skin_stromal|lipid_loader_repair:0.315,p=0.01;ibd_crohn_myeloid|lipid_loader_repair:0.528,p=0.012;ibd_crohn_myeloid|hla_ii_apc:0.507,p=0.013;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.307,p=0.013	5
PI3	four_disease_low_contradiction;top_rank	22.0	4.0	0.0	False			False	3	3	0	3	3	1	1	0	0		ibd_uc_epithelial:2.53,p=0.001;psoriasis_keratinocyte:6.04,p=0.032;ibd_crohn_epithelial:0.588,p=0.044	ibd_uc_epithelial|complement_phagocytosis:2.45,p=2e-06;ibd_uc_epithelial|lysosomal_apc:2.46,p=6.9e-05;ibd_uc_epithelial|core_lysosomal_lipid:1.9,p=0.0021;ibd_uc_epithelial|lipid_loader_repair:2.31,p=0.0042;ibd_uc_epithelial|mixscale_validated_ifng_readout:1.5,p=0.013;ibd_crohn_epithelial|lysosomal_apc:0.402,p=0.033;psoriasis_keratinocyte|inflammatory_nfkb:5.6,p=0.034;ibd_uc_epithelial|hla_ii_apc:1.4,p=0.036	5
CCL20	four_disease_low_contradiction;top_rank	22.0	4.0	0.0	False	1.1469018183892334	0.0611072952242856	False	4	3	0	4	3	1	1	0	0		ibd_crohn_epithelial:0.429,p=0.00062;ibd_uc_myeloid:1.68,p=0.024;ibd_crohn_myeloid:0.776,p=0.031;t1d_ductal_cell:1.24,p=0.041	ibd_crohn_epithelial|complement_phagocytosis:0.396,p=0.00099;ibd_crohn_epithelial|lysosomal_apc:0.391,p=0.0018;ibd_crohn_myeloid|hla_ii_apc:0.806,p=0.022;ibd_crohn_epithelial|inflammatory_nfkb:0.28,p=0.025;t1d_ductal_cell|hif_nampt_metabolic:0.808,p=0.032;t1d_ductal_cell|c1q_phagocytic_myeloid:1.24,p=0.041;t1d_ductal_cell|complement_phagocytosis:1.2,p=0.043;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.677,p=0.046	5
KCNJ2	four_disease_low_contradiction;top_rank	21.0	4.0	0.0	False	0.0024263976862091	0.9930959415390695	False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:1.09,p=0.003;ibd_crohn_myeloid:1.52,p=0.014;psoriasis_keratinocyte:0.4,p=0.034	ibd_crohn_myeloid|hla_ii_apc:1.65,p=0.0017;ibd_uc_myeloid|hla_ii_apc:0.883,p=0.0055;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.17,p=0.0085;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.815,p=0.0095;ibd_crohn_myeloid|mif_cd74_receptor_state:1.55,p=0.012;ibd_uc_myeloid|lipid_loader_repair:0.724,p=0.012;ibd_crohn_myeloid|complement_effector:1.53,p=0.013;ibd_crohn_myeloid|lipid_loader_repair:1.33,p=0.02	5
P4HB	four_disease_low_contradiction;top_rank	20.206369217058295	4.0	0.0	False	-0.1078198500006752	0.5193269228408691	False	3	3	0	3	3	1	1	0	0		ibd_uc_epithelial:0.486,p=0.0006;ibd_crohn_epithelial:0.48,p=0.0082;psoriasis_skin_stromal:0.327,p=0.031	ibd_uc_epithelial|lysosomal_apc:0.472,p=0.00043;ibd_uc_epithelial|complement_phagocytosis:0.477,p=0.00055;ibd_uc_epithelial|lipid_loader_repair:0.437,p=0.003;ibd_crohn_epithelial|lysosomal_apc:0.362,p=0.0059;ibd_uc_epithelial|core_lysosomal_lipid:0.355,p=0.0083;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.338,p=0.01;ibd_crohn_epithelial|complement_phagocytosis:0.441,p=0.015;ibd_uc_epithelial|mixscale_validated_ifng_readout:0.344,p=0.02	5
SBNO2	four_disease_low_contradiction;top_rank	20.0	4.0	0.0	False	-0.3898123533746496	0.3337161519905203	False	5	3	0	4	3	1	1	0	0		ibd_crohn_epithelial:0.335,p=0.0016;ibd_uc_epithelial:0.396,p=0.0083;psoriasis_keratinocyte:0.666,p=0.016;ibd_crohn_myeloid:0.392,p=0.024;ibd_uc_myeloid:0.442,p=0.04	ibd_crohn_epithelial|lysosomal_apc:0.289,p=0.0015;ibd_crohn_epithelial|complement_phagocytosis:0.301,p=0.0022;ibd_uc_epithelial|lipid_loader_repair:0.402,p=0.0068;ibd_uc_epithelial|lysosomal_apc:0.391,p=0.0082;ibd_uc_epithelial|complement_phagocytosis:0.393,p=0.0088;ibd_uc_epithelial|core_lysosomal_lipid:0.388,p=0.0089;ibd_crohn_myeloid|hla_ii_apc:0.389,p=0.025;psoriasis_keratinocyte|inflammatory_nfkb:0.626,p=0.031	5
ASL	four_disease_low_contradiction;top_rank	20.0	4.0	0.0	False	-0.321226334266484	0.2727488139944647	False	3	3	0	3	3	1	1	0	0		ibd_crohn_epithelial:0.266,p=0.00043;psoriasis_keratinocyte:0.603,p=0.015;ibd_uc_stromal:0.437,p=0.035	ibd_crohn_epithelial|complement_phagocytosis:0.265,p=0.00049;ibd_crohn_epithelial|lysosomal_apc:0.25,p=0.00087;ibd_uc_stromal|lysosomal_apc:0.484,p=0.011;ibd_uc_stromal|complement_effector:0.445,p=0.015;ibd_uc_stromal|core_lysosomal_lipid:0.402,p=0.025;psoriasis_keratinocyte|inflammatory_nfkb:0.581,p=0.03;ibd_uc_stromal|hla_ii_apc:0.4,p=0.03;ibd_uc_stromal|ifn_apc:0.444,p=0.031	5
LRG1	four_disease_low_contradiction;top_rank	19.094898906337537	4.0	0.0	False	0.2380702563143817	0.6702536111918803	False	3	3	0	3	3	1	1	0	0		ibd_crohn_myeloid:0.825,p=0.0052;ibd_uc_myeloid:1.18,p=0.009;t1d_ductal_cell:0.526,p=0.019	ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.729,p=0.0057;ibd_crohn_myeloid|hla_ii_apc:0.809,p=0.0068;ibd_crohn_myeloid|lipid_loader_repair:0.699,p=0.0072;ibd_crohn_myeloid|complement_phagocytosis:0.641,p=0.0096;ibd_crohn_myeloid|complement_effector:0.763,p=0.0097;ibd_crohn_myeloid|core_lysosomal_lipid:0.632,p=0.016;ibd_crohn_myeloid|mif_cd74_receptor_state:0.71,p=0.016;t1d_ductal_cell|complement_effector:0.215,p=0.019	5
APOL1	four_disease_low_contradiction;top_rank	19.0	4.0	0.0	False	-0.1201588560224085	0.5940095372095473	False	3	3	0	3	3	1	1	0	0		psoriasis_skin_apc:0.571,p=0.0014;ibd_uc_epithelial:0.867,p=0.0018;ibd_crohn_epithelial:0.408,p=0.041	ibd_uc_epithelial|complement_phagocytosis:0.878,p=0.001;ibd_uc_epithelial|lysosomal_apc:0.884,p=0.001;psoriasis_skin_apc|complement_phagocytosis:0.571,p=0.0021;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.571,p=0.0022;psoriasis_skin_apc|lipid_loader_repair:0.553,p=0.0022;psoriasis_skin_apc|mif_cd74_receptor_state:0.542,p=0.0061;ibd_uc_epithelial|lipid_loader_repair:0.685,p=0.0062;ibd_uc_epithelial|core_lysosomal_lipid:0.666,p=0.007	5
IDO1	four_disease_low_contradiction;mechanistic_scout;top_rank	19.0	4.0	0.0	False			False	3	3	0	3	3	1	1	0	0		ibd_uc_myeloid:1.22,p=0.0066;ibd_crohn_myeloid:1.69,p=0.011;sjogren_gland_apc:0.355,p=0.037	ibd_crohn_myeloid|hla_ii_apc:1.51,p=0.0076;ibd_crohn_myeloid|complement_effector:1.42,p=0.011;ibd_uc_myeloid|hla_ii_apc:0.974,p=0.012;ibd_crohn_myeloid|lipid_loader_repair:1.64,p=0.013;ibd_crohn_myeloid|core_lysosomal_lipid:1.2,p=0.016;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.55,p=0.017;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.865,p=0.02;ibd_uc_myeloid|lipid_loader_repair:0.86,p=0.02	5
PPIF	four_disease_low_contradiction;top_rank	18.064493936531907	4.0	0.0	False	0.0794098483837952	0.7293829927625533	False	3	3	0	3	3	1	1	0	0		psoriasis_keratinocyte:0.318,p=0.0064;ibd_uc_myeloid:1.58,p=0.0075;ibd_crohn_myeloid:1.31,p=0.021	ibd_crohn_myeloid|hla_ii_apc:1.43,p=0.0026;psoriasis_keratinocyte|inflammatory_nfkb:0.313,p=0.0089;ibd_uc_myeloid|hla_ii_apc:1.34,p=0.019;ibd_uc_myeloid|c1q_phagocytic_myeloid:1.18,p=0.02;ibd_uc_myeloid|lipid_loader_repair:0.891,p=0.022;ibd_crohn_myeloid|mif_cd74_receptor_state:1.3,p=0.022;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.09,p=0.024;ibd_crohn_myeloid|core_lysosomal_lipid:1.03,p=0.024	5
