gene	selection_reasons	discovery_priority_score	positive_disease_count	negative_disease_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	ms_positive_nominal	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	in_lipid_lysosomal_myeloid_neighborhood	top_positive_compartments
IL15	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	22.0	5.0	0.0	5.0	0.0	0.0	False	1.1957614008388182	0.1225512579945805	0.8989378106274888	False	ibd_crohn_myeloid:2.35,p=0.0082;t1d_ductal_cell:0.78,p=0.02;sjogren_gland_apc:1.81,p=0.026;psoriasis_skin_stromal:1.02,p=0.042;ibd_uc_myeloid:1.63,p=0.045
NLRC5	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	22.0	5.0	0.0	7.0	0.0	0.0	False	-0.1754720644354748	0.4867392295596717	0.926038761164836	False	t1d_stellate_cell:1.26,p=0.018;ibd_crohn_myeloid:2.2,p=0.02;psoriasis_skin_apc:1.72,p=0.021;psoriasis_skin_stromal:1.34,p=0.024;ibd_uc_myeloid:1.9,p=0.035;sjogren_gland_epithelial:0.859,p=0.036;ibd_crohn_stromal:1.18,p=0.044
PPIA	five_disease;four_disease_low_contradiction;top_rank	21.024462517773856	5.0	0.0	6.0	0.0	0.0	False	0.0798111319015699	0.5869705544995741	0.9464449594593544	False	ibd_uc_stromal:0.365,p=0.006;sjogren_gland_epithelial:0.298,p=0.016;t1d_acinar_cell:0.603,p=0.025;ibd_crohn_epithelial:0.327,p=0.035;psoriasis_skin_apc:0.603,p=0.039;sjogren_gland_apc:0.282,p=0.044
CD82	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	21.0	5.0	0.0	6.0	0.0	0.0	False	0.5036946542270737	0.1728910748647989	0.8993702893651148	False	ibd_uc_epithelial:1.24,p=0.0023;sjogren_gland_stromal:0.693,p=0.01;ibd_uc_stromal:1.51,p=0.014;t1d_ductal_cell:0.526,p=0.025;ibd_crohn_epithelial:0.726,p=0.025;psoriasis_keratinocyte:0.372,p=0.037
JAK3	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	17.0	5.0	1.0	6.0	1.0	0.0	False	-1.2743341179086656	0.0149902470163362	0.8372898579012464	False	psoriasis_skin_stromal:1.06,p=0.0035;psoriasis_skin_apc:2.21,p=0.0073;ibd_uc_myeloid:2.43,p=0.012;ibd_crohn_myeloid:2.34,p=0.012;sjogren_gland_apc:1.93,p=0.021;t1d_stellate_cell:1.22,p=0.037
CBX3	four_disease_low_contradiction;ms_positive_three_disease;top_rank	33.0	4.0	0.0	10.0	0.0	2.0	True	0.3505111291715241	0.0165873089490037	0.8372898579012464	False	ibd_crohn_epithelial:0.379,p=0.0012;ibd_uc_stromal:0.706,p=0.0014;psoriasis_skin_stromal:0.495,p=0.0031;t1d_stellate_cell:0.392,p=0.0038;t1d_acinar_cell:0.707,p=0.0083;psoriasis_keratinocyte:0.812,p=0.012;ibd_uc_myeloid:0.378,p=0.026;t1d_ductal_cell:0.376,p=0.027
FMNL2	four_disease_low_contradiction;ms_positive_three_disease;top_rank	24.108688016533844	4.0	0.0	5.0	0.0	0.0	True	0.4116873433440275	0.0323812070948891	0.8506970233122761	False	ibd_uc_epithelial:1.27,p=0.0029;ibd_crohn_epithelial:0.603,p=0.01;psoriasis_keratinocyte:1.46,p=0.015;t1d_endothelial_cell:1.33,p=0.019;t1d_ductal_cell:0.885,p=0.035
TNFAIP8L1	four_disease_low_contradiction;mechanistic_scout;ms_positive_three_disease;top_rank	23.0	4.0	0.0	4.0	0.0	0.0	True	0.4563149724166724	0.0085624242089706	0.8349413280632139	False	ibd_crohn_stromal:1.43,p=0.024;ibd_uc_epithelial:1.28,p=0.031;t1d_beta_cell:0.593,p=0.034;psoriasis_skin_stromal:0.466,p=0.043
TIMP1	four_disease_low_contradiction;mechanistic_scout;top_rank	28.0	4.0	0.0	8.0	0.0	4.0	False	-0.5836919250703687	0.415232450290228	0.9185195974256102	False	ibd_uc_stromal:2.09,p=3.3e-05;ibd_uc_myeloid:3.59,p=5e-05;ibd_uc_epithelial:3.44,p=9.4e-05;ibd_crohn_myeloid:2.37,p=0.0004;t1d_acinar_cell:1.65,p=0.001;psoriasis_keratinocyte:1.49,p=0.0078;ibd_crohn_stromal:1.18,p=0.028;t1d_ductal_cell:0.431,p=0.03
CFB	four_disease_low_contradiction;top_rank	25.004597697631812	4.0	0.0	9.0	0.0	2.0	False	-0.9822682065524936	0.2868607768107353	0.9055783835864206	False	t1d_stellate_cell:3.63,p=1.5e-08;ibd_crohn_epithelial:2.3,p=0.00029;psoriasis_keratinocyte:2.4,p=0.004;t1d_ductal_cell:2.28,p=0.011;ibd_crohn_stromal:1.93,p=0.016;psoriasis_skin_stromal:0.917,p=0.026;ibd_uc_epithelial:2.62,p=0.026;t1d_acinar_cell:3.54,p=0.027
MPHOSPH6	four_disease_low_contradiction;top_rank	25.0	4.0	0.0	9.0	0.0	2.0	False	-0.5952492354373149	0.1685973390358947	0.8989378106274888	False	ibd_uc_myeloid:1.49,p=2.9e-06;t1d_beta_cell:1.39,p=1.9e-05;t1d_acinar_cell:1.24,p=0.0043;psoriasis_keratinocyte:1.4,p=0.0059;t1d_stellate_cell:1.42,p=0.018;ibd_uc_stromal:0.832,p=0.019;t1d_ductal_cell:0.959,p=0.019;t1d_endothelial_cell:1.44,p=0.043
MMP7	four_disease_low_contradiction;top_rank	25.0	4.0	0.0	7.0	0.0	3.0	False	1.836134503047833	0.1901690746366625	0.8993702893651148	False	ibd_uc_epithelial:5.17,p=3.7e-05;t1d_endothelial_cell:4.48,p=4.3e-05;t1d_stellate_cell:4.73,p=0.00023;t1d_acinar_cell:2.39,p=0.0017;t1d_ductal_cell:0.53,p=0.029;ibd_crohn_epithelial:1.8,p=0.037;psoriasis_keratinocyte:1.55,p=0.038
PTPRE	four_disease_low_contradiction;top_rank	23.928982946376028	4.0	0.0	6.0	0.0	3.0	False	-0.2158191727655953	0.5499680359747707	0.9390010612097776	False	ibd_crohn_myeloid:0.745,p=0.00055;ibd_uc_myeloid:0.803,p=0.00089;ibd_uc_stromal:1.86,p=0.0015;t1d_acinar_cell:1.28,p=0.032;ibd_crohn_stromal:1.06,p=0.032;psoriasis_keratinocyte:1.11,p=0.047
TMSB10	four_disease_low_contradiction;top_rank	23.099282650539287	4.0	0.0	9.0	0.0	1.0	False	0.1355995347879997	0.2921719507155929	0.9055783835864206	False	t1d_endothelial_cell:0.435,p=0.00024;ibd_crohn_myeloid:0.633,p=0.0018;t1d_beta_cell:0.523,p=0.0026;ibd_uc_myeloid:0.509,p=0.0081;psoriasis_keratinocyte:1.73,p=0.015;ibd_uc_stromal:0.535,p=0.031;t1d_ductal_cell:0.214,p=0.036;psoriasis_skin_apc:0.89,p=0.039
CASP4	four_disease_low_contradiction;mechanistic_scout;top_rank	23.0	4.0	0.0	7.0	0.0	2.0	False	0.2066862758954002	0.4927047679399916	0.9271619615463814	False	ibd_uc_myeloid:1.4,p=8.3e-05;ibd_crohn_myeloid:1.21,p=0.0009;t1d_acinar_cell:0.784,p=0.00097;t1d_stellate_cell:0.877,p=0.0034;psoriasis_skin_apc:0.618,p=0.011;ibd_uc_epithelial:1.02,p=0.014;t1d_ductal_cell:0.819,p=0.017
AGRN	four_disease_low_contradiction;top_rank	22.173871244580905	4.0	0.0	4.0	0.0	3.0	False	-0.1994784498572919	0.5354048479004957	0.9369525137394764	False	t1d_beta_cell:1.44,p=0.0002;ibd_uc_epithelial:1.19,p=0.001;ibd_crohn_epithelial:0.924,p=0.001;psoriasis_skin_stromal:1.19,p=0.025
PI3	four_disease_low_contradiction;top_rank	22.0	4.0	0.0	8.0	0.0	1.0	False				False	ibd_uc_epithelial:4.4,p=1.6e-05;psoriasis_keratinocyte:7.58,p=0.00096;ibd_uc_myeloid:4.31,p=0.0077;psoriasis_skin_apc:3.77,p=0.013;psoriasis_skin_stromal:3.21,p=0.034;sjogren_gland_epithelial:1.52,p=0.036;ibd_crohn_myeloid:4.7,p=0.04;ibd_crohn_epithelial:1.95,p=0.048
CD24	four_disease_low_contradiction;mechanistic_scout;top_rank	22.0	4.0	0.0	6.0	0.0	2.0	False	-0.3131457372415891	0.79096128985077	0.9747766810218778	False	t1d_endothelial_cell:3.04,p=0.00044;ibd_uc_stromal:1.9,p=0.001;t1d_stellate_cell:3.06,p=0.0012;t1d_ductal_cell:0.285,p=0.014;ibd_crohn_epithelial:0.563,p=0.03;sjogren_gland_stromal:1.07,p=0.046
MTHFD2	four_disease_low_contradiction;top_rank	22.0	4.0	0.0	8.0	0.0	1.0	False	0.0461599204982174	0.8145219094018459	0.9761732664217524	False	ibd_crohn_myeloid:1.04,p=0.00095;t1d_stellate_cell:1.66,p=0.0024;ibd_crohn_epithelial:1.08,p=0.0025;ibd_uc_myeloid:0.788,p=0.0055;ibd_crohn_stromal:1.32,p=0.0066;ibd_uc_stromal:1.3,p=0.0094;psoriasis_keratinocyte:1.26,p=0.02;psoriasis_skin_apc:0.668,p=0.021
CCL20	four_disease_low_contradiction;top_rank	22.0	4.0	0.0	8.0	0.0	0.0	False	1.1469018183892334	0.0611072952242856	0.8989378106274888	False	ibd_uc_myeloid:6.09,p=0.0017;ibd_crohn_epithelial:1.79,p=0.0035;ibd_crohn_myeloid:5.13,p=0.0043;ibd_uc_epithelial:2.07,p=0.0099;t1d_ductal_cell:3.36,p=0.012;t1d_acinar_cell:3.14,p=0.021;t1d_endothelial_cell:3.8,p=0.023;psoriasis_skin_stromal:1.64,p=0.046
PKM	four_disease_low_contradiction;top_rank	21.086432998512233	4.0	0.0	7.0	0.0	1.0	False	0.2079528837975353	0.3934173353018323	0.9157809859344704	False	ibd_uc_epithelial:1.11,p=0.00011;psoriasis_keratinocyte:0.949,p=0.0034;ibd_crohn_epithelial:0.548,p=0.0065;psoriasis_skin_apc:0.542,p=0.017;ibd_uc_stromal:0.734,p=0.035;psoriasis_skin_stromal:0.582,p=0.041;t1d_endothelial_cell:1.05,p=0.042
PSMA5	four_disease_low_contradiction;top_rank	21.07568348537941	4.0	0.0	7.0	0.0	1.0	False	-0.1820091427843166	0.6669236814806572	0.9572241788020496	False	ibd_uc_myeloid:0.845,p=0.00088;ibd_uc_stromal:0.677,p=0.003;ibd_crohn_myeloid:0.631,p=0.011;sjogren_gland_apc:0.405,p=0.015;ibd_uc_epithelial:0.667,p=0.021;psoriasis_skin_stromal:0.628,p=0.022;ibd_crohn_stromal:0.527,p=0.034
KCNJ2	four_disease_low_contradiction;top_rank	21.0	4.0	0.0	5.0	0.0	2.0	False	0.0024263976862091	0.9930959415390695	0.9992380443970746	False	ibd_crohn_myeloid:4.4,p=7.6e-05;ibd_uc_myeloid:4.4,p=8.7e-05;psoriasis_keratinocyte:1.24,p=0.0046;t1d_stellate_cell:0.59,p=0.031;ibd_uc_stromal:2.08,p=0.039
EPSTI1	four_disease_low_contradiction;top_rank	21.0	4.0	0.0	7.0	0.0	1.0	False	0.4425534478541948	0.1545660129526676	0.8989378106274888	False	t1d_endothelial_cell:2.17,p=0.00052;t1d_stellate_cell:1.51,p=0.0089;t1d_ductal_cell:1.67,p=0.01;t1d_acinar_cell:1.77,p=0.017;ibd_crohn_myeloid:1.27,p=0.045;sjogren_gland_apc:0.745,p=0.046;psoriasis_skin_apc:1.09,p=0.049
S100A11	four_disease_low_contradiction;top_rank	20.28433859430869	4.0	0.0	6.0	0.0	1.0	False	0.1429402669372077	0.5904902998605951	0.9466965949245808	False	ibd_uc_epithelial:1.77,p=6.9e-05;ibd_uc_myeloid:0.753,p=0.0016;ibd_uc_stromal:0.673,p=0.0017;psoriasis_keratinocyte:0.995,p=0.019;t1d_endothelial_cell:0.593,p=0.035;ibd_crohn_epithelial:0.891,p=0.038
P4HB	four_disease_low_contradiction;top_rank	20.206369217058295	4.0	0.0	4.0	0.0	2.0	False	-0.1078198500006752	0.5193269228408691	0.9352591033176444	False	ibd_uc_epithelial:1.11,p=0.00017;ibd_crohn_epithelial:1.01,p=0.00031;sjogren_gland_stromal:1.47,p=0.027;psoriasis_skin_apc:0.956,p=0.028
SUB1	four_disease_low_contradiction;top_rank	20.073056897796853	4.0	0.0	8.0	0.0	0.0	False	0.0303632231526425	0.8461992617464025	0.976211196296546	False	sjogren_gland_apc:0.411,p=0.0022;ibd_uc_myeloid:0.437,p=0.015;t1d_acinar_cell:0.335,p=0.016;sjogren_gland_stromal:0.301,p=0.023;t1d_stellate_cell:0.245,p=0.024;psoriasis_keratinocyte:0.986,p=0.032;ibd_uc_stromal:0.46,p=0.033;psoriasis_skin_apc:0.779,p=0.034
SLC25A22	four_disease_low_contradiction;top_rank	20.02678573149319	4.0	0.0	8.0	0.0	0.0	False	-0.6985123452763329	0.0770558522970201	0.8989378106274888	False	t1d_endothelial_cell:1.84,p=0.0018;psoriasis_keratinocyte:0.621,p=0.0059;ibd_uc_stromal:0.804,p=0.0062;ibd_crohn_epithelial:1.19,p=0.013;psoriasis_skin_stromal:0.834,p=0.015;ibd_uc_myeloid:1.23,p=0.018;ibd_uc_epithelial:1.19,p=0.027;ibd_crohn_myeloid:1.54,p=0.034
SBNO2	four_disease_low_contradiction;top_rank	20.0	4.0	0.0	4.0	0.0	2.0	False	-0.3898123533746496	0.3337161519905203	0.9141270983319502	False	ibd_crohn_epithelial:1.44,p=0.0004;ibd_uc_epithelial:1.58,p=0.0011;psoriasis_keratinocyte:1.21,p=0.018;t1d_stellate_cell:0.898,p=0.024
MOB3B	four_disease_low_contradiction;top_rank	20.0	4.0	0.0	4.0	0.0	2.0	False	0.0276495030161427	0.9558863220247624	0.995447887770418	False	ibd_crohn_myeloid:2.34,p=0.00051;ibd_uc_myeloid:2.4,p=0.00058;psoriasis_keratinocyte:1.44,p=0.02;t1d_beta_cell:1.25,p=0.037
ASPM	four_disease_low_contradiction;top_rank	20.0	4.0	0.0	6.0	0.0	1.0	False	-1.3638286692250996	0.2047101795475818	0.8993702893651148	False	t1d_beta_cell:0.948,p=0.00063;ibd_crohn_epithelial:1.43,p=0.0047;psoriasis_skin_stromal:1.77,p=0.027;ibd_crohn_myeloid:0.989,p=0.028;psoriasis_keratinocyte:1.81,p=0.034;sjogren_gland_apc:1.74,p=0.037
LRRC61	four_disease_low_contradiction;top_rank	20.0	4.0	0.0	6.0	0.0	1.0	False	0.697050672079687	0.5819581822185158	0.9460303616141402	False	t1d_stellate_cell:2.63,p=0.00068;t1d_ductal_cell:1.29,p=0.0036;ibd_crohn_myeloid:1.88,p=0.013;sjogren_gland_stromal:0.906,p=0.03;ibd_uc_stromal:1.33,p=0.042;t1d_endothelial_cell:1.17,p=0.046
ASL	four_disease_low_contradiction;top_rank	20.0	4.0	0.0	6.0	0.0	1.0	False	-0.321226334266484	0.2727488139944647	0.9049965616313804	False	ibd_crohn_epithelial:0.656,p=0.00078;t1d_endothelial_cell:1.63,p=0.0087;psoriasis_keratinocyte:2.04,p=0.015;ibd_uc_stromal:1.12,p=0.018;t1d_ductal_cell:0.838,p=0.034;t1d_stellate_cell:1.56,p=0.046
LRG1	four_disease_low_contradiction;top_rank	19.094898906337537	4.0	0.0	7.0	0.0	0.0	False	0.2380702563143817	0.6702536111918803	0.9586149392782212	False	t1d_ductal_cell:1.29,p=0.0026;ibd_uc_myeloid:2.8,p=0.0061;ibd_crohn_myeloid:2.47,p=0.0091;t1d_acinar_cell:1.05,p=0.011;psoriasis_keratinocyte:0.57,p=0.026;t1d_stellate_cell:2.36,p=0.029;ibd_crohn_epithelial:0.876,p=0.048
AP2B1	four_disease_low_contradiction;top_rank	19.071011434889556	4.0	0.0	5.0	0.0	1.0	False	0.1143865331231861	0.3967725673770887	0.9157809859344704	False	ibd_uc_epithelial:0.762,p=0.0014;ibd_crohn_epithelial:0.715,p=0.016;t1d_stellate_cell:0.526,p=0.022;t1d_endothelial_cell:0.64,p=0.036;psoriasis_skin_apc:0.573,p=0.047
ATOX1	four_disease_low_contradiction;top_rank	19.0	4.0	0.0	5.0	0.0	1.0	False	0.5235633697570927	0.5641167566536998	0.9421446607973148	False	ibd_uc_stromal:0.901,p=5.2e-05;sjogren_gland_stromal:0.585,p=0.0049;ibd_crohn_stromal:0.611,p=0.011;sjogren_gland_apc:0.917,p=0.011;psoriasis_keratinocyte:0.857,p=0.032
DDX39A	four_disease_low_contradiction;top_rank	19.0	4.0	0.0	5.0	0.0	1.0	False	-0.2536254050302382	0.2501673335954121	0.9004758652001262	False	ibd_uc_stromal:0.814,p=0.00012;psoriasis_skin_stromal:0.493,p=0.014;t1d_endothelial_cell:0.474,p=0.016;ibd_crohn_stromal:0.613,p=0.017;psoriasis_keratinocyte:0.953,p=0.036
APOL1	four_disease_low_contradiction;top_rank	19.0	4.0	0.0	5.0	0.0	1.0	False	-0.1201588560224085	0.5940095372095473	0.9466965949245808	False	ibd_uc_epithelial:2.82,p=0.00036;ibd_crohn_epithelial:1.76,p=0.011;psoriasis_skin_stromal:0.647,p=0.015;t1d_acinar_cell:1.69,p=0.028;t1d_ductal_cell:0.962,p=0.034
PDPN	four_disease_low_contradiction;top_rank	19.0	4.0	0.0	5.0	0.0	1.0	False	0.1646831166015037	0.49717795424805	0.927698641490189	False	ibd_uc_stromal:2.28,p=0.00038;ibd_crohn_stromal:1.69,p=0.0026;ibd_uc_myeloid:2.26,p=0.022;t1d_ductal_cell:0.849,p=0.026;psoriasis_keratinocyte:0.965,p=0.034
CASP8	four_disease_low_contradiction;mechanistic_scout;top_rank	19.0	4.0	0.0	5.0	0.0	1.0	False	-0.3627815685608038	0.0737162362572369	0.8989378106274888	False	ibd_uc_epithelial:1.15,p=0.0012;psoriasis_keratinocyte:1.32,p=0.007;psoriasis_skin_stromal:0.529,p=0.019;t1d_ductal_cell:1.18,p=0.029;ibd_crohn_epithelial:0.56,p=0.042
HLA-DRB1	four_disease_low_contradiction;top_rank	19.0	4.0	0.0	5.0	0.0	0.0	False	0.5468677387854282	0.057765674762618	0.8989378106274888	False	t1d_stellate_cell:1.72,p=0.0024;sjogren_gland_epithelial:1.69,p=0.0052;ibd_uc_epithelial:3.8,p=0.0057;t1d_endothelial_cell:1.53,p=0.013;ibd_crohn_epithelial:3.01,p=0.017
IL23A	four_disease_low_contradiction;mechanistic_scout;top_rank	19.0	4.0	0.0	5.0	0.0	0.0	False	0.6573316951945598	0.0916123649390088	0.8989378106274888	False	ibd_uc_myeloid:4,p=0.0028;ibd_uc_epithelial:2.74,p=0.011;sjogren_gland_apc:2.22,p=0.015;ibd_crohn_myeloid:2.98,p=0.018;t1d_stellate_cell:1.94,p=0.018
IDO1	four_disease_low_contradiction;mechanistic_scout;top_rank	19.0	4.0	0.0	7.0	0.0	0.0	False				False	ibd_crohn_myeloid:5.73,p=0.0032;ibd_uc_myeloid:4.95,p=0.0076;ibd_crohn_epithelial:2.71,p=0.025;ibd_crohn_stromal:3.24,p=0.027;psoriasis_skin_stromal:0.324,p=0.03;sjogren_gland_apc:2.42,p=0.032;ibd_uc_epithelial:3.09,p=0.05
PSMA4	four_disease_low_contradiction;top_rank	18.169198436722027	4.0	0.0	6.0	0.0	0.0	False	0.1542598339379122	0.4197115533720868	0.9195199515584406	False	ibd_uc_myeloid:0.809,p=0.0025;ibd_crohn_myeloid:0.724,p=0.014;t1d_ductal_cell:0.5,p=0.02;ibd_uc_epithelial:0.539,p=0.023;psoriasis_skin_apc:1.08,p=0.025;t1d_acinar_cell:0.862,p=0.028
DYNLT1	four_disease_low_contradiction;top_rank	18.104982300677285	4.0	0.0	4.0	0.0	1.0	False	0.0988216463745192	0.7211931205756285	0.9677414401546712	False	ibd_uc_myeloid:0.745,p=0.00034;psoriasis_keratinocyte:0.873,p=0.0083;sjogren_gland_epithelial:0.304,p=0.022;ibd_crohn_myeloid:0.537,p=0.038
ITGB4	four_disease_low_contradiction;top_rank	18.10331854274657	4.0	0.0	4.0	0.0	1.0	False	-1.3797347469240266	0.1442983736782742	0.8989378106274888	False	t1d_stellate_cell:1.09,p=0.00062;psoriasis_keratinocyte:1.35,p=0.014;ibd_uc_epithelial:0.643,p=0.014;ibd_crohn_epithelial:0.41,p=0.026
CAPZA1	four_disease_low_contradiction;top_rank	18.10182087261314	4.0	0.0	6.0	0.0	0.0	False	-0.0475030377449154	0.734525172997871	0.9693303715651268	False	psoriasis_skin_stromal:0.851,p=0.01;ibd_crohn_epithelial:0.434,p=0.024;ibd_uc_epithelial:0.416,p=0.033;ibd_crohn_myeloid:0.627,p=0.035;t1d_beta_cell:0.544,p=0.043;t1d_endothelial_cell:0.506,p=0.048
PSMB8	four_disease_low_contradiction;top_rank	18.08696618310895	4.0	0.0	6.0	0.0	0.0	False	0.254256085876932	0.2662975252805021	0.9049965616313804	False	ibd_uc_myeloid:1.11,p=0.0047;ibd_crohn_myeloid:1.05,p=0.017;sjogren_gland_epithelial:0.54,p=0.021;t1d_acinar_cell:1.64,p=0.029;ibd_crohn_epithelial:0.421,p=0.035;sjogren_gland_apc:0.405,p=0.044
DBI	four_disease_low_contradiction;top_rank	18.08587936923309	4.0	0.0	4.0	0.0	1.0	False	0.3206064424724584	0.1791727003295389	0.8993702893651148	False	ibd_uc_stromal:0.728,p=0.0015;psoriasis_keratinocyte:1.16,p=0.022;t1d_acinar_cell:1.09,p=0.043;sjogren_gland_stromal:0.793,p=0.044
PSMA3	four_disease_low_contradiction;top_rank	18.08115812674908	4.0	0.0	4.0	0.0	0.0	False	0.4666329191743639	0.1222932329497812	0.8989378106274888	False	psoriasis_keratinocyte:0.822,p=0.024;sjogren_gland_stromal:0.276,p=0.028;t1d_acinar_cell:0.729,p=0.031;ibd_crohn_epithelial:0.388,p=0.037
PPIF	four_disease_low_contradiction;top_rank	18.064493936531907	4.0	0.0	4.0	0.0	1.0	False	0.0794098483837952	0.7293829927625533	0.9684447890186522	False	ibd_crohn_myeloid:2.03,p=0.00071;ibd_uc_myeloid:2.07,p=0.0025;psoriasis_keratinocyte:1.08,p=0.0093;sjogren_gland_apc:0.483,p=0.023
