truth	scenario	severity	cohorts	primary_pass_rate	existing_guard_flag_rate	existing_guarded_acceptable_pass_rate	calibrated_q10_guard_flag_rate	calibrated_q10_acceptable_pass_rate	calibrated_q20_guard_flag_rate	calibrated_q20_acceptable_pass_rate	mean_auc
planted	immune_tone_plus_batch	0.0	40	0.7	0.8	0.175	0.0	0.7	0.05	0.675	0.7352777777777778
planted	immune_tone_plus_batch	0.25	40	0.825	0.75	0.2	0.0	0.825	0.05	0.775	0.7593333333333334
planted	immune_tone_plus_batch	0.5	40	0.875	0.775	0.175	0.0	0.875	0.2	0.675	0.7812777777777777
planted	immune_tone_plus_batch	0.75	40	0.95	0.95	0.05	0.05	0.9	0.525	0.45	0.8183333333333334
planted	immune_tone_plus_batch	1.0	40	1.0	1.0	0.0	0.2	0.8	0.725	0.275	0.8406944444444445
planted	independent_technical	0.0	40	0.95	0.7	0.3	0.0	0.95	0.0	0.95	0.7961111111111111
planted	independent_technical	0.25	40	0.85	0.6	0.325	0.0	0.85	0.05	0.8	0.7694166666666666
planted	independent_technical	0.5	40	0.975	0.7	0.275	0.0	0.975	0.05	0.925	0.7843611111111111
planted	independent_technical	0.75	40	0.95	0.625	0.375	0.0	0.95	0.05	0.9	0.8068055555555557
planted	independent_technical	1.0	40	0.95	0.65	0.35	0.0	0.95	0.025	0.925	0.7945555555555556
planted	normalization_plus_depth	0.0	40	0.925	0.625	0.35	0.0	0.925	0.05	0.875	0.7843055555555556
planted	normalization_plus_depth	0.25	40	0.95	0.925	0.075	0.025	0.925	0.225	0.75	0.7911944444444444
planted	normalization_plus_depth	0.5	40	1.0	0.975	0.025	0.05	0.95	0.8	0.2	0.8231944444444445
planted	normalization_plus_depth	0.75	40	1.0	1.0	0.0	0.5	0.5	0.975	0.025	0.8374444444444444
planted	normalization_plus_depth	1.0	40	1.0	1.0	0.0	0.675	0.325	1.0	0.0	0.8846111111111112
synthetic_null	batch_only	0.0	40	0.0	0.625	0.0	0.0	0.0	0.025	0.0	0.5014444444444444
synthetic_null	batch_only	0.25	40	0.0	0.85	0.0	0.0	0.0	0.075	0.0	0.5029722222222223
synthetic_null	batch_only	0.5	40	0.0	1.0	0.0	0.05	0.0	0.525	0.0	0.5205833333333334
synthetic_null	batch_only	0.75	40	0.025	1.0	0.0	0.125	0.025	0.725	0.0	0.5560833333333333
synthetic_null	batch_only	1.0	40	0.1	1.0	0.0	0.325	0.075	0.95	0.0	0.6006666666666667
synthetic_null	batch_plus_depth	0.0	40	0.0	0.7	0.0	0.0	0.0	0.05	0.0	0.4875
synthetic_null	batch_plus_depth	0.25	40	0.0	0.825	0.0	0.0	0.0	0.1	0.0	0.5175833333333333
synthetic_null	batch_plus_depth	0.5	40	0.1	0.95	0.0	0.075	0.05	0.625	0.0	0.5728055555555556
synthetic_null	batch_plus_depth	0.75	40	0.15	1.0	0.0	0.4	0.05	0.925	0.0	0.5885555555555555
synthetic_null	batch_plus_depth	1.0	40	0.275	1.0	0.0	0.775	0.0	0.975	0.0	0.6493888888888889
synthetic_null	batch_plus_steroid	0.0	40	0.0	0.575	0.0	0.0	0.0	0.05	0.0	0.5158055555555555
synthetic_null	batch_plus_steroid	0.25	40	0.0	0.775	0.0	0.0	0.0	0.075	0.0	0.5033611111111111
synthetic_null	batch_plus_steroid	0.5	40	0.0	0.925	0.0	0.025	0.0	0.55	0.0	0.5474722222222222
synthetic_null	batch_plus_steroid	0.75	40	0.075	1.0	0.0	0.2	0.075	0.825	0.025	0.605388888888889
synthetic_null	batch_plus_steroid	1.0	40	0.3	1.0	0.0	0.7	0.05	1.0	0.0	0.6526666666666666
synthetic_null	distributed_weak_technical	0.0	40	0.0	0.65	0.0	0.0	0.0	0.025	0.0	0.4910555555555556
synthetic_null	distributed_weak_technical	0.25	40	0.0	0.575	0.0	0.0	0.0	0.025	0.0	0.5255
synthetic_null	distributed_weak_technical	0.5	40	0.0	0.825	0.0	0.0	0.0	0.25	0.0	0.51725
synthetic_null	distributed_weak_technical	0.75	40	0.025	0.95	0.0	0.05	0.0	0.475	0.0	0.5624166666666667
synthetic_null	distributed_weak_technical	1.0	40	0.125	1.0	0.0	0.45	0.025	0.9	0.0	0.6134444444444445
synthetic_null	immune_tone_plus_batch	0.0	40	0.0	0.725	0.0	0.0	0.0	0.0	0.0	0.512361111111111
synthetic_null	immune_tone_plus_batch	0.25	40	0.025	0.625	0.0	0.0	0.025	0.075	0.025	0.5446944444444444
synthetic_null	immune_tone_plus_batch	0.5	40	0.0	0.85	0.0	0.0	0.0	0.175	0.0	0.5748055555555556
synthetic_null	immune_tone_plus_batch	0.75	40	0.175	0.95	0.0	0.05	0.175	0.575	0.1	0.6481944444444444
synthetic_null	immune_tone_plus_batch	1.0	40	0.475	0.95	0.025	0.1	0.4	0.8	0.125	0.6886666666666666
synthetic_null	independent_technical	0.0	40	0.0	0.525	0.0	0.0	0.0	0.025	0.0	0.4951388888888889
synthetic_null	independent_technical	0.25	40	0.0	0.45	0.0	0.0	0.0	0.025	0.0	0.4925555555555555
synthetic_null	independent_technical	0.5	40	0.0	0.5	0.0	0.0	0.0	0.025	0.0	0.4998055555555555
synthetic_null	independent_technical	0.75	40	0.0	0.675	0.0	0.0	0.0	0.05	0.0	0.5016944444444444
synthetic_null	independent_technical	1.0	40	0.0	0.65	0.0	0.0	0.0	0.025	0.0	0.48888888888888893
synthetic_null	normalization_plus_depth	0.0	40	0.025	0.675	0.0	0.0	0.025	0.0	0.025	0.5089166666666667
synthetic_null	normalization_plus_depth	0.25	40	0.0	0.75	0.0	0.0	0.0	0.125	0.0	0.5331666666666667
synthetic_null	normalization_plus_depth	0.5	40	0.075	0.975	0.0	0.125	0.05	0.825	0.0	0.6006388888888889
synthetic_null	normalization_plus_depth	0.75	40	0.4	1.0	0.0	0.525	0.05	1.0	0.0	0.6781944444444444
synthetic_null	normalization_plus_depth	1.0	40	0.825	1.0	0.0	0.675	0.25	1.0	0.0	0.7566388888888889
