gene	route	wave70_call	wave70_score	manual_blocker	evidence_count	gse282122_support	gse282122_best_call	gse282122_min_raw_fdr	gse282122_min_paired_fdr	gse282122_min_adjusted_fdr	broad_support	broad_positive_disease_count	broad_positive_fdr10_compartment_count	broad_positive_diseases	residual_support	residual_retained_positive_disease_count	ms_support	ms_delta_log2	ms_p	ms_fdr	ra_support	ra_mean_post_minus_pre	ra_paired_fdr	ra_response_support	ra_best_response_contrast	ra_best_response_delta	ra_best_response_fdr	genetics_support	wave62_score	wave62_call	strong_l2g_diseases	strong_qtl_coloc_diseases	eff_support	efferocytosis_screen_call	efferocytosis_delta	efferocytosis_fdr	model_support	wave57_call	wave69d_call	real_pert_support	wave61_call	wave61_manual_blocker
AXL	TAM inflammatory-resolution receptor	NO_GO_BLOCKED_OR_BROAD_CLASS	-1.5	TAM_oncology_fibrosis_thrombosis_context_risk	1	True	DESCRIPTIVE_GENE_SIGNAL	0.7178207758121948	0.7275675419493579	0.0361858575875385	False	0.0	0.0		False	1.0	False	0.2436879373355509	0.2187319600718436	0.8993702893651148	False	-0.07560423625592336	0.6476947240227409	False	modgood_vs_none	-0.380795565284381	0.5008505893713576	False	0.0				False	UNRESOLVED	-0.4476354232438678	0.9971256078463696	False			False		
BTK	B-cell/myeloid Fc receptor kinase	NO_GO_BLOCKED_OR_BROAD_CLASS	-1.5	BTK_MS_and_autoimmune_prior_art_clinical_saturation	1	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		False	0.0	0.0		False	0.0	False	-0.0897993985966802	0.5626479987667415	0.9419051093293812	True	-0.2122754790928653	0.0519253438148237	False	good_vs_other	-0.14856392718364042	0.7368367649193285	False	0.0				False	UNRESOLVED	0.4338300491685158	0.9965506589785832	False			False		
PIK3CD	PI3K-delta leukocyte signaling kinase	NO_GO_BLOCKED_OR_BROAD_CLASS	-1.5	PI3Kdelta_immunodeficiency_infection_oncology_safety	1	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		False	0.0	0.0		False	0.0	False	-0.3493015899945177	0.0844049809494602	0.8989378106274888	True	-0.40124209417689055	0.03217595761109428	False	modgood_vs_none	0.07339632938446611	0.9093844190964416	False	0.0				False	UNRESOLVED	0.1378622113439651	1.0	False			False		
PIK3CG	PI3K-gamma myeloid signaling kinase	NO_GO_BLOCKED_OR_BROAD_CLASS	-2.0	PI3Kgamma_broad_myeloid_host_defense_prior_art	0	False	DESCRIPTIVE_GENE_SIGNAL	1.0	0.8032881900345843		False	1.0	0.0	type 1 diabetes mellitus	False	0.0	False	0.3638822239076145	0.0721793832731482	0.8989378106274888	False	-0.014057034681935445	0.8881550436912651	False	modgood_vs_none	-0.2620059803704674	0.4463191823700098	False	0.0				False	UNRESOLVED	0.2443364706474158	0.9965506589785832	False			False	NO_GO_L1000_MECHANISM_ONLY	PARK_REVIEW
LILRB2	myeloid inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	3.0		2	True	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0	0.0224142446553593	True	2.0	1.0	Crohn disease;ulcerative colitis	False	0.0	False	-0.7296611895492067	0.0077844079989185	0.8344760564031432	False	-0.13589639002208728	0.2353189118633046	False	modgood_vs_none	0.19693596646084655	0.7368367649193285	False	0.0				False				False			False		
LILRB1	myeloid inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	2.0		1	True	DESCRIPTIVE_GENE_SIGNAL	0.6233257017163979	1.0	0.0120158383689099	False	2.0	0.0	Crohn disease;ulcerative colitis	False	0.0	False	-0.2480039987346405	0.3035041507515239	0.9075477698307116	False	-0.011846348301633045	0.4455748531070899	False	modgood_vs_none	-0.0170291256835975	0.7368367649193285	False	0.0				False				False			False		
LILRB3	myeloid inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	2.0		1	True	DESCRIPTIVE_GENE_SIGNAL	0.6813192886233125	1.0	0.0384318074930293	False	2.0	0.0	Crohn disease;ulcerative colitis	False	0.0	False	-0.3769548589371787	0.5039530830837081	0.9299116980283588	False	-0.015831590019784455	0.8036852250549065	False	good_vs_other	-0.04831203322139724	0.8393448445542239	False	0.0				False				False			False		
LAIR1	collagen-binding inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	1.5		1	False	DESCRIPTIVE_GENE_SIGNAL	0.90663855872292	1.0		False	1.0	0.0	type 1 diabetes mellitus	False	0.0	False	-0.2811215724373159	0.1069140784882185	0.8989378106274888	True	-0.31739435662642773	0.08577759081384796	False	modgood_vs_none	0.5215995180388115	0.4463191823700098	False	0.0				False	UNRESOLVED	0.1628195105270481	0.9971256078463696	False			False		
LILRB4	myeloid inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	1.5		1	True	DESCRIPTIVE_GENE_SIGNAL	0.6233257017163979	1.0	0.0113374916142918	False	1.0	0.0	type 1 diabetes mellitus	False	0.0	False	-0.0567093265778488	0.8864378306397437	0.9842134382901514	False	-0.02908840486047986	0.5198807856713235	False	modgood_vs_none	-0.0418145819869398	0.7368367649193285	False	0.0				False	UNRESOLVED	-0.437227774910439	0.920009505703422	False			False		
INPP5D	SHIP1 inhibitory Fc/PI3K lipid phosphatase	NO_GO_INSUFFICIENT_CONVERGENCE	1.2826796621084213		1	False	DESCRIPTIVE_GENE_SIGNAL	1.0	0.9925557906097598		False	0.0	0.0		False	0.0	False	-0.3037841690561134	0.0943958111282368	0.8989378106274888	True	-0.38643820871545326	0.02244082010350089	False	modgood_vs_none	-0.21189548772645433	0.7368367649193285	False	1.1307186484336853	NO_GO_WAVE62_TARGET_RESOLUTION	Psoriasis		False	UNRESOLVED	0.476714131826513	0.920009505703422	False			False		
PTPN6	SHP1 inhibitory receptor phosphatase	NO_GO_INSUFFICIENT_CONVERGENCE	1.0		1	False	DESCRIPTIVE_GENE_SIGNAL	0.9381413353940796	1.0		False	0.0	0.0		False	0.0	False	-0.323469415535639	0.263412802552573	0.9049965616313804	True	-0.6027040944393774	0.033361608895771125	False	good_vs_other	-0.7123852832322339	0.47305595879621687	False	0.0				False	UNRESOLVED	0.034851895715515	1.0	False			False		
CD300LF	CD300 inhibitory/immune receptor	NO_GO_INSUFFICIENT_CONVERGENCE	0.5		0	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		False	1.0	0.0	psoriasis	False	1.0	False	-0.0991212524448474	0.7089814372180329	0.9669212366619434	False	-0.2820975379012959	0.12577135995005512	False	good_vs_other	-0.1077822285713044	0.9066456878639199	False	0.0				False	UNRESOLVED	-0.1802260625574201	0.9971256078463696	False			False		
GAS6	TAM ligand	NO_GO_INSUFFICIENT_CONVERGENCE	0.5		0	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		False	1.0	0.0	Crohn disease	False	0.0	False	-0.3747614007199935	0.1056413743833175	0.8989378106274888	False	-0.4050896034685941	0.11245022107773794	False	modgood_vs_none	-0.7209656457792494	0.4463191823700098	False	0.0				False	UNRESOLVED	-0.5574375332134357	0.920009505703422	False			False		
TYRO3	TAM receptor	NO_GO_INSUFFICIENT_CONVERGENCE	0.3905218541622162		0	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		False	0.0	0.0		False	0.0	False	-0.5221106413811212	0.5805546499427854	0.9460300826505484	False	0.0786351835374431	0.6496595808335291	False	modgood_vs_none	0.39213522919864807	0.47305595879621687	False	1.5620874166488647	NO_GO_WAVE62_TARGET_RESOLUTION			False	UNRESOLVED	0.1698454518586819	0.9971256078463696	False			False		
MERTK	TAM efferocytosis receptor	NO_GO_INSUFFICIENT_CONVERGENCE	0.388791099190712		0	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		False	0.0	0.0		False	0.0	False	0.2471109034794576	0.4292940108131474	0.9195199515584406	False	-0.18165490770809695	0.12403747850323993	False	good_vs_other	-0.31645763062721527	0.5008505893713576	False	1.555164396762848	NO_GO_WAVE62_TARGET_RESOLUTION			False	UNRESOLVED	-0.6588710945316293	0.920009505703422	False			False	NO_GO_RESOLUTION_GUARDRAIL	descriptive_no_replication
CD300A	lipid-sensing inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	0.0		0	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		False	0.0	0.0		False	0.0	False	-0.3453443248914674	0.0766109345414007	0.8989378106274888	False	-0.2250193692695781	0.253576578762971	False	good_vs_other	-0.3929956862463264	0.7368367649193285	False	0.0				False	UNRESOLVED	1.3382347566762522	0.920009505703422	False			False		
PROS1	TAM ligand	NO_GO_INSUFFICIENT_CONVERGENCE	0.0		0	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		False	0.0	0.0		False	0.0	False	-0.2744612083561524	0.277280176205179	0.9049965616313804	False	-0.050676400658654225	0.6187963166999007	False	good_vs_other	-0.09373708581350607	0.8393448445542239	False	0.0				False	UNRESOLVED	-0.1729480030886631	0.9971256078463696	False			False		
SH2D1B	Fc receptor signaling adaptor	NO_GO_INSUFFICIENT_CONVERGENCE	0.0		0	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		False	0.0	0.0		False	0.0	False				False	0.009282923882826333	0.9575557244527813	False	good_vs_other	0.30615440441344627	0.7368367649193285	False	0.0				False				False			False		
SIGLEC10	sialic-acid inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	0.0		0	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		False	0.0	0.0		False	0.0	False	-0.6228823890231006	0.0790960238639784	0.8989378106274888	False	-0.2152426310488029	0.22866605613604254	False	modgood_vs_none	0.18294616122523585	0.8393448445542239	False	0.0				False				False			False		
