candidate	source	source_wave	mechanism	modality	source_call	primary_blocker	missing_gates	escape_score	support_summary	manual_escape_logic	recommended_next_test	has_concrete_next_test
LRRC61	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.9000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=4.0;modality=0;prior=1			False
CLEC7A	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.6500000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=3.0;modality=0;prior=1			False
FAM49B	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.6500000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=3.0;modality=0;prior=1			False
LYN	wave81	wave81_perturbation_first_rescue		gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.6500000000000004	score=6.0;direct=0;foundation=1;ms=0;genetics=0;broad=3.0;modality=0;prior=1			False
CCDC121	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.4000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1			False
CHST11	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.4000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1			False
FBXO16	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.4000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1			False
RECQL4	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.4000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1			False
EFR3A	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.1500000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
IGLON5	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.1500000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
MAN1A2	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.1500000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
MREG	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.1500000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
PLIN4	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.1500000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
SLC39A3	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.1500000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
YWHAE	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.1500000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
P2RX7_purinergic_inflammasome	wave83	wave72_lipid_mediator_intervention_scout	P2RX7_purinergic_inflammasome	small molecule or receptor/enzyme modulation	PARK_ORTHOGONAL_BIOCHEMICAL_SCOUT	biochemical pattern lacks target-level gene convergence	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;source_audit_not_promotional	3.085	reachable=1;prior=1;safety=1;response=1;direct=0;foundation=0;ms=0;genetics=0;specificity=0			False
EPHX2_sEH_oxylipin_diol	wave83	wave72_lipid_mediator_intervention_scout	EPHX2_sEH_oxylipin_diol	small molecule or receptor/enzyme modulation	PARK_ORTHOGONAL_BIOCHEMICAL_SCOUT	biochemical pattern lacks target-level gene convergence	cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;source_audit_not_promotional	3.0249999999999995	reachable=1;prior=1;safety=1;response=1;direct=0;foundation=0;ms=0;genetics=0;specificity=0			False
ABTB2	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.0	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1			False
LILRB1	wave81	wave81_perturbation_first_rescue		gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.0	score=5.0;direct=0;foundation=1;ms=0;genetics=0;broad=2.0;modality=0;prior=1			False
LILRB3	wave81	wave81_perturbation_first_rescue		gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.0	score=5.0;direct=0;foundation=1;ms=0;genetics=0;broad=2.0;modality=0;prior=1			False
RYK	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.0	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1			False
TPX2	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		3.0	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=2.0;modality=0;prior=1			False
AXIN1	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.9000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
BEAN1	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.9000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
PLSCR4	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.9000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
PTGES3	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.9000000000000004	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
COQ4	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
CRTC2	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
FZD4	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
GABPA	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
HEXA	wave81	wave81_perturbation_first_rescue		gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=0;foundation=1;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
ICAM2	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
IFT52	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
INTS7	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
KIF24	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
LRRC7	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
MGST2	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
MMS22L	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
PDCD6IP	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
POC5	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
SLC38A9	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
TBX6	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.75	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=0;prior=1			False
4732456N10RIK	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
A4GNT	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
AHCTF1	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
ANKUB1	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
BC048403	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
BPIFB2	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
CEBPB	wave81	wave81_perturbation_first_rescue	wave37:KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
DNAH9	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
GM20604	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
GM2825	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
HADHB	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
HEXB	wave81	wave81_perturbation_first_rescue		gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=0;foundation=1;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
IL12RB1	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
KLHL33	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
LARP4B	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
LHX2	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
MCMBP	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
NDST4	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
NKAIN2	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		2.5	score=5.0;direct=1;foundation=0;ms=0;genetics=0;broad=0.0;modality=0;prior=1			False
