source	target	edge_type	target_artifact	source_exists
scripts/v48_source_terms_freshness_linter.py	knowledge_external/catalogs/indexes/SOURCE_TERMS_COVERAGE_V48.md	freshness_control_for_artifact	V48 source-terms coverage	yes
scripts/v48_source_terms_metadata_linter.py	knowledge_external/catalogs/indexes/SOURCE_TERMS_COVERAGE_V48.md	freshness_control_for_artifact	V48 source-terms coverage	yes
knowledge_external/catalogs/indexes/source_terms_coverage_v48.tsv	knowledge_external/catalogs/indexes/HIGH_PRIORITY_SOURCE_TERMS_PACKET_V48.md	input_to_artifact	V48 high-priority source-terms packet	yes
scripts/v48_high_priority_source_terms_packet_freshness_linter.py	knowledge_external/catalogs/indexes/HIGH_PRIORITY_SOURCE_TERMS_PACKET_V48.md	freshness_control_for_artifact	V48 high-priority source-terms packet	yes
docs/reports/FINDINGS_SCORES_V37.tsv	knowledge_external/synthesis/V37_FINDING_EXTERNAL_COVERAGE_V48.md	input_to_artifact	V37 finding external coverage map	yes
knowledge_external/synthesis/convergence_contradiction_v48.tsv	knowledge_external/synthesis/V37_FINDING_EXTERNAL_COVERAGE_V48.md	input_to_artifact	V37 finding external coverage map	yes
scripts/v48_v37_coverage_freshness_linter.py	knowledge_external/synthesis/V37_FINDING_EXTERNAL_COVERAGE_V48.md	freshness_control_for_artifact	V37 finding external coverage map	yes
knowledge_external/synthesis/v37_finding_external_coverage_v48.tsv	knowledge_external/synthesis/V37_UNCOVERED_FINDING_RATIONALE_V48.md	input_to_artifact	V37 uncovered finding rationale	yes
scripts/v48_v37_uncovered_rationale_freshness_linter.py	knowledge_external/synthesis/V37_UNCOVERED_FINDING_RATIONALE_V48.md	freshness_control_for_artifact	V37 uncovered finding rationale	yes
knowledge_external/synthesis/v37_finding_external_coverage_v48.tsv	knowledge_external/synthesis/V37_EXTERNAL_COVERAGE_GAP_PRIORITY_V48.md	input_to_artifact	V37 external coverage gap priority	yes
knowledge_external/synthesis/v37_uncovered_finding_rationale_v48.tsv	knowledge_external/synthesis/V37_EXTERNAL_COVERAGE_GAP_PRIORITY_V48.md	input_to_artifact	V37 external coverage gap priority	yes
scripts/v48_v37_gap_priority_freshness_linter.py	knowledge_external/synthesis/V37_EXTERNAL_COVERAGE_GAP_PRIORITY_V48.md	freshness_control_for_artifact	V37 external coverage gap priority	yes
knowledge_external/synthesis/v37_external_coverage_gap_priority_v48.tsv	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	input_to_artifact	High-priority external sourcing plan	yes
scripts/v48_high_priority_external_sourcing_plan_freshness_linter.py	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	freshness_control_for_artifact	High-priority external sourcing plan	yes
knowledge_external/synthesis/high_priority_external_sourcing_plan_v48.tsv	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	input_to_artifact	High-priority source-search query packet	yes
scripts/v48_high_priority_source_search_query_freshness_linter.py	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	freshness_control_for_artifact	High-priority source-search query packet	yes
knowledge_external/synthesis/high_priority_external_sourcing_plan_v48.tsv	knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md	input_to_artifact	High-priority source intake checklist	yes
knowledge_external/synthesis/high_priority_source_search_queries_v48.tsv	knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md	input_to_artifact	High-priority source intake checklist	yes
scripts/v48_high_priority_source_intake_checklist_freshness_linter.py	knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md	freshness_control_for_artifact	High-priority source intake checklist	yes
docs/knowledge/EPISTEMIC_CLASSES.md	knowledge_external/templates/SOURCE_INTAKE_OPERATOR_QUICKSTART_V48.md	input_to_artifact	Source-intake operator quickstart	yes
knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	knowledge_external/templates/SOURCE_INTAKE_OPERATOR_QUICKSTART_V48.md	input_to_artifact	Source-intake operator quickstart	yes
knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	knowledge_external/templates/SOURCE_INTAKE_OPERATOR_QUICKSTART_V48.md	input_to_artifact	Source-intake operator quickstart	yes
knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md	knowledge_external/templates/SOURCE_INTAKE_OPERATOR_QUICKSTART_V48.md	input_to_artifact	Source-intake operator quickstart	yes
scripts/v48_source_intake_operator_quickstart_freshness_linter.py	knowledge_external/templates/SOURCE_INTAKE_OPERATOR_QUICKSTART_V48.md	freshness_control_for_artifact	Source-intake operator quickstart	yes
knowledge_external/EXTERNAL_LAYER_READER_BRIEF_V48.md	knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md	input_to_artifact	Source-intake package manifest	yes
knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md	input_to_artifact	Source-intake package manifest	yes
knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md	input_to_artifact	Source-intake package manifest	yes
knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md	knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md	input_to_artifact	Source-intake package manifest	yes
knowledge_external/templates/SOURCE_INTAKE_OPERATOR_QUICKSTART_V48.md	knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md	input_to_artifact	Source-intake package manifest	yes
knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md	input_to_artifact	Source-intake package manifest	yes
scripts/v48_source_intake_package_manifest_freshness_linter.py	knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md	freshness_control_for_artifact	Source-intake package manifest	yes
knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md	knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md	input_to_artifact	Source-hit acceptance decision tree	yes
knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md	knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md	input_to_artifact	Source-hit acceptance decision tree	yes
knowledge_external/templates/SOURCE_INTAKE_OPERATOR_QUICKSTART_V48.md	knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md	input_to_artifact	Source-hit acceptance decision tree	yes
knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md	input_to_artifact	Source-hit acceptance decision tree	yes
knowledge_external/synthesis/CONTRADICTION_READINESS_PLAYBOOK_V48.md	knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md	input_to_artifact	Source-hit acceptance decision tree	yes
knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md	input_to_artifact	Source-hit acceptance decision tree	yes
scripts/v48_source_hit_acceptance_decision_tree_freshness_linter.py	knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md	freshness_control_for_artifact	Source-hit acceptance decision tree	yes
knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md	knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md	input_to_artifact	Relationship-row candidate template	yes
knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md	input_to_artifact	Relationship-row candidate template	yes
docs/knowledge/EPISTEMIC_CLASSES.md	knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md	input_to_artifact	Relationship-row candidate template	yes
scripts/v48_relationship_row_candidate_template_freshness_linter.py	knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md	freshness_control_for_artifact	Relationship-row candidate template	yes
knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md	knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md	input_to_artifact	Contradiction triage mini-template	yes
knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md	knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md	input_to_artifact	Contradiction triage mini-template	yes
knowledge_external/synthesis/CONTRADICTION_READINESS_PLAYBOOK_V48.md	knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md	input_to_artifact	Contradiction triage mini-template	yes
knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md	input_to_artifact	Contradiction triage mini-template	yes
knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md	input_to_artifact	Contradiction triage mini-template	yes
scripts/v48_contradiction_triage_mini_template_freshness_linter.py	knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md	freshness_control_for_artifact	Contradiction triage mini-template	yes
knowledge_external/synthesis/convergence_contradiction_v48.tsv	knowledge_external/synthesis/CONTRADICTION_READINESS_PLAYBOOK_V48.md	input_to_artifact	Contradiction readiness playbook	yes
scripts/v48_contradiction_readiness_freshness_linter.py	knowledge_external/synthesis/CONTRADICTION_READINESS_PLAYBOOK_V48.md	freshness_control_for_artifact	Contradiction readiness playbook	yes
knowledge_external/synthesis/convergence_contradiction_v48.tsv	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	input_to_artifact	Contradiction surveillance checklist	yes
knowledge_external/synthesis/high_priority_external_sourcing_plan_v48.tsv	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	input_to_artifact	Contradiction surveillance checklist	yes
scripts/v48_contradiction_surveillance_freshness_linter.py	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	freshness_control_for_artifact	Contradiction surveillance checklist	yes
knowledge_external/synthesis/v37_external_coverage_gap_priority_v48.tsv	knowledge_external/synthesis/UNRESOLVED_EXTERNAL_COVERAGE_HANDOFF_V48.md	input_to_artifact	Unresolved external coverage handoff	yes
knowledge_external/synthesis/high_priority_external_sourcing_plan_v48.tsv	knowledge_external/synthesis/UNRESOLVED_EXTERNAL_COVERAGE_HANDOFF_V48.md	input_to_artifact	Unresolved external coverage handoff	yes
knowledge_external/synthesis/high_priority_source_search_queries_v48.tsv	knowledge_external/synthesis/UNRESOLVED_EXTERNAL_COVERAGE_HANDOFF_V48.md	input_to_artifact	Unresolved external coverage handoff	yes
knowledge_external/synthesis/future_grounding_queue_v48.tsv	knowledge_external/synthesis/UNRESOLVED_EXTERNAL_COVERAGE_HANDOFF_V48.md	input_to_artifact	Unresolved external coverage handoff	yes
knowledge_external/synthesis/contradiction_surveillance_checklist_v48.tsv	knowledge_external/synthesis/UNRESOLVED_EXTERNAL_COVERAGE_HANDOFF_V48.md	input_to_artifact	Unresolved external coverage handoff	yes
scripts/v48_unresolved_external_coverage_handoff_freshness_linter.py	knowledge_external/synthesis/UNRESOLVED_EXTERNAL_COVERAGE_HANDOFF_V48.md	freshness_control_for_artifact	Unresolved external coverage handoff	yes
knowledge_external/catalogs/records/	knowledge_external/catalogs/indexes/SOURCE_URL_DUPLICATE_REVIEW_V48.md	input_to_artifact	External source URL duplicate review	pattern_or_directory
scripts/v48_source_url_duplicate_freshness_linter.py	knowledge_external/catalogs/indexes/SOURCE_URL_DUPLICATE_REVIEW_V48.md	freshness_control_for_artifact	External source URL duplicate review	yes
scripts/v48_external_synthesis_dependency_graph.py	knowledge_external/catalogs/indexes/V48_EXTERNAL_SYNTHESIS_DEPENDENCY_GRAPH.md	input_to_artifact	V48 external synthesis dependency graph	yes
scripts/v48_external_synthesis_dependency_freshness_linter.py	knowledge_external/catalogs/indexes/V48_EXTERNAL_SYNTHESIS_DEPENDENCY_GRAPH.md	freshness_control_for_artifact	V48 external synthesis dependency graph	yes
scripts/v48_governance_navigation.py	knowledge_external/catalogs/indexes/V48_GOVERNANCE_NAVIGATION.md	input_to_artifact	V48 governance navigation	yes
analysis/v48_governance_preflight/v48_governance_preflight_plan.tsv	knowledge_external/catalogs/indexes/V48_GOVERNANCE_NAVIGATION.md	input_to_artifact	V48 governance navigation	yes
scripts/v48_governance_navigation_freshness_linter.py	knowledge_external/catalogs/indexes/V48_GOVERNANCE_NAVIGATION.md	freshness_control_for_artifact	V48 governance navigation	yes
knowledge_external/catalogs/indexes/v48_governance_navigation.tsv	knowledge_external/catalogs/indexes/GOVERNANCE_FAILURE_MODE_MATRIX_V48.md	input_to_artifact	V48 governance failure-mode matrix	yes
scripts/v48_governance_failure_mode_freshness_linter.py	knowledge_external/catalogs/indexes/GOVERNANCE_FAILURE_MODE_MATRIX_V48.md	freshness_control_for_artifact	V48 governance failure-mode matrix	yes
knowledge_external/catalogs/indexes/governance_failure_mode_matrix_v48.tsv	knowledge_external/catalogs/indexes/V48_EVIDENCE_BOUNDARY_GLOSSARY.md	input_to_artifact	V48 evidence-boundary glossary	yes
scripts/v48_evidence_boundary_glossary_freshness_linter.py	knowledge_external/catalogs/indexes/V48_EVIDENCE_BOUNDARY_GLOSSARY.md	freshness_control_for_artifact	V48 evidence-boundary glossary	yes
analysis/v48_governance_preflight/v48_governance_preflight_summary.json	knowledge_external/catalogs/indexes/V48_PREFLIGHT_SUMMARY_CARD.md	input_to_artifact	V48 preflight summary card	yes
knowledge_external/catalogs/indexes/v48_governance_navigation_summary.json	knowledge_external/catalogs/indexes/V48_PREFLIGHT_SUMMARY_CARD.md	input_to_artifact	V48 preflight summary card	yes
knowledge_external/catalogs/indexes/governance_failure_mode_matrix_v48_summary.json	knowledge_external/catalogs/indexes/V48_PREFLIGHT_SUMMARY_CARD.md	input_to_artifact	V48 preflight summary card	yes
scripts/v48_preflight_summary_card_freshness_linter.py	knowledge_external/catalogs/indexes/V48_PREFLIGHT_SUMMARY_CARD.md	freshness_control_for_artifact	V48 preflight summary card	yes
knowledge_external/catalogs/indexes/	knowledge_external/INDEX.md	input_to_artifact	Public external index	pattern_or_directory
knowledge_external/synthesis/	knowledge_external/INDEX.md	input_to_artifact	Public external index	pattern_or_directory
scripts/v48_public_index_crosslink_linter.py	knowledge_external/INDEX.md	freshness_control_for_artifact	Public external index	yes
scripts/v48_public_index_freshness_linter.py	knowledge_external/INDEX.md	freshness_control_for_artifact	Public external index	yes
scripts/v47_external_markdown_index_linter.py	knowledge_external/INDEX.md	freshness_control_for_artifact	Public external index	yes
