artifact	output	output_exists	n_inputs	n_controls	inputs	controls	boundary
V48 external resource comparator matrix	knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_COMPARATOR_MATRIX_V48.md	yes	1	1	knowledge_external/catalogs/records/resource.*.json	scripts/v48_resource_comparator_freshness_linter.py	external resource metadata only
V48 source-domain review	knowledge_external/catalogs/indexes/SOURCE_DOMAIN_REVIEW_V48.md	yes	1	1	knowledge_external/catalogs/records/	scripts/v48_source_domain_review_freshness_linter.py	domain maintenance only
V48 source-terms coverage	knowledge_external/catalogs/indexes/SOURCE_TERMS_COVERAGE_V48.md	yes	1	3	knowledge_external/catalogs/records/	scripts/v48_source_terms_coverage_freshness_linter.py;scripts/v48_source_terms_freshness_linter.py;scripts/v48_source_terms_metadata_linter.py	source terms metadata only
V48 high-priority source-terms packet	knowledge_external/catalogs/indexes/HIGH_PRIORITY_SOURCE_TERMS_PACKET_V48.md	yes	1	1	knowledge_external/catalogs/indexes/source_terms_coverage_v48.tsv	scripts/v48_high_priority_source_terms_packet_freshness_linter.py	source terms review queue only
V37 finding external coverage map	knowledge_external/synthesis/V37_FINDING_EXTERNAL_COVERAGE_V48.md	yes	2	1	docs/reports/FINDINGS_SCORES_V37.tsv;knowledge_external/synthesis/convergence_contradiction_v48.tsv	scripts/v48_v37_coverage_freshness_linter.py	coverage accounting only
V37 uncovered finding rationale	knowledge_external/synthesis/V37_UNCOVERED_FINDING_RATIONALE_V48.md	yes	1	1	knowledge_external/synthesis/v37_finding_external_coverage_v48.tsv	scripts/v48_v37_uncovered_rationale_freshness_linter.py	coverage-gap rationale only
V37 external coverage gap priority	knowledge_external/synthesis/V37_EXTERNAL_COVERAGE_GAP_PRIORITY_V48.md	yes	2	1	knowledge_external/synthesis/v37_finding_external_coverage_v48.tsv;knowledge_external/synthesis/v37_uncovered_finding_rationale_v48.tsv	scripts/v48_v37_gap_priority_freshness_linter.py	sourcing priority only; not corroboration
High-priority external sourcing plan	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	yes	1	1	knowledge_external/synthesis/v37_external_coverage_gap_priority_v48.tsv	scripts/v48_high_priority_external_sourcing_plan_freshness_linter.py	future-source planning only
High-priority source-search query packet	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	yes	1	1	knowledge_external/synthesis/high_priority_external_sourcing_plan_v48.tsv	scripts/v48_high_priority_source_search_query_freshness_linter.py	future-search/navigation only
High-priority source intake checklist	knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md	yes	2	1	knowledge_external/synthesis/high_priority_external_sourcing_plan_v48.tsv;knowledge_external/synthesis/high_priority_source_search_queries_v48.tsv	scripts/v48_high_priority_source_intake_checklist_freshness_linter.py	future-search/navigation only
Source-intake operator quickstart	knowledge_external/templates/SOURCE_INTAKE_OPERATOR_QUICKSTART_V48.md	yes	4	1	docs/knowledge/EPISTEMIC_CLASSES.md;knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md;knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md;knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md	scripts/v48_source_intake_operator_quickstart_freshness_linter.py	future-search/navigation only
Source-intake package manifest	knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md	yes	6	1	knowledge_external/EXTERNAL_LAYER_READER_BRIEF_V48.md;knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md;knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md;knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md;knowledge_external/templates/SOURCE_INTAKE_OPERATOR_QUICKSTART_V48.md;knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	scripts/v48_source_intake_package_manifest_freshness_linter.py	future-search/navigation only
Source-hit acceptance decision tree	knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md	yes	6	1	knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md;knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md;knowledge_external/templates/SOURCE_INTAKE_OPERATOR_QUICKSTART_V48.md;knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md;knowledge_external/synthesis/CONTRADICTION_READINESS_PLAYBOOK_V48.md;knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	scripts/v48_source_hit_acceptance_decision_tree_freshness_linter.py	future-search/navigation only
Source-hit access/terms parking queue	knowledge_external/templates/SOURCE_HIT_ACCESS_TERMS_PARKING_QUEUE_V48.md	yes	6	1	knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md;knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md;knowledge_external/catalogs/indexes/SOURCE_TERMS_REVIEW_QUEUE_V48.md;knowledge_external/catalogs/indexes/HIGH_PRIORITY_SOURCE_TERMS_PACKET_V48.md;knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md;knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	scripts/v48_source_hit_access_terms_parking_queue_freshness_linter.py	future-search/navigation only
Source de-duplication intake checklist	knowledge_external/templates/SOURCE_DEDUPLICATION_INTAKE_CHECKLIST_V48.md	yes	6	1	knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md;knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md;knowledge_external/templates/SOURCE_HIT_ACCESS_TERMS_PARKING_QUEUE_V48.md;knowledge_external/catalogs/indexes/SOURCE_URL_DUPLICATE_REVIEW_V48.md;knowledge_external/synthesis/CONVERGENCE_SOURCE_INDEPENDENCE_V48.md;knowledge_external/catalogs/indexes/SOURCE_DOMAIN_INDEPENDENCE_ROLLUP_V48.md	scripts/v48_source_deduplication_intake_checklist_freshness_linter.py	future-search/navigation only
Parked source release checklist	knowledge_external/templates/PARKED_SOURCE_RELEASE_CHECKLIST_V48.md	yes	7	1	knowledge_external/templates/SOURCE_HIT_ACCESS_TERMS_PARKING_QUEUE_V48.md;knowledge_external/templates/SOURCE_DEDUPLICATION_INTAKE_CHECKLIST_V48.md;knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md;knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md;knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md;knowledge_external/catalogs/indexes/SOURCE_TERMS_COVERAGE_V48.md;knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	scripts/v48_parked_source_release_checklist_freshness_linter.py	future-search/navigation only
Parked source future-grounding handoff	knowledge_external/templates/PARKED_SOURCE_FUTURE_GROUNDING_HANDOFF_V48.md	yes	7	1	knowledge_external/templates/SOURCE_HIT_ACCESS_TERMS_PARKING_QUEUE_V48.md;knowledge_external/templates/PARKED_SOURCE_RELEASE_CHECKLIST_V48.md;knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md;knowledge_external/templates/SOURCE_DEDUPLICATION_INTAKE_CHECKLIST_V48.md;knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md;knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md;knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	scripts/v48_parked_source_future_grounding_handoff_freshness_linter.py	future-search/navigation only
External intake one-page checklist	knowledge_external/templates/EXTERNAL_INTAKE_ONE_PAGE_CHECKLIST_V48.md	yes	10	1	docs/knowledge/EPISTEMIC_CLASSES.md;knowledge_external/EXTERNAL_LAYER_READER_BRIEF_V48.md;knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md;knowledge_external/templates/SOURCE_INTAKE_OPERATOR_QUICKSTART_V48.md;knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md;knowledge_external/templates/SOURCE_HIT_ACCESS_TERMS_PARKING_QUEUE_V48.md;knowledge_external/templates/SOURCE_DEDUPLICATION_INTAKE_CHECKLIST_V48.md;knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md;knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md;knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	scripts/v48_external_intake_one_page_checklist_freshness_linter.py	future-search/navigation only
Source-intake audit log template	knowledge_external/templates/SOURCE_INTAKE_AUDIT_LOG_TEMPLATE_V48.md	yes	8	1	knowledge_external/templates/EXTERNAL_INTAKE_ONE_PAGE_CHECKLIST_V48.md;knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md;knowledge_external/templates/SOURCE_HIT_ACCESS_TERMS_PARKING_QUEUE_V48.md;knowledge_external/templates/SOURCE_DEDUPLICATION_INTAKE_CHECKLIST_V48.md;knowledge_external/templates/PARKED_SOURCE_RELEASE_CHECKLIST_V48.md;knowledge_external/templates/PARKED_SOURCE_FUTURE_GROUNDING_HANDOFF_V48.md;knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md;knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md	scripts/v48_source_intake_audit_log_template_freshness_linter.py	future-search/navigation only
Source-intake decision error taxonomy	knowledge_external/templates/SOURCE_INTAKE_DECISION_ERROR_TAXONOMY_V48.md	yes	7	1	knowledge_external/templates/EXTERNAL_INTAKE_ONE_PAGE_CHECKLIST_V48.md;knowledge_external/templates/SOURCE_INTAKE_AUDIT_LOG_TEMPLATE_V48.md;knowledge_external/templates/SOURCE_HIT_ACCESS_TERMS_PARKING_QUEUE_V48.md;knowledge_external/templates/SOURCE_DEDUPLICATION_INTAKE_CHECKLIST_V48.md;knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md;knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md;scripts/v47_provenance_gate.py	scripts/v48_source_intake_decision_error_taxonomy_freshness_linter.py	future-search/navigation only
Source-intake reproducibility checklist	knowledge_external/templates/SOURCE_INTAKE_REPRODUCIBILITY_CHECKLIST_V48.md	yes	8	1	knowledge_external/templates/EXTERNAL_INTAKE_ONE_PAGE_CHECKLIST_V48.md;knowledge_external/templates/SOURCE_INTAKE_AUDIT_LOG_TEMPLATE_V48.md;knowledge_external/templates/SOURCE_INTAKE_DECISION_ERROR_TAXONOMY_V48.md;knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md;knowledge_external/templates/SOURCE_HIT_ACCESS_TERMS_PARKING_QUEUE_V48.md;knowledge_external/templates/SOURCE_DEDUPLICATION_INTAKE_CHECKLIST_V48.md;knowledge_external/templates/PARKED_SOURCE_RELEASE_CHECKLIST_V48.md;knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	scripts/v48_source_intake_reproducibility_checklist_freshness_linter.py	future-search/navigation only
Source-intake controls coverage card	knowledge_external/catalogs/indexes/V48_SOURCE_INTAKE_CONTROLS_COVERAGE.md	yes	13	1	docs/knowledge/EPISTEMIC_CLASSES.md;knowledge_external/EXTERNAL_LAYER_READER_BRIEF_V48.md;knowledge_external/templates/SOURCE_INTAKE_PACKAGE_MANIFEST_V48.md;knowledge_external/templates/EXTERNAL_INTAKE_ONE_PAGE_CHECKLIST_V48.md;knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md;knowledge_external/templates/SOURCE_HIT_ACCESS_TERMS_PARKING_QUEUE_V48.md;knowledge_external/templates/SOURCE_DEDUPLICATION_INTAKE_CHECKLIST_V48.md;knowledge_external/templates/PARKED_SOURCE_RELEASE_CHECKLIST_V48.md;knowledge_external/templates/PARKED_SOURCE_FUTURE_GROUNDING_HANDOFF_V48.md;knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md;knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md;knowledge_external/templates/SOURCE_INTAKE_AUDIT_LOG_TEMPLATE_V48.md;knowledge_external/templates/SOURCE_INTAKE_DECISION_ERROR_TAXONOMY_V48.md	scripts/v48_source_intake_controls_coverage_freshness_linter.py	governance/navigation only
Relationship-row candidate template	knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md	yes	3	1	knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md;knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md;docs/knowledge/EPISTEMIC_CLASSES.md	scripts/v48_relationship_row_candidate_template_freshness_linter.py	future-search/navigation only
Contradiction triage mini-template	knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md	yes	5	1	knowledge_external/templates/SOURCE_HIT_ACCEPTANCE_DECISION_TREE_V48.md;knowledge_external/templates/RELATIONSHIP_ROW_CANDIDATE_TEMPLATE_V48.md;knowledge_external/synthesis/CONTRADICTION_READINESS_PLAYBOOK_V48.md;knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md;knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	scripts/v48_contradiction_triage_mini_template_freshness_linter.py	future-search/navigation only
Contradiction readiness playbook	knowledge_external/synthesis/CONTRADICTION_READINESS_PLAYBOOK_V48.md	yes	1	1	knowledge_external/synthesis/convergence_contradiction_v48.tsv	scripts/v48_contradiction_readiness_freshness_linter.py	future contradiction handling only
Contradiction surveillance checklist	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	yes	2	1	knowledge_external/synthesis/convergence_contradiction_v48.tsv;knowledge_external/synthesis/high_priority_external_sourcing_plan_v48.tsv	scripts/v48_contradiction_surveillance_freshness_linter.py	future contradiction surveillance only
Unresolved external coverage handoff	knowledge_external/synthesis/UNRESOLVED_EXTERNAL_COVERAGE_HANDOFF_V48.md	yes	5	1	knowledge_external/synthesis/v37_external_coverage_gap_priority_v48.tsv;knowledge_external/synthesis/high_priority_external_sourcing_plan_v48.tsv;knowledge_external/synthesis/high_priority_source_search_queries_v48.tsv;knowledge_external/synthesis/future_grounding_queue_v48.tsv;knowledge_external/synthesis/contradiction_surveillance_checklist_v48.tsv	scripts/v48_unresolved_external_coverage_handoff_freshness_linter.py	handoff/navigation only
External source URL duplicate review	knowledge_external/catalogs/indexes/SOURCE_URL_DUPLICATE_REVIEW_V48.md	yes	1	1	knowledge_external/catalogs/records/	scripts/v48_source_url_duplicate_freshness_linter.py	source maintenance only
V48 external synthesis dependency graph	knowledge_external/catalogs/indexes/V48_EXTERNAL_SYNTHESIS_DEPENDENCY_GRAPH.md	yes	1	1	scripts/v48_external_synthesis_dependency_graph.py	scripts/v48_external_synthesis_dependency_freshness_linter.py	dependency/navigation control
V48 governance navigation	knowledge_external/catalogs/indexes/V48_GOVERNANCE_NAVIGATION.md	yes	2	1	scripts/v48_governance_navigation.py;analysis/v48_governance_preflight/v48_governance_preflight_plan.tsv	scripts/v48_governance_navigation_freshness_linter.py	navigation control
V48 governance failure-mode matrix	knowledge_external/catalogs/indexes/GOVERNANCE_FAILURE_MODE_MATRIX_V48.md	yes	1	1	knowledge_external/catalogs/indexes/v48_governance_navigation.tsv	scripts/v48_governance_failure_mode_freshness_linter.py	governance mapping control
V48 evidence-boundary glossary	knowledge_external/catalogs/indexes/V48_EVIDENCE_BOUNDARY_GLOSSARY.md	yes	1	1	knowledge_external/catalogs/indexes/governance_failure_mode_matrix_v48.tsv	scripts/v48_evidence_boundary_glossary_freshness_linter.py	synthesis/navigation only
V48 preflight summary card	knowledge_external/catalogs/indexes/V48_PREFLIGHT_SUMMARY_CARD.md	yes	3	1	analysis/v48_governance_preflight/v48_governance_preflight_summary.json;knowledge_external/catalogs/indexes/v48_governance_navigation_summary.json;knowledge_external/catalogs/indexes/governance_failure_mode_matrix_v48_summary.json	scripts/v48_preflight_summary_card_freshness_linter.py	handoff/navigation only
Public external index	knowledge_external/INDEX.md	yes	2	3	knowledge_external/catalogs/indexes/;knowledge_external/synthesis/	scripts/v48_public_index_crosslink_linter.py;scripts/v48_public_index_freshness_linter.py;scripts/v47_external_markdown_index_linter.py	class-aware public navigation only
