access_tier	record_id	resource_name	epistemic_class	relationship_to_project_findings	not_project_grounded_marker	source_label	source_url	project_use	path
open	resource.ms_society_uk.types_of_ms.2026-06-13	MS Society UK Types of MS	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	MS Society UK Types of MS page	https://www.mssociety.org.uk/about-ms/types-of-ms	Public-reader disease-course context and terminology cross-check independent of US-focused references.	knowledge_external/catalogs/resources/ms_society_uk_types_of_ms.json
application	resource.msbase.registry.2026-06-13	MSBase Registry	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	MSBase home page	https://www.msbase.org/	Competitor/source cataloging; identifies a large clinical outcomes registry outside this repository's public rerunnable data core.	knowledge_external/catalogs/resources/msbase_registry.json
registration	resource.msda.catalogue.2026-06-13	MS Data Alliance Catalogue	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	MSDA Catalogue home page	https://msda.emif-catalogue.eu/	Competitor/source cataloging and future acquisition lead generation.	knowledge_external/catalogs/resources/msda_catalogue.json
open	resource.msgd.database_commons.2026-06-13	MSGD / Multiple Sclerosis Gene Database	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Database Commons profile for MSGD	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	Competitor/source cataloging; helps public readers distinguish this repository from a dedicated MS gene-knowledge database.	knowledge_external/catalogs/resources/msgd_database_commons.json
open	resource.msif.atlas_of_ms.2026-06-13	MS International Federation Atlas of MS	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Atlas of MS	https://atlasofms.org/	Global epidemiology, diagnosis, DMT access, and healthcare-resource context for public readers.	knowledge_external/catalogs/resources/msif_atlas_of_ms.json
application	resource.narcoms.registry.2026-06-13	NARCOMS Registry	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NARCOMS about page	https://www.narcoms.org/	Competitor/source cataloging; identifies patient-reported longitudinal MS experience data not held by this repository.	knowledge_external/catalogs/resources/narcoms_registry.json
open	resource.national_ms_society.dmt_reference.2026-06-13	National Multiple Sclerosis Society Disease Modification	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	National MS Society disease modification page	https://www.nationalmssociety.org/for-professionals/for-healthcare-professionals/managing-and-treating-ms/disease-modification	Public DMT terminology and treatment-context navigation for readers of the validation and treatment-response artifacts.	knowledge_external/catalogs/resources/national_ms_society_dmt_reference.json
open	resource.national_ms_society.types_of_ms.2026-06-13	National Multiple Sclerosis Society Types of MS	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	National MS Society Types of MS page	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	Public-reader clinical-course context and external terminology alignment for disease-course records.	knowledge_external/catalogs/resources/national_ms_society_types.json
open	resource.nhs_england.ms_dmt_algorithm.2026-06-13	NHS England MS DMT treatment algorithm	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NHS England MS DMT treatment algorithm PDF	https://www.england.nhs.uk/wp-content/uploads/2024/03/treatment-algorithm-for-multiple-sclerosis-disease-modifying-therapies-july-23.pdf	DMT sequencing, eligibility, and clinical-decision context for public readers and future validation interpretation.	knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json
open	resource.nice.ng220_ms_management.2026-06-13	NICE NG220 Multiple sclerosis in adults: management	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NICE NG220 overview	https://www.nice.org.uk/guidance/ng220	Clinical management and guideline context for public readers and validation-readiness interpretation.	knowledge_external/catalogs/resources/nice_ng220_ms_management.json
open	resource.ninds.ms_common_data_elements.2026-06-13	NINDS Multiple Sclerosis Common Data Elements	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NINDS CDE Multiple Sclerosis page	https://www.commondataelements.ninds.nih.gov/Multiple%20Sclerosis	Clinical-study data-standard context for future cohort intake and public navigation.	knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json
open	resource.open_targets.platform.2026-06-13	Open Targets Platform	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Open Targets Platform documentation	https://platform-docs.opentargets.org/	Competitor/source cataloging and future therapeutic-hypothesis triage.	knowledge_external/catalogs/resources/open_targets_platform.json
mixed	resource.osf.repository.2026-06-13	Open Science Framework	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	OSF product page	https://www.cos.io/products/osf	Protocol, preprint, supplement, and dataset discovery route for MS-related projects.	knowledge_external/catalogs/resources/osf_repository.json
open	resource.pubmed.literature.2026-06-13	PubMed	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	PubMed home page	https://pubmed.ncbi.nlm.nih.gov/	Public MS literature navigation and prior-art discovery.	knowledge_external/catalogs/resources/pubmed_literature.json
open	resource.sra.sequence_read_archive.2026-06-13	NCBI Sequence Read Archive	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NCBI SRA home page	https://www.ncbi.nlm.nih.gov/sra	Raw sequencing acquisition route for public transcriptomic or genomic studies.	knowledge_external/catalogs/resources/sra_sequence_read_archive.json
open	resource.zenodo.repository.2026-06-13	Zenodo	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Zenodo about page	https://about.zenodo.org/	Supplementary-data and processed-data discovery route for MS studies.	knowledge_external/catalogs/resources/zenodo_repository.json
