resource_id	resource_name	category	category_label	coverage	access_tier	epistemic_class	not_project_grounded_marker	source	unique_gap_filled	repo_unique_position	future_grounding_route	path
resource.fda.fdalabel_drug_labeling.2026-06-13	FDA FDALabel	dmt_regulatory_and_drug_reference	DMT regulatory and drug reference	drug-label, DMT, or regulatory context	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.fda.gov/science-research/bioinformatics-tools/fdalabel-full-text-search-drug-product-labeling	Regulatory drug-label text and labeling metadata for approved medicines, including possible MS DMT label context.	This repo is not a regulatory-label database; drug references contextualize mechanisms and indications but do not validate project response scores.	Specific DMT label facts can be queued as external-verifiable only after a named label version is downloaded, hashed, and compared against project-defined drug-mechanism fields.	knowledge_external/catalogs/resources/fda_fdalabel_drug_labeling.json
resource.figshare.repository.2026-06-13	Figshare	general_research_repositories	General research repositories	general research artifact repository discovery	mixed	external-unverifiable	NOT_PROJECT_GROUNDED	https://info.figshare.com/about/	General-purpose paper-linked and institutional research outputs, including datasets and non-traditional supplementary materials.	This repo is a curated grounded analysis corpus; general repositories may host relevant artifacts but do not provide project-level synthesis or validation gates.	Figshare records can seed acquisition only after file availability, license, metadata, and biological relevance are inspected and project-hashed.	knowledge_external/catalogs/resources/figshare_repository.json
resource.geo.functional_genomics.2026-06-13	NCBI Gene Expression Omnibus	functional_genomics_archives	Functional genomics archives	functional genomics study discovery and data access	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.ncbi.nlm.nih.gov/geo/	Public submitted functional-genomics studies and associated sample/platform metadata across many diseases and experimental designs.	This repo interprets selected transcriptomic datasets under locked rules; archives are broader sources of raw/processed data but not a synthesized MS evidence corpus.	Candidate GEO series can be downloaded, hashed, checked for paired samples/labels/module genes, and then promoted only through the project's normal data-grounding pipeline.	knowledge_external/catalogs/resources/geo_functional_genomics.json
resource.gwas_catalog.ms.2026-06-13	NHGRI-EBI GWAS Catalog	genetics_and_target_knowledge	Genetics and target knowledge	genetics, target, or disease-gene knowledge	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.ebi.ac.uk/gwas/	Continuously maintained curated association catalog and downloadable GWAS metadata across diseases and traits.	This repo adds direction-matched genetics/eQTL/coloc interpretation and kill records; external target resources are broader but not equivalent to project-grounded findings.	Specific GWAS Catalog MS associations can be imported as external-verifiable hypotheses and compared against project-held GWAS/eQTL/colocalization outputs with a documented download hash.	knowledge_external/catalogs/resources/gwas_catalog_multiple_sclerosis.json
resource.imsgc.publications.2026-06-13	International Multiple Sclerosis Genetics Consortium	genetics_and_target_knowledge	Genetics and target knowledge	genetics, target, or disease-gene knowledge	mixed	external-unverifiable	NOT_PROJECT_GROUNDED	https://imsgc.net/publications/	Consortium-scale MS genetics publication corpus and controlled/open genetics resources beyond this repository's held data.	This repo adds direction-matched genetics/eQTL/coloc interpretation and kill records; external target resources are broader but not equivalent to project-grounded findings.	Specific IMSGC loci, summary statistics, or controlled datasets can be queued for project grounding only after access, licensing, and reproducible input provenance are established.	knowledge_external/catalogs/resources/imsgc_publications.json
resource.ms_society_uk.types_of_ms.2026-06-13	MS Society UK Types of MS	clinical_reference_and_guidelines	Clinical reference and guidelines	clinical reference, guideline, or data-standard context	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.mssociety.org.uk/about-ms/types-of-ms	Independent public MS disease-course terminology and patient-facing explanation outside the project's computational artifacts.	This repo is not a clinical guideline; clinical references contextualize terminology and care standards but do not validate project biomarkers.	Specific terminology or disease-course claims can be queued for comparison against project-held labels only if a future dataset contains suitable course/stage annotations.	knowledge_external/catalogs/resources/ms_society_uk_types_of_ms.json
resource.msbase.registry.2026-06-13	MSBase Registry	ms_registry_or_cohort_catalog	MS registry or cohort catalog	clinical registry or cohort discovery	application	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.msbase.org/	Large international clinician-entered longitudinal real-world clinical outcomes registry.	This repo lacks registry-scale patient follow-up, but it provides frozen validation harnesses and provenance discipline not supplied by generic catalog metadata.	Any MSBase-derived analysis would require an approved access path and a separate pre-registered project-specific validation or replication plan.	knowledge_external/catalogs/resources/msbase_registry.json
resource.msda.catalogue.2026-06-13	MS Data Alliance Catalogue	ms_registry_or_cohort_catalog	MS registry or cohort catalog	clinical registry or cohort discovery	registration	external-unverifiable	NOT_PROJECT_GROUNDED	https://msda.emif-catalogue.eu/	Registry/cohort metadata discovery across MS real-world data sources.	This repo lacks registry-scale patient follow-up, but it provides frozen validation harnesses and provenance discipline not supplied by generic catalog metadata.	Any listed cohort that appears relevant can be routed into the project's acquisition scout and must then be separately verified for access, paired samples, response labels, and module-gene coverage.	knowledge_external/catalogs/resources/msda_catalogue.json
resource.msgd.database_commons.2026-06-13	MSGD / Multiple Sclerosis Gene Database	genetics_and_target_knowledge	Genetics and target knowledge	genetics, target, or disease-gene knowledge	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	Manually curated MS gene-entry database spanning literature-mined variants, RNA, protein, knockout, drug-target, and high-throughput records.	This repo adds direction-matched genetics/eQTL/coloc interpretation and kill records; external target resources are broader but not equivalent to project-grounded findings.	Specific MSGD gene or drug entries can be queued as external-verifiable hypotheses and tested against project-held genetics, expression, perturbation, or treatment-response data before they are used as project evidence.	knowledge_external/catalogs/resources/msgd_database_commons.json
resource.msif.atlas_of_ms.2026-06-13	MS International Federation Atlas of MS	epidemiology_and_global_resources	Epidemiology and global resources	epidemiology and access-to-care context	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://atlasofms.org/	Global MS epidemiology and health-system/resource availability data not held as rerunnable project data.	This repo is not population surveillance; epidemiology resources contextualize burden/access rather than rerunnable molecular analysis.	Specific Atlas data tables can be downloaded, hashed, and analyzed separately if a future iteration needs country-level epidemiology or access-to-care grounding.	knowledge_external/catalogs/resources/msif_atlas_of_ms.json
resource.narcoms.registry.2026-06-13	NARCOMS Registry	ms_registry_or_cohort_catalog	MS registry or cohort catalog	clinical registry or cohort discovery	application	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.narcoms.org/	Patient registry data on MS experience, longitudinal surveys, symptoms, and treatment context.	This repo lacks registry-scale patient follow-up, but it provides frozen validation harnesses and provenance discipline not supplied by generic catalog metadata.	Any NARCOMS-derived claim would require an approved data-use route and a separate project grounding analysis before it could affect project conclusions.	knowledge_external/catalogs/resources/narcoms_registry.json
resource.national_ms_society.dmt_reference.2026-06-13	National Multiple Sclerosis Society Disease Modification	dmt_regulatory_and_drug_reference	DMT regulatory and drug reference	drug-label, DMT, or regulatory context	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.nationalmssociety.org/for-professionals/for-healthcare-professionals/managing-and-treating-ms/disease-modification	Public MS DMT terminology and treatment-context framing outside this repository's grounded treatment-response analyses.	This repo is not a regulatory-label database; drug references contextualize mechanisms and indications but do not validate project response scores.	Specific DMT class or mechanism statements can be queued as external-verifiable only after mapping to named labels, publications, or project-held treatment-response datasets.	knowledge_external/catalogs/resources/national_ms_society_dmt_reference.json
resource.national_ms_society.types_of_ms.2026-06-13	National Multiple Sclerosis Society Types of MS	clinical_reference_and_guidelines	Clinical reference and guidelines	clinical reference, guideline, or data-standard context	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	Public clinical-course terminology and patient/professional education framing outside the repository's rerunnable data artifacts.	This repo is not a clinical guideline; clinical references contextualize terminology and care standards but do not validate project biomarkers.	Specific disease-course claims from this page can be queued as external-verifiable hypotheses only if mapped to project-held clinical labels or reachable cohorts; otherwise they remain context.	knowledge_external/catalogs/resources/national_ms_society_types.json
resource.nhs_england.ms_dmt_algorithm.2026-06-13	NHS England MS DMT treatment algorithm	dmt_regulatory_and_drug_reference	DMT regulatory and drug reference	drug-label, DMT, or regulatory context	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.england.nhs.uk/wp-content/uploads/2024/03/treatment-algorithm-for-multiple-sclerosis-disease-modifying-therapies-july-23.pdf	Operational clinical treatment-algorithm context for MS DMT use and sequencing, outside project-generated evidence.	This repo is not a regulatory-label database; drug references contextualize mechanisms and indications but do not validate project response scores.	Algorithm rules can inform future external context or data-request language, but cannot change validation thresholds or grounded treatment-response interpretation without a separate grounded comparison.	knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json
resource.nice.ng220_ms_management.2026-06-13	NICE NG220 Multiple sclerosis in adults: management	clinical_reference_and_guidelines	Clinical reference and guidelines	clinical reference, guideline, or data-standard context	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.nice.org.uk/guidance/ng220	Formal clinical guideline framing for diagnosis, relapse management, DMTs, rehabilitation, and comprehensive review outside project-generated evidence.	This repo is not a clinical guideline; clinical references contextualize terminology and care standards but do not validate project biomarkers.	Guideline recommendations can be used as context or queued for future evidence comparison, but cannot alter project findings or validation thresholds without a separate grounded analysis.	knowledge_external/catalogs/resources/nice_ng220_ms_management.json
resource.ninds.ms_common_data_elements.2026-06-13	NINDS Multiple Sclerosis Common Data Elements	clinical_reference_and_guidelines	Clinical reference and guidelines	clinical reference, guideline, or data-standard context	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.commondataelements.ninds.nih.gov/Multiple%20Sclerosis	MS-specific clinical research data-standard and CRF-module vocabulary not represented in the repository's current validation schemas.	This repo is not a clinical guideline; clinical references contextualize terminology and care standards but do not validate project biomarkers.	CDE fields can inform future intake-schema mapping or data-request templates, but any data-standard adoption must be implemented and tested separately.	knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json
resource.open_targets.platform.2026-06-13	Open Targets Platform	genetics_and_target_knowledge	Genetics and target knowledge	genetics, target, or disease-gene knowledge	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://platform-docs.opentargets.org/	Broad target-disease association and drug-target prioritization resource across many evidence types.	This repo adds direction-matched genetics/eQTL/coloc interpretation and kill records; external target resources are broader but not equivalent to project-grounded findings.	Specific Open Targets MS target-disease associations can be queued as external-verifiable hypotheses and grounded against project-held genetics, eQTL, perturbation, and treatment-response data.	knowledge_external/catalogs/resources/open_targets_platform.json
resource.osf.repository.2026-06-13	Open Science Framework	general_research_repositories	General research repositories	general research artifact repository discovery	mixed	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.cos.io/products/osf	Project-level files, protocols, materials, preprints, and datasets not always mirrored in specialist repositories.	This repo is a curated grounded analysis corpus; general repositories may host relevant artifacts but do not provide project-level synthesis or validation gates.	OSF projects can seed acquisition only after public availability, file provenance, license, metadata, and biological relevance are verified.	knowledge_external/catalogs/resources/osf_repository.json
resource.pubmed.literature.2026-06-13	PubMed	literature_and_publication_mining	Literature and publication mining	literature discovery and paper/supplement mining	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://pubmed.ncbi.nlm.nih.gov/	Broad biomedical citation/abstract search across MEDLINE, life-science journals, and online books.	This repo adds grounded rerunnable synthesis over selected MS analyses; literature tools are broader but do not rerun this project's evidence gate.	Specific papers found through PubMed can be used only as external context or queued for data-grounding if they point to reachable datasets.	knowledge_external/catalogs/resources/pubmed_literature.json
resource.sra.sequence_read_archive.2026-06-13	NCBI Sequence Read Archive	sequence_archives	Sequence archives	raw sequence archive discovery	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.ncbi.nlm.nih.gov/sra	Raw sequencing runs and alignments associated with public studies, including datasets whose processed expression tables are incomplete.	This repo generally does not store all raw reads; sequence archives are data sources that still need project-specific ingestion and grounding.	SRA runs linked to candidate MS studies can be downloaded through project acquisition scripts, hashed, metadata-checked, and processed before use.	knowledge_external/catalogs/resources/sra_sequence_read_archive.json
resource.zenodo.repository.2026-06-13	Zenodo	general_research_repositories	General research repositories	general research artifact repository discovery	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://about.zenodo.org/	General research outputs, supplementary datasets, software, and DOI-backed archives not indexed in specialist bioinformatics repositories.	This repo is a curated grounded analysis corpus; general repositories may host relevant artifacts but do not provide project-level synthesis or validation gates.	Zenodo records can become acquisition candidates only after file manifests, licenses, hashes, and biological metadata are inspected by project intake scripts.	knowledge_external/catalogs/resources/zenodo_repository.json
