boundary	n_controls	failure_mode_prevented	allowed_use	forbidden_use	example_artifacts	example_paths
navigation control	8	public or operator navigation becomes stale and hides required artifacts	Use as an automated governance control for the named boundary: navigation control.	Do not allow the controlled artifact to create this failure mode: public or operator navigation becomes stale and hides required artifacts.	AI Core tooling-health freshness linter; External layer reader brief freshness linter; Governance navigation freshness linter; Model-lens usage boundary freshness linter; Model-output evidence-claim linter	scripts/v48_ai_core_tooling_health_freshness_linter.py; scripts/v48_external_layer_reader_brief_freshness_linter.py; scripts/v48_governance_navigation_freshness_linter.py; scripts/v48_model_evidence_claim_linter.py; scripts/v48_model_lens_usage_boundary_freshness_linter.py
queued tasks are not findings	2	future tasks are misread as established results	Use for future-work queues that preserve a candidate action without asserting a result.	Do not allow the controlled artifact to create this failure mode: future tasks are misread as established results.	Unresolved external coverage handoff; V48 future-grounding queue	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md; knowledge_external/synthesis/UNRESOLVED_EXTERNAL_COVERAGE_HANDOFF_V48.md
resource metadata control	1	resource comparator metadata drifts from source records	Use as an automated governance control for the named boundary: resource metadata control.	Do not allow the controlled artifact to create this failure mode: resource comparator metadata drifts from source records.	Resource comparator freshness linter	scripts/v48_resource_comparator_freshness_linter.py
schema control	3	external records lack mandatory source, class, marker, or relationship fields	Use as an automated governance control for the named boundary: schema control.	Do not allow the controlled artifact to create this failure mode: external records lack mandatory source, class, marker, or relationship fields.	External record schema linter; External record uniqueness linter; Relationship-matrix data dictionary freshness linter	scripts/v47_external_record_schema_linter.py; scripts/v47_external_record_uniqueness_linter.py; scripts/v48_relationship_matrix_data_dictionary_freshness_linter.py
segregation control	1	external knowledge leaks into grounded trees or gains project-evidence authority	Use as an automated governance control for the named boundary: segregation control.	Do not allow the controlled artifact to create this failure mode: external knowledge leaks into grounded trees or gains project-evidence authority.	V47 provenance gate	scripts/v47_provenance_gate.py
source locator control	1	source locators become malformed or non-normalized	Use as an automated governance control for the named boundary: source locator control.	Do not allow the controlled artifact to create this failure mode: source locators become malformed or non-normalized.	Source locator normalization linter	scripts/v48_source_locator_normalization_linter.py
source maintenance control	1	duplicate source URLs are mistaken for independent corroboration or left unreviewed	Use as an automated governance control for the named boundary: source maintenance control.	Do not allow the controlled artifact to create this failure mode: duplicate source URLs are mistaken for independent corroboration or left unreviewed.	Source URL duplicate freshness linter	scripts/v48_source_url_duplicate_freshness_linter.py
source terms control	4	source terms/reuse status is ambiguous or stale	Use as an automated governance control for the named boundary: source terms control.	Do not allow the controlled artifact to create this failure mode: source terms/reuse status is ambiguous or stale.	High-priority source-terms packet freshness linter; Source-terms coverage freshness linter; Source-terms freshness linter; Source-terms metadata linter	scripts/v48_high_priority_source_terms_packet_freshness_linter.py; scripts/v48_source_terms_coverage_freshness_linter.py; scripts/v48_source_terms_freshness_linter.py; scripts/v48_source_terms_metadata_linter.py
source terms metadata only	1	terms-review metadata is mistaken for reuse permission	Use for tracking reuse/terms-review status without implying permission beyond the recorded source terms.	Do not allow the controlled artifact to create this failure mode: terms-review metadata is mistaken for reuse permission.	V48 source-terms coverage	knowledge_external/catalogs/indexes/SOURCE_TERMS_COVERAGE_V48.md
sourcing priority control	1	external sourcing priorities are mistaken for corroboration, contradiction, or biological evidence	Use as an automated governance control for the named boundary: sourcing priority control.	Do not allow the controlled artifact to create this failure mode: external sourcing priorities are mistaken for corroboration, contradiction, or biological evidence.	V37 external gap-priority freshness linter	scripts/v48_v37_gap_priority_freshness_linter.py
synthesis coverage control	7	convergence/contradiction rows fall out of sync with grounded findings or source records	Use as an automated governance control for the named boundary: synthesis coverage control.	Do not allow the controlled artifact to create this failure mode: convergence/contradiction rows fall out of sync with grounded findings or source records.	Convergence executive-card freshness linter; Convergence matrix coverage linter; Convergence source-independence freshness linter; Decision-relevant convergence freshness linter; Support/contradiction coverage linter	scripts/v48_convergence_executive_card_freshness_linter.py; scripts/v48_convergence_matrix_coverage_linter.py; scripts/v48_convergence_source_independence_freshness_linter.py; scripts/v48_decision_relevant_convergence_freshness_linter.py; scripts/v48_support_contradiction_coverage_linter.py
synthesis reference control	1	external support/contradiction records point to missing grounded artifacts	Use as an automated governance control for the named boundary: synthesis reference control.	Do not allow the controlled artifact to create this failure mode: external support/contradiction records point to missing grounded artifacts.	Project-finding reference linter	scripts/v48_project_finding_reference_linter.py
synthesis/navigation only	5	navigation rows are overread as evidence or score changes	Use for summaries and navigation that point to controlled artifacts.	Do not allow the controlled artifact to create this failure mode: navigation rows are overread as evidence or score changes.	V48 AI Core tooling-health card; V48 evidence-boundary glossary; V48 external layer reader brief; V48 model-lens usage boundary; V48 relationship-matrix data dictionary	knowledge_external/EXTERNAL_LAYER_READER_BRIEF_V48.md; knowledge_external/catalogs/indexes/V48_AI_CORE_TOOLING_HEALTH.md; knowledge_external/catalogs/indexes/V48_EVIDENCE_BOUNDARY_GLOSSARY.md; knowledge_external/catalogs/indexes/V48_MODEL_LENS_USAGE_BOUNDARY.md; knowledge_external/catalogs/indexes/V48_RELATIONSHIP_MATRIX_DATA_DICTIONARY.md
transport maintenance only	1	source URLs rot or redirect without being visible to maintainers	Use as metadata or navigation only for the named boundary: transport maintenance only.	Do not allow the controlled artifact to create this failure mode: source URLs rot or redirect without being visible to maintainers.	Source URL reachability checker	scripts/v47_source_url_reachability_checker.py
vocabulary control	3	relationship/status values drift into ambiguous uncontrolled labels	Use as an automated governance control for the named boundary: vocabulary control.	Do not allow the controlled artifact to create this failure mode: relationship/status values drift into ambiguous uncontrolled labels.	Convergence status vocabulary linter; Evidence-boundary glossary freshness linter; Relationship vocabulary linter	scripts/v47_relationship_vocabulary_linter.py; scripts/v48_convergence_status_vocabulary_linter.py; scripts/v48_evidence_boundary_glossary_freshness_linter.py
