priority	record_id	record_type	epistemic_class	source_domain	review_class	source_url	terms_review_reason	recommended_next_step
medium	claim.plos.ms_mhc_independent_effects_context.2026-06-14	external_claim	external-unverifiable	pmc.ncbi.nlm.nih.gov	missing_review_class	https://pmc.ncbi.nlm.nih.gov/articles/PMC3836799/	claim-level source should keep citation and reuse caveats explicit	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	claim.ard.ra_sle_pregnancy_transcriptome_context.2026-06-14	external_claim	external-unverifiable	pubmed.ncbi.nlm.nih.gov	missing_review_class	https://pubmed.ncbi.nlm.nih.gov/38049980/	claim-level source should keep citation and reuse caveats explicit	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	claim.probast_tripod.prediction_model_validation_context.2026-06-14	external_claim	external-unverifiable	pubmed.ncbi.nlm.nih.gov	missing_review_class	https://pubmed.ncbi.nlm.nih.gov/30596875/	claim-level source should keep citation and reuse caveats explicit	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	claim.science.ebv_ms_longitudinal_risk_context.2026-06-14	external_claim	external-unverifiable	pubmed.ncbi.nlm.nih.gov	missing_review_class	https://pubmed.ncbi.nlm.nih.gov/35025605/	claim-level source should keep citation and reuse caveats explicit	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	claim.open_targets.direction_tractability_context.2026-06-14	external_claim	external-unverifiable	www.annualreviews.org	missing_review_class	https://www.annualreviews.org/content/journals/10.1146/annurev-biodatasci-102523-103838	claim-level source should keep citation and reuse caveats explicit	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.ninds.ms_common_data_elements.2026-06-13	external_resource_catalog	external-unverifiable	www.commondataelements.ninds.nih.gov	public_clinical_data_standard	https://www.commondataelements.ninds.nih.gov/Multiple%20Sclerosis	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.osf.repository.2026-06-13	external_resource_catalog	external-unverifiable	www.cos.io	repository_platform	https://www.cos.io/products/osf	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.arrayexpress_biostudies.functional_genomics.2026-06-13	external_resource_catalog	external-unverifiable	www.ebi.ac.uk	public_or_controlled_biomedical_database	https://www.ebi.ac.uk/arrayexpress/	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.biostudies.database.2026-06-13	external_resource_catalog	external-unverifiable	www.ebi.ac.uk	public_or_controlled_biomedical_database	https://www.ebi.ac.uk/about/teams/biostudies/	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.ena.sequence_archive.2026-06-13	external_resource_catalog	external-unverifiable	www.ebi.ac.uk	public_or_controlled_biomedical_database	https://www.ebi.ac.uk/ena/browser/	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.gwas_catalog.ms.2026-06-13	external_resource_catalog	external-unverifiable	www.ebi.ac.uk	public_or_controlled_biomedical_database	https://www.ebi.ac.uk/gwas/	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.ema.medicines_database.2026-06-13	external_resource_catalog	external-unverifiable	www.ema.europa.eu	public_regulatory_medicine_reference	https://www.ema.europa.eu/en/medicines	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.nhs_england.ms_dmt_algorithm.2026-06-13	external_resource_catalog	external-unverifiable	www.england.nhs.uk	public_clinical_guideline	https://www.england.nhs.uk/wp-content/uploads/2024/03/treatment-algorithm-for-multiple-sclerosis-disease-modifying-therapies-july-23.pdf	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	claim.ms_society_uk.ppms_course_context.2026-06-13	external_claim	external-unverifiable	www.mssociety.org.uk	public_patient_professional_reference	https://www.mssociety.org.uk/about-ms/types-of-ms	claim-level source should keep citation and reuse caveats explicit	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	claim.national_ms_society.rrms_course_context.2026-06-13	external_claim	external-unverifiable	www.nationalmssociety.org	public_patient_professional_reference	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	claim-level source should keep citation and reuse caveats explicit	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	claim.national_ms_society.spms_course_context.2026-06-13	external_claim	external-unverifiable	www.nationalmssociety.org	public_patient_professional_reference	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms/secondary-progressive-ms	claim-level source should keep citation and reuse caveats explicit	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.nice.ng220_ms_management.2026-06-13	external_resource_catalog	external-unverifiable	www.nice.org.uk	public_clinical_guideline	https://www.nice.org.uk/guidance/ng220	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
low	resource.msif.atlas_of_ms.2026-06-13	external_resource_catalog	external-unverifiable	atlasofms.org	public_epidemiology_reference	https://atlasofms.org/	lower-risk public context source; metadata-only cataloging remains conservative	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
low	resource.ms_society_uk.types_of_ms.2026-06-13	external_resource_catalog	external-unverifiable	www.mssociety.org.uk	public_patient_professional_reference	https://www.mssociety.org.uk/about-ms/types-of-ms	lower-risk public context source; metadata-only cataloging remains conservative	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
low	resource.national_ms_society.dmt_reference.2026-06-13	external_resource_catalog	external-unverifiable	www.nationalmssociety.org	public_patient_professional_reference	https://www.nationalmssociety.org/for-professionals/for-healthcare-professionals/managing-and-treating-ms/disease-modification	lower-risk public context source; metadata-only cataloging remains conservative	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
low	resource.national_ms_society.types_of_ms.2026-06-13	external_resource_catalog	external-unverifiable	www.nationalmssociety.org	public_patient_professional_reference	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	lower-risk public context source; metadata-only cataloging remains conservative	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
