gene	association_id	accession_id	reported_trait	efo_traits	p_value	locations	mapped_genes	pubmed_id	first_author	source_url
SLC15A4	14016	GCST000507	Systemic lupus erythematosus	systemic lupus erythematosus	2e-11	12:128816149	SLC15A4	19838193	Han JW	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/14016
TASL	15801347	GCST003156	Systemic lupus erythematosus	systemic lupus erythematosus	7e-08	X:30555616	NR0B1;TASL	26502338	Bentham J	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15801347
TASL	15788279	GCST003155	Systemic lupus erythematosus	systemic lupus erythematosus	5e-10	X:30559729	TASL	26502338	Bentham J	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15788279
IRF5	217723272	GCST90837324	Autoimmune hypothyroidism	autoimmune thyroid disease	2e-23	7:128939988	IRF5	41748903	Reeve MP	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/217723272
IRF5	166015158	GCST90570209	Rheumatoid arthritis (MTAG)	rheumatoid arthritis	5.000000000000001e-15	7:128936032	IRF5	40262193	Shigesi N	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/166015158
IRF5	165215611	GCST90472771	Psoriasis	psoriasis	1e-12	7:128926978	IRF5;KCP	40021644	Dand N	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165215611
IRF5	135976830	GCST000679	Rheumatoid arthritis	rheumatoid arthritis	4e-11	7:128954129	IRF5;TNPO3	20453842	Stahl EA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/135976830
IRF5	134134637	GCST90446794	Ulcerative colitis	ulcerative colitis	2e-17	7:128936032	IRF5	37156999	Liu Z	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/134134637
IRF5	134132214	GCST90292538	Inflammatory bowel disease	inflammatory bowel disease	4e-09	7:128936032	IRF5	37156999	Liu Z	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/134132214
IRF5	133332254	GCST90435418	Systemic lupus erythematosus	systemic lupus erythematosus	3e-07	7:128938247	IRF5	38724181	Chen YC	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/133332254
IRF5	132630260	GCST90432147	ICD10 K50, K51: inflammatory bowel disease	inflammatory bowel disease	7.000000000000001e-09	7:128940626	IRF5	37965154	Jiang Y	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/132630260
IRF5	105700759	GCST90270940	Systemic lupus erythematosus (MTAG)	systemic lupus erythematosus	6e-57	7:128928906	IRF5;KCP	36750564	Khunsriraksakul C	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/105700759
IRF5	105700726	GCST90270940	Systemic lupus erythematosus (MTAG)	systemic lupus erythematosus	7e-96	7:128933913	IRF5	36750564	Khunsriraksakul C	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/105700726
IRF5	105700715	GCST90270940	Systemic lupus erythematosus (MTAG)	systemic lupus erythematosus	2e-143	7:128954129	IRF5;TNPO3	36750564	Khunsriraksakul C	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/105700715
IRF5	104014375	GCST90255371	COVID-19 hospitalization or systemic lupus erythematosus (MTAG)	systemic lupus erythematosus;COVID-19	8e-13	7:128924771	IRF5;KCP	36762574	Yao M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/104014375
IRF5	104014127	GCST90255368	COVID-19 hospitalization or rheumatoid arthritis (MTAG)	rheumatoid arthritis;COVID-19	1e-09	7:128939148	IRF5	36762574	Yao M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/104014127
IRF5	101119862	GCST90132227	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rheumatoid arthritis;anti-citrullinated protein antibody seropositivity;rheumatoid factor seropositivity measurement	2e-08	7:128936032	IRF5	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101119862
IRF5	101119425	GCST90132226	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rheumatoid arthritis;anti-citrullinated protein antibody seropositivity;rheumatoid factor seropositivity measurement	5e-13	7:128936032	IRF5	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101119425
IRF5	101118768	GCST90132225	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rheumatoid arthritis;anti-citrullinated protein antibody seropositivity;rheumatoid factor seropositivity measurement	1e-19	7:128936032	IRF5	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101118768
IRF5	101118523	GCST90132224	Rheumatoid arthritis	rheumatoid arthritis	6e-12	7:128936032	IRF5	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101118523
IRF5	101118036	GCST90132223	Rheumatoid arthritis	rheumatoid arthritis	1e-16	7:128936032	IRF5	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101118036
IRF5	101117192	GCST90132222	Rheumatoid arthritis	rheumatoid arthritis	1e-26	7:128936032	IRF5	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101117192
IRF5	98371351	GCST90131438	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	ACPA-positive rheumatoid arthritis;rheumatoid factor seropositivity measurement;rheumatoid arthritis	2e-12	7:128936032	IRF5	35470158	Saevarsdottir S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/98371351
IRF5	98371335	GCST90131438	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	ACPA-positive rheumatoid arthritis;rheumatoid factor seropositivity measurement;rheumatoid arthritis	1e-11	7:128938247	IRF5	35470158	Saevarsdottir S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/98371335
IRF5	98370997	GCST90131437	Rheumatoid arthritis	rheumatoid arthritis	2e-14	7:128936032	IRF5	35470158	Saevarsdottir S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/98370997
IRF5	98370993	GCST90131437	Rheumatoid arthritis	rheumatoid arthritis	5e-13	7:128938247	IRF5	35470158	Saevarsdottir S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/98370993
IRF5	97033193	GCST90103801	Systemic lupus erythematosus	systemic lupus erythematosus	3e-11	7:128933913	IRF5	35167971	Leffers HCB	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/97033193
IRF5	95284672	GCST012796	Sjögren's syndrome	Sjogren syndrome	6.999999999999999e-11	7:128939612	IRF5	28076899	Taylor KE	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/95284672
IRF5	93485396	GCST90018920	Sjögren's syndrome	Sjogren syndrome	1e-09	7:128932712	IRF5;KCP	34594039	Sakaue S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/93485396
IRF5	93484876	GCST90018910	Rheumatoid arthritis	rheumatoid arthritis	1e-13	7:128935744	IRF5	34594039	Sakaue S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/93484876
IRF5	93464087	GCST90018690	Rheumatoid arthritis	rheumatoid arthritis	7.000000000000001e-10	7:128933913	IRF5	34594039	Sakaue S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/93464087
IRF5	81144135	GCST011956	Systemic lupus erythematosus	systemic lupus erythematosus	5e-45	7:128938253	IRF5	33272962	Yin X	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/81144135
IRF5	81143526	GCST011956	Systemic lupus erythematosus	systemic lupus erythematosus	9e-79	7:128936032	IRF5	33272962	Yin X	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/81143526
IRF5	78991177	GCST011501	Inflammatory bowel disease	inflammatory bowel disease	3.0000000000000004e-08	7:128937861	IRF5	33608531	Wu Y	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/78991177
IRF5	64718747	GCST90013684	Rheumatoid arthritis	rheumatoid arthritis	5e-09	7:128936032	IRF5	32514122	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/64718747
IRF5	64639656	GCST90013534	Rheumatoid arthritis	rheumatoid arthritis	2e-19	7:128936032	IRF5	33310728	Ha E	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/64639656
IRF5	62401639	GCST011426	Systemic lupus erythematosus	systemic lupus erythematosus	2e-06	7:128922524	IRF5;KCP	32771030	Tangtanatakul P	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/62401639
IRF5	62285435	GCST005752	Systemic lupus erythematosus	systemic lupus erythematosus	1e-17	7:128936032	IRF5	28714469	Langefeld CD	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/62285435
IRF5	62285410	GCST005752	Systemic lupus erythematosus	systemic lupus erythematosus	8e-33	7:128936032	IRF5	28714469	Langefeld CD	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/62285410
IRF5	62285179	GCST005752	Systemic lupus erythematosus	systemic lupus erythematosus	1e-99	7:128945562	IRF5	28714469	Langefeld CD	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/62285179
IRF5	56294918	GCST009956	Primary biliary cirrhosis	primary biliary cholangitis	3e-12	7:128954129	IRF5;TNPO3	22936693	Juran BD	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/56294918
IRF5	55993310	GCST009877	Rheumatoid arthritis	rheumatoid arthritis	1e-07	7:128932712	IRF5;KCP	30572963	Marquez A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/55993310
IRF5	55992732	GCST009873	Autoimmune traits (pleiotropy)	autoimmune disease	1e-10	7:128932712	IRF5;KCP	30572963	Marquez A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/55992732
IRF5	55599163	GCST009597	Multiple sclerosis	multiple sclerosis	3.0000000000000004e-09	7:128933913	IRF5	31604244	International Multiple Sclerosis Genetics Consortium	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/55599163
IRF5	47680942	GCST008483	Ulcerative colitis	ulcerative colitis	3.0000000000000004e-08	7:128933913	IRF5	26398853	Ye BD	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/47680942
IRF5	40933981	GCST007278	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	myositis disease;rheumatoid arthritis;systemic lupus erythematosus;systemic sclerosis	7e-17	7:128949579	IRF5	30573655	Acosta-Herrera M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/40933981
IRF5	36072079	GCST007071	Autoimmune traits	autoimmune disease	7e-17	7:128939148	IRF5	30595370	Kichaev G	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/36072079
IRF5	35716969	GCST006959	Rheumatoid arthritis	rheumatoid arthritis	3e-14	7:128939988	IRF5	30423114	Laufer VA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/35716969
IRF5	35716561	GCST006959	Rheumatoid arthritis	rheumatoid arthritis	4e-12	7:128939988	IRF5	30423114	Laufer VA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/35716561
IRF5	31570816	GCST006048	Rheumatoid arthritis (ACPA-positive)	rheumatoid arthritis	5e-12	7:128933913	IRF5	24532676	Kim K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/31570816
IRF5	24553254	GCST005568	Rheumatoid arthritis (ACPA-positive)	rheumatoid arthritis	5e-10	7:128940626	IRF5	23143596	Eyre S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24553254
IRF5	24553111	GCST005569	Rheumatoid arthritis	rheumatoid arthritis	7.000000000000001e-10	7:128940626	IRF5	23143596	Eyre S	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24553111
IRF5	24531167	GCST005581	Primary biliary cirrhosis	primary biliary cholangitis	3e-19	7:129043485;7:128939148	TNPO3;IRF5	22961000	Liu JZ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24531167
IRF5	24531159	GCST005581	Primary biliary cirrhosis	primary biliary cholangitis	7e-22	7:129043485;7:128939148	TNPO3;IRF5	22961000	Liu JZ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24531159
IRF5	24531012	GCST005581	Primary biliary cirrhosis	primary biliary cholangitis	4e-09	7:128939148	IRF5	22961000	Liu JZ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24531012
IRF5	24405378	GCST004878	Sjögren's syndrome	Sjogren syndrome	3e-06	7:128949373	IRF5	24097067	Lessard CJ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24405378
IRF5	24405364	GCST004878	Sjögren's syndrome	Sjogren syndrome	3e-19	7:128936032	IRF5	24097067	Lessard CJ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24405364
IRF5	24346730	GCST004867	Systemic lupus erythematosus	systemic lupus erythematosus	5.999999999999999e-24	7:128948946	IRF5	19838195	Gateva V	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24346730
IRF5	24297982	GCST005537	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	ankylosing spondylitis;Crohn disease;psoriasis;sclerosing cholangitis;ulcerative colitis	2e-11	7:128933913	IRF5	26974007	Ellinghaus D	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24297982
IRF5	19714514	GCST004133	Ulcerative colitis	ulcerative colitis	3e-10	7:128933913	IRF5	28067908	de Lange KM	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/19714514
IRF5	19694405	GCST004061	Sjögren's syndrome	Sjogren syndrome	3e-14	7:128939612	IRF5	28076899	Taylor KE	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/19694405
IRF5	17432810	GCST003622	Systemic lupus erythematosus	systemic lupus erythematosus	2e-45	7:128945562	IRF5	27399966	Morris DL	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/17432810
IRF5	15834570	GCST003252	Systemic lupus erythematosus	systemic lupus erythematosus	1e-23	7:128933913	IRF5	26606652	Alarcon-Riquelme ME	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15834570
IRF5	15801132	GCST003156	Systemic lupus erythematosus	systemic lupus erythematosus	1e-60	7:128945562	IRF5	26502338	Bentham J	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15801132
IRF5	15800999	GCST003156	Systemic lupus erythematosus	systemic lupus erythematosus	1e-48	7:128936032	IRF5	26502338	Bentham J	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15800999
IRF5	15787765	GCST003155	Systemic lupus erythematosus	systemic lupus erythematosus	9e-110	7:128954129	IRF5;TNPO3	26502338	Bentham J	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15787765
IRF5	15751024	GCST003129	Primary biliary cholangitis	primary biliary cholangitis	4.9999999999999997e-23	7:128954129	IRF5;TNPO3	26394269	Cordell HJ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15751024
IRF5	15715958	GCST000408	Primary biliary cholangitis	biliary liver cirrhosis	2e-07	7:128954129	IRF5;TNPO3	19458352	Hirschfield GM	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15715958
IRF5	15079025	GCST003043	Inflammatory bowel disease	inflammatory bowel disease	6e-07	7:128933913	IRF5	26192919	Liu JZ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15079025
IRF5	15071244	GCST003045	Ulcerative colitis	ulcerative colitis	2e-14	7:128933913	IRF5	26192919	Liu JZ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15071244
IRF5	42705	GCST002463	Systemic lupus erythematosus	systemic lupus erythematosus	2e-13	7:128954129	IRF5;TNPO3	24871463	Armstrong DL	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/42705
IRF5	42704	GCST002463	Systemic lupus erythematosus	systemic lupus erythematosus	7.000000000000001e-10	7:128933913	IRF5	24871463	Armstrong DL	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/42704
IRF5	36065	GCST000917	Rheumatoid arthritis	rheumatoid arthritis	3e-07	7:128940626	IRF5	21156761	Padyukov L	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/36065
IRF5	26381	GCST001795	Systemic lupus erythematosus	systemic lupus erythematosus	1e-09	7:128928906	IRF5;KCP	23273568	Yang W	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/26381
IRF5	25589	GCST001728	Ulcerative colitis	ulcerative colitis	4e-14	7:128933913	IRF5	23128233	Jostins L	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/25589
IRF5	25457	GCST001708	Systemic lupus erythematosus	systemic lupus erythematosus	4e-08	7:128928906	IRF5;KCP	23053960	Lee YH	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/25457
IRF5	17618	GCST000996	Systemic lupus erythematosus	systemic lupus erythematosus	7e-18	7:128954129	IRF5;TNPO3	21408207	Chung SA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/17618
IRF5	17562	GCST000964	Ulcerative colitis	ulcerative colitis	2e-08	7:128933913	IRF5	21297633	Anderson CA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/17562
IRF5	15641	GCST000733	Primary biliary cholangitis	biliary liver cirrhosis	3e-10	7:128954129	IRF5;TNPO3	20639880	Liu X	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15641
IRF5	14011	GCST000507	Systemic lupus erythematosus	systemic lupus erythematosus	8e-19	7:128933913	IRF5	19838193	Han JW	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/14011
IRF5	11695	GCST000144	Systemic lupus erythematosus	systemic lupus erythematosus	2e-11	7:128954129	IRF5;TNPO3	18204098	Hom G	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/11695
PTPN2	217723463	GCST90837324	Autoimmune hypothyroidism	autoimmune thyroid disease	3.0000000000000002e-18	18:12797695	PTPN2	41748903	Reeve MP	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/217723463
PTPN2	217411200	GCST90828094	Primary biliary cholangitis	primary biliary cholangitis	3.0000000000000004e-08	18:12919552	PTPN2	38652555	Hitomi Y	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/217411200
PTPN2	216760190	GCST90825977	Inflammatory bowel disease (Tractor method with European ancestry)	inflammatory bowel disease	4.9999999999999996e-06	18:12841177	PTPN2	41661118	Beecham AH	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/216760190
PTPN2	191142382	GCST90628035	Type 1 diabetes	type 1 diabetes mellitus	4e-06	18:12809341	PTPN2	40569436	Hu J	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/191142382
PTPN2	165705029	GCST90302863	Rheumatoid arthritis or type 1 diabetes	rheumatoid arthritis;type 1 diabetes mellitus	2e-11	18:12877061	PTPN2	37377963	Wen YP	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165705029
PTPN2	165704979	GCST90302863	Rheumatoid arthritis or type 1 diabetes	rheumatoid arthritis;type 1 diabetes mellitus	2e-15	18:12821594	PTPN2	37377963	Wen YP	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165704979
PTPN2	165262195	GCST90565134	Psoriasis	psoriasis	8e-09	18:12882360	PTPN2	39885523	Zhang M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165262195
PTPN2	165094718	GCST90503485	Inflammatory bowel disease (MTAG)	inflammatory bowel disease	8e-09	18:12873080	PTPN2	39792054	Zhu Z	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165094718
PTPN2	165094712	GCST90503485	Inflammatory bowel disease (MTAG)	inflammatory bowel disease	2e-08	18:12823057	PTPN2	39792054	Zhu Z	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165094712
PTPN2	165094701	GCST90503485	Inflammatory bowel disease (MTAG)	inflammatory bowel disease	1e-12	18:12818923	PTPN2	39792054	Zhu Z	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165094701
PTPN2	165004938	GCST90013791	Type 1 diabetes	type 1 diabetes mellitus	6e-06	18:12887486	PTPN2	39749473	Crouch DJM	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165004938
PTPN2	165004457	GCST90013791	Type 1 diabetes	type 1 diabetes mellitus	1e-18	18:12777326	PTPN2;LINC01882	39749473	Crouch DJM	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/165004457
PTPN2	163410917	GCST90480461	Psoriasis and related disorder (PheCode 696)	psoriasis	1e-11	18:12857003	PTPN2	39024449	Verma A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/163410917
PTPN2	163410772	GCST90480460	Psoriasis (PheCode 696.4)	psoriasis	1e-11	18:12857003	PTPN2	39024449	Verma A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/163410772
PTPN2	163410509	GCST90480458	Psoriasis vulgaris (PheCode 696.41)	psoriasis vulgaris	1e-11	18:12857003	PTPN2	39024449	Verma A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/163410509
PTPN2	163200143	GCST90476190	Psoriasis vulgaris (PheCode 696.41)	psoriasis vulgaris	3e-11	18:12857003	PTPN2	39024449	Verma A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/163200143
PTPN2	163199942	GCST90476187	Psoriasis (PheCode 696.4)	psoriasis	7e-12	18:12857003	PTPN2	39024449	Verma A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/163199942
PTPN2	163199764	GCST90476186	Psoriasis and related disorder (PheCode 696)	psoriasis	1e-11	18:12857003	PTPN2	39024449	Verma A	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/163199764
PTPN2	139435175	GCST90454273	Autoimmune thyroid disease	autoimmune thyroid disease	4e-09	18:12782850	PTPN2;LINC01882	37002690	Zeng Y	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/139435175
PTPN2	134134954	GCST90446794	Ulcerative colitis	ulcerative colitis	2e-10	18:12823057	PTPN2	37156999	Liu Z	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/134134954
PTPN2	134133911	GCST90446792	Crohn's disease	Crohn disease	7e-24	18:12823057	PTPN2	37156999	Liu Z	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/134133911
PTPN2	134133050	GCST90432182	Inflammatory bowel disease	inflammatory bowel disease	7.000000000000001e-09	18:12782850	PTPN2;LINC01882	37156999	Liu Z	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/134133050
PTPN2	134132684	GCST90292538	Inflammatory bowel disease	inflammatory bowel disease	2e-25	18:12823057	PTPN2	37156999	Liu Z	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/134132684
PTPN2	134084405	GCST90432073	Age of onset of type 1 diabetes	age of onset of type 1 diabetes mellitus	3e-07	18:12857336	PTPN2	38453145	Michalek DA	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/134084405
PTPN2	131558105	GCST90428109	Hypothyroidism or rheumatoid arthritis (pleiotropy)	hypothyroidism;rheumatoid arthritis	5e-09	18:12868507	PTPN2	38368726	Liu R	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/131558105
PTPN2	131557715	GCST90428109	Hypothyroidism or rheumatoid arthritis (pleiotropy)	hypothyroidism;rheumatoid arthritis	1e-09	18:12821904	PTPN2	38368726	Liu R	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/131557715
PTPN2	118897381	GCST90301328	Crohn's disease x sex interaction (2df)	sex interaction measurement;Crohn disease	7e-08	18:12848350	PTPN2	37262302	Khrom M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/118897381
PTPN2	118897246	GCST90301327	Crohn's disease	Crohn disease	1e-07	18:12848350	PTPN2	37262302	Khrom M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/118897246
PTPN2	118897120	GCST90301326	Crohn's disease	Crohn disease	7e-08	18:12848350	PTPN2	37262302	Khrom M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/118897120
PTPN2	118896725	GCST90301320	Inflammatory bowel disease x sex interaction (2df)	sex interaction measurement;inflammatory bowel disease	3e-07	18:12809277	PTPN2	37262302	Khrom M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/118896725
PTPN2	118896539	GCST90301319	Inflammatory bowel disease	inflammatory bowel disease	4e-07	18:12809277	PTPN2	37262302	Khrom M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/118896539
PTPN2	118896370	GCST90301318	Inflammatory bowel disease	inflammatory bowel disease	3e-07	18:12809277	PTPN2	37262302	Khrom M	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/118896370
PTPN2	105701388	GCST90270940	Systemic lupus erythematosus (MTAG)	systemic lupus erythematosus	7e-12	18:12797695	PTPN2	36750564	Khunsriraksakul C	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/105701388
PTPN2	101119884	GCST90132227	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rheumatoid arthritis;anti-citrullinated protein antibody seropositivity;rheumatoid factor seropositivity measurement	2e-07	18:12880207	PTPN2	36333501	Ishigaki K	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/101119884
