artifact	key	operator	expected	observed	pass
analysis/v54_progression_treatment_switch_estimand/summary.json	verdict	eq	"""ESTIMAND_MUST_BE_FROZEN_SWITCHING_CAN_CHANGE_OR_INVALIDATE_INTERPRETATION"""	"""ESTIMAND_MUST_BE_FROZEN_SWITCHING_CAN_CHANGE_OR_INVALIDATE_INTERPRETATION"""	True
analysis/v54_progression_linear_misspecification/summary.json	n_independent_null_calibration_cohorts	eq	18000	18000	True
analysis/v54_progression_linear_misspecification/summary.json	n_unique_simulated_cohorts	eq	108000	108000	True
analysis/v54_progression_linear_misspecification/summary.json	n_invalid_null_families	eq	0	0	True
analysis/v54_progression_linear_misspecification/summary.json	n_materially_missed_by_linear	eq	1	1	True
analysis/v54_progression_linear_misspecification/summary.json	materially_missed_cells.0.effect_pattern	eq	"""u_shaped_crossing"""	"""u_shaped_crossing"""	True
analysis/v54_progression_treatment_switch_gate/summary.json	n_fixtures	eq	10	10	True
analysis/v54_progression_treatment_switch_gate/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_candidate_role_matrix/summary.json	P1_eligible	eq	0	0	True
analysis/v54_progression_candidate_role_matrix/summary.json	P2_eligible	eq	0	0	True
analysis/v54_progression_candidate_role_matrix/summary.json	P3_eligible	eq	0	0	True
analysis/v54_progression_evidence_delta/summary.json	traceability_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_package_eligibility_validator/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_outcome_semantic_checker/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_combined_intake_gate/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_endpoint_adjudication/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_endpoint_adjudication/summary.json	n_fixtures	eq	16	16	True
analysis/v54_progression_event_time_assumption_gate/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_p2_composition_gate/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_event_time_power_design/reference_check/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_event_time_assumption_robustness/reference_check/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
analysis/v54_progression_p2_interaction_power/reference_check/summary.json	overall_status	eq	"""PASS"""	"""PASS"""	True
docs/history/PROGRESSION_FRONTIER_V54.md	required_claim_boundary	contains	"""does **not** contain a transcriptomic cohort with a\nlongitudinal disability outcome"""	"""does **not** contain a transcriptomic cohort with a\nlongitudinal disability outcome"""	True
docs/history/PROGRESSION_FRONTIER_V54.md	required_claim_boundary	contains	"""Status: **no progression-direction-resolved intervention route**."""	"""Status: **no progression-direction-resolved intervention route**."""	True
docs/history/PROGRESSION_FRONTIER_V54.md	required_claim_boundary	contains	"""None of ten candidates\nqualifies for P1, P2, or P3"""	"""None of ten candidates\nqualifies for P1, P2, or P3"""	True
