gene	axis	aliases	desired_direction	modality	delivery	broad_positive_disease_count	broad_positive_diseases	broad_negative_disease_count	broad_negative_diseases	broad_positive_fdr10_compartment_count	broad_top_positive_compartments	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	residual_gate_retained_positive_disease_count	residual_gate_non_ibd_retained_positive_disease_count	residual_gate_strict_core_surviving_disease_count	residual_gate_retained_diseases	residual_gate_top_retained_tests	residual_gate_retained_tests_from_detail	orchestrator_expr_trend_diseases	orchestrator_expr_negative_diseases	orchestrator_resid_state_support_diseases	orchestrator_expression_supporting_diseases	orchestrator_resid_supporting_diseases	wave18_call	wave18_reason	existing_positive_rows	existing_negative_rows	local_recurrence_disease_count_union	local_recurrence_disease_union	local_state_coupled_count_union	local_state_coupled_union
CD300A	CD300A phospholipid inhibitory receptor	CMRF35H;IRC1	agonize inhibitory CD300A signaling if state-coupled	antibody modulation concept	systemic biologic; no disease-tissue selectivity	0		0		0		-0.3453443248914674	-0.7766143203952453	0.0766109345414007	0.8989378106274888	0	0	0				0	0	0					1	0	0		0	
CD300LF	CD300LF/CD300F phospholipid inhibitory receptor	CD300F;IREM1	agonize inhibitory CD300F/CD300LF signaling	antibody modulation concept	systemic biologic; no disease-tissue selectivity	1	psoriasis	0		0	psoriasis_skin_apc:2.25,p=0.033	-0.0991212524448474	-0.1661163850359562	0.7089814372180329	0.9669212366619434	1	1	0	psoriasis	psoriasis_skin_apc|c1q_phagocytic_myeloid:0.515,p=0.0008;psoriasis_skin_apc|complement_phagocytosis:0.514,p=0.0012;psoriasis_skin_apc|hif_nampt_metabolic:0.466,p=0.011;psoriasis_skin_apc|lipid_loader_repair:0.498,p=0.022;psoriasis_skin_apc|mif_cd74_receptor_state:0.493,p=0.024;psoriasis_skin_apc|lysosomal_apc:0.362,p=0.037	psoriasis_skin_apc|hif_nampt_metabolic:0.46632681825141903,p=0.011452972770773168;psoriasis_skin_apc|lysosomal_apc:0.36203266704529224,p=0.03712491984831749;psoriasis_skin_apc|lipid_loader_repair:0.49813139783954596,p=0.022417760903891634;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.5152536764976529,p=0.0007991508292939354;psoriasis_skin_apc|complement_phagocytosis:0.5136235680696267,p=0.0011928836597387483;psoriasis_skin_apc|mif_cd74_receptor_state:0.49299194944789815,p=0.024429741764552478	0	0	0					0	0	1	psoriasis	0	
CD274	PD-L1/PD-1 tolerance checkpoint	PD-L1;B7-H1	agonize PD-1 pathway or provide PD-L1-like tolerogenic signal	PD-L1-Fc/PD-1 agonist biologic concept	systemic biologic; tissue-targeted tolerization required to avoid broad suppression	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0		0	sjogren_gland_apc:2.96,p=0.00089;ibd_crohn_myeloid:2.28,p=0.0023;ibd_crohn_epithelial:1.32,p=0.0033;psoriasis_keratinocyte:1.88,p=0.02;ibd_uc_myeloid:1.56,p=0.046	0.3544765521359103	0.4144473827339546	0.3282160655447695	0.9136659261486608	2	1	0	Crohn disease;Sjogren syndrome	ibd_crohn_myeloid|hla_ii_apc:0.567,p=0.0061;ibd_crohn_myeloid|complement_effector:0.518,p=0.0067;ibd_crohn_myeloid|lipid_loader_repair:0.548,p=0.0072;sjogren_gland_apc|lysosomal_apc:0.504,p=0.0076;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.512,p=0.0077;sjogren_gland_apc|hif_nampt_metabolic:0.498,p=0.0094;sjogren_gland_apc|mif_cd74_receptor_state:0.507,p=0.011;sjogren_gland_apc|hla_ii_apc:0.494,p=0.012	ibd_crohn_myeloid|hla_ii_apc:0.5669431239029366,p=0.006135806672859221;ibd_crohn_myeloid|lysosomal_apc:0.41818873941772416,p=0.023068298995392;ibd_crohn_myeloid|lipid_loader_repair:0.5481305562480429,p=0.007216256603564731;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.5115436548396903,p=0.007738000343649831;ibd_crohn_myeloid|complement_effector:0.518344660493473,p=0.006680852307940302;ibd_crohn_myeloid|complement_phagocytosis:0.4597458168148604,p=0.015017767138159025;ibd_crohn_myeloid|mif_cd74_receptor_state:0.4607936308607239,p=0.01819818314051554;ibd_crohn_myeloid|core_lysosomal_lipid:0.41994865562528505,p=0.019961212980479044;sjogren_gland_apc|inflammatory_nfkb:0.4650085777880699,p=0.022079657670670622;sjogren_gland_apc|hif_nampt_metabolic:0.4984056385502059,p=0.009418026850743211;sjogren_gland_apc|hla_ii_apc:0.49431888967545096,p=0.01245073451631729;sjogren_gland_apc|lysosomal_apc:0.5035068627749983,p=0.007643298762399932	3	0	3	Crohn disease;Sjogren syndrome;psoriasis	Crohn disease;psoriasis;type 1 diabetes mellitus	PARK	state-coupled support below threshold (3<4 disease union); prior-art saturation high (EuropePMC=32490, ClinicalTrials=10)	0	0	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	3	Crohn disease;psoriasis;type 1 diabetes mellitus
PDCD1LG2	PD-L2/PD-1 tolerance checkpoint	PD-L2;B7-DC	agonize PD-1 pathway via PD-L2-like signal	fusion protein/agonist biologic concept	systemic biologic; tissue selectivity unresolved	0		0		0		-1.831668177750024	-0.7114718913977721	0.1368572957532143	0.8989378106274888	0	0	0				1	0	0	psoriasis				0	0	1	psoriasis	0	
CD24	CD24-SIGLEC10 DAMP/glycan checkpoint ligand	CD24Fc	agonize CD24-Siglec-10 inhibitory DAMP checkpoint	CD24Fc or engineered CD24 ligand	systemic biologic; tissue-local activity not proven	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0		2	t1d_endothelial_cell:3.04,p=0.00044;ibd_uc_stromal:1.9,p=0.001;t1d_stellate_cell:3.06,p=0.0012;t1d_ductal_cell:0.285,p=0.014;ibd_crohn_epithelial:0.563,p=0.03;sjogren_gland_stromal:1.07,p=0.046	-0.3131457372415891	-0.1112269109762726	0.79096128985077	0.9747766810218778	2	1	0	type 1 diabetes mellitus;ulcerative colitis	ibd_uc_epithelial|lysosomal_apc:0.346,p=0.00034;t1d_ductal_cell|complement_phagocytosis:0.378,p=0.00056;ibd_uc_epithelial|complement_phagocytosis:0.353,p=0.00085;t1d_ductal_cell|c1q_phagocytic_myeloid:0.353,p=0.0015;t1d_ductal_cell|lipid_loader_repair:0.31,p=0.0021;ibd_uc_epithelial|lipid_loader_repair:0.395,p=0.0027;ibd_uc_epithelial|core_lysosomal_lipid:0.303,p=0.0031;t1d_endothelial_cell|lysosomal_apc:0.831,p=0.0076	ibd_uc_epithelial|lysosomal_apc:0.3455340689715284,p=0.0003371612301306257;ibd_uc_epithelial|lipid_loader_repair:0.3952091555534093,p=0.002726217733608333;ibd_uc_epithelial|complement_phagocytosis:0.35273297108790125,p=0.0008461923264226821;ibd_uc_epithelial|core_lysosomal_lipid:0.3028609020453178,p=0.003119886052058489;ibd_uc_stromal|ifn_apc:0.24265763186609046,p=0.039086595214367435;ibd_uc_stromal|hla_ii_apc:0.24285969678688257,p=0.037623665055179466;ibd_uc_stromal|lysosomal_apc:0.25125505843884977,p=0.031272119518601364;ibd_uc_stromal|complement_effector:0.2508254918851369,p=0.023211381714679135;t1d_ductal_cell|lipid_loader_repair:0.3100260426400686,p=0.0020981978147477;t1d_ductal_cell|c1q_phagocytic_myeloid:0.3532414557939259,p=0.0015361523994559924;t1d_ductal_cell|complement_phagocytosis:0.37815058803761303,p=0.0005588049235200111;t1d_endothelial_cell|ifn_apc:0.8623608991870073,p=0.017176656112248456	0	0	0			PARK	state-coupled support below threshold (0<4 disease union); prior-art saturation high (EuropePMC=5154, ClinicalTrials=1)	0	0	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0	
CD200	CD200-CD200R inhibitory myeloid checkpoint ligand	OX2	provide CD200-like inhibitory signal to CD200R1	CD200-Fc/ligand fusion concept	systemic or mucosal biologic concept	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		0	t1d_endothelial_cell:2.22,p=0.019;ibd_crohn_myeloid:2.18,p=0.026;ibd_uc_stromal:1.91,p=0.043;t1d_stellate_cell:1.16,p=0.048	1.8384397244159705	0.7376907573992674	0.0908591902171466	0.8989378106274888	0	0	0				0	0	0					0	0	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	
LILRB1	LILRB1/ILT2 inhibitory HLA receptor	ILT2;CD85J	agonize inhibitory HLA receptor if disease-state coupling exists	antibody/HLA-ligand biologic concept	systemic biologic; broad leukocyte expression risk	2	Crohn disease;ulcerative colitis	0		0	ibd_crohn_myeloid:1.27,p=0.0067;ibd_uc_myeloid:1.4,p=0.042	-0.2480039987346405	-0.4628983827341497	0.3035041507515239	0.9075477698307116	0	0	0				0	0	0			NO_GO	local recurrence below promotion threshold (2<4 disease union); state-coupled support below threshold (0<4 disease union)	0	0	2	Crohn disease;ulcerative colitis	0	
LILRB2	LILRB2/ILT4 inhibitory myeloid HLA receptor	ILT4;CD85D	agonize inhibitory myeloid HLA receptor	agonist antibody/HLA-ligand biologic concept; oncology antagonists are opposite	systemic biologic; tissue-selective delivery undeveloped	2	Crohn disease;ulcerative colitis	0		1	ibd_crohn_myeloid:1.38,p=0.0003;ibd_uc_myeloid:1.57,p=0.018	-0.7296611895492067	-1.340263453087741	0.0077844079989185	0.8344760564031432	0	0	0				0	0	0			PARK	local recurrence below promotion threshold (2<4 disease union); state-coupled support below threshold (0<4 disease union)	0	0	2	Crohn disease;ulcerative colitis	0	
SIRPA	CD47-SIRPA phagocytosis checkpoint receptor	SIRP-alpha;SIRPα	enhance inhibitory SIRPA signaling if repair-preserving; avoid oncology-style blockade	SIRPA/CD47 biologic modulation	systemic biologic; macrophage phagocytosis liabilities	2	Crohn disease;psoriasis	0		0	ibd_crohn_stromal:2.01,p=0.0046;psoriasis_keratinocyte:1.33,p=0.021	0.1677681996050939	0.5154480531377283	0.2355404004395136	0.9004758652001262	0	0	0				0	0	0			PARK	local recurrence below promotion threshold (2<4 disease union); state-coupled support below threshold (0<4 disease union)	0	0	2	Crohn disease;psoriasis	0	
CD47	CD47-SIRPA phagocytosis checkpoint ligand	IAP	enhance do-not-eat signaling only if state-coupled; blockade likely wrong	CD47/SIRPA biologic modulation	systemic biologic has anemia/phagocytosis liabilities	3	Crohn disease;psoriasis;type 1 diabetes mellitus	0		0	psoriasis_keratinocyte:1.27,p=0.0046;ibd_crohn_epithelial:1,p=0.015;t1d_acinar_cell:1.21,p=0.022	0.2176408940367711	0.5000293567872679	0.2416861608396672	0.9004758652001262	0	0	0				0	0	0			NO_GO	local recurrence below promotion threshold (3<4 disease union); state-coupled support below threshold (0<4 disease union); prior-art saturation high (EuropePMC=5542, ClinicalTrials=0); intervention direction is repair/checkpoint-context dependent	0	0	3	Crohn disease;psoriasis;type 1 diabetes mellitus	0	
VSIG4	VSIG4/CRIg macrophage inhibitory/complement receptor	CRIg;Z39IG	agonize/restore macrophage inhibitory or complement-clearance function	fusion protein/antibody concept	macrophage-rich tissue delivery unresolved	0		2	Crohn disease;ulcerative colitis	0		-1.0515671441266328	-1.515830262996964	0.0020407308358746	0.8344760564031432	0	0	0				0	0	0					0	0	0		0	
CLEC12A	CLEC12A/MICL inhibitory myeloid receptor	MICL;CLL-1	agonize inhibitory myeloid receptor if state-coupled	antibody modulation concept; oncology targeting precedent	systemic biologic; myeloid depletion risk if wrong format	2	Sjogren syndrome;psoriasis	0		0	psoriasis_keratinocyte:0.378,p=0.02;sjogren_gland_stromal:1.53,p=0.024	-0.4158224382744016	-0.1511816791537602	0.7234500434034304	0.9677805697088556	0	0	0				0	0	0					0	0	2	Sjogren syndrome;psoriasis	0	
FCGR2B	Fc-gamma RIIB inhibitory Fc receptor	CD32B;FcgRIIB	agonize inhibitory Fc receptor in immune-complex settings	Fc-engineered immune complexes/agonist antibody concept	systemic; disease-specific immune-complex context needed	0		1	ulcerative colitis	0		0.3743680552898727	0.2224435935373845	0.5995853752716118	0.9466965949245808	0	0	0				1	0	1	Sjogren syndrome	type 1 diabetes mellitus			0	0	1	Sjogren syndrome	1	type 1 diabetes mellitus
SIGLEC5	Siglec inhibitory glycan receptor	Siglec-5;CD170	agonize inhibitory glycan receptor if state-coupled	glycomimetic/antibody concept	systemic biologic/glycan ligand; specificity difficult	0		0		0		0.0302932274521188	0.0268583604832327	0.9494964795792372	0.9947001775576788	0	0	0				0	0	0					0	0	0		0	
SIGLEC7	Siglec inhibitory glycan receptor	Siglec-7;CD328	agonize inhibitory glycan receptor if state-coupled	glycomimetic/antibody concept	systemic; NK/myeloid pleiotropy	1	ulcerative colitis	0		0	ibd_uc_myeloid:0.66,p=0.044	0.2373614702579454	0.1837337667550866	0.6584560053362315	0.9552160083058816	0	0	0				0	0	0					0	0	1	ulcerative colitis	0	
SIGLEC9	Siglec inhibitory glycan receptor	Siglec-9;CD329	agonize inhibitory glycan receptor if state-coupled	glycomimetic/antibody concept	systemic; neutrophil/myeloid pleiotropy	0		0		0		-0.3667847184824708	-0.4350142319477796	0.3041560944096209	0.9075477698307116	0	0	0				0	0	0					0	0	0		0	
PVR	PVR/CD155 ligand for TIGIT/CD96/CD226	CD155	bias PVR axis toward TIGIT inhibitory signaling	ligand engineering/antibody concept	systemic; competing activating receptors make direction risky	2	psoriasis;ulcerative colitis	0		0	ibd_uc_epithelial:0.966,p=0.012;psoriasis_skin_stromal:0.806,p=0.037	0.196143512329753	0.2173757290584559	0.6066059392681019	0.9472844695506754	0	0	0				0	0	0					0	0	2	psoriasis;ulcerative colitis	0	
NECTIN2	NECTIN2/CD112 TIGIT-family ligand	CD112;PVRL2	bias TIGIT-family signaling toward inhibition	ligand engineering/antibody concept	systemic; receptor competition unresolved	2	Crohn disease;ulcerative colitis	1	psoriasis	0	ibd_uc_myeloid:1.15,p=0.0012;ibd_crohn_myeloid:1.05,p=0.0037;ibd_crohn_stromal:0.648,p=0.033;ibd_uc_epithelial:0.602,p=0.036					0	0	0				0	0	0					0	0	2	Crohn disease;ulcerative colitis	0	
PILRA	PILRA inhibitory paired Ig-like receptor	PILR-alpha	agonize inhibitory receptor if disease-state coupled	antibody/ligand-mimetic concept	systemic biologic; tissue delivery undeveloped	2	Crohn disease;ulcerative colitis	1	psoriasis	2	ibd_uc_myeloid:0.896,p=0.00043;ibd_crohn_myeloid:0.885,p=0.00049	0.3377966078846164	0.9898737912408266	0.029250759403389	0.8506970233122761	0	0	0				0	0	0					0	0	2	Crohn disease;ulcerative colitis	0	
