snp	SNP.PP.H4.abf
rs12881907	1.17029189886644e-09
rs71423329	1.18717861189959e-09
rs72731535	1.88994360733984e-10
rs72731537	1.79345314263167e-10
rs72731538	1.67097202821355e-10
rs58638884	1.84218403895047e-10
rs72731539	1.94194366365118e-10
rs11625746	1.57237279719904e-07
rs11621104	3.2258351275487e-11
rs72731544	1.90672965198675e-10
rs11624310	7.46009249776166e-11
rs144428997	1.71527024893653e-10
rs61985013	1.38975045619719e-09
rs72731547	1.66079134330216e-10
rs72731548	3.89152386829787e-10
rs56020080	1.61145327919048e-10
rs12887372	1.93496258215928e-07
rs72731549	1.55226292252214e-10
rs11628354	1.85749551658722e-09
rs55834579	2.8710351842348e-11
rs55814645	1.67310691984133e-10
rs12590951	6.22130194757397e-09
rs8013475	1.94732920257285e-10
rs8013646	2.66055734219791e-11
rs11624323	1.78674620736741e-09
rs56119720	2.02561560894884e-10
rs56232028	2.27847819869499e-10
rs72731550	2.01678983496285e-10
rs72731551	2.72304426659682e-10
rs8010943	1.08773944356682e-08
rs61985015	3.26951712846726e-11
rs12435329	0.0955971757145822
rs7146217	0.000563971529470214
rs12147199	2.69162172589702e-10
rs7155978	3.0047158432893e-11
rs12434551	0.097199721169653
rs4902647	0.0861299927582714
rs11158764	1.50939636588285e-09
rs55815886	3.05126246822736e-11
rs36045050	2.35744975607404e-09
rs927292	9.53068400684451e-10
rs11847049	1.26467128772461e-08
rs2295751	1.61192041110826e-08
rs11851414	1.37048079252046e-08
rs1051533	1.37065090542332e-08
rs57786342	5.4520901611711e-09
rs10443	1.30881901435934e-09
rs72731554	1.55286219144647e-09
rs17106304	1.32154286087134e-08
rs12889006	0.0614837760870923
rs3825568	0.0818839846606361
rs2236263	1.71752578711607e-08
rs8011558	1.39022680412142e-08
rs1465788	1.42934795746992e-09
rs194778	9.31189754280315e-09
rs61985039	2.17703375960974e-10
rs12147461	4.28717388525492e-09
rs36132266	4.28299281889714e-05
rs4902649	5.46213762426289e-08
rs1595260	1.3385819829658e-09
rs1595261	1.30783625843688e-09
rs34489253	0.0417237459332716
rs194751	1.25281432105232e-09
rs1836984	9.04939817964096e-10
rs10142466	0.0538269532030226
rs971290	5.61770803882368e-08
rs4902651	0.0545806005307834
rs7149271	1.401035502254e-09
rs59686841	5.44249178978019e-08
rs194749	8.43749038163787e-09
rs17835641	0.112752023040739
rs17835647	0.131304174521444
rs73279175	1.80517765593251e-10
rs1547050	3.88283613699321e-09
rs194748	9.5853252599485e-09
rs8019383	9.71197646703886e-08
rs57544284	1.30896159823869e-10
rs10139199	1.09564844087149e-07
rs11158765	3.81318561450782e-09
rs4899260	1.49209492920085e-07
rs11626883	0.106974901830647
rs12435718	4.43993190850466e-09
rs7149650	8.21882526890535e-12
rs7156516	1.09229327059849e-08
rs72731564	6.76520602721354e-09
rs4902652	5.86818592302012e-08
rs7141082	1.1637234801602e-10
rs72731565	6.32361055006067e-09
rs194747	0.027339448307742
rs74060189	1.11790231541832e-10
rs73279198	8.26702449010363e-12
rs55885232	4.21794930320397e-09
rs168962	4.68503546655332e-09
rs194746	0.0181433017260436
rs168961	0.0193065869058063
rs4899261	2.36880003398732e-08
rs4899262	4.52796530612285e-08
rs9671648	1.60874230067917e-11
rs57487210	1.2348403427101e-10
rs194745	7.81690334714983e-11
rs4899263	8.70966220422786e-05
rs4902653	7.58328931283277e-05
rs4899264	7.79910883340239e-05
rs194743	2.15288748242532e-08
rs59937226	1.3004580202033e-08
rs194742	1.67158978443596e-08
rs72731567	9.46126767295925e-10
rs11158767	0.000138646062519178
rs194741	9.40106389421026e-10
rs11625403	0.000124753834357193
rs1274955	1.90520746653387e-08
rs57045002	1.41794704997303e-08
rs750658	6.56463258722086e-10
rs7142145	0.000136350767599515
rs7142589	0.000140695993508391
rs7149042	0.000252062374662595
rs183171	1.08732761621912e-09
rs194717	8.1377794228058e-10
rs10143060	0.000190807397445553
rs10143220	0.000194892089810818
rs10143529	0.000699609794758144
rs194715	9.49692095120963e-10
rs194713	1.54216544218308e-08
rs10139345	0.000183391928122199
rs1742893	9.62887025773371e-10
rs72731576	7.88297929440725e-10
rs72731577	8.52068799043897e-10
rs1274954	1.00218890999991e-09
rs1274953	1.00656628466591e-09
rs111662696	7.31732528968405e-10
rs1296535	6.51177832298624e-09
rs61987461	3.62232933865604e-10
rs60339744	3.74223229717532e-07
rs10136476	0.000580986894036374
rs1274952	7.75940140442057e-10
rs1295793	6.70915074392597e-10
rs72731579	2.09213725990122e-10
rs61987463	2.13518368224675e-11
rs72731581	8.33200584163153e-10
rs10873217	0.000197199900917068
rs194740	1.50657297760987e-08
rs194739	7.5799780590043e-10
rs4288924	0.000246020738727438
rs194738	5.58456148792126e-11
rs194734	8.69077521771858e-10
rs194733	9.95734954883318e-10
rs194732	1.46144416968816e-08
rs11625668	3.3325118138327e-10
rs194730	8.27609804159788e-10
rs61987464	2.85396537428218e-11
rs72731585	6.36772945976306e-10
rs174213	4.54592169461405e-10
rs194729	4.75128620460363e-10
rs61987465	1.77700932551457e-11
rs12587831	6.04539093823402e-10
rs12590165	5.91810384655499e-10
rs434943	6.61585897711824e-10
rs72731587	4.73462264933514e-10
rs6573859	4.46531907440697e-12
rs372177	2.28063495754929e-11
rs11624611	4.23994753722957e-12
rs61987506	4.17966879647056e-12
rs61987507	4.18077857545365e-12
rs61987508	4.23916601509608e-12
rs61987509	4.21780545502775e-12
rs61987510	4.23860435931566e-12
rs61987511	4.26023921607319e-12
rs72731601	1.10477518964163e-11
rs17835718	4.26136965942553e-12
rs12586591	1.4257238164789e-11
rs36039812	1.34753089809286e-11
rs41285482	3.77259602626627e-11
rs2273419	3.0174914505449e-11
rs15993	1.56304948604304e-11
rs2093009	3.70986005435713e-11
rs181475	3.15540114406467e-11
rs73284973	1.09706785378209e-11
rs73284974	2.44730378087583e-11
rs7152086	1.45187356820949e-11
rs743127	8.58628738200082e-12
rs4902673	3.82310861755149e-11
rs4902674	4.28598820980656e-11
rs60621152	4.7602031446205e-12
rs3825733	2.15541404852815e-11
rs3784138	2.19331004750566e-11
rs35104838	1.95936575416866e-11
rs2300879	2.05263692162513e-11
rs7144460	5.75785094231551e-12
rs4899274	7.62152917699003e-12
rs8003964	1.1883112767853e-11
rs10146893	5.49409525592772e-12
rs242092	6.73273344988254e-12
rs181428	7.69940226234697e-12
rs397466	8.01801264393582e-12
rs1275200	8.64103878182177e-12
rs1275201	1.19051129521967e-11
rs10148688	6.84464758029564e-12
rs34227963	7.63002128511584e-12
rs36114431	7.55751307582831e-12
rs4902689	1.97649758186608e-12
rs11628025	2.00124363382975e-12
rs12432046	4.11818030515019e-12
rs17758220	4.60973055022261e-12
rs35286356	4.57407609334167e-12
rs12889047	4.49198041933377e-12
rs12587583	4.58787319177379e-12
rs17758256	7.69388087520683e-12
rs10135643	5.62187896495648e-12
rs17106714	9.38967767987894e-12
rs61741172	6.3790146675069e-12
rs72718275	8.17962220643939e-12
rs72718277	7.73890595358972e-12
rs12894822	6.36872221409557e-12
rs7144307	4.27636986625723e-12
rs55975366	4.42803847565445e-12
rs72718286	4.36152084602513e-12
rs8007254	6.99781825045392e-12
rs72718289	6.96361245544442e-12
rs8003428	7.30646436317439e-12
rs72718291	4.34664740986501e-12
rs12586650	7.29688910647485e-12
rs56097892	4.79388696880142e-12
rs56274826	4.45560581932428e-12
rs56868917	4.45566460863137e-12
rs3742905	4.46854162573124e-12
rs61981650	5.16461793636424e-12
rs11627476	4.30287915047241e-12
rs12432645	6.93764739425715e-12
rs11627004	4.29350693505716e-12
rs11626985	4.81657567116014e-12
rs72720218	4.4346794605672e-12
rs12147222	4.5481191545369e-12
rs11621304	1.22242634395076e-11
rs2176255	4.39937558322394e-12
rs72720225	4.05447979677038e-12
rs143821647	4.26344110359081e-12
rs7157918	1.28421146561312e-11
rs72720241	4.33460328217148e-12
rs10132533	4.80928080243398e-12
rs11158795	4.75623159925024e-12
rs61980270	4.9407977949049e-12
rs12890560	5.65885631441364e-12
rs58761612	4.50342619642703e-12
rs7144704	6.92473644688686e-12
rs11625374	5.0169316281264e-12
rs61980284	4.84584349591519e-12
rs11158798	4.76135376935624e-12
rs12889849	4.79494177109697e-12
rs34999390	4.61072130632234e-12
rs12886715	4.58306145693322e-12
rs61980286	2.41167822412901e-11
rs7148045	5.13627902153287e-12
rs12434764	5.02417942982173e-12
rs45577339	6.049766832127e-12
rs3211166	4.85834809635215e-12
rs8008141	6.30844587805262e-12
rs66471927	5.66647141802296e-12
rs11623999	3.44867787887895e-12
rs72720275	1.33275864394008e-11
rs72720276	1.33274061371296e-11
rs72720278	1.32721103129886e-11
rs55714609	1.33275864394008e-11
rs56270411	1.3328769829691e-11
rs72720280	1.31870768546124e-11
rs12431706	1.28854772625568e-11
rs55836617	1.33897960838312e-11
rs4389087	1.11707288166767e-11
rs55929324	1.92437057822581e-11
rs2139541	1.08185740868342e-11
rs72720285	1.00762748048179e-11
rs59186728	9.36533830508139e-12
rs59735892	5.42073163717335e-12
rs57586543	1.64982274711259e-11
rs61980290	4.30673277694755e-11
rs72720288	1.13007185726697e-11
rs72720290	1.21715384259087e-11
rs7141424	9.85900370824647e-12
rs61980291	5.03997232038193e-11
rs4902706	1.00145708131717e-11
rs2877537	3.9788366158978e-12
rs72720298	4.07810191865026e-12
rs61980293	1.13130718002744e-11
rs56017572	3.28784116483388e-12
rs34710772	1.63496453041614e-11
rs61980296	8.39858288236781e-11
rs11621144	3.49322932455306e-12
rs11158800	5.75223144408255e-12
rs2105269	2.09309350198097e-11
rs55753072	7.15067095081937e-11
rs61980298	7.41972532439926e-11
rs11623840	7.53798064969899e-11
rs28718609	6.64851835354777e-11
rs61980300	4.14420003804045e-11
