route	direction	source	query	url	note
PPAR_retinoid_modulation	agonism_or_modulation	GooglePatents	PPAR gamma agonist multiple sclerosis autoimmune	https://patents.google.com/?q=PPAR+gamma+agonist+multiple+sclerosis+autoimmune	
PPAR_retinoid_modulation	agonism_or_modulation	Espacenet	PPAR gamma agonist multiple sclerosis autoimmune	https://worldwide.espacenet.com/patent/search?q=PPAR+gamma+agonist+multiple+sclerosis+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
PPAR_retinoid_modulation	agonism_or_modulation	GooglePatents	retinoid receptor agonist multiple sclerosis autoimmune	https://patents.google.com/?q=retinoid+receptor+agonist+multiple+sclerosis+autoimmune	
PPAR_retinoid_modulation	agonism_or_modulation	Espacenet	retinoid receptor agonist multiple sclerosis autoimmune	https://worldwide.espacenet.com/patent/search?q=retinoid+receptor+agonist+multiple+sclerosis+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
GPNMB_modulation	agonism_or_inhibition_ambiguous	GooglePatents	GPNMB autoimmune multiple sclerosis antibody	https://patents.google.com/?q=GPNMB+autoimmune+multiple+sclerosis+antibody	
GPNMB_modulation	agonism_or_inhibition_ambiguous	Espacenet	GPNMB autoimmune multiple sclerosis antibody	https://worldwide.espacenet.com/patent/search?q=GPNMB+autoimmune+multiple+sclerosis+antibody	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
GPNMB_modulation	agonism_or_inhibition_ambiguous	GooglePatents	GPNMB agonist autoimmune	https://patents.google.com/?q=GPNMB+agonist+autoimmune	
GPNMB_modulation	agonism_or_inhibition_ambiguous	Espacenet	GPNMB agonist autoimmune	https://worldwide.espacenet.com/patent/search?q=GPNMB+agonist+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
CD300_family_modulation	agonism_or_inhibition_ambiguous	GooglePatents	CD300F agonist antibody autoimmune	https://patents.google.com/?q=CD300F+agonist+antibody+autoimmune	
CD300_family_modulation	agonism_or_inhibition_ambiguous	Espacenet	CD300F agonist antibody autoimmune	https://worldwide.espacenet.com/patent/search?q=CD300F+agonist+antibody+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
CD300_family_modulation	agonism_or_inhibition_ambiguous	GooglePatents	CD300A antibody autoimmune disease	https://patents.google.com/?q=CD300A+antibody+autoimmune+disease	
CD300_family_modulation	agonism_or_inhibition_ambiguous	Espacenet	CD300A antibody autoimmune disease	https://worldwide.espacenet.com/patent/search?q=CD300A+antibody+autoimmune+disease	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
LIPA_LAL_enhancement	enhancement_replacement	GooglePatents	lysosomal acid lipase autoimmune	https://patents.google.com/?q=lysosomal+acid+lipase+autoimmune	
LIPA_LAL_enhancement	enhancement_replacement	Espacenet	lysosomal acid lipase autoimmune	https://worldwide.espacenet.com/patent/search?q=lysosomal+acid+lipase+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
LIPA_LAL_enhancement	enhancement_replacement	GooglePatents	sebelipase alfa autoimmune	https://patents.google.com/?q=sebelipase+alfa+autoimmune	
LIPA_LAL_enhancement	enhancement_replacement	Espacenet	sebelipase alfa autoimmune	https://worldwide.espacenet.com/patent/search?q=sebelipase+alfa+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
LIPA_LAL_enhancement	enhancement_replacement	GooglePatents	LIPA multiple sclerosis remyelination	https://patents.google.com/?q=LIPA+multiple+sclerosis+remyelination	
LIPA_LAL_enhancement	enhancement_replacement	Espacenet	LIPA multiple sclerosis remyelination	https://worldwide.espacenet.com/patent/search?q=LIPA+multiple+sclerosis+remyelination	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
NPC1_NPC2_cholesterol_egress	enhancement_functional_rescue	GooglePatents	NPC1 autoimmune macrophage therapy	https://patents.google.com/?q=NPC1+autoimmune+macrophage+therapy	
NPC1_NPC2_cholesterol_egress	enhancement_functional_rescue	Espacenet	NPC1 autoimmune macrophage therapy	https://worldwide.espacenet.com/patent/search?q=NPC1+autoimmune+macrophage+therapy	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
NPC1_NPC2_cholesterol_egress	enhancement_functional_rescue	GooglePatents	hydroxypropyl beta cyclodextrin autoimmune	https://patents.google.com/?q=hydroxypropyl+beta+cyclodextrin+autoimmune	
NPC1_NPC2_cholesterol_egress	enhancement_functional_rescue	Espacenet	hydroxypropyl beta cyclodextrin autoimmune	https://worldwide.espacenet.com/patent/search?q=hydroxypropyl+beta+cyclodextrin+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
specialized_pro_resolving_mediator_FPR2_axis	agonism	GooglePatents	FPR2 agonist autoimmune disease	https://patents.google.com/?q=FPR2+agonist+autoimmune+disease	
specialized_pro_resolving_mediator_FPR2_axis	agonism	Espacenet	FPR2 agonist autoimmune disease	https://worldwide.espacenet.com/patent/search?q=FPR2+agonist+autoimmune+disease	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
specialized_pro_resolving_mediator_FPR2_axis	agonism	GooglePatents	resolvin autoimmune multiple sclerosis	https://patents.google.com/?q=resolvin+autoimmune+multiple+sclerosis	
specialized_pro_resolving_mediator_FPR2_axis	agonism	Espacenet	resolvin autoimmune multiple sclerosis	https://worldwide.espacenet.com/patent/search?q=resolvin+autoimmune+multiple+sclerosis	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
