item	category	relevance	novelty	evidence_grade	supporting_artifact	status	v48_coverage	n_v48_rows	relationship_classes	synthesis_statuses	external_record_ids	external_sources
ZMIZ1 opposite-direction MS/Crohn decoupling	decoupling_negative	3	4	supported	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md; docs/history/LEAD_INVENTORY_V29.md	transfer-validity finding; not target	has_external_context_only	1	insufficient-overlap:1	RESOURCE_CAN_QUEUE_FUTURE_CHECK:1	resource.disgenet.platform.2026-06-13	https://disgenet.com/
chr1 KIF21B/GPR25 locus resolves to real biology but hard target	decoupling_negative	3	3	supported	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	controlled-data handoff; no intervention claim	has_external_context_only	1	insufficient-overlap:1	RESOURCE_CAN_QUEUE_FUTURE_CHECK:1	resource.gwas_catalog.ms.2026-06-13	https://www.ebi.ac.uk/gwas/
PTGER4 mixed shared/distinct signal closes naive transfer	decoupling_negative	3	3	negative-established	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md; docs/history/LEAD_INVENTORY_V29.md	closed transfer target unless signal-specific data arrive	has_external_context_only	1	insufficient-overlap:1	GENERAL_CONTEXT_NOT_LOCUS_CORROBORATION:1	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	https://www.nature.com/articles/s41467-021-25768-0
MHC overlap is distinct-signal, not simple shared biology	decoupling_negative	3	2	negative-established	analysis/v14_locus_landscape/REPORT.md; analysis/v14_susie_coloc/REPORT.md	HLA overlap should not be overread as shared causal variant	no_v48_external_relationship_row	0				
UC genetics vs treatment-response layer split	decoupling_negative	4	3	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	genetic and response-transfer axes separated	no_v48_external_relationship_row	0				
Crohn downstream IFN/APC convergence exceeds genetic proximity	decoupling_negative	3	3	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	response-monitoring analogy, not genetic target transfer	no_v48_external_relationship_row	0				
RA pregnancy comparator but blood APC treatment-response nontransfer	decoupling_negative	3	3	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	use RA for postpartum timing, not blood APC biomarker transfer	no_v48_external_relationship_row	0				
Sjogren antigen-presentation but not lysosomal/APC lesion-rim transfer	decoupling_negative	2	3	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	limited comparator role	no_v48_external_relationship_row	0				
No load-bearing invariant found in V26	decoupling_negative	2	4	negative-established	docs/findings/DEEP_STRUCTURE_V26.md	do not claim conserved invariant	no_v48_external_relationship_row	0				
No validated broad immune-state simulator from held data	kills_closed	4	3	negative-established	docs/workups/treatment_response/MODEL_CARD_V25.md; analysis/v25_immune_state_model/model_validation_summary.json	use only low-resolution directional priors in bounded domain	has_external_context_only	1	insufficient-overlap:1	NO_DIRECT_EXTERNAL_CORROBORATION:1	resource.msgd.database_commons.2026-06-13	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285
Coupled-axis successor rule does not beat scalar	kills_closed	4	3	negative-established	docs/history/LEAD_INVENTORY_V29.md; analysis/v27_coupled_axis/v27_scalar_vs_coupled_metrics.tsv	no V27 successor locked	has_external_context_only	1	insufficient-overlap:1	NO_DIRECT_EXTERNAL_CORROBORATION:1	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a
Locked V7 general cross-disease baseline fallback killed	kills_closed	4	3	negative-established	docs/findings/KILL_HYP_V6_006.md	baseline fallback rejected; dynamic mucosal IBD survives	no_v48_external_relationship_row	0				
GPR25 demoted from protected favorite	kills_closed	3	3	negative-established	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	conditional causal candidate only	no_v48_external_relationship_row	0				
NAMPT/eNAMPT not reactivated as target	kills_closed	2	2	negative-established	docs/history/LEAD_INVENTORY_V29.md	marker/covariate only	no_v48_external_relationship_row	0				
ZFP36L1 chr14 parked	kills_closed	2	2	provisional	docs/history/LEAD_SLATE_V21.md	suggestive PP.H4 only; needs robust coloc/QTL direction	no_v48_external_relationship_row	0				
REL/PUS10/USP34 chr2 closed	kills_closed	2	2	negative-established	docs/history/LEAD_SLATE_V21.md	no disease SuSiE-coloc summary	no_v48_external_relationship_row	0				
EBV/IFN APC imprint downgraded by specificity control	kills_closed	3	3	negative-established	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	reopen only with EBV-stratified data	no_v48_external_relationship_row	0				
Complement/lipid progressive axis downgraded	kills_closed	2	3	negative-established	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	weak lipid context only	no_v48_external_relationship_row	0				
Lysosomal APC bottleneck not proven	kills_closed	3	3	provisional	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	strong coupling, no bottleneck proof	no_v48_external_relationship_row	0				
Metabolic/sterol setpoint is context/confounder axis, not intervention-grade	kills_closed	3	2	provisional	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	use as covariate/context	no_v48_external_relationship_row	0				
Multi-lineage and RPT lenses add prioritization, not evidence	methodological	2	3	supported	docs/history/LEAD_INVENTORY_V31.md; docs/history/HYPOTHESIS_SLATE_V36.md	keep model output proposal-only	no_v48_external_relationship_row	0				
First-principles druggability discipline changed target interpretation	methodological	4	4	supported	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	do not use class precedent as druggability shortcut	no_v48_external_relationship_row	0				
