external_record_id	external_record_type	epistemic_class	external_relationship_tag	source_label	source_url	source_doi	source_pmid	not_project_grounded_marker	project_finding_id	project_finding_artifact	synthesis_relationship	synthesis_status	action_required_before_use	external_record_path
resource.gwas_catalog.ms.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	GWAS Catalog home page	https://www.ebi.ac.uk/gwas/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/gwas_catalog_multiple_sclerosis.json
resource.imsgc.publications.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	IMSGC publications page	https://imsgc.net/publications/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/imsgc_publications.json
resource.msbase.registry.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	MSBase home page	https://www.msbase.org/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/msbase_registry.json
resource.msda.catalogue.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	MSDA Catalogue home page	https://msda.emif-catalogue.eu/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/msda_catalogue.json
resource.msgd.database_commons.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	Database Commons profile for MSGD	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/msgd_database_commons.json
resource.narcoms.registry.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	NARCOMS about page	https://www.narcoms.org/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/narcoms_registry.json
resource.open_targets.platform.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	Open Targets Platform documentation	https://platform-docs.opentargets.org/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/open_targets_platform.json
resource.osf.repository.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	OSF product page	https://www.cos.io/products/osf			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/osf_repository.json
resource.pubmed.literature.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	PubMed home page	https://pubmed.ncbi.nlm.nih.gov/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/pubmed_literature.json
resource.sra.sequence_read_archive.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	NCBI SRA home page	https://www.ncbi.nlm.nih.gov/sra			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/sra_sequence_read_archive.json
resource.zenodo.repository.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	Zenodo about page	https://about.zenodo.org/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/zenodo_repository.json
