item	category	evidence_grade	supporting_artifact	rationale_class	rationale	next_action
GPR25 demoted from protected favorite	kills_closed	negative-established	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
NAMPT/eNAMPT not reactivated as target	kills_closed	negative-established	docs/history/LEAD_INVENTORY_V29.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
ZFP36L1 chr14 parked	kills_closed	provisional	docs/history/LEAD_SLATE_V21.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
REL/PUS10/USP34 chr2 closed	kills_closed	negative-established	docs/history/LEAD_SLATE_V21.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
EBV/IFN APC imprint downgraded by specificity control	kills_closed	negative-established	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
Complement/lipid progressive axis downgraded	kills_closed	negative-established	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
Lysosomal APC bottleneck not proven	kills_closed	provisional	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
Metabolic/sterol setpoint is context/confounder axis, not intervention-grade	kills_closed	provisional	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
Multi-lineage and RPT lenses add prioritization, not evidence	methodological	supported	docs/history/LEAD_INVENTORY_V31.md; docs/history/HYPOTHESIS_SLATE_V36.md	method_specific_external_context_absent	The item is a project-method or governance result; external literature rarely maps one-to-one to the exact project procedure.	Add only method-specific external context, not broad biological context.
First-principles druggability discipline changed target interpretation	methodological	supported	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	method_specific_external_context_absent	The item is a project-method or governance result; external literature rarely maps one-to-one to the exact project procedure.	Add only method-specific external context, not broad biological context.
