rank	item	category	relevance	novelty	evidence_grade	rationale_class	priority_score	priority_tier	priority_reason	safe_source_requirement	supporting_artifact	status	next_action
11	No load-bearing invariant found in V26	decoupling_negative	2	4	negative-established	targeted_external_record_needed	14	high	relevance 2; novelty 4; evidence negative-established; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/findings/DEEP_STRUCTURE_V26.md	do not claim conserved invariant	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
12	Lysosomal APC bottleneck not proven	kills_closed	3	3	provisional	targeted_external_record_needed	13	medium	relevance 3; novelty 3; evidence provisional; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	strong coupling, no bottleneck proof	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
13	Sjogren antigen-presentation but not lysosomal/APC lesion-rim transfer	decoupling_negative	2	3	supported	targeted_external_record_needed	13	medium	relevance 2; novelty 3; evidence supported; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	limited comparator role	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
14	IFN-beta HLA-II/CD74 branch	positive_supported	3	3	provisional	avoid_false_corroboration	12	medium	relevance 3; novelty 3; evidence provisional; rationale avoid_false_corroboration	Do not add broad context; require a concrete predefined dataset/test source before queueing external-verifiable work.	docs/history/HYPOTHESIS_SLATE_V36.md; analysis/v36_ms_ifnb_longitudinal_audit/	therapy-specific context; not primary rule	Queue a future external-verifiable task only if a source points to a concrete dataset or predefined test.
15	Metabolic/sterol setpoint is context/confounder axis, not intervention-grade	kills_closed	3	2	provisional	targeted_external_record_needed	12	medium	relevance 3; novelty 2; evidence provisional; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	use as covariate/context	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
16	Complement/lipid progressive axis downgraded	kills_closed	2	3	negative-established	targeted_external_record_needed	12	medium	relevance 2; novelty 3; evidence negative-established; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	weak lipid context only	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
17	Multi-lineage and RPT lenses add prioritization, not evidence	methodological	2	3	supported	method_specific_external_context_absent	11	medium	relevance 2; novelty 3; evidence supported; rationale method_specific_external_context_absent	Require a method-specific source about the same procedure or governance issue; broad disease biology is not sufficient.	docs/history/LEAD_INVENTORY_V31.md; docs/history/HYPOTHESIS_SLATE_V36.md	keep model output proposal-only	Add only method-specific external context, not broad biological context.
18	NAMPT/eNAMPT not reactivated as target	kills_closed	2	2	negative-established	targeted_external_record_needed	11	medium	relevance 2; novelty 2; evidence negative-established; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/history/LEAD_INVENTORY_V29.md	marker/covariate only	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
19	REL/PUS10/USP34 chr2 closed	kills_closed	2	2	negative-established	targeted_external_record_needed	11	medium	relevance 2; novelty 2; evidence negative-established; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/history/LEAD_SLATE_V21.md	no disease SuSiE-coloc summary	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
20	ZFP36L1 chr14 parked	kills_closed	2	2	provisional	targeted_external_record_needed	10	medium	relevance 2; novelty 2; evidence provisional; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/history/LEAD_SLATE_V21.md	suggestive PP.H4 only; needs robust coloc/QTL direction	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
