gene	wave30_axis	wave30_call	wave30_centrality_score	wave30_intervention_score	wave30_gate_failures	wave30_manual_prior_risk	wave30_manual_druggability	wave30_manual_selectivity
HLA-DRB1	LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.07	1.3499999999999996	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	medium_high	1.5	1.0
LILRB4	LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.07	1.3499999999999996	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	medium_high	1.5	1.0
LILRB2	LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.07	1.3499999999999996	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	medium_high	1.5	1.0
ITGB3	SPP1_CD44_INTEGRIN_RETENTION	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	12.01	-0.9500000000000002	target_causality_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
CD44	SPP1_CD44_INTEGRIN_RETENTION	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	12.01	-0.9500000000000002	target_causality_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
SPP1	SPP1_CD44_INTEGRIN_RETENTION	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	12.01	-0.9500000000000002	target_causality_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
ITGAM	SPP1_CD44_INTEGRIN_RETENTION	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	12.01	-0.9500000000000002	target_causality_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
ITGAV	SPP1_CD44_INTEGRIN_RETENTION	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	12.01	-0.9500000000000002	target_causality_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
ITGB1	SPP1_CD44_INTEGRIN_RETENTION	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	12.01	-0.9500000000000002	target_causality_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
JAK1	PTPN2_TCPTP_RESTORATION	NO_GO_NICHE_DRIVER	14.64	5.1	cross_disease_support_gate;residual_or_state_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	0.5	0.5
STAT1	PTPN2_TCPTP_RESTORATION	NO_GO_NICHE_DRIVER	14.64	5.1	cross_disease_support_gate;residual_or_state_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	0.5	0.5
JAK2	PTPN2_TCPTP_RESTORATION	NO_GO_NICHE_DRIVER	14.64	5.1	cross_disease_support_gate;residual_or_state_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	0.5	0.5
PTPN2	PTPN2_TCPTP_RESTORATION	NO_GO_NICHE_DRIVER	14.64	5.1	cross_disease_support_gate;residual_or_state_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	0.5	0.5
TYROBP	TREM1_TYROBP_AMPLIFICATION	NO_GO_NICHE_DRIVER	12.62556995395143	-0.4851467894628438	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	medium_high	2.0	1.0
NFKB1	TREM1_TYROBP_AMPLIFICATION	NO_GO_NICHE_DRIVER	12.62556995395143	-0.4851467894628438	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	medium_high	2.0	1.0
IL1B	TREM1_TYROBP_AMPLIFICATION	NO_GO_NICHE_DRIVER	12.62556995395143	-0.4851467894628438	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	medium_high	2.0	1.0
SYK	TREM1_TYROBP_AMPLIFICATION	NO_GO_NICHE_DRIVER	12.62556995395143	-0.4851467894628438	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	medium_high	2.0	1.0
TREM1	TREM1_TYROBP_AMPLIFICATION	NO_GO_NICHE_DRIVER	12.62556995395143	-0.4851467894628438	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	medium_high	2.0	1.0
LIPA	LIPA_LAL_LYSOSOMAL_LIPID_CLEARANCE	NO_GO_NICHE_DRIVER	10.9	2.95	cross_disease_support_gate;upstream_non_marker_gate;target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	medium_high	1.5	1.0
FCER1G	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
C1QB	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
C3	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
C1QA	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
C1QC	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
ITGAM	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
ITGB2	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
NPC1	NPC1_NPC2_CHOLESTEROL_EGRESS	NO_GO_NICHE_DRIVER	10.1	1.0	cross_disease_support_gate;upstream_non_marker_gate;target_causality_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate	medium	1.5	0.5
NPC2	NPC1_NPC2_CHOLESTEROL_EGRESS	NO_GO_NICHE_DRIVER	10.1	1.0	cross_disease_support_gate;upstream_non_marker_gate;target_causality_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate	medium	1.5	0.5
CXCR3	CXCL10_CXCR3_RECRUITMENT	NO_GO_NICHE_DRIVER	9.14	-2.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
CXCL9	CXCL10_CXCR3_RECRUITMENT	NO_GO_NICHE_DRIVER	9.14	-2.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
CXCL11	CXCL10_CXCR3_RECRUITMENT	NO_GO_NICHE_DRIVER	9.14	-2.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
CXCL10	CXCL10_CXCR3_RECRUITMENT	NO_GO_NICHE_DRIVER	9.14	-2.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
CD274	CD274_PD1_TOLEROGENIC_CHECKPOINT	NO_GO_NICHE_DRIVER	8.5	-3.5	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.5	0.5
PDCD1LG2	CD274_PD1_TOLEROGENIC_CHECKPOINT	NO_GO_NICHE_DRIVER	8.5	-3.5	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.5	0.5
PDCD1	CD274_PD1_TOLEROGENIC_CHECKPOINT	NO_GO_NICHE_DRIVER	8.5	-3.5	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.5	0.5
MYD88	SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	NO_GO_NICHE_DRIVER	8.3	4.85	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	1.5	1.0
TLR7	SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	NO_GO_NICHE_DRIVER	8.3	4.85	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	1.5	1.0
UNC93B1	SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	NO_GO_NICHE_DRIVER	8.3	4.85	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	1.5	1.0
IRF5	SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	NO_GO_NICHE_DRIVER	8.3	4.85	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	1.5	1.0
TLR9	SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	NO_GO_NICHE_DRIVER	8.3	4.85	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	1.5	1.0
SLC15A4	SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	NO_GO_NICHE_DRIVER	8.3	4.85	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	1.5	1.0
OSM	OSM_OSMR_IL6ST_STAT3	NO_GO_NICHE_DRIVER	8.02	1.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	medium_high	2.5	1.0
SOCS3	OSM_OSMR_IL6ST_STAT3	NO_GO_NICHE_DRIVER	8.02	1.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	medium_high	2.5	1.0
STAT3	OSM_OSMR_IL6ST_STAT3	NO_GO_NICHE_DRIVER	8.02	1.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	medium_high	2.5	1.0
OSMR	OSM_OSMR_IL6ST_STAT3	NO_GO_NICHE_DRIVER	8.02	1.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	medium_high	2.5	1.0
IL6ST	OSM_OSMR_IL6ST_STAT3	NO_GO_NICHE_DRIVER	8.02	1.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	medium_high	2.5	1.0
NFKB1	TNF_TNFR_NFKB	NO_GO_NICHE_DRIVER	7.320515880385907	-2.725290985637585	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
TNFRSF1B	TNF_TNFR_NFKB	NO_GO_NICHE_DRIVER	7.320515880385907	-2.725290985637585	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
RELA	TNF_TNFR_NFKB	NO_GO_NICHE_DRIVER	7.320515880385907	-2.725290985637585	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
CHUK	TNF_TNFR_NFKB	NO_GO_NICHE_DRIVER	7.320515880385907	-2.725290985637585	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
TNFRSF1A	TNF_TNFR_NFKB	NO_GO_NICHE_DRIVER	7.320515880385907	-2.725290985637585	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
TNF	TNF_TNFR_NFKB	NO_GO_NICHE_DRIVER	7.320515880385907	-2.725290985637585	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	3.0	0.0
CD24	CD24_SIGLEC10_DAMP_CHECKPOINT	NO_GO_NICHE_DRIVER	7.3	-1.5	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	1.0
SIGLEC10	CD24_SIGLEC10_DAMP_CHECKPOINT	NO_GO_NICHE_DRIVER	7.3	-1.5	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	1.0
GPR65	GPR65_ENDOLYSOSOMAL_PH_CAMP	NO_GO_NICHE_DRIVER	6.0	3.5	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;prior_art_not_blocking_gate	high	2.5	1.5
CD40	CD40_CD40LG_APC_LICENSING	NO_GO_NICHE_DRIVER	3.505569953951434	-3.485146789462844	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.5	0.5
CD40LG	CD40_CD40LG_APC_LICENSING	NO_GO_NICHE_DRIVER	3.505569953951434	-3.485146789462844	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.5	0.5
NFKB1	CD40_CD40LG_APC_LICENSING	NO_GO_NICHE_DRIVER	3.505569953951434	-3.485146789462844	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.5	0.5
TRAF6	CD40_CD40LG_APC_LICENSING	NO_GO_NICHE_DRIVER	3.505569953951434	-3.485146789462844	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.5	0.5
TRAF2	CD40_CD40LG_APC_LICENSING	NO_GO_NICHE_DRIVER	3.505569953951434	-3.485146789462844	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.5	0.5
TRAF3	CD40_CD40LG_APC_LICENSING	NO_GO_NICHE_DRIVER	3.505569953951434	-3.485146789462844	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.5	0.5
RELA	CD40_CD40LG_APC_LICENSING	NO_GO_NICHE_DRIVER	3.505569953951434	-3.485146789462844	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	blocking	2.5	0.5
CCR2	CCL2_CCR2_MONOCYTE_RECRUITMENT	NO_GO_NICHE_DRIVER	2.75	-2.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
CCL8	CCL2_CCR2_MONOCYTE_RECRUITMENT	NO_GO_NICHE_DRIVER	2.75	-2.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
CCL2	CCL2_CCR2_MONOCYTE_RECRUITMENT	NO_GO_NICHE_DRIVER	2.75	-2.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
CCL7	CCL2_CCR2_MONOCYTE_RECRUITMENT	NO_GO_NICHE_DRIVER	2.75	-2.25	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	high	2.0	0.5
