assumed_standardized_target_effect_each_primary_module	n_donors_per_context	replicates_per_seed	n_seeds	per_context_success_probability_mean	per_context_success_probability_min_seed	per_context_success_probability_max_seed	two_independent_context_joint_probability	target_gate	collateral_guard	synthetic_marker
0.8	8	3000	3	0.15611111111111112	0.14366666666666666	0.169	0.02437067901234568	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.8	12	3000	3	0.39966666666666667	0.39166666666666666	0.4056666666666667	0.15973344444444446	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.8	16	3000	3	0.4408888888888889	0.436	0.45	0.194383012345679	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.8	20	3000	3	0.6205555555555555	0.617	0.6253333333333333	0.3850891975308642	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.8	24	3000	3	0.734	0.732	0.7373333333333333	0.538756	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.8	32	3000	3	0.8178888888888888	0.8156666666666667	0.8196666666666667	0.668942234567901	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.8	40	3000	3	0.8917777777777779	0.8866666666666667	0.8986666666666666	0.7952676049382718	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.8	48	3000	3	0.9318888888888889	0.9276666666666666	0.9373333333333334	0.8684169012345678	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.8	64	3000	3	0.9694444444444444	0.969	0.97	0.9398225308641975	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
0.8	96	3000	3	0.9935555555555555	0.9933333333333333	0.994	0.9871526419753086	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.0	8	3000	3	0.26866666666666666	0.25433333333333336	0.2806666666666667	0.07218177777777778	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.0	12	3000	3	0.5748888888888889	0.5596666666666666	0.5926666666666667	0.33049723456790125	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.0	16	3000	3	0.6442222222222221	0.6413333333333333	0.6493333333333333	0.41502227160493815	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.0	20	3000	3	0.7823333333333333	0.77	0.7953333333333333	0.6120454444444444	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.0	24	3000	3	0.8464444444444444	0.8426666666666667	0.8536666666666667	0.7164681975308642	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.0	32	3000	3	0.9076666666666666	0.9023333333333333	0.9163333333333333	0.8238587777777777	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.0	40	3000	3	0.9414444444444445	0.941	0.9416666666666667	0.8863176419753088	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.0	48	3000	3	0.9603333333333334	0.957	0.9636666666666667	0.9222401111111111	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.0	64	3000	3	0.9823333333333334	0.9813333333333333	0.984	0.9649787777777779	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.0	96	3000	3	0.9967777777777779	0.9966666666666667	0.997	0.9935659382716051	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.2	8	3000	3	0.3875555555555555	0.37933333333333336	0.3963333333333333	0.15019930864197525	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.2	12	3000	3	0.678888888888889	0.6746666666666666	0.683	0.46089012345679026	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.2	16	3000	3	0.7467777777777779	0.743	0.7523333333333333	0.5576770493827162	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.2	20	3000	3	0.8343333333333334	0.8286666666666667	0.8396666666666667	0.6961121111111112	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.2	24	3000	3	0.8738888888888888	0.8703333333333333	0.8763333333333333	0.7636817901234567	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.2	32	3000	3	0.9141111111111111	0.906	0.921	0.8355991234567901	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.2	40	3000	3	0.9427777777777777	0.942	0.9436666666666667	0.8888299382716048	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.2	48	3000	3	0.9628888888888888	0.96	0.9673333333333334	0.9271550123456789	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.2	64	3000	3	0.9838888888888889	0.9833333333333333	0.985	0.9680373456790125	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.2	96	3000	3	0.9975555555555555	0.997	0.998	0.995117086419753	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.5	8	3000	3	0.5378888888888889	0.52	0.549	0.2893244567901234	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.5	12	3000	3	0.7241111111111111	0.7176666666666667	0.7306666666666667	0.524336901234568	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.5	16	3000	3	0.7933333333333333	0.786	0.8076666666666666	0.6293777777777778	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.5	20	3000	3	0.8302222222222223	0.8273333333333334	0.8343333333333334	0.6892689382716051	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.5	24	3000	3	0.8726666666666668	0.8686666666666667	0.878	0.7615471111111114	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.5	32	3000	3	0.9163333333333333	0.911	0.9226666666666666	0.8396667777777778	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.5	40	3000	3	0.9452222222222222	0.9403333333333334	0.9476666666666667	0.893445049382716	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.5	48	3000	3	0.9664444444444446	0.9613333333333334	0.9703333333333334	0.9340148641975311	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.5	64	3000	3	0.986111111111111	0.984	0.9883333333333333	0.97241512345679	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
1.5	96	3000	3	0.9962222222222222	0.9956666666666667	0.9966666666666667	0.9924587160493827	both one-sided sign-test BH q<=0.10 and both standardized means<=-0.5	mean IFN/APC and GILT/lysosomal effects each>=-0.3	SYNTHETIC_METHOD_CHARACTERIZATION_NOT_BIOLOGICAL_EVIDENCE
