evidence_id	axis	disease	compartment	data_type	dataset_or_source	effect_direction	statistic	p_value	fdr_or_correction	sample_size	causality_level	supports_placement	caveat	file_or_url
V8_axis_10_infectious_trigger_systemic_lupus_erythematosus_19	axis_10_infectious_trigger	systemic lupus erythematosus	B cells/systemic immune	literature_review	EBV is strongly implicated in MS and has substantial mechanistic/serologic links to SLE, including molecular mimicry and abnormal EBV control themes.	near	qualitative strong EBV-autoimmunity literature		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		infectious_association/mechanistic	near	SLE-EBV evidence is not equivalent to the Bjornevik-style near-necessary MS epidemiologic result.	https://pmc.ncbi.nlm.nih.gov/articles/PMC10136495/
V8_axis_10_infectious_trigger_rheumatoid_arthritis_20	axis_10_infectious_trigger	rheumatoid arthritis	mucosa/joint/systemic immune	literature_review	RA has infectious and mucosal-trigger hypotheses, but no MS-like EBV near-necessity signal.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		infectious_association	intermediate	Intermediate because infectious-trigger architecture differs from MS.	https://pmc.ncbi.nlm.nih.gov/articles/PMC10136495/
V8_axis_10_infectious_trigger_Crohn_disease_21	axis_10_infectious_trigger	Crohn disease	intestinal mucosa	literature_review	IBD has microbial-trigger/barrier-immune mechanisms, but they are not the same as EBV-centered MS risk architecture.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		microbial_trigger	intermediate	IBD is near on microbiome, not necessarily near on infectious-trigger specificity.	https://www.nature.com/articles/s41586-019-1237-9
V8_axis_10_infectious_trigger_ulcerative_colitis_22	axis_10_infectious_trigger	ulcerative colitis	intestinal mucosa	literature_review	IBD has microbial-trigger/barrier-immune mechanisms, but they are not the same as EBV-centered MS risk architecture.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		microbial_trigger	intermediate	UC is near on microbiome/genetics but only intermediate on EBV-like infectious-trigger biology.	https://www.nature.com/articles/s41586-019-1237-9
V8_axis_06_tcell_adaptive_repertoire_systemic_lupus_erythematosus_23	axis_06_tcell_adaptive_repertoire	systemic lupus erythematosus	none	not_yet_populated	No V8 evidence row populated yet for systemic lupus erythematosus on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_Sjogren_syndrome_24	axis_06_tcell_adaptive_repertoire	Sjogren syndrome	none	not_yet_populated	No V8 evidence row populated yet for Sjogren syndrome on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_Hashimoto_thyroiditis_25	axis_06_tcell_adaptive_repertoire	Hashimoto thyroiditis	none	not_yet_populated	No V8 evidence row populated yet for Hashimoto thyroiditis on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_Graves_disease_26	axis_06_tcell_adaptive_repertoire	Graves disease	none	not_yet_populated	No V8 evidence row populated yet for Graves disease on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_celiac_disease_27	axis_06_tcell_adaptive_repertoire	celiac disease	none	not_yet_populated	No V8 evidence row populated yet for celiac disease on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_myasthenia_gravis_28	axis_06_tcell_adaptive_repertoire	myasthenia gravis	none	not_yet_populated	No V8 evidence row populated yet for myasthenia gravis on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_ankylosing_spondylitis_29	axis_06_tcell_adaptive_repertoire	ankylosing spondylitis	none	not_yet_populated	No V8 evidence row populated yet for ankylosing spondylitis on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_systemic_lupus_erythematosus_30	axis_08_tissue_repair_resolution	systemic lupus erythematosus	none	not_yet_populated	No V8 evidence row populated yet for systemic lupus erythematosus on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_type_1_diabetes_mellitus_31	axis_08_tissue_repair_resolution	type 1 diabetes mellitus	none	not_yet_populated	No V8 evidence row populated yet for type 1 diabetes mellitus on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_Sjogren_syndrome_32	axis_08_tissue_repair_resolution	Sjogren syndrome	none	not_yet_populated	No V8 evidence row populated yet for Sjogren syndrome on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_Hashimoto_thyroiditis_33	axis_08_tissue_repair_resolution	Hashimoto thyroiditis	none	not_yet_populated	No V8 evidence row populated yet for Hashimoto thyroiditis on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_Graves_disease_34	axis_08_tissue_repair_resolution	Graves disease	none	not_yet_populated	No V8 evidence row populated yet for Graves disease on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_celiac_disease_35	axis_08_tissue_repair_resolution	celiac disease	none	not_yet_populated	No V8 evidence row populated yet for celiac disease on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_myasthenia_gravis_36	axis_08_tissue_repair_resolution	myasthenia gravis	none	not_yet_populated	No V8 evidence row populated yet for myasthenia gravis on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_ankylosing_spondylitis_37	axis_08_tissue_repair_resolution	ankylosing spondylitis	none	not_yet_populated	No V8 evidence row populated yet for ankylosing spondylitis on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_psoriasis_38	axis_05_complement_innate	psoriasis	none	not_yet_populated	No V8 evidence row populated yet for psoriasis on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_type_1_diabetes_mellitus_39	axis_05_complement_innate	type 1 diabetes mellitus	none	not_yet_populated	No V8 evidence row populated yet for type 1 diabetes mellitus on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_Sjogren_syndrome_40	axis_05_complement_innate	Sjogren syndrome	none	not_yet_populated	No V8 evidence row populated yet for Sjogren syndrome on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_Hashimoto_thyroiditis_41	axis_05_complement_innate	Hashimoto thyroiditis	none	not_yet_populated	No V8 evidence row populated yet for Hashimoto thyroiditis on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_Graves_disease_42	axis_05_complement_innate	Graves disease	none	not_yet_populated	No V8 evidence row populated yet for Graves disease on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_celiac_disease_43	axis_05_complement_innate	celiac disease	none	not_yet_populated	No V8 evidence row populated yet for celiac disease on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_ankylosing_spondylitis_44	axis_05_complement_innate	ankylosing spondylitis	none	not_yet_populated	No V8 evidence row populated yet for ankylosing spondylitis on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_psoriasis_45	axis_09_sex_hormonal_pregnancy	psoriasis	none	not_yet_populated	No V8 evidence row populated yet for psoriasis on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_type_1_diabetes_mellitus_46	axis_09_sex_hormonal_pregnancy	type 1 diabetes mellitus	none	not_yet_populated	No V8 evidence row populated yet for type 1 diabetes mellitus on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_Sjogren_syndrome_47	axis_09_sex_hormonal_pregnancy	Sjogren syndrome	none	not_yet_populated	No V8 evidence row populated yet for Sjogren syndrome on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_Hashimoto_thyroiditis_48	axis_09_sex_hormonal_pregnancy	Hashimoto thyroiditis	none	not_yet_populated	No V8 evidence row populated yet for Hashimoto thyroiditis on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_Graves_disease_49	axis_09_sex_hormonal_pregnancy	Graves disease	none	not_yet_populated	No V8 evidence row populated yet for Graves disease on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_celiac_disease_50	axis_09_sex_hormonal_pregnancy	celiac disease	none	not_yet_populated	No V8 evidence row populated yet for celiac disease on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_myasthenia_gravis_51	axis_09_sex_hormonal_pregnancy	myasthenia gravis	none	not_yet_populated	No V8 evidence row populated yet for myasthenia gravis on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_ankylosing_spondylitis_52	axis_09_sex_hormonal_pregnancy	ankylosing spondylitis	none	not_yet_populated	No V8 evidence row populated yet for ankylosing spondylitis on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_psoriasis_53	axis_10_infectious_trigger	psoriasis	none	not_yet_populated	No V8 evidence row populated yet for psoriasis on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_type_1_diabetes_mellitus_54	axis_10_infectious_trigger	type 1 diabetes mellitus	none	not_yet_populated	No V8 evidence row populated yet for type 1 diabetes mellitus on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_Sjogren_syndrome_55	axis_10_infectious_trigger	Sjogren syndrome	none	not_yet_populated	No V8 evidence row populated yet for Sjogren syndrome on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_Hashimoto_thyroiditis_56	axis_10_infectious_trigger	Hashimoto thyroiditis	none	not_yet_populated	No V8 evidence row populated yet for Hashimoto thyroiditis on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_Graves_disease_57	axis_10_infectious_trigger	Graves disease	none	not_yet_populated	No V8 evidence row populated yet for Graves disease on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_celiac_disease_58	axis_10_infectious_trigger	celiac disease	none	not_yet_populated	No V8 evidence row populated yet for celiac disease on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_myasthenia_gravis_59	axis_10_infectious_trigger	myasthenia gravis	none	not_yet_populated	No V8 evidence row populated yet for myasthenia gravis on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_ankylosing_spondylitis_60	axis_10_infectious_trigger	ankylosing spondylitis	none	not_yet_populated	No V8 evidence row populated yet for ankylosing spondylitis on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
