axis	disease	placement	grade	confidence	primary_evidence_ids	contradiction_ids	compartment_summary	causality_summary	selection_bias_risk	notes
axis_03_microbiome	ulcerative colitis	near	provisional	medium	V8_axis_03_microbiome_ulcerative_colitis		gut microbiome	longitudinal;treatment_perturbation	high	Microbiome proximity is stronger for gut-barrier biology than for CNS lesion biology.
axis_04_lipid_lysosomal	Crohn disease	intermediate	provisional	medium	V8_axis_04_lipid_lysosomal_Crohn_disease_1;V8_axis_04_lipid_lysosomal_Crohn_disease_2		colon epithelial; colon myeloid	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	Graves disease	far	provisional	low	V8_axis_04_lipid_lysosomal_Graves_disease_1		thyroid tissue spots	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	Hashimoto thyroiditis	near	provisional	medium	V8_axis_04_lipid_lysosomal_Hashimoto_thyroiditis_1		thyroid tissue spots	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	Sjogren syndrome	far	supported	medium	V8_axis_04_lipid_lysosomal_Sjogren_syndrome_1;V8_axis_04_lipid_lysosomal_Sjogren_syndrome_2		salivary gland APC; salivary gland epithelial	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	ankylosing spondylitis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_04_lipid_lysosomal	celiac disease	intermediate	provisional	medium	V8_axis_04_lipid_lysosomal_celiac_disease_1;V8_axis_04_lipid_lysosomal_celiac_disease_2		b_plasma_like marker-classified duodenum; myeloid_apc_like marker-classified duodenum	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	myasthenia gravis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_04_lipid_lysosomal	psoriasis	intermediate	provisional	medium	V8_axis_04_lipid_lysosomal_psoriasis_1;V8_axis_04_lipid_lysosomal_psoriasis_2		skin keratinocyte	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	rheumatoid arthritis	far	provisional	low	V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_1;V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_2		blood myeloid/APC	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	systemic lupus erythematosus	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_04_lipid_lysosomal	type 1 diabetes mellitus	near	supported	medium	V8_axis_04_lipid_lysosomal_type_1_diabetes_mellitus_1;V8_axis_04_lipid_lysosomal_type_1_diabetes_mellitus_2		pancreatic acinar cell; pancreatic ductal cell	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	ulcerative colitis	near	provisional	medium	V8_axis_04_lipid_lysosomal_ulcerative_colitis_1;V8_axis_04_lipid_lysosomal_ulcerative_colitis_2		colon myeloid	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_05_complement_innate	Crohn disease	intermediate	provisional	low	V8_axis_05_complement_innate_Crohn_disease_12		intestinal mucosa	literature	high	Not upgraded without disease-specific complement statistics.
axis_05_complement_innate	Graves disease	unresolved	provisional	low	V8_axis_05_complement_innate_Graves_disease_42		none	none	high	Unresolved, not far.
axis_05_complement_innate	Hashimoto thyroiditis	unresolved	provisional	low	V8_axis_05_complement_innate_Hashimoto_thyroiditis_41		none	none	high	Unresolved, not far.
axis_05_complement_innate	Sjogren syndrome	unresolved	provisional	low	V8_axis_05_complement_innate_Sjogren_syndrome_40		none	none	high	Unresolved, not far.
axis_05_complement_innate	ankylosing spondylitis	unresolved	provisional	low	V8_axis_05_complement_innate_ankylosing_spondylitis_44		none	none	high	Unresolved, not far.
axis_05_complement_innate	celiac disease	unresolved	provisional	low	V8_axis_05_complement_innate_celiac_disease_43		none	none	high	Unresolved, not far.
axis_05_complement_innate	myasthenia gravis	near	supported	medium	V8_axis_05_complement_innate_myasthenia_gravis_14		neuromuscular junction	clinical_perturbation	medium	Near to MS only on complement effector biology; adaptive trigger and tissue target differ sharply.
axis_05_complement_innate	psoriasis	unresolved	provisional	low	V8_axis_05_complement_innate_psoriasis_38		none	none	high	Unresolved, not far.
axis_05_complement_innate	rheumatoid arthritis	intermediate	provisional	low	V8_axis_05_complement_innate_rheumatoid_arthritis_11		synovium/blood	literature	high	Synovium may be closer than blood; compartment-specific evidence needed.
axis_05_complement_innate	systemic lupus erythematosus	near	provisional	medium	V8_axis_05_complement_innate_systemic_lupus_erythematosus_10		blood/kidney/immune-complex tissue	mechanistic/literature	high	Near on complement/innate-effector axis only; SLE is not globally near MS.
axis_05_complement_innate	type 1 diabetes mellitus	unresolved	provisional	low	V8_axis_05_complement_innate_type_1_diabetes_mellitus_39		none	none	high	Unresolved, not far.
axis_05_complement_innate	ulcerative colitis	intermediate	provisional	low	V8_axis_05_complement_innate_ulcerative_colitis_13		intestinal mucosa	literature	high	Not upgraded without disease-specific complement statistics.
axis_06_tcell_adaptive_repertoire	Crohn disease	intermediate	provisional	medium	V8_axis_06_tcell_adaptive_repertoire_Crohn_disease_2		intestinal mucosa	clinical_perturbation/literature	high	Intermediate because adaptive axis overlaps but intervention direction differs by tissue/barrier context.
axis_06_tcell_adaptive_repertoire	Graves disease	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_Graves_disease_26		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	Hashimoto thyroiditis	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_Hashimoto_thyroiditis_25		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	Sjogren syndrome	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_Sjogren_syndrome_24		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	ankylosing spondylitis	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_ankylosing_spondylitis_29		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	celiac disease	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_celiac_disease_27		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	myasthenia gravis	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_myasthenia_gravis_28		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	psoriasis	near	provisional	medium	V8_axis_06_tcell_adaptive_repertoire_psoriasis_1		skin/blood	clinical_perturbation/literature	high	Near for Th17/adaptive axis, not for CNS tissue injury or treatment-response architecture.
axis_06_tcell_adaptive_repertoire	rheumatoid arthritis	intermediate	provisional	low	V8_axis_06_tcell_adaptive_repertoire_rheumatoid_arthritis_4		synovium/blood	literature	high	Compartment likely matters; synovial adaptive states are not captured by V7 blood failures.
axis_06_tcell_adaptive_repertoire	systemic lupus erythematosus	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_systemic_lupus_erythematosus_23		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	type 1 diabetes mellitus	near	provisional	medium	V8_axis_06_tcell_adaptive_repertoire_type_1_diabetes_mellitus_5		pancreatic islets/blood	genetic/literature	high	Near on adaptive specificity, not on microbiome age-window or tissue repair biology.
axis_06_tcell_adaptive_repertoire	ulcerative colitis	intermediate	provisional	medium	V8_axis_06_tcell_adaptive_repertoire_ulcerative_colitis_3		intestinal mucosa	clinical_perturbation/literature	high	Intermediate rather than near because barrier-tissue constraints dominate intervention consequences.
axis_07_treatment_response	Crohn disease	near	supported	medium	V8_axis_07_treatment_GSE16879_Crohn_disease		intestinal mucosa	treatment_perturbation	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_07_treatment_response	Graves disease	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	Hashimoto thyroiditis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	Sjogren syndrome	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	ankylosing spondylitis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	celiac disease	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	myasthenia gravis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	psoriasis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	rheumatoid arthritis	far	supported	medium	V8_axis_07_treatment_GSE12051_rheumatoid_arthritis;V8_axis_07_treatment_GSE138746_CD14_rheumatoid_arthritis;V8_axis_07_treatment_GSE8350_rheumatoid_arthritis		blood	treatment_perturbation	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_07_treatment_response	systemic lupus erythematosus	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	type 1 diabetes mellitus	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	ulcerative colitis	contradictory	supported	medium	V8_axis_07_treatment_GSE16879_ulcerative_colitis;V8_axis_07_treatment_GSE12251_ulcerative_colitis;V8_axis_07_treatment_GSE73661_IFX_ulcerative_colitis;V8_axis_07_treatment_GSE73661_VDZ_UC	V8_axis_07_treatment_GSE12251_ulcerative_colitis	intestinal mucosa	treatment_perturbation	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_08_tissue_repair_resolution	Crohn disease	near	supported	medium	V8_axis_08_tissue_repair_resolution_Crohn_disease_6		intestinal mucosa	treatment_perturbation	medium	Near on response-monitoring/repair dynamics, not on remyelination biology.
axis_08_tissue_repair_resolution	Graves disease	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_Graves_disease_34		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	Hashimoto thyroiditis	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_Hashimoto_thyroiditis_33		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	Sjogren syndrome	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_Sjogren_syndrome_32		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	ankylosing spondylitis	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_ankylosing_spondylitis_37		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	celiac disease	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_celiac_disease_35		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	myasthenia gravis	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_myasthenia_gravis_36		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	psoriasis	intermediate	provisional	low	V8_axis_08_tissue_repair_resolution_psoriasis_9		skin	literature	high	Needs psoriasis biologic response transcriptomics to upgrade.
axis_08_tissue_repair_resolution	rheumatoid arthritis	far	supported	medium	V8_axis_08_tissue_repair_resolution_rheumatoid_arthritis_8		blood/synovium	treatment_perturbation	medium	Far for blood response-monitoring architecture; RA synovial tissue repair remains less tested.
axis_08_tissue_repair_resolution	systemic lupus erythematosus	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_systemic_lupus_erythematosus_30		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	type 1 diabetes mellitus	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_type_1_diabetes_mellitus_31		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	ulcerative colitis	near	supported	medium	V8_axis_08_tissue_repair_resolution_ulcerative_colitis_7		intestinal mucosa	treatment_perturbation	medium	UC baseline prediction is contradictory; dynamic repair monitoring is the near placement.
axis_09_sex_hormonal_pregnancy	Crohn disease	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_Crohn_disease_17		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	Graves disease	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_Graves_disease_49		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	Hashimoto thyroiditis	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_Hashimoto_thyroiditis_48		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	Sjogren syndrome	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_Sjogren_syndrome_47		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	ankylosing spondylitis	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_ankylosing_spondylitis_52		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	celiac disease	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_celiac_disease_50		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	myasthenia gravis	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_myasthenia_gravis_51		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	psoriasis	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_psoriasis_45		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	rheumatoid arthritis	near	supported	medium	V8_axis_09_sex_hormonal_pregnancy_rheumatoid_arthritis_15		blood	natural_experiment	medium	Near on pregnancy modulation kinetics despite RA being far on blood treatment-response IFN/APC.
axis_09_sex_hormonal_pregnancy	systemic lupus erythematosus	near	provisional	medium	V8_axis_09_sex_hormonal_pregnancy_systemic_lupus_erythematosus_16		blood	natural_experiment	high	Outcome-specific and not a simple remission axis.
axis_09_sex_hormonal_pregnancy	type 1 diabetes mellitus	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_type_1_diabetes_mellitus_46		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	ulcerative colitis	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_ulcerative_colitis_18		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	Crohn disease	intermediate	provisional	low	V8_axis_10_infectious_trigger_Crohn_disease_21		intestinal mucosa	microbial_trigger	high	IBD is near on microbiome, not necessarily near on infectious-trigger specificity.
axis_10_infectious_trigger	Graves disease	unresolved	provisional	low	V8_axis_10_infectious_trigger_Graves_disease_57		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	Hashimoto thyroiditis	unresolved	provisional	low	V8_axis_10_infectious_trigger_Hashimoto_thyroiditis_56		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	Sjogren syndrome	unresolved	provisional	low	V8_axis_10_infectious_trigger_Sjogren_syndrome_55		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	ankylosing spondylitis	unresolved	provisional	low	V8_axis_10_infectious_trigger_ankylosing_spondylitis_60		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	celiac disease	unresolved	provisional	low	V8_axis_10_infectious_trigger_celiac_disease_58		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	myasthenia gravis	unresolved	provisional	low	V8_axis_10_infectious_trigger_myasthenia_gravis_59		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	psoriasis	unresolved	provisional	low	V8_axis_10_infectious_trigger_psoriasis_53		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	rheumatoid arthritis	intermediate	provisional	low	V8_axis_10_infectious_trigger_rheumatoid_arthritis_20		mucosa/joint/systemic immune	infectious_association	high	Intermediate because infectious-trigger architecture differs from MS.
axis_10_infectious_trigger	systemic lupus erythematosus	near	supported	medium	V8_axis_10_infectious_trigger_systemic_lupus_erythematosus_19		B cells/systemic immune	infectious_association/mechanistic	medium	SLE-EBV evidence is not equivalent to the Bjornevik-style near-necessary MS epidemiologic result.
axis_10_infectious_trigger	type 1 diabetes mellitus	unresolved	provisional	low	V8_axis_10_infectious_trigger_type_1_diabetes_mellitus_54		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	ulcerative colitis	intermediate	provisional	low	V8_axis_10_infectious_trigger_ulcerative_colitis_22		intestinal mucosa	microbial_trigger	high	UC is near on microbiome/genetics but only intermediate on EBV-like infectious-trigger biology.
