axis	disease	placement	grade	confidence	primary_evidence_ids	contradiction_ids	compartment_summary	causality_summary	selection_bias_risk	notes
axis_04_lipid_lysosomal	celiac disease	intermediate	provisional	medium	V8_axis_04_lipid_lysosomal_celiac_disease_1;V8_axis_04_lipid_lysosomal_celiac_disease_2		b_plasma_like marker-classified duodenum; myeloid_apc_like marker-classified duodenum	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_04_lipid_lysosomal	myasthenia gravis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_04_lipid_lysosomal	ankylosing spondylitis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	rheumatoid arthritis	far	supported	medium	V8_axis_07_treatment_GSE12051_rheumatoid_arthritis;V8_axis_07_treatment_GSE138746_CD14_rheumatoid_arthritis;V8_axis_07_treatment_GSE8350_rheumatoid_arthritis		blood	treatment_perturbation	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_07_treatment_response	Crohn disease	near	supported	medium	V8_axis_07_treatment_GSE16879_Crohn_disease		intestinal mucosa	treatment_perturbation	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_07_treatment_response	ulcerative colitis	contradictory	supported	medium	V8_axis_07_treatment_GSE16879_ulcerative_colitis;V8_axis_07_treatment_GSE12251_ulcerative_colitis;V8_axis_07_treatment_GSE73661_IFX_ulcerative_colitis;V8_axis_07_treatment_GSE73661_VDZ_UC	V8_axis_07_treatment_GSE12251_ulcerative_colitis	intestinal mucosa	treatment_perturbation	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.
axis_07_treatment_response	systemic lupus erythematosus	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	psoriasis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	type 1 diabetes mellitus	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	Sjogren syndrome	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	Hashimoto thyroiditis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	Graves disease	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	celiac disease	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	myasthenia gravis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
axis_07_treatment_response	ankylosing spondylitis	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.
