axis	disease	placement	grade	confidence	primary_evidence_ids	contradiction_ids	compartment_summary	causality_summary	selection_bias_risk	notes
axis_05_complement_innate	Crohn disease	intermediate	provisional	low	V8_axis_05_complement_innate_Crohn_disease_12		intestinal mucosa	literature	high	Not upgraded without disease-specific complement statistics.
axis_05_complement_innate	ulcerative colitis	intermediate	provisional	low	V8_axis_05_complement_innate_ulcerative_colitis_13		intestinal mucosa	literature	high	Not upgraded without disease-specific complement statistics.
axis_05_complement_innate	myasthenia gravis	near	supported	medium	V8_axis_05_complement_innate_myasthenia_gravis_14		neuromuscular junction	clinical_perturbation	medium	Near to MS only on complement effector biology; adaptive trigger and tissue target differ sharply.
axis_09_sex_hormonal_pregnancy	rheumatoid arthritis	near	supported	medium	V8_axis_09_sex_hormonal_pregnancy_rheumatoid_arthritis_15		blood	natural_experiment	medium	Near on pregnancy modulation kinetics despite RA being far on blood treatment-response IFN/APC.
axis_09_sex_hormonal_pregnancy	systemic lupus erythematosus	near	provisional	medium	V8_axis_09_sex_hormonal_pregnancy_systemic_lupus_erythematosus_16		blood	natural_experiment	high	Outcome-specific and not a simple remission axis.
axis_09_sex_hormonal_pregnancy	Crohn disease	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_Crohn_disease_17		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	ulcerative colitis	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_ulcerative_colitis_18		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	systemic lupus erythematosus	near	supported	medium	V8_axis_10_infectious_trigger_systemic_lupus_erythematosus_19		B cells/systemic immune	infectious_association/mechanistic	medium	SLE-EBV evidence is not equivalent to the Bjornevik-style near-necessary MS epidemiologic result.
axis_10_infectious_trigger	rheumatoid arthritis	intermediate	provisional	low	V8_axis_10_infectious_trigger_rheumatoid_arthritis_20		mucosa/joint/systemic immune	infectious_association	high	Intermediate because infectious-trigger architecture differs from MS.
axis_10_infectious_trigger	Crohn disease	intermediate	provisional	low	V8_axis_10_infectious_trigger_Crohn_disease_21		intestinal mucosa	microbial_trigger	high	IBD is near on microbiome, not necessarily near on infectious-trigger specificity.
axis_10_infectious_trigger	ulcerative colitis	intermediate	provisional	low	V8_axis_10_infectious_trigger_ulcerative_colitis_22		intestinal mucosa	microbial_trigger	high	UC is near on microbiome/genetics but only intermediate on EBV-like infectious-trigger biology.
axis_06_tcell_adaptive_repertoire	systemic lupus erythematosus	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_systemic_lupus_erythematosus_23		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	Sjogren syndrome	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_Sjogren_syndrome_24		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	Hashimoto thyroiditis	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_Hashimoto_thyroiditis_25		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	Graves disease	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_Graves_disease_26		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	celiac disease	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_celiac_disease_27		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	myasthenia gravis	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_myasthenia_gravis_28		none	none	high	Unresolved, not far.
axis_06_tcell_adaptive_repertoire	ankylosing spondylitis	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_ankylosing_spondylitis_29		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	systemic lupus erythematosus	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_systemic_lupus_erythematosus_30		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	type 1 diabetes mellitus	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_type_1_diabetes_mellitus_31		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	Sjogren syndrome	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_Sjogren_syndrome_32		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	Hashimoto thyroiditis	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_Hashimoto_thyroiditis_33		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	Graves disease	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_Graves_disease_34		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	celiac disease	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_celiac_disease_35		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	myasthenia gravis	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_myasthenia_gravis_36		none	none	high	Unresolved, not far.
axis_08_tissue_repair_resolution	ankylosing spondylitis	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_ankylosing_spondylitis_37		none	none	high	Unresolved, not far.
axis_05_complement_innate	psoriasis	unresolved	provisional	low	V8_axis_05_complement_innate_psoriasis_38		none	none	high	Unresolved, not far.
axis_05_complement_innate	type 1 diabetes mellitus	unresolved	provisional	low	V8_axis_05_complement_innate_type_1_diabetes_mellitus_39		none	none	high	Unresolved, not far.
axis_05_complement_innate	Sjogren syndrome	unresolved	provisional	low	V8_axis_05_complement_innate_Sjogren_syndrome_40		none	none	high	Unresolved, not far.
axis_05_complement_innate	Hashimoto thyroiditis	unresolved	provisional	low	V8_axis_05_complement_innate_Hashimoto_thyroiditis_41		none	none	high	Unresolved, not far.
axis_05_complement_innate	Graves disease	unresolved	provisional	low	V8_axis_05_complement_innate_Graves_disease_42		none	none	high	Unresolved, not far.
axis_05_complement_innate	celiac disease	unresolved	provisional	low	V8_axis_05_complement_innate_celiac_disease_43		none	none	high	Unresolved, not far.
axis_05_complement_innate	ankylosing spondylitis	unresolved	provisional	low	V8_axis_05_complement_innate_ankylosing_spondylitis_44		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	psoriasis	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_psoriasis_45		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	type 1 diabetes mellitus	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_type_1_diabetes_mellitus_46		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	Sjogren syndrome	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_Sjogren_syndrome_47		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	Hashimoto thyroiditis	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_Hashimoto_thyroiditis_48		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	Graves disease	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_Graves_disease_49		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	celiac disease	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_celiac_disease_50		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	myasthenia gravis	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_myasthenia_gravis_51		none	none	high	Unresolved, not far.
axis_09_sex_hormonal_pregnancy	ankylosing spondylitis	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_ankylosing_spondylitis_52		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	psoriasis	unresolved	provisional	low	V8_axis_10_infectious_trigger_psoriasis_53		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	type 1 diabetes mellitus	unresolved	provisional	low	V8_axis_10_infectious_trigger_type_1_diabetes_mellitus_54		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	Sjogren syndrome	unresolved	provisional	low	V8_axis_10_infectious_trigger_Sjogren_syndrome_55		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	Hashimoto thyroiditis	unresolved	provisional	low	V8_axis_10_infectious_trigger_Hashimoto_thyroiditis_56		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	Graves disease	unresolved	provisional	low	V8_axis_10_infectious_trigger_Graves_disease_57		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	celiac disease	unresolved	provisional	low	V8_axis_10_infectious_trigger_celiac_disease_58		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	myasthenia gravis	unresolved	provisional	low	V8_axis_10_infectious_trigger_myasthenia_gravis_59		none	none	high	Unresolved, not far.
axis_10_infectious_trigger	ankylosing spondylitis	unresolved	provisional	low	V8_axis_10_infectious_trigger_ankylosing_spondylitis_60		none	none	high	Unresolved, not far.
