gene	wave34_score	wave34_call	failed_gates	gwas_catalog_trait_count	gwas_catalog_min_p	gwas_catalog_traits	local_positive_disease_count	local_negative_disease_count	positive_diseases	residual_retained_disease_count	ms_anchor	ms_wm_delta_log2	ms_wm_p	genetics_ready_score	ot_n_diseases_score_ge_0_5	gtex_n_relevant_tissues_with_significant_cis_eqtl	druggable_activity_count	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_best_nM	clinicaltrials_autoimmune_count	europepmc_autoimmune_hit_count	perturbation_or_model_support	foundation_rescue_recommendation	foundation_real_perturbation_alignment_call	manual_blocker_class	manual_blocker_text_wave34	proxy_call	primary_blocker
TAP2	19.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	13	1e-237	ACPA-positive rheumatoid arthritis (smoking interaction);Hypothyroidism or rheumatoid arthritis (pleiotropy);Psoriasis;Rheumatoid arthritis or inflammatory bowel disease;Rheumatoid arthritis or multiple sclerosis;Rheumatoid arthritis or type 1 diabetes;Severe COVID-19 or rheumatoid arthritis (MTAG);Severe COVID-19 or systemic lupus erythematosus (MTAG);Thionamide-induced agranulocytosis in Graves' disease;Type 1 diabetes (age at diagnosis);Type 1 diabetes and autoimmune thyroid diseases;Ulcerative colitis (PheCode 555.2);Ulcerative colitis (Tractor method with European ancestry)	3.0	0.0	Crohn disease;Sjogren syndrome;ulcerative colitis	0.0	False	-0.2045804339316852	0.2518447461681646				0.0	CHEMBL6067543	Antigen peptide transporter 2	SINGLE PROTEIN		0.0	1471.0	False						
PSMA6	19.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	12	7e-21	Atopic dermatitis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Crohn's disease x sex interaction (2df);Inflammatory skin disease;Psoriasis;Psoriasis (PheCode 696.4);Psoriasis and related disorder (PheCode 696);Psoriasis or type 2 diabetes (trans-disease meta-analysis);Psoriasis or type 2 diabetes (trans-disease meta-analysis)(opposite effect);Psoriasis vulgaris;Psoriasis vulgaris (PheCode 696.41)	3.0	0.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0	False	0.2671442154267183	0.5277503368681071				0.0	CHEMBL6067562	Proteasome subunit alpha type-6	SINGLE PROTEIN		0.0	252.0	False						
PTPRC	19.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	12	2e-14	Celiac disease and Rheumatoid arthritis;Crohn's disease;Graves' disease;Inflammatory bowel disease;Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive);Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG);Type 1 diabetes;Ulcerative colitis;Vitiligo	3.0	0.0	Crohn disease;Sjogren syndrome;ulcerative colitis	0.0	False	-0.113124324622241	0.4867941866985115				0.0	CHEMBL3243	Receptor-type tyrosine-protein phosphatase C	SINGLE PROTEIN		2.0	4095.0	False						
YDJC	19.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	12	3e-27	Celiac disease;Celiac disease and Rheumatoid arthritis;Celiac disease or Rheumatoid arthritis;Crohn's disease;Inflammatory bowel disease;Psoriasis;Psoriasis vulgaris;Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive);Systemic lupus erythematosus;Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies);Ulcerative colitis	3.0	0.0	Crohn disease;Sjogren syndrome;psoriasis	0.0	False	-0.7242807720264928	0.3631895728797831				0.0					0.0	96.0	False						
CARMIL1	19.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	9	1e-19	Bipolar disorder or Crohn's disease (MTAG);Bipolar disorder or inflammatory bowel disease (MTAG);FEV1 or inflammatory bowel disease (pleiotropy);Inflammatory bowel disease;Inflammatory bowel disease x sex interaction (2df);Psoriasis;Rheumatoid arthritis or type 1 diabetes;Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG)	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	False						0.0					0.0	57.0	False						
PRR5L	19.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	9	5e-81	Atopic dermatitis;Crohn's disease;Inflammatory bowel disease;Inflammatory skin disease;Multiple sclerosis;Persistence with methotrexate treatment at three years in early rheumatoid arthritis;Psoriasis;Psoriasis (PheCode 696.4);Rheumatoid arthritis	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	False	0.1536934936140479	0.8458030107029857				0.0					0.0	116.0	False						
PSMB9	19.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	9	9e-59	COVID-19 hospitalization or rheumatoid arthritis (MTAG);Coeliac disease;Crohn's disease;Hunner-type interstitial cystitis or rheumatoid arthritis (MTAG);Hypothyroidism or rheumatoid arthritis (pleiotropy);Psoriasis;Rheumatoid arthritis or type 1 diabetes;Severe COVID-19 or rheumatoid arthritis (MTAG);Systemic lupus erythematosus	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	False	0.190866327196213	0.5086829338396407				0.0	CHEMBL1944495	Proteasome subunit beta type-9	SINGLE PROTEIN		0.0	1086.0	False						
PRDM1	19.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	8	6e-39	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Crohn's disease x sex interaction (2df);Inflammatory bowel disease;Inflammatory bowel disease (MTAG);Sjögren's syndrome;Systemic lupus erythematosus;Ulcerative colitis	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	False	-0.0411396810451609	0.9031141115364548				0.0	CHEMBL5214860	PR domain zinc finger protein 1	SINGLE PROTEIN		0.0	2781.0	False						
IL7R	18.5	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model;gate_not_prior_art_blocked	13	3e-99	Ankylosing spondylitis;Atopic dermatitis;Autoimmune thyroid disease;Multiple sclerosis;Multiple sclerosis (MTAG);Primary biliary cholangitis;Primary biliary cirrhosis;Psoriasis;Skin condition (ex. Eczema, Psoriasis);Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG);Type 1 diabetes;Ulcerative colitis	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	2.0	False	-0.6536992297096775	0.5724603142052797	0.0	0.0	0.0	0.0					7.0	4454.0	False	do_not_promote	no_rescue			NO_GO_CAUSAL_PROXY	no_target_resolved_coloc_or_mr
PHTF1	18.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	23	4e-161	Age of onset of type 1 diabetes;Celiac disease and Rheumatoid arthritis;Crohn's disease;Graves' disease;Hypothyroidism or rheumatoid arthritis (pleiotropy);Insulin-dependent diabetes mellitus;Lymphocytic thyroiditis;Pediatric autoimmune diseases;Rheumatoid arthritis;Rheumatoid arthritis (MTAG);Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Rheumatoid arthritis or inflammatory bowel disease;Rheumatoid arthritis or multiple sclerosis;Systemic lupus erythematosus;Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies);Type 1 diabetes;Type 1 diabetes (PheCode 250.1);Type 1 diabetes and autoimmune thyroid diseases;Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event);Type 1 diabetes with ketoacidosis (PheCode 250.11);Type 1 diabetes with ophthalmic manifestations (PheCode 250.13);Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS));Vitiligo (PheCode 694.1)	2.0	0.0	Crohn disease;psoriasis	0.0	False	-0.1212720079658193	0.6676632545363278				0.0					0.0	102.0	False						
ARID5B	18.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	13	2e-31	Autoimmune thyroid disease;B-cell lymphoblastic leukemia or rheumatoid arthritis (pleiotropy);Cholangiocarcinoma in primary sclerosing cholangitis (time to event);Graves' disease;Hypothyroidism or rheumatoid arthritis (pleiotropy);Lymphocytic thyroiditis;Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive);Rheumatoid arthritis (MTAG);Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG);Vitiligo	1.0	0.0	psoriasis	0.0	True	0.6326873195137814	0.075697519230288				0.0					0.0	406.0	False						
RAD51B	18.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	gate_druggable_surface;gate_perturbation_or_model	13	4e-17	Autoimmune thyroid disease;Graves' disease;Hypothyroidism or rheumatoid arthritis (pleiotropy);Multiple sclerosis;Primary biliary cholangitis;Primary biliary cirrhosis;Response to TNF inhibitor in rheumatoid arthritis (change in swollen 28-joint count);Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive);Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG);Type 1 diabetes	1.0	0.0	type 1 diabetes mellitus	0.0	True	0.5328164940259636	0.0994867490177902				0.0					0.0	351.0	False						
FUT2	18.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	11	1e-20	COVID-19 hospitalization or systemic lupus erythematosus (MTAG);COVID-19 infection or systemic lupus erythematosus (MTAG);Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Inflammatory bowel disease;Multiple sclerosis;Pediatric autoimmune diseases;Primary sclerosing cholangitis;Psoriasis;Severe COVID-19 or systemic lupus erythematosus (MTAG);Type 1 diabetes	2.0	0.0	psoriasis;type 1 diabetes mellitus	0.0	False	0.1409120181722947	0.8796651389642105				0.0	CHEMBL4105777	Galactoside alpha-(1,2)-fucosyltransferase 2	SINGLE PROTEIN		0.0	1196.0	False						
RBM17	18.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	11	5e-107	Atopic dermatitis;Crohn's disease;Multiple sclerosis;Multiple sclerosis (MTAG);Rheumatoid arthritis;Rheumatoid arthritis or type 1 diabetes;Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG);Takes medication for Skin condition (ex. Eczema, Psoriasis)?;Type 1 diabetes;Vitiligo	2.0	0.0	Crohn disease;psoriasis	0.0	False	-0.2093395955573118	0.0855461740295809				0.0	CHEMBL4680038	Splicing factor 45	SINGLE PROTEIN		0.0	125.0	False						
ERAP1	18.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	10	6e-54	Acute anterior uveitis (with or without ankylosing spondylitis);Acute anterior uveitis in ankylosing spondylitis;Ankylosing spondylitis;Ankylosing spondylitis (SNP x SNP interaction);Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Inflammatory bowel disease;Inflammatory skin disease;Psoriasis;Psoriasis or type 2 diabetes (trans-disease meta-analysis);Psoriasis vulgaris	2.0	0.0	Crohn disease;ulcerative colitis	0.0	False	-0.4495294754619259	0.0342136449797786				0.0	CHEMBL5939	Endoplasmic reticulum aminopeptidase 1	SINGLE PROTEIN		1.0	1281.0	False						
FADS2	18.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	10	2e-16	Atopic dermatitis;Bipolar disorder or Crohn's disease (MTAG);Bipolar disorder or inflammatory bowel disease (MTAG);Crohn's disease;Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Rheumatoid arthritis;Type 1 diabetes;Ulcerative colitis;Vitiligo	2.0	0.0	Crohn disease;ulcerative colitis	0.0	False	-1.511731792716413	0.1303764679615833				0.0	CHEMBL6097	Acyl-CoA 6-desaturase	SINGLE PROTEIN		0.0	902.0	False						
HCG27	18.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	10	2e-208	Bipolar disorder or Crohn's disease (MTAG);Graves' disease;Hunner-type interstitial cystitis or rheumatoid arthritis (MTAG);Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Lupus nephritis in systemic lupus erythematosus;Psoriasis;Rheumatoid arthritis or inflammatory bowel disease;Rheumatoid arthritis or type 1 diabetes;Ulcerative colitis	2.0	0.0	Crohn disease;type 1 diabetes mellitus	0.0	False	-0.0357099168737971	0.973784109060342				0.0					0.0	104.0	False						
ITPR3	18.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	10	1e-36	COVID-19 hospitalization or rheumatoid arthritis (MTAG);Coeliac disease;Crohn's disease;Graves' disease;Multiple sclerosis and body mass index (pleiotropy);Psoriasis;Rheumatoid arthritis or type 1 diabetes;Severe COVID-19 or rheumatoid arthritis (MTAG);Type 1 diabetes (PheCode 250.1);Vitiligo	2.0	0.0	type 1 diabetes mellitus;ulcerative colitis	0.0	False	-0.4706643486151032	0.4260857806918434				0.0	CHEMBL3904	Inositol 1,4,5-trisphosphate-gated calcium channel ITPR3	SINGLE PROTEIN		0.0	425.0	False						
TNFSF15	18.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	10	4e-142	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Crohn's disease or Leprosy (opposite effect);Inflammatory bowel disease;Inflammatory bowel disease (MTAG);Palmoplantar pustulosis;Pediatric autoimmune diseases;Primary biliary cholangitis;Ulcerative colitis;Ulcerative colitis or Crohn's disease	2.0	0.0	psoriasis;ulcerative colitis	0.0	False	0.3944092138441286	0.7556576392930524				0.0					1.0	1328.0	False						
CARD9	18.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	9	4e-56	Ankylosing spondylitis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Inflammatory bowel disease;Inflammatory bowel disease (MTAG);Joint damage in rheumatoid arthritis;Pediatric autoimmune diseases;Ulcerative colitis;Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))	2.0	0.0	psoriasis;type 1 diabetes mellitus	0.0	False	-0.4691972101237329	0.13197995180624	0.0	0.0	0.0	0.0					2.0	2160.0	False					NO_GO_CAUSAL_PROXY	no_target_resolved_coloc_or_mr
CDKAL1	18.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model	9	2e-20	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Inflammatory bowel disease;Inflammatory bowel disease (MTAG);Psoriasis;Psoriasis or type 2 diabetes (trans-disease meta-analysis);Psoriasis or type 2 diabetes (trans-disease meta-analysis)(opposite effect);Psoriasis vulgaris;Ulcerative colitis	2.0	0.0	Crohn disease;type 1 diabetes mellitus	0.0	False	-0.6895238072804037	0.4020741645624514				0.0					0.0	787.0	False						
