check	command	returncode	overall_status	n_fail	stdout_json	stderr	preflight_status
external_intake_one_page_checklist_freshness	scripts/v48_external_intake_one_page_checklist_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 33, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 external intake one-page checklist freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_intake_audit_log_template_freshness	scripts/v48_source_intake_audit_log_template_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 32, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-intake audit log template freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_intake_decision_error_taxonomy_freshness	scripts/v48_source_intake_decision_error_taxonomy_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 32, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-intake decision error taxonomy freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_intake_reproducibility_checklist_freshness	scripts/v48_source_intake_reproducibility_checklist_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 32, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-intake reproducibility checklist freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_intake_stop_go_scorecard_freshness	scripts/v48_source_intake_stop_go_scorecard_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 32, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-intake stop/go scorecard freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_intake_reviewer_handoff_checklist_freshness	scripts/v48_source_intake_reviewer_handoff_checklist_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 32, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-intake reviewer handoff checklist freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_intake_controls_coverage_freshness	scripts/v48_source_intake_controls_coverage_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 32, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-intake controls coverage freshness lint; governance/navigation only; no biological claim"", ""synthetic"": false}"		PASS
active_time_accounting_audit_freshness	scripts/v48_active_time_accounting_audit_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 25, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 active-time accounting audit freshness lint; governance/navigation only; no biological claim"", ""synthetic"": false}"		PASS
relationship_row_candidate_template_freshness	scripts/v48_relationship_row_candidate_template_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 33, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 relationship-row candidate template freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
contradiction_triage_mini_template_freshness	scripts/v48_contradiction_triage_mini_template_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 27, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 contradiction triage mini-template freshness lint; template/navigation only; no biological claim"", ""synthetic"": false}"		PASS
external_claim_length	scripts/v48_external_claim_length_linter.py lint	0	PASS	0	"{""n_checks"": 210, ""n_fail"": 0, ""n_records"": 47, ""overall_status"": ""PASS"", ""purpose"": ""V48 external claim-length safety lint; copyright/provenance hygiene only; no claim validation"", ""synthetic"": false}"		PASS
governance_navigation_freshness	scripts/v48_governance_navigation_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 3, ""n_fail"": 0, ""n_navigation_rows"": 95, ""n_preflight_checks"": 65, ""overall_status"": ""PASS"", ""purpose"": ""V48 governance-navigation freshness lint; navigation control only; no biological claim"", ""synthetic"": false}"		PASS
preflight_summary_card_freshness	scripts/v48_preflight_summary_card_freshness_linter.py lint	0	PASS	0	"{""n_card_commands"": 5, ""n_card_components"": 5, ""n_checks"": 36, ""n_expected_commands"": 5, ""n_expected_components"": 5, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 preflight summary card freshness lint; handoff/navigation only; no biological claim"", ""synthetic"": false}"		PASS
convergence_executive_card_freshness	scripts/v48_convergence_executive_card_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 52, ""n_expected_metrics"": 9, ""n_fail"": 0, ""n_observed_metrics"": 9, ""overall_status"": ""PASS"", ""purpose"": ""V48 convergence executive-card freshness lint; synthesis/navigation only; no biological claim"", ""synthetic"": false}"		PASS
support_contradiction_coverage	scripts/v48_support_contradiction_coverage_linter.py lint	0	PASS	0	"{""lint"": ""analysis/v48_support_contradiction_coverage_linter/support_contradiction_coverage_lint.tsv"", ""n_checks"": 18, ""n_fail"": 0, ""n_support_or_contradiction_records"": 6, ""overall_status"": ""PASS"", ""purpose"": ""V48 support/contradiction convergence coverage lint; no biological claim"", ""synthetic"": false}"		PASS
contradiction_intake	scripts/v48_contradiction_intake_linter.py lint	0	PASS	0	"{""lint"": ""analysis/v48_contradiction_intake_linter/contradiction_intake_lint.tsv"", ""n_checks"": 1, ""n_contradiction_records"": 0, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 contradiction-intake lint; queueing/provenance only; no claim validation"", ""synthetic"": false}"		PASS
relationship_matrix_data_dictionary_freshness	scripts/v48_relationship_matrix_data_dictionary_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 108, ""n_expected_fields"": 15, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 relationship-matrix data dictionary freshness lint; navigation/schema only; no biological claim"", ""synthetic"": false}"		PASS
contradiction_readiness_freshness	scripts/v48_contradiction_readiness_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 27, ""n_current_contradictions"": 0, ""n_fail"": 0, ""n_matrix_rows"": 23, ""n_playbook_rows"": 4, ""overall_status"": ""PASS"", ""purpose"": ""V48 contradiction readiness playbook freshness lint; governance/navigation only; no biological claim"", ""synthetic"": false}"		PASS
contradiction_surveillance_freshness	scripts/v48_contradiction_surveillance_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 81, ""n_expected_rows"": 7, ""n_fail"": 0, ""n_observed_rows"": 7, ""overall_status"": ""PASS"", ""purpose"": ""V48 contradiction surveillance checklist freshness lint; future intake/navigation only; no biological claim"", ""synthetic"": false}"		PASS
unresolved_external_coverage_handoff_freshness	scripts/v48_unresolved_external_coverage_handoff_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 210, ""n_expected_actions"": 23, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 unresolved external coverage handoff freshness lint; work-queue/navigation only; no biological claim"", ""synthetic"": false}"		PASS
convergence_matrix_coverage	scripts/v48_convergence_matrix_coverage_linter.py lint	0	PASS	0	"{""lint"": ""/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_convergence_matrix_coverage_linter/convergence_matrix_coverage_lint.tsv"", ""n_fail"": 0, ""n_matrix_rows"": 23, ""n_required_findings"": 10, ""overall_status"": ""PASS"", ""purpose"": ""V48 convergence matrix coverage lint; no biological claim"", ""synthetic"": false}"		PASS
future_grounding_queue_freshness	scripts/v48_future_grounding_queue_freshness_linter.py lint	0	PASS	0	"{""lint"": ""/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_future_grounding_queue_freshness_linter/future_grounding_queue_freshness_lint.tsv"", ""n_checks"": 23, ""n_fail"": 0, ""n_matrix_followups"": 23, ""n_queue_rows"": 23, ""overall_status"": ""PASS"", ""purpose"": ""V48 future-grounding queue freshness lint; no biological claim"", ""synthetic"": false}"		PASS
resource_comparator_freshness	scripts/v48_resource_comparator_freshness_linter.py lint	0	PASS	0	"{""lint"": ""/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_resource_comparator_freshness_linter/resource_comparator_freshness_lint.tsv"", ""n_checks"": 31, ""n_fail"": 0, ""n_matrix_rows"": 31, ""n_resource_records"": 31, ""overall_status"": ""PASS"", ""purpose"": ""V48 resource comparator freshness lint; navigation only"", ""synthetic"": false}"		PASS
convergence_status_vocabulary	scripts/v48_convergence_status_vocabulary_linter.py lint	0	PASS	0	"{""lint"": ""/Users/soeren.leibach/Projects/ms-auto-research/analysis/v48_convergence_status_vocabulary_linter/convergence_status_vocabulary_lint.tsv"", ""n_checks"": 53, ""n_fail"": 0, ""n_matrix_rows"": 23, ""overall_status"": ""PASS"", ""purpose"": ""V48 convergence status vocabulary lint; no biological claim"", ""synthetic"": false}"		PASS
project_finding_reference	scripts/v48_project_finding_reference_linter.py lint	0	PASS	0	"{""lint"": ""analysis/v48_project_finding_reference_linter/project_finding_reference_lint.tsv"", ""n_checks"": 30, ""n_fail"": 0, ""n_linked_external_records"": 6, ""overall_status"": ""PASS"", ""purpose"": ""V48 project finding reference lint; no biological claim"", ""synthetic"": false}"		PASS
source_domain_review_freshness	scripts/v48_source_domain_review_freshness_linter.py lint	0	PASS	0	"{""lint"": ""analysis/v48_source_domain_review_freshness_linter/source_domain_review_freshness_lint.tsv"", ""n_checks"": 141, ""n_current_records"": 47, ""n_fail"": 0, ""n_review_rows"": 47, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-domain review freshness lint; maintenance/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_domain_relationship_freshness	scripts/v48_source_domain_relationship_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 203, ""n_expected_domains"": 29, ""n_fail"": 0, ""n_rollup_domains"": 29, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-domain relationship rollup freshness lint; navigation/synthesis only; no biological claim"", ""synthetic"": false}"		PASS
source_domain_independence_freshness	scripts/v48_source_domain_independence_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 133, ""n_expected_domains"": 9, ""n_fail"": 0, ""n_observed_domains"": 9, ""overall_status"": ""PASS"", ""purpose"": ""V48 source-domain independence rollup freshness lint; provenance/navigation only; no biological claim"", ""synthetic"": false}"		PASS
source_url_duplicate_freshness	scripts/v48_source_url_duplicate_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 13, ""n_expected_duplicate_urls"": 3, ""n_fail"": 0, ""n_review_duplicate_urls"": 3, ""overall_status"": ""PASS"", ""purpose"": ""V48 source URL duplicate review freshness lint; source maintenance only; no claim validation"", ""synthetic"": false}"		PASS
external_synthesis_dependency_freshness	scripts/v48_external_synthesis_dependency_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 1772, ""n_expected_edges"": 224, ""n_expected_nodes"": 47, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 external synthesis dependency graph freshness lint; governance/navigation only; no biological claim"", ""synthetic"": false}"		PASS
evidence_boundary_glossary_freshness	scripts/v48_evidence_boundary_glossary_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 227, ""n_expected_boundaries"": 28, ""n_fail"": 0, ""overall_status"": ""PASS"", ""purpose"": ""V48 evidence-boundary glossary freshness lint; governance/navigation only; no biological claim"", ""synthetic"": false}"		PASS
v37_coverage_freshness	scripts/v48_v37_coverage_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 3, ""n_coverage_rows"": 32, ""n_fail"": 0, ""n_matrix_rows"": 23, ""n_v37_rows"": 32, ""overall_status"": ""PASS"", ""purpose"": ""V48 V37 coverage freshness lint; navigation/synthesis only; no biological claim"", ""synthetic"": false}"		PASS
v37_uncovered_rationale_freshness	scripts/v48_v37_uncovered_rationale_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 3, ""n_fail"": 0, ""n_rationale_rows"": 9, ""n_uncovered_expected"": 9, ""overall_status"": ""PASS"", ""purpose"": ""V48 V37 uncovered-rationale freshness lint; synthesis/navigation only; no biological claim"", ""synthetic"": false}"		PASS
v37_gap_priority_freshness	scripts/v48_v37_gap_priority_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 139, ""n_expected_rows"": 9, ""n_fail"": 0, ""n_high_priority"": 0, ""n_observed_rows"": 9, ""overall_status"": ""PASS"", ""purpose"": ""V48 V37 external coverage gap priority freshness lint; sourcing/navigation only; no biological claim"", ""synthetic"": false}"		PASS
decision_relevant_convergence_freshness	scripts/v48_decision_relevant_convergence_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 86, ""n_expected_shortlist_rows"": 7, ""n_fail"": 0, ""n_shortlist_rows"": 7, ""overall_status"": ""PASS"", ""purpose"": ""V48 decision-relevant convergence shortlist freshness lint; synthesis/navigation only; no biological claim"", ""synthetic"": false}"		PASS
convergence_source_independence_freshness	scripts/v48_convergence_source_independence_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 231, ""n_expected_rows"": 23, ""n_fail"": 0, ""n_observed_rows"": 23, ""overall_status"": ""PASS"", ""purpose"": ""V48 convergence source-independence freshness lint; synthesis/navigation only; no biological claim"", ""synthetic"": false}"		PASS
governance_failure_mode_freshness	scripts/v48_governance_failure_mode_freshness_linter.py lint	0	PASS	0	"{""n_checks"": 476, ""n_fail"": 0, ""n_matrix_rows"": 95, ""n_navigation_rows"": 95, ""overall_status"": ""PASS"", ""purpose"": ""V48 governance failure-mode matrix freshness lint; governance/navigation only; no biological claim"", ""synthetic"": false}"		PASS
