comparator	region	chr	start	end	ms_lead	comparator_lead	ms_lead_p	comparator_lead_p	n_ms_region_rows	n_comparator_region_rows	n_shared_snps	top_shared_snp	top_shared_position	top_shared_p1	top_shared_p2	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	call	n_protein_coding_genes	protein_coding_genes
Crohn	6:30793436-32087042	6	30793436	32087042	rs34756687	rs140054334	4.95108e-21	2.56602e-08	10411	4351	1267	rs3130342	32080146	1e-200	0.2631	2.3994780291339606e-293	3.5398997830475502e-06	6.778353681509628e-288	0.9999963505657178	1.0953450270320575e-07	distinct_causal_variants_supported	75	ABHD16A;AIF1;AL645922.1;APOM;ATF6B;ATP6V1G2;ATP6V1G2-DDX39B;BAG6;C2;C4A;C4B;C6orf15;C6orf25;C6orf47;C6orf48;CCHCR1;CDSN;CFB;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;CYP21A2;DDAH2;DDR1;DDX39B;DPCR1;DXO;EHMT2;GPANK1;GTF2H4;HCG27;HLA-B;HLA-C;HSPA1A;HSPA1B;HSPA1L;LSM2;LST1;LTA;LTB
Crohn	6:30793436-32128397	6	30793436	32128397	rs34756687	rs148844907	4.95108e-21	1.47096e-11	10483	4398	1267	rs3130342	32080146	1e-200	0.2631	2.3994780291339606e-293	3.5398997830475502e-06	6.778353681509628e-288	0.9999963505657178	1.0953450270320575e-07	distinct_causal_variants_supported	79	ABHD16A;AIF1;AL645922.1;APOM;ATF6B;ATP6V1G2;ATP6V1G2-DDX39B;BAG6;C2;C4A;C4B;C6orf15;C6orf25;C6orf47;C6orf48;CCHCR1;CDSN;CFB;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;CYP21A2;DDAH2;DDR1;DDX39B;DPCR1;DXO;EHMT2;FKBPL;GPANK1;GTF2H4;HCG27;HLA-B;HLA-C;HSPA1A;HSPA1B;HSPA1L;LSM2;LST1;LTA
Crohn	6:30851940-32035539	6	30851940	32035539	rs17200740	rs114607072	1.83502e-10	2.19685e-12	10117	4097	1208	rs3130285	32026257	1e-200	0.0187802	2.4241603249600863e-287	3.54015508993532e-06	6.847580058755698e-282	0.9999955500916359	9.097532533629815e-07	distinct_causal_variants_supported	74	ABHD16A;AIF1;AL645922.1;APOM;ATP6V1G2;ATP6V1G2-DDX39B;BAG6;C2;C4A;C4B;C6orf15;C6orf25;C6orf47;C6orf48;CCHCR1;CDSN;CFB;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;CYP21A2;DDAH2;DDR1;DDX39B;DPCR1;DXO;EHMT2;GPANK1;GTF2H4;HCG27;HLA-B;HLA-C;HSPA1A;HSPA1B;HSPA1L;LSM2;LST1;LTA;LTB;LY6G5B
Crohn	6:31035539-32087042	6	31035539	32087042	rs17200740	rs140054334	1.83502e-10	2.56602e-08	8997	3834	1257	rs3130342	32080146	1e-200	0.2631	2.399478035365827e-293	3.539899792241292e-06	6.778353681509628e-288	0.9999963505657178	1.095345029876861e-07	distinct_causal_variants_supported	68	ABHD16A;AIF1;AL645922.1;APOM;ATF6B;ATP6V1G2;ATP6V1G2-DDX39B;BAG6;C2;C4A;C4B;C6orf15;C6orf25;C6orf47;C6orf48;CCHCR1;CDSN;CFB;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;CYP21A2;DDAH2;DDX39B;DXO;EHMT2;GPANK1;HCG27;HLA-B;HLA-C;HSPA1A;HSPA1B;HSPA1L;LSM2;LST1;LTA;LTB;LY6G5B;LY6G5C;LY6G6C
Crohn	6:31035539-32128397	6	31035539	32128397	rs17200740	rs148844907	1.83502e-10	1.47096e-11	9069	3881	1257	rs3130342	32080146	1e-200	0.2631	2.399478035365827e-293	3.539899792241292e-06	6.778353681509628e-288	0.9999963505657178	1.095345029876861e-07	distinct_causal_variants_supported	72	ABHD16A;AIF1;AL645922.1;APOM;ATF6B;ATP6V1G2;ATP6V1G2-DDX39B;BAG6;C2;C4A;C4B;C6orf15;C6orf25;C6orf47;C6orf48;CCHCR1;CDSN;CFB;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;CYP21A2;DDAH2;DDX39B;DXO;EHMT2;FKBPL;GPANK1;HCG27;HLA-B;HLA-C;HSPA1A;HSPA1B;HSPA1L;LSM2;LST1;LTA;LTB;LY6G5B;LY6G5C
Crohn	6:31128397-32626002	6	31128397	32626002	rs3134603	rs148844907	1e-200	1.47096e-11	14139	12926	2511	rs8227	32610757	1e-200	0.1788	5.637247032527835e-299	3.5397406390049e-06	1.592553502481462e-293	0.99999633141308	1.2884627800883145e-07	distinct_causal_variants_supported	80	ABHD16A;AGER;AGPAT1;AIF1;AL645922.1;APOM;ATF6B;ATP6V1G2;ATP6V1G2-DDX39B;BAG6;BTNL2;C2;C4A;C4B;C6orf10;C6orf25;C6orf47;C6orf48;CFB;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;CYP21A2;DDAH2;DDX39B;DXO;EGFL8;EHMT2;FKBPL;GPANK1;GPSM3;HCG27;HLA-B;HLA-C;HLA-DQA1;HLA-DRA;HLA-DRB1;HLA-DRB5;HSPA1A;HSPA1B
UC	1:1972081-3020527	1	1972081	3020527	rs6670198	rs1886731	2.02908e-16	2.25398e-10	2313	4731	1973	rs60389769	2717470	5.11446e-16	1.43999e-06	3.6260679738262684e-16	2.636473198616173e-05	1.3672998836375724e-11	0.9941425201298074	0.005831115124530294	distinct_causal_variants_supported	18	ACTRT2;AL589739.1;AL590822.1;AL590822.2;C1orf86;FAM213B;HES5;MMEL1;MORN1;PANK4;PEX10;PLCH2;PRDM16;PRKCZ;RER1;SKI;TNFRSF14;TTC34
UC	1:200375242-201375897	1	200375242	201375897	rs59655222	rs12132349	3.75837e-11	9.32395e-12	2631	4292	2397	rs12132349	200875242	3.79577e-11	9.32395e-12	5.533701475896513e-14	1.9211039048713846e-08	4.904227875733914e-08	0.016041772924593672	0.983958158822033	shared_causal_variant_supported	15	ASCL5;C1orf106;CACNA1S;CAMSAP2;DDX59;GPR25;IGFN1;KIF14;KIF21B;LAD1;PKP1;TMEM9;TNNI1;TNNT2;ZNF281
UC	2:60689469-61742410	2	60689469	61742410	rs1177228	rs10182512	8.56702e-09	5.19398e-13	1698	3282	1528	rs7562347	61209875	1.438e-07	6.48336e-12	1.2744275447343514e-10	1.0253489667481368e-07	0.0006411307384173383	0.5153418869960971	0.48401687960314793	unresolved_coloc	10	AHSA2;BCL11A;C2orf74;KIAA1841;PAPOLG;PEX13;PUS10;REL;USP34;XPO1
UC	5:39896425-40944986	5	39896425	40944986	rs11749040	rs114152040	3.53997e-17	4.94903e-08	2765	4655	2470	rs56244034	40376159	4.17927e-17	6.82999e-07	8.328730254998382e-16	0.0003381940831055687	1.648389020415809e-13	0.06600036046337847	0.9336614454533481	shared_causal_variant_supported	6	C7;CARD6;PRKAA1;PTGER4;RPL37;TTC33
UC	5:158259900-159327769	5	158259900	159327769	rs2546890	rs56167332	1.03896e-12	5.29907e-11	2351	4018	2153	rs6871626	158826792	0.00594497	3.99393e-11	1.5503374031360886e-11	1.1714582323639677e-05	1.3234073680446667e-06	0.9999864882292839	4.737655196888816e-07	distinct_causal_variants_supported	4	EBF1;IL12B;RNF145;UBLCP1
UC	6:30793436-32128397	6	30793436	32128397	rs34756687	rs148844907	4.95108e-21	7.17464e-35	10483	4555	1267	rs3130342	32080146	1e-200	5.75043e-11	7.58634274036424e-310	1.119197287688126e-22	6.778378418014107e-288	1.0	2.2225357563275267e-15	distinct_causal_variants_supported	79	ABHD16A;AIF1;AL645922.1;APOM;ATF6B;ATP6V1G2;ATP6V1G2-DDX39B;BAG6;C2;C4A;C4B;C6orf15;C6orf25;C6orf47;C6orf48;CCHCR1;CDSN;CFB;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;CYP21A2;DDAH2;DDR1;DDX39B;DPCR1;DXO;EHMT2;FKBPL;GPANK1;GTF2H4;HCG27;HLA-B;HLA-C;HSPA1A;HSPA1B;HSPA1L;LSM2;LST1;LTA
UC	6:31035539-32128397	6	31035539	32128397	rs17200740	rs148844907	1.83502e-10	7.17464e-35	9069	4023	1257	rs3130342	32080146	1e-200	5.75043e-11	7.58634274036424e-310	1.119197287688126e-22	6.778378418014107e-288	1.0	2.2225357563275267e-15	distinct_causal_variants_supported	72	ABHD16A;AIF1;AL645922.1;APOM;ATF6B;ATP6V1G2;ATP6V1G2-DDX39B;BAG6;C2;C4A;C4B;C6orf15;C6orf25;C6orf47;C6orf48;CCHCR1;CDSN;CFB;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;CYP21A2;DDAH2;DDX39B;DXO;EHMT2;FKBPL;GPANK1;HCG27;HLA-B;HLA-C;HSPA1A;HSPA1B;HSPA1L;LSM2;LST1;LTA;LTB;LY6G5B;LY6G5C
UC	6:31128397-32626002	6	31128397	32626002	rs3134603	rs148844907	1e-200	7.17464e-35	14139	13066	2511	rs8227	32610757	1e-200	8.26228e-14	0.0	3.8380413753060213e-44	1.5925593447187112e-293	1.0	3.787891771360302e-34	distinct_causal_variants_supported	80	ABHD16A;AGER;AGPAT1;AIF1;AL645922.1;APOM;ATF6B;ATP6V1G2;ATP6V1G2-DDX39B;BAG6;BTNL2;C2;C4A;C4B;C6orf10;C6orf25;C6orf47;C6orf48;CFB;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;CYP21A2;DDAH2;DDX39B;DXO;EGFL8;EHMT2;FKBPL;GPANK1;GPSM3;HCG27;HLA-B;HLA-C;HLA-DQA1;HLA-DRA;HLA-DRB1;HLA-DRB5;HSPA1A;HSPA1B
UC	6:31626002-32985467	6	31626002	32985467	rs3134603	rs113473719	1e-200	1.10688e-21	11485	12647	2562	rs8227	32610757	1e-200	8.26228e-14	0.0	3.8380413753060213e-44	1.5925593447187112e-293	1.0	3.787891771360302e-34	distinct_causal_variants_supported	72	ABHD16A;AGER;AGPAT1;AL645922.1;ATF6B;BRD2;BTNL2;C2;C4A;C4B;C6orf10;C6orf25;C6orf47;C6orf48;CFB;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;CYP21A2;DDAH2;DXO;EGFL8;EHMT2;FKBPL;GPANK1;GPSM3;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;HSPA1A;HSPA1B;HSPA1L
UC	6:31626002-33106385	6	31626002	33106385	rs3134603	rs9272514	1e-200	4.00129e-51	13004	12891	2581	rs8227	32610757	1e-200	8.26228e-14	0.0	3.8380413753060213e-44	1.5925593447187112e-293	1.0	3.787891771360302e-34	distinct_causal_variants_supported	74	ABHD16A;AGER;AGPAT1;AL645922.1;ATF6B;BRD2;BTNL2;C2;C4A;C4B;C6orf10;C6orf25;C6orf47;C6orf48;CFB;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;CYP21A2;DDAH2;DXO;EGFL8;EHMT2;FKBPL;GPANK1;GPSM3;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;HSPA1A
UC	6:31626002-33109453	6	31626002	33109453	rs3134603	rs28383456	1e-200	1.073e-39	13036	12898	2582	rs8227	32610757	1e-200	8.26228e-14	0.0	3.8380413753060213e-44	1.5925593447187112e-293	1.0	3.787891771360302e-34	distinct_causal_variants_supported	74	ABHD16A;AGER;AGPAT1;AL645922.1;ATF6B;BRD2;BTNL2;C2;C4A;C4B;C6orf10;C6orf25;C6orf47;C6orf48;CFB;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;CYP21A2;DDAH2;DXO;EGFL8;EHMT2;FKBPL;GPANK1;GPSM3;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;HSPA1A
UC	6:31983611-32985467	6	31983611	32985467	rs58546351	rs113473719	1e-200	1.10688e-21	10766	12084	2381	rs8227	32610757	1e-200	8.26228e-14	0.0	3.8380413753060213e-44	1.5925593447187112e-293	1.0	3.787891771360302e-34	distinct_causal_variants_supported	34	AGER;AGPAT1;ATF6B;BRD2;BTNL2;C4B;C6orf10;CYP21A2;EGFL8;FKBPL;GPSM3;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;NOTCH4;PBX2;PPT2;PPT2-EGFL8;PRRT1;PSMB8;PSMB9;RNF5;TAP1;TAP2;TNXB;XXbac-BPG181M17.5
UC	6:31983611-33106385	6	31983611	33106385	rs58546351	rs9272514	1e-200	4.00129e-51	12285	12328	2400	rs8227	32610757	1e-200	8.26228e-14	0.0	3.8380413753060213e-44	1.5925593447187112e-293	1.0	3.787891771360302e-34	distinct_causal_variants_supported	36	AGER;AGPAT1;ATF6B;BRD2;BTNL2;C4B;C6orf10;CYP21A2;EGFL8;FKBPL;GPSM3;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;NOTCH4;PBX2;PPT2;PPT2-EGFL8;PRRT1;PSMB8;PSMB9;RNF5;TAP1;TAP2;TNXB;XXbac-BPG181M17.5
UC	6:31983611-33109453	6	31983611	33109453	rs58546351	rs28383456	1e-200	1.073e-39	12317	12335	2401	rs8227	32610757	1e-200	8.26228e-14	0.0	3.8380413753060213e-44	1.5925593447187112e-293	1.0	3.787891771360302e-34	distinct_causal_variants_supported	36	AGER;AGPAT1;ATF6B;BRD2;BTNL2;C4B;C6orf10;CYP21A2;EGFL8;FKBPL;GPSM3;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;NOTCH4;PBX2;PPT2;PPT2-EGFL8;PRRT1;PSMB8;PSMB9;RNF5;TAP1;TAP2;TNXB;XXbac-BPG181M17.5
UC	6:31985467-33110947	6	31985467	33110947	rs1130153	rs113473719	1.754e-10	1.10688e-21	12347	12339	2401	rs8227	32610757	1e-200	8.26228e-14	0.0	3.8380413753060213e-44	1.5925593447187112e-293	1.0	3.787891771360302e-34	distinct_causal_variants_supported	36	AGER;AGPAT1;ATF6B;BRD2;BTNL2;C4B;C6orf10;CYP21A2;EGFL8;FKBPL;GPSM3;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;NOTCH4;PBX2;PPT2;PPT2-EGFL8;PRRT1;PSMB8;PSMB9;RNF5;TAP1;TAP2;TNXB;XXbac-BPG181M17.5
UC	6:32106385-33110947	6	32106385	33110947	rs1130153	rs9272514	1.754e-10	4.00129e-51	12159	12068	2303	rs8227	32610757	1e-200	8.26228e-14	0.0	3.8380413753060213e-44	1.5925630863971904e-293	1.0	3.787900653010518e-34	distinct_causal_variants_supported	31	AGER;AGPAT1;BRD2;BTNL2;C6orf10;EGFL8;GPSM3;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;NOTCH4;PBX2;PPT2;PPT2-EGFL8;PRRT1;PSMB8;PSMB9;RNF5;TAP1;TAP2;XXbac-BPG181M17.5
UC	6:32109453-33110947	6	32109453	33110947	rs1130153	rs28383456	1.754e-10	1.073e-39	12153	12062	2303	rs8227	32610757	1e-200	8.26228e-14	0.0	3.8380413753060213e-44	1.5925630863971904e-293	1.0	3.787900653010518e-34	distinct_causal_variants_supported	31	AGER;AGPAT1;BRD2;BTNL2;C6orf10;EGFL8;GPSM3;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;NOTCH4;PBX2;PPT2;PPT2-EGFL8;PRRT1;PSMB8;PSMB9;RNF5;TAP1;TAP2;XXbac-BPG181M17.5
UC	7:1941337-3289880	7	1941337	3289880	rs55970742	rs798502	2.04998e-08	1.213e-08	4472	8245	3837	rs7796798	2450794	3.86198e-08	0.1084	3.391811023094331e-06	0.0009745110282635466	0.0034648708030396193	0.9955019895646483	5.523679302525824e-05	distinct_causal_variants_supported	14	AC091801.1;AMZ1;BRAT1;CARD11;CHST12;EIF3B;FTSJ2;GNA12;IQCE;LFNG;MAD1L1;NUDT1;SNX8;TTYH3
