gene	comparator	region	region_class	nominal_PP.H4	nominal_PP.H3	min_sensitivity_PP.H4	median_sensitivity_PP.H4	max_sensitivity_PP.H4	top_shared_snp	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_qtl_h4	max_qtl_h4	qtl_direction_proxy_values	same_gene_cellstate_score	same_gene_cellstate_gate	positive_c15_contexts	best_c15_context	chembl_target_id	druggable_activity_count	manual_blocker	landscape_score
TNNT2	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	0.0		0.0					0.4	False	ibd_crohn_myeloid	ibd_crohn_myeloid		0.0		5.436769873521182
ZNF281	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	0.0		0.0					0.4	False	ibd_crohn_myeloid	ibd_crohn_myeloid		0.0		5.436769873521182
ASCL5	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	0.0		0.0					0.0	False				0.0		5.411769873521181
C1orf106	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	0.0		0.0					0.0					0.0		5.411769873521181
IGFN1	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	0.0		0.0					0.0	False				0.0		5.411769873521181
PKP1	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	0.0		0.0					0.0	False				0.0		5.411769873521181
TNNI1	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	0.0		0.0					0.0	False				0.0		5.411769873521181
AL133481.1	Crohn	10:80542475-81559335	stable_H4_first_pass	0.9775625499595288	0.022436665966876112	0.8088070107805059	0.9775625499595288	0.9977229783343055	rs1250563	0.0		0.0					0.0	False				0.0		5.376594024777408
EIF5AL1	Crohn	10:80542475-81559335	stable_H4_first_pass	0.9775625499595288	0.022436665966876112	0.8088070107805059	0.9775625499595288	0.9977229783343055	rs1250563	0.0		0.0					0.0	False				0.0		5.376594024777408
NUTM2B	Crohn	10:80542475-81559335	stable_H4_first_pass	0.9775625499595288	0.022436665966876112	0.8088070107805059	0.9775625499595288	0.9977229783343055	rs1250563	0.0		0.0					0.0	False				0.0		5.376594024777408
SFTPA1	Crohn	10:80542475-81559335	stable_H4_first_pass	0.9775625499595288	0.022436665966876112	0.8088070107805059	0.9775625499595288	0.9977229783343055	rs1250563	0.0		0.0					0.0	False				0.0		5.376594024777408
SFTPA2	Crohn	10:80542475-81559335	stable_H4_first_pass	0.9775625499595288	0.022436665966876112	0.8088070107805059	0.9775625499595288	0.9977229783343055	rs1250563	0.0		0.0					0.0	False				0.0		5.376594024777408
KIF14	UC	1:200375242-201375897	stable_H4_first_pass	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	0.9983948548151301	rs12132349	0.0		0.0		0.0	0.0		-2.1	False	ibd_crohn_myeloid	ibd_crohn_myeloid		0.0	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker	5.286769873521181
STAT3	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	2.0	Crohn;UC	2.0	Crohn;UC	0.0	0.9839142476824031	Crohn:CD14-positive, CD16-negative classical monocyte:-0.0273;Crohn:CD8-positive, alpha-beta T cell:0.0273;Crohn:blood plasma:-0.0273;Crohn:macrophage:0.0273;Crohn:skin of body:-0.0273;UC:CD14-positive, CD16-negative classical monocyte:-0.00314;UC:CD14-positive, CD16-negative classical monocyte:-0.00465;UC:CD8-positive, alpha-beta T cell:0.00314;UC:CD8-positive, alpha-beta T cell:0.00465;UC:CD8-positive, alpha-beta T cell:0.0279;UC:blood plasma:-0.00314;UC:blood plasma:-0.00465;UC:macrophage:0.0	4.1	True	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid	CHEMBL4296101	0.0	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker	8.51709125378351
PTGER4	UC	5:39896425-40944986	nominal_H4_only	0.9336614454533481	0.06600036046337847	0.5699937906279623	0.9336614454533481	0.992948395505683	rs56244034	5.0	Crohn;MS;Psoriasis;T1D;UC	3.0	Crohn;MS;UC	0.9291922636901229	0.9926730311637908	Crohn:CD14-positive, CD16-negative classical monocyte:0.000695;Crohn:CD14-positive, CD16-negative classical monocyte:0.0253;Crohn:CD4-positive, alpha-beta T cell:-0.00316;Crohn:CD4-positive, alpha-beta T cell:-0.00464;Crohn:CD4-positive, alpha-beta T cell:0.000695;Crohn:central memory CD4-positive, alpha-beta T cell:-0.00316;Crohn:central memory CD4-positive, alpha-beta T cell:-0.00464;Crohn:lymphoblastoid cell line:0.000695;Crohn:lymphoblastoid cell line:0.0253;MS:CD4-positive, alpha-beta T cel	2.3	False	t1d_ductal_cell	t1d_ductal_cell		0.0	EP4_directionality_prior_art_conflicted	7.871560981157204
PRKAA1	UC	5:39896425-40944986	nominal_H4_only	0.9336614454533481	0.06600036046337847	0.5699937906279623	0.9336614454533481	0.992948395505683	rs56244034	0.0		3.0	Crohn;MS;UC	0.9400257527850645	0.9400257527850645	Crohn:macrophage:-0.00316;Crohn:macrophage:-0.00464;MS:macrophage:-0.019;MS:macrophage:-0.194;UC:macrophage:-0.0298	3.5999999999999996	False				0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.900163702778478
PSMC3IP	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		3.0	Crohn;Psoriasis;UC	0.0	0.9325825189161434	Crohn:dorsolateral prefrontal cortex:-0.0237	-1.5	False	t1d_ductal_cell;t1d_stellate_cell	t1d_stellate_cell		0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.61575952501725
TYK2	Crohn	19:10016198-11090684	unresolved_or_suggestive	0.3747561163313368	0.6246031017346996	0.05282480681356985	0.3747561163313368	0.8935907722747524	rs28834106	6.0	Crohn;PBC;Psoriasis;RA;SLE;T1D	7.0	AS;Crohn;PBC;Psoriasis;RA;SLE;T1D	0.0	1.0	Crohn:CD14-positive, CD16-negative classical monocyte:-0.28;Crohn:CD4-positive, alpha-beta T cell:-0.28;Crohn:blood:-0.28;Crohn:body of pancreas:-0.28;Crohn:fibroblast:-0.0363;Crohn:fibroblast:-0.28;Crohn:frontal cortex:-0.0363;Crohn:frontal cortex:-0.28;Crohn:neutrophil:-0.28;Crohn:sigmoid colon:-0.0363;Crohn:skin of body:-0.0363;Crohn:skin of body:-0.28;Crohn:spleen:-0.28;Crohn:suprapubic skin:-0.28;Crohn:transverse colon:-0.0363;Crohn:transverse colon:-0.28;PBC:CD14-positive, CD16-negative cl	1.1	False	t1d_stellate_cell;t1d_endothelial_cell	t1d_endothelial_cell	CHEMBL3553	17132.0	prior_art_autoimmune_kinase_class	6.429908639822352
MLX	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		2.0	Crohn;UC	0.0	0.9735105605938627	Crohn:body of pancreas:0.0237;Crohn:lymphoblastoid cell line:0.0237;UC:lymphoblastoid cell line:-0.0258	-2.1	False				0.0	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.42543756669497
TUBG2	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		2.0	Crohn;Psoriasis	0.0	0.9496650783927991	Psoriasis:dorsolateral prefrontal cortex:-0.00704;Psoriasis:lymphoblastoid cell line:0.00704;Psoriasis:macrophage:-0.00704	-2.1	False				0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.401592084493906
DHX58	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		1.0	Psoriasis	0.0	0.9966159703296792	Psoriasis:blood:-0.175	-2.3	False				0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.248542976430786
NAGLU	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		1.0	Crohn	0.0	0.94501824951188	Crohn:fibroblast:-0.0237;Crohn:skin of body:-0.0237;Crohn:thyroid gland:-0.0237	-1.3	False				0.0	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.240695255612986
AOC3	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		1.0	Crohn	0.0	0.9229910131522984	Crohn:blood plasma:-0.0237	-1.1	False	sjogren_gland_apc	sjogren_gland_apc		0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.231168019253405
TUBG1	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		1.0	Psoriasis	0.0	0.9193416132360437	Psoriasis:dorsolateral prefrontal cortex:0.00704;Psoriasis:fibroblast:-0.00704;Psoriasis:lymphoblastoid cell line:-0.00704;Psoriasis:macrophage:-0.00704;Psoriasis:sigmoid colon:-0.00704;Psoriasis:skin of body:-0.00704	-1.1	False	t1d_acinar_cell	t1d_acinar_cell		0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.22751861933715
HSD17B1	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		1.0	UC	0.0	0.9621575065344837	UC:dorsolateral prefrontal cortex:0.0258	-2.1	False	sjogren_gland_apc	sjogren_gland_apc		0.0	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.214084512635591
ZFP36L1	Crohn	14:68710199-69753364	unresolved_or_suggestive	0.739974687791038	0.2589096817221004	0.2179883411839962	0.739974687791038	0.9691610925007403	rs17835647	3.0	Crohn;RA;T1D	3.0	Crohn;RA;T1D	0.0	0.9902963083150466	Crohn:B cell:-0.0294;Crohn:fibroblast:-0.0294;RA:B cell:0.0812;RA:CD14-positive, CD16-negative classical monocyte:0;RA:CD4-positive, alpha-beta T cell:0.0812;RA:blood:0;RA:central memory CD4-positive, alpha-beta T cell:0.0812;RA:dorsolateral prefrontal cortex:0.0812;RA:fibroblast:0;RA:naive regulatory T cell:0;T1D:blood:-0;T1D:blood:0.0453;T1D:naive regulatory T cell:-0;T1D:naive regulatory T cell:-0.0352;T1D:naive regulatory T cell:0.0453	-1.2999999999999998	False				0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.178907091165755
COASY	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		1.0	Psoriasis	0.0	0.9156271244541605	Psoriasis:thyroid gland:0.00704	-2.3	False				0.0	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.167554130555267
ACTN1	Crohn	14:68710199-69753364	unresolved_or_suggestive	0.739974687791038	0.2589096817221004	0.2179883411839962	0.739974687791038	0.9691610925007403	rs17835647	1.0	Crohn	1.0	Crohn	0.0	0.9681091315966126	Crohn:blood:0.00852	2.7	True	ibd_crohn_myeloid;t1d_endothelial_cell	t1d_endothelial_cell		0.0	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker	6.106719914447322
DNAJC7	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					2.5	False				0.0		5.333177006101106
BECN1	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					1.5	False				0.0		5.270677006101106
KLHL11	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					1.5	False				0.0		5.270677006101106
NKIRAS2	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					1.5	False				0.0		5.270677006101106
CNTD1	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					1.4	False	ibd_crohn_myeloid	ibd_crohn_myeloid		0.0		5.264427006101107
PSME3	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					1.4	False	t1d_ductal_cell;t1d_stellate_cell	t1d_ductal_cell		0.0		5.264427006101107
STAT5B	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					1.4	False	ibd_crohn_myeloid	ibd_crohn_myeloid		0.0		5.264427006101107
PUS10	UC	2:60689469-61742410	unresolved_or_suggestive	0.48401687960314793	0.5153418869960971	0.08302939297259752	0.48401687960314793	0.9179508951242864	rs7562347	3.0	Celiac;Crohn;UC	4.0	MS;Psoriasis;RA;UC	0.9852343045238627	0.9956074141421036	MS:CD14-positive, CD16-negative classical monocyte:-0.108;MS:CD14-positive, CD16-negative classical monocyte:0;Psoriasis:CD14-positive, CD16-negative classical monocyte:-0.027;Psoriasis:CD14-positive, CD16-negative classical monocyte:-0.0446;Psoriasis:CD14-positive, CD16-negative classical monocyte:-0.0474;Psoriasis:CD14-positive, CD16-negative classical monocyte:-0.122;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.00799;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.0	3.3000000000000007	False	t1d_ductal_cell;t1d_endothelial_cell	t1d_ductal_cell		0.0	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	5.263950251959417
AOC2	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					1.0	False				0.0		5.239427006101106
KCNH4	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					1.0	False				0.0		5.239427006101106
RPL37	UC	5:39896425-40944986	nominal_H4_only	0.9336614454533481	0.06600036046337847	0.5699937906279623	0.9336614454533481	0.992948395505683	rs56244034	0.0		0.0					1.5	False				0.0		5.228887949993414
CNP	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.6000000000000001	False	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell	t1d_endothelial_cell		0.0		5.214427006101106
CNTNAP1	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.4	False	t1d_stellate_cell	t1d_stellate_cell		0.0		5.201927006101107
GHDC	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.4	False	t1d_endothelial_cell	t1d_endothelial_cell		0.0		5.201927006101107
VPS25	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.4	False	t1d_acinar_cell;t1d_endothelial_cell	t1d_acinar_cell		0.0		5.201927006101107
ZNF385C	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.4	False	t1d_stellate_cell	t1d_stellate_cell		0.0		5.201927006101107
ACLY	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0	False				0.0		5.176927006101106
CCR10	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0	False				0.0		5.176927006101106
COA3	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0	False				0.0		5.176927006101106
CTD-2132N18.3	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0					0.0		5.176927006101106
EZH1	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0	False				0.0		5.176927006101106
FAM134C	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0					0.0		5.176927006101106
HCRT	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0	False				0.0		5.176927006101106
PLEKHH3	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0	False				0.0		5.176927006101106
PTRF	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0					0.0		5.176927006101106
RAB5C	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0	False				0.0		5.176927006101106
RAMP2	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0	False				0.0		5.176927006101106
STAT5A	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0	False				0.0		5.176927006101106
WNK4	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0					0.0	False				0.0		5.176927006101106
C7	UC	5:39896425-40944986	nominal_H4_only	0.9336614454533481	0.06600036046337847	0.5699937906279623	0.9336614454533481	0.992948395505683	rs56244034	0.0		0.0					0.0	False				0.0		5.135137949993414
CARD6	UC	5:39896425-40944986	nominal_H4_only	0.9336614454533481	0.06600036046337847	0.5699937906279623	0.9336614454533481	0.992948395505683	rs56244034	0.0		0.0					0.0	False				0.0		5.135137949993414
HSPB9	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0		0.0	0.0		-1.5	False				0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	5.083177006101106
ATP6V0A1	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0		0.0	0.0		-2.5	False				0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	5.051927006101106
KAT2A	Crohn	17:40014201-41029835	nominal_H4_only	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	0.9939756859999018	rs1026916	0.0		0.0		0.0	0.0		-2.5	False				0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	5.051927006101106
TTC33	UC	5:39896425-40944986	nominal_H4_only	0.9336614454533481	0.06600036046337847	0.5699937906279623	0.9336614454533481	0.992948395505683	rs56244034	0.0		0.0		0.0	0.0		-1.9	False	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell	t1d_stellate_cell		0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	5.016387949993414
USP34	UC	2:60689469-61742410	unresolved_or_suggestive	0.48401687960314793	0.5153418869960971	0.08302939297259752	0.48401687960314793	0.9179508951242864	rs7562347	1.0	Psoriasis	3.0	MS;Psoriasis;UC	0.9720193794587838	0.9903178609872503	Psoriasis:dorsolateral prefrontal cortex:-0;Psoriasis:dorsolateral prefrontal cortex:0.088;Psoriasis:dorsolateral prefrontal cortex:0.373;Psoriasis:suprapubic skin:0.373;Psoriasis:thyroid gland:-0.373	1.2999999999999998	False				0.0	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	4.533660698804564
