field	role	required_for	mandatory_for_selected_route	available	verified	n_nonmissing	source_file	issue	field_gate_pass	missing_action
infection_date_and_status	P1	P1	False	True	True	24	SYNTHETIC_ONLY/infection_date_and_status.tsv	none	True	REQUEST_ADDENDUM
dmt_name	P1	P1;P2	True	True	True	24	SYNTHETIC_ONLY/dmt_name.tsv	none	True	REJECT_ROLE
dmt_start_date	P1	P1;P2	True	True	True	24	SYNTHETIC_ONLY/dmt_start_date.tsv	none	True	REJECT_ROLE
dmt_stop_date	P1	P1;P2	True	True	True	24	SYNTHETIC_ONLY/dmt_stop_date.tsv	none	True	REJECT_ROLE
dmt_dose_or_infusion_date	P1	P1;P2	False	True	True	24	SYNTHETIC_ONLY/dmt_dose_or_infusion_date.tsv	none	True	REQUEST_ADDENDUM
treatment_switch_reason	P1	P1	False	True	True	24	SYNTHETIC_ONLY/treatment_switch_reason.tsv	none	True	REQUEST_ADDENDUM
mri_date	P1	P1	False	True	True	24	SYNTHETIC_ONLY/mri_date.tsv	none	True	REQUEST_ADDENDUM
new_enlarging_t2_count	P1	P1	False	True	True	24	SYNTHETIC_ONLY/new_enlarging_t2_count.tsv	none	True	REPORT_MISSING
gadolinium_enhancing_count	P1	P1	False	True	True	24	SYNTHETIC_ONLY/gadolinium_enhancing_count.tsv	none	True	REPORT_MISSING
prl_or_slowly_expanding_lesion_id	P1	P1	False	True	True	24	SYNTHETIC_ONLY/prl_or_slowly_expanding_lesion_id.tsv	none	True	REPORT_MISSING
prl_detection_protocol	P1	P1	False	True	True	24	SYNTHETIC_ONLY/prl_detection_protocol.tsv	none	True	REPORT_MISSING
prl_persistence_or_change	P1	P1	False	True	True	24	SYNTHETIC_ONLY/prl_persistence_or_change.tsv	none	True	REPORT_MISSING
expression_file	P1	P1;P2	True	True	True	24	SYNTHETIC_ONLY/expression_file.tsv	none	True	REJECT_ROLE
expression_scale	P1	P1;P2	True	True	True	24	SYNTHETIC_ONLY/expression_scale.tsv	none	True	REJECT_ROLE
feature_annotation_file	P1	P1;P2	True	True	True	24	SYNTHETIC_ONLY/feature_annotation_file.tsv	none	True	REJECT_ROLE
feature_id_version	P1	P1;P2	True	True	True	24	SYNTHETIC_ONLY/feature_id_version.tsv	none	True	REJECT_ROLE
processing_batch	P1	P1;P2	True	True	True	24	SYNTHETIC_ONLY/processing_batch.tsv	none	True	REJECT_ROLE
collection_site	P1	P1;P2	True	True	True	24	SYNTHETIC_ONLY/collection_site.tsv	none	True	REJECT_ROLE
library_or_array_platform	P1	P1;P2	True	True	True	24	SYNTHETIC_ONLY/library_or_array_platform.tsv	none	True	REJECT_ROLE
rin_or_quality_metric	P1	P1;P2	False	True	True	24	SYNTHETIC_ONLY/rin_or_quality_metric.tsv	none	True	REQUEST_ADDENDUM
library_depth_or_array_qc	P1	P1;P2	False	True	True	24	SYNTHETIC_ONLY/library_depth_or_array_qc.tsv	none	True	REQUEST_ADDENDUM
cell_count_file	P1	P1;P2	False	True	True	24	SYNTHETIC_ONLY/cell_count_file.tsv	none	True	P2_REJECT_IF_BULK_AND_MISSING
data_use_terms	P1	all	True	True	True	24	SYNTHETIC_ONLY/data_use_terms.tsv	none	True	QUARANTINE_ONLY
sha256	P1	all	True	True	True	24	SYNTHETIC_ONLY/sha256.tsv	none	True	QUARANTINE_ONLY
