snp	SNP.PP.H4.abf
rs10920040	1.157592159191e-14
rs10753883	9.3977764376265e-15
rs10800742	5.7732607765581e-15
rs12567434	1.00488471730032e-14
rs11803934	1.20063773656578e-14
rs6690988	4.82383048138227e-15
rs10920043	1.46135161269863e-14
rs7547000	2.45616659866533e-13
rs6697037	1.0046582984881e-14
rs6661661	1.18577274740888e-14
rs4915209	2.26745798937328e-13
rs1874080	1.96280055567023e-13
rs41304544	1.18096458489169e-14
rs10753884	2.24559199895173e-13
rs6659127	3.79714854342536e-15
rs55959343	1.03143975174574e-14
rs10920045	2.31790589950321e-13
rs6664990	1.13943121250925e-14
rs60302916	1.14792708376261e-14
rs57610035	3.43024322689804e-15
rs4417100	1.12616166536389e-14
rs6691977	4.03609898019424e-15
rs10920052	5.71734921865771e-15
rs145759918	1.01899533817077e-12
rs61825260	3.38911710442801e-13
rs7520696	2.5681781197577e-15
rs7514015	2.82634507434019e-13
rs10920054	2.83459989248649e-13
rs7533782	4.48728914454555e-15
rs7511678	2.78651558704293e-15
rs72746883	7.51333746278891e-15
rs12034099	1.2642430152565e-14
rs6427862	5.88309721438103e-15
rs7552536	1.77412624998752e-13
rs7522087	2.43969629704839e-13
rs7532914	6.40288009849016e-15
rs6668056	2.1850059956882e-15
rs61825263	2.46561914168629e-13
rs3738250	1.39561188905851e-14
rs3738251	5.64148951558461e-14
rs2292097	2.95899652527824e-15
rs6702767	7.9897321062749e-14
rs58750613	3.43044869092065e-15
rs1983084	3.50613506782159e-15
rs12565385	3.10268297866456e-15
rs4319373	7.77835401464162e-16
rs12401718	4.00190014161522e-15
rs11806338	3.35044533668886e-15
rs11799920	3.41457961201305e-15
rs10800745	3.31280460553521e-15
rs7519444	3.31046416672504e-15
rs112680734	1.39391962289119e-12
rs10920058	3.28288755771452e-15
rs10920059	3.99730799630153e-15
rs36028379	7.17634104858809e-16
rs12564878	8.08388528082941e-15
rs68052659	1.03387033172294e-14
rs66584778	3.61014612917027e-13
rs12060302	3.41320031365436e-15
rs12028470	3.43560170690135e-15
rs35964838	7.2299268178059e-15
rs12128863	3.89871072595388e-14
rs884357	3.98160640405399e-11
rs867291	1.05289234543538e-12
rs3753959	8.94414930178615e-12
rs184164	2.00467664582662e-08
rs296534	1.48676603096718e-08
rs296533	1.39432890146213e-08
rs296532	1.98270219027988e-08
rs12045112	1.01175411485881e-10
rs296526	1.59019884989203e-06
rs296528	1.37351254503089e-06
rs3767494	2.40470079764168e-15
rs3767495	2.8868947695215e-15
rs296529	1.67987259418428e-06
rs296530	2.02465293182679e-06
rs56354006	1.55634625003078e-09
rs511104	1.95210166081264e-06
rs57226353	2.36387142635616e-14
rs35730213	0.122840648427891
rs374827	1.85001066605766e-07
rs2134757	9.25913701419055e-10
rs55838263	0.094912200295513
rs12132298	0.115841063297276
rs12132349	0.136529529190203
rs59655222	0.131339790221488
rs7554511	0.100024126367357
rs2279837	8.982521124621e-10
rs41299637	0.107823399402336
rs12131796	0.101852276728791
rs4915463	5.02172485064622e-15
rs296520	0.0274544614164605
rs296521	2.84701443468806e-08
rs10800746	0.0229104185022497
rs7522462	0.0171225823707866
rs905634	0.000812647164742459
rs378672	1.73060026889081e-06
rs404339	0.000599058046851694
rs296539	3.60754156915967e-07
rs296540	4.49927909104143e-09
rs296543	0.000423501568334611
rs296545	0.000390877001935104
rs296546	0.000423108566580096
rs296547	3.13659118353708e-07
rs370411	3.61264652106526e-07
rs296548	3.92416710268647e-08
rs4915464	2.16295103840067e-09
rs71635524	1.7056192532832e-13
rs11589638	0.000400145138690347
rs296551	4.94822140869258e-09
rs11583546	0.000688542367911723
rs4915466	5.92492147354214e-10
rs61825289	4.31793268368275e-13
rs7364440	4.02033907390909e-10
rs10920074	7.09160665721899e-05
rs2050786	4.34464568825461e-10
rs10920076	4.68653741723709e-10
rs11579874	7.5768928723655e-05
rs2013233	8.24618099957699e-10
rs432209	5.29397844089059e-10
rs10800747	6.50765186667243e-10
rs6694184	8.03725036369052e-10
rs6678830	3.33120035301965e-10
rs61825291	6.33931955293053e-10
rs12045164	2.4690548080411e-09
rs296553	1.90641222378615e-09
rs61825292	2.71103244326024e-14
rs169850	6.37073759191763e-06
rs6427868	0.000313106009143309
rs4915468	3.96179044840016e-10
rs1572789	1.31197714037937e-09
rs11805959	2.33327111643594e-10
rs4915470	6.02868117572137e-10
rs4915471	7.21682188237798e-10
rs4915472	7.53327021324785e-10
rs11584383	0.000100238120742682
rs12035002	4.30028358610185e-10
rs4915210	3.19473191353985e-10
rs3208703	0.000245644505892467
rs3198583	2.65096706622631e-10
rs3738255	1.85744346940765e-10
rs11586032	1.77052105485467e-15
rs10920082	2.32001684570856e-10
rs34873729	0.00030937583987342
rs12118735	0.000262236249104535
rs72749142	0.0120497426352171
rs296558	1.48702564070759e-10
rs296557	1.40124046239596e-10
rs7539693	0.000103682440270583
rs10494828	9.00986908263132e-05
rs2297909	1.69225114467936e-06
rs59682551	0.00213650171791989
rs12140420	8.9639055891704e-05
rs12126806	0.000162655321724189
rs67134955	2.3635270556704e-15
rs10920085	9.61673157199708e-11
rs10800749	9.87994187678224e-11
rs10800750	1.02096492593897e-10
rs10920086	1.01330468309065e-10
rs7531978	9.8064126970997e-11
rs10920088	1.01505321561224e-10
rs6427869	1.0412936951702e-10
rs7535723	1.56389426174622e-06
rs11810823	9.34795868489243e-11
rs7538954	1.91368322725726e-15
rs35304341	1.46727339774857e-12
rs10920090	7.111885459794e-10
rs10920091	5.73797259665984e-07
rs11589573	4.14329628874616e-05
rs11583140	8.6748795221692e-10
rs6687260	7.77477588277198e-10
rs10920094	6.96199420965121e-10
rs2221581	4.24472015970677e-07
rs11580823	2.59011918532277e-05
rs6700264	6.01832461140925e-10
rs12122721	3.30918183523345e-05
rs957957	7.4335102703601e-10
rs7526353	6.20219026960586e-10
rs10753887	7.53127192394999e-10
rs11586763	2.85166181069694e-05
rs56409868	1.48278371423825e-14
rs55862304	4.59273675752482e-05
rs11587290	2.57752948325972e-15
rs6427871	3.89955873539507e-10
rs6701469	3.33795526053115e-10
rs10800751	4.0358897147575e-10
rs72749166	1.77734311840439e-05
rs11807626	2.93617644618658e-10
rs11583328	3.0345713935983e-05
rs10920099	4.38365981137349e-10
rs11576681	1.72252373826466e-05
rs965321	1.54803102147481e-06
rs1995681	2.91564368608475e-10
rs10753888	1.04200430338215e-06
rs6673267	3.75755055136787e-10
rs6701496	1.30269137648272e-05
rs1546416	1.62351789022586e-07
rs6675915	1.83280462507369e-10
rs1507147	1.14464522028643e-07
rs67602696	1.32313361200952e-05
rs2297906	1.4834098793642e-10
rs10494827	1.55432908695227e-10
rs12122809	1.33705949818152e-05
rs3913893	1.89599171823124e-06
rs3850625	3.68956923643427e-14
rs55734382	4.09852671588707e-06
rs6702590	1.11280124464955e-06
rs12138260	0.0012841299954515
rs3861928	8.61838451659129e-07
rs3767498	9.14976544802286e-07
rs3767499	5.0008694760003e-11
rs3767500	3.93345762542392e-11
rs3767502	9.92302066870962e-07
rs3818873	2.01444826767335e-10
rs10800755	1.09082373778241e-06
rs10800756	1.52342313481364e-06
rs3767503	4.07035301652285e-11
rs3767504	3.54097001584687e-11
rs3861929	3.1235259421505e-07
rs4915473	1.19051091508258e-09
rs4915474	1.38742022091053e-11
rs4915475	1.11838979544573e-12
rs2297903	2.55904984227855e-12
rs41267503	3.96687128019581e-14
rs7519715	3.05105999882538e-13
rs7415038	3.06386977313912e-15
rs4915477	6.6599990639794e-15
rs61818019	2.27987523009171e-15
rs11585193	1.7106383844843e-15
rs58264851	2.10226184790159e-12
rs72749197	6.76455591623818e-13
rs2296384	3.0722219410554e-14
rs3753960	7.58705004619879e-15
