candidate	intervention_class	source_wave	mechanism	modality	direction	reachable_modality	direct_perturbation	foundation_model	cross_disease_cellstate	cross_disease_count	ms_anchor	genetic_or_target_resolution	response_support	biochemical_support	specificity_support	prior_not_blocked	safety_direction_clear	primary_blocker	source_call	source_value
RFX5_MHCII_PARTIAL_SUPPRESSION	Perturbation-first transcription/signaling route	wave53_perturbation_first_pivot	partially suppress RFX5/MHC-II transcriptional output	small molecule or genetic perturbation depending on route	partially suppress RFX5/MHC-II transcriptional output	0	1	1	0	1.0	0	0	0	0	0	0	0	RFX5 is a direct antigen-presentation transcriptional node, but the whole HLA-II axis is already closed for host-defense and nonselective antigen-presentation suppression risk.	NO_GO_PERTURBATION_FIRST_PIVOT	selectivity=0.5231987939104686; target_vs_ifn=0.5517938735080701
CHUK_IKK_MODULATION	Perturbation-first transcription/signaling route	wave53_perturbation_first_pivot	modulate IKK-alpha/NF-kB pathway output	small molecule or genetic perturbation depending on route	modulate IKK-alpha/NF-kB pathway output	1	0	0	0	2.0	0	0	0	0	0	0	1	CHUK/IKK-alpha is weakly perturbation-positive but broad NF-kB biology lacks selectivity and novelty.	NO_GO_PERTURBATION_FIRST_PIVOT	selectivity=0.3353338408117842; target_vs_ifn=0.402896081494298
NAAA_lipid_amide_preservation	Lipid mediator / danger-metabolite route	wave72_lipid_mediator_intervention_scout	NAAA_lipid_amide_preservation	small molecule or receptor/enzyme modulation	NAAA_lipid_amide_preservation	1	0	0	0	0.0	0	0	0	0	0	0	0	biochemical feature support is absent or underpowered	NO_GO_WAVE72	biochem_diseases=0.0; treatment_hits=0.0
EPHX2_sEH_oxylipin_diol	Lipid mediator / danger-metabolite route	wave72_lipid_mediator_intervention_scout	EPHX2_sEH_oxylipin_diol	small molecule or receptor/enzyme modulation	EPHX2_sEH_oxylipin_diol	1	0	0	0	0.0	0	0	1	1	0	1	1	biochemical pattern lacks target-level gene convergence	PARK_ORTHOGONAL_BIOCHEMICAL_SCOUT	biochem_diseases=2.0; treatment_hits=1.0
GPR183_oxysterol_gradient	Lipid mediator / danger-metabolite route	wave72_lipid_mediator_intervention_scout	GPR183_oxysterol_gradient	small molecule or receptor/enzyme modulation	GPR183_oxysterol_gradient	1	0	0	0	2.0	0	1	0	0	0	0	0	biochemical feature support is absent or underpowered	NO_GO_WAVE72	biochem_diseases=1.0; treatment_hits=0.0
P2RX7_purinergic_inflammasome	Lipid mediator / danger-metabolite route	wave72_lipid_mediator_intervention_scout	P2RX7_purinergic_inflammasome	small molecule or receptor/enzyme modulation	P2RX7_purinergic_inflammasome	1	0	0	0	1.0	0	0	1	1	0	1	1	biochemical pattern lacks target-level gene convergence	PARK_ORTHOGONAL_BIOCHEMICAL_SCOUT	biochem_diseases=5.0; treatment_hits=4.0
P2RX7_PURINERGIC_STRATIFICATION	Purinergic inflammasome stratification	wave73_p2rx7_stratification_test	P2RX7/NLRP3/IL1B purine-danger module	P2RX7 antagonist or purine-high biomarker stratification	antagonize P2RX7 only in purine/inflammasome-high subset	1	0	0	1	3.0	0	0	0	1	0	1	0	biochemistry and cell-state support exist, but target-level validation is missing	PARK_P2RX7_STRATIFICATION_NEEDS_TARGET_LEVEL_DATA	wave72_supportive_diseases=AS;Crohn;RA;T1D;UC
GPR183_EBI2_OXYSTEROL_NICHE	Oxysterol-guided immune niche GPCR	wave74_gpr183_oxysterol_niche	GPR183/EBI2 oxysterol-guided migration and APC niche	GPR183 antagonist/biased modulator	modulate oxysterol-guided inflammatory niches	1	0	0	1	0.0	0	0	1	0	1	1	1	no cross-disease coherent ligand-plus-GPR183-plus-response context; no local target-resolved genetics or direct intervention/druggability anchor; Wave66 oxysterol-like metabolites remain sparse	PARK_GPR183_OXYSTEROL_NICHE	gpr183_positive_diseases=Crohn disease;Sjogren syndrome;ulcerative colitis
EPHX2_SEH_OXYLIPIN_RATIO	Oxylipin epoxide/diol enzyme modulation	wave74_ephx2_oxylipin_specificity	soluble epoxide hydrolase inhibition to preserve epoxy-fatty acids	small-molecule EPHX2/sEH inhibitor	inhibit EPHX2 only if EpFA:diol disease ratio is demonstrated	1	0	0	0	0.0	0	0	1	1	0	1	1	available data do not resolve an EPHX2-specific mechanism over generic lipid/inflammatory disturbance	NO_GO	specific_diseases=1.0; ratio_proxy=0.0
SLAMF7_SIGNAL_BIAS	Surface immune receptor signal bias	wave64_slamf7_perturbation_audit	SLAMF7 engagement or antagonism in myeloid/APC states	antibody_or_biologic_hypothetical	antagonize_or_signal_bias_required_if_any	1	1	0	0	0.0	0	0	0	0	0	0	0	NO_GO_NO_HUMAN_DISEASE_ANCHOR;NO_GO_WRONG_OR_UNKNOWN_DIRECTION;NO_GO_GENERIC_INFLAMMATION_ONLY;NO_GO_REPAIR_GUARDRAIL_FAIL;NO_GO_HOST_DEFENSE_OR_TOXICITY_FAIL;NO_GO_NO_CROSS_DISEASE_REPLICATION;NO_GO_PRIOR_ART_BLOCKED_OR_UNSEARCHED	PARK_ASSAY_DESIGN	target_generic_ratio=0.991730388441186
LILRB4_INHIBITORY_RECEPTOR	Myeloid inhibitory receptor	wave78_lilrb_inhibitory_receptor_audit	LILRB4 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	unresolved: restore inhibitory signaling versus block myeloid suppression	1	0	0	0	0.0	0	1	0	0	0	0	0	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	ra_p=0.8590436380792678; ibd_p=0.008190714158896
LILRB5_INHIBITORY_RECEPTOR	Myeloid inhibitory receptor	wave78_lilrb_inhibitory_receptor_audit	LILRB5 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	unresolved: restore inhibitory signaling versus block myeloid suppression	1	0	0	0	0.0	0	0	0	0	0	1	1	does not pass target-level local gates	NO_GO_LILRB_LOCAL_AUDIT	ra_p=nan; ibd_p=nan
LILRB1_INHIBITORY_RECEPTOR	Myeloid inhibitory receptor	wave78_lilrb_inhibitory_receptor_audit	LILRB1 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	unresolved: restore inhibitory signaling versus block myeloid suppression	1	0	0	0	2.0	0	0	0	0	0	0	0	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	ra_p=0.5065906412483463; ibd_p=0.1118133032868057
LILRB2_INHIBITORY_RECEPTOR	Myeloid inhibitory receptor	wave78_lilrb_inhibitory_receptor_audit	LILRB2 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	unresolved: restore inhibitory signaling versus block myeloid suppression	1	0	0	0	2.0	0	1	0	0	0	0	0	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	ra_p=0.560814978120791; ibd_p=0.0086707511794567
LILRB3_INHIBITORY_RECEPTOR	Myeloid inhibitory receptor	wave78_lilrb_inhibitory_receptor_audit	LILRB3 immune inhibitory-receptor modulation	antibody, agonist, antagonist, or ligand engineering depending on direction	unresolved: restore inhibitory signaling versus block myeloid suppression	1	0	0	0	2.0	0	0	0	0	0	0	0	some target-level signal exists but MS, specificity, model direction, or intervention route is insufficient	PARK_LILRB_DIRECTIONALLY_UNRESOLVED	ra_p=0.1541707601082672; ibd_p=0.134413027972797
CD58_TARGETABILITY	Targetability shortlist node	wave79_targetability_shortlist_audit	CD58 targetability shortlist route	surface_biologic_possible	target-specific modulation unresolved	1	1	0	1	3.0	1	1	0	0	0	1	1	partial support remains but one or more critical targetability gates fail	PARK_TARGETABILITY_SHORTLIST_NODE	gate_count=8.0; ra_p=0.002977517998379; ibd_p=0.1731963216156996
P4HB_TARGETABILITY	Targetability shortlist node	wave79_targetability_shortlist_audit	P4HB targetability shortlist route	chembl_enzyme_but_broad_er_redox	target-specific modulation unresolved	1	0	0	1	4.0	0	0	0	0	0	0	1	insufficient target-level convergence after strict gates	NO_GO_TARGETABILITY_SHORTLIST_NODE	gate_count=3.0; ra_p=0.0380321126897553; ibd_p=0.5078835692184398
SPNS1_TARGETABILITY	Targetability shortlist node	wave79_targetability_shortlist_audit	SPNS1 targetability shortlist route	lysosomal_transporter_no_chemical_matter	target-specific modulation unresolved	0	0	0	1	3.0	0	0	0	0	0	0	1	insufficient target-level convergence after strict gates	NO_GO_TARGETABILITY_SHORTLIST_NODE	gate_count=3.0; ra_p=0.1604008559273745; ibd_p=0.3071372858589968
SEL1L3_TARGETABILITY	Targetability shortlist node	wave79_targetability_shortlist_audit	SEL1L3 targetability shortlist route	undercharacterized_membrane_marker	target-specific modulation unresolved	0	0	0	1	3.0	1	0	0	0	0	0	1	insufficient target-level convergence after strict gates	NO_GO_TARGETABILITY_SHORTLIST_NODE	gate_count=3.0; ra_p=0.2526646860337896; ibd_p=0.4193963103164196
IFI30_TARGETABILITY	Targetability shortlist node	wave79_targetability_shortlist_audit	IFI30 targetability shortlist route	benchmark_antigen_processing_no_clean_modality	target-specific modulation unresolved	0	0	0	1	3.0	1	1	0	0	0	0	1	insufficient target-level convergence after strict gates	NO_GO_TARGETABILITY_SHORTLIST_NODE	gate_count=5.0; ra_p=0.3778191741777486; ibd_p=0.6648210415593697
CD58_CD2_AXIS	T-cell/APC adhesion and costimulation axis	wave80_cd58_cd2_axis_deepening	CD58-CD2 interaction/state marker	biologic or fusion protein precedent	conflicted: blockade/depletion versus restored CD58 protective biology	1	0	0	1	3.0	1	1	1	0	0	0	0	MS genetics and RA CD58 signal survive T-cell adjustment, but IBD replication, direction, or prior art block promotion	PARK_CD58_CD2_AXIS_PRIOR_ART_OR_IBD_LIMITED	ra_p=0.0087144366152823; ibd_p=0.1731963216156996
PARK7_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	no local MS anchor, generic stress biology, and target-resolution artifacts do not support a disease-specific intervention	small-molecule DJ-1/PARK7 modulators exist as a broad stress-biology concept, but no local autoimmune/MS route is resolved	unresolved; oxidative-stress/neurodegeneration biology could imply restoration, while inflammatory-state expression does not	1	0	1	0	2.0	0	1	0	0	0	1	0	no_ms_anchor;insufficient_cross_disease_breadth;no_fdr_response_support	PARK_ROUTE_POSSIBLE_BUT_EVIDENCE_INCOMPLETE	route_score=4.0
DAB2_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	no genetics, no broad recurrence, no surface/secreted route, and no target chemistry in local artifacts	none mature; intracellular adaptor/endocytic protein	unresolved; efferocytosis screen signal does not define a clinically reachable DAB2 intervention	0	1	0	0	0.0	1	0	0	0	0	0	0	no_reachable_modality;no_genetic_target_resolution;insufficient_cross_disease_breadth;no_fdr_response_support	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	route_score=2.0
CD9_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	tetraspanin pleiotropy, no genetics, no cross-disease breadth in Wave81, and prior Wave71 flags disease-state direction conflict	antibody or tetraspanin-targeted biologic is technically possible but biologically broad	unresolved; Wave81 only shows efferocytosis screen and MS-expression signal, not whether CD9 should be reduced or restored	0	1	0	0	0.0	1	0	0	0	0	0	0	no_reachable_modality;no_genetic_target_resolution;insufficient_cross_disease_breadth;no_fdr_response_support	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	route_score=2.0
PSAP_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	no genetics/modality channel in Wave81, weak cross-autoimmune recurrence, and no resolved intervention biomarker	protein/peptide or lysosomal-lipid support is conceivable, but not supported by the local cross-autoimmune evidence	likely restoration/neurotrophic support if anything, but local autoimmune direction is not established	0	0	1	0	0.0	1	0	0	0	0	0	0	no_reachable_modality;no_genetic_target_resolution;insufficient_cross_disease_breadth;no_fdr_response_support	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	route_score=2.0
LYN_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	SRC-family broad selectivity/safety liability, no MS anchor, and no target-resolved genetics in Wave81	kinase inhibitors exist for SRC-family biology, but not with LYN-selective autoimmune-myeloid specificity here	unresolved; Wave70C model signal is an inhibitory-receptor comparator, not a safe LYN intervention direction	0	0	1	1	3.0	0	0	0	0	0	0	0	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;no_fdr_response_support	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	route_score=2.0
FAM49B_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	no MS anchor, no chemistry, no target-resolution genetics, and screen FDR did not validate in prior Wave71 notes	none mature; intracellular actin/Rac regulatory biology	unresolved; efferocytosis screen suggests loss may improve uptake, but disease-state expression is weak and not MS anchored	0	1	0	1	3.0	0	0	0	0	0	0	0	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;no_fdr_response_support	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	route_score=2.0
LRRC61_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	broad expression recurrence without MS anchor or druggability; prior Wave71 flags too few guides and no ChEMBL route	none credible from local artifacts	unresolved	0	1	0	1	4.0	0	0	0	0	0	0	0	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;no_fdr_response_support	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	route_score=2.0
DAP_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	intracellular ribosome/autophagy protein, no target-resolved genetics, no surface/secreted route	none credible for selective systemic therapy	unresolved; expression recurrence suggests state marker, not whether DAP activity should be inhibited or restored	0	0	0	1	3.0	1	0	0	0	0	0	0	no_reachable_modality;no_genetic_target_resolution;no_fdr_response_support	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	route_score=2.0
FMNL2_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	intracellular actin regulator, no target-resolved genetics, no local ChEMBL route, not surface/secreted despite broad recurrence	no selective FMNL2 route; broad formin/actin modulation would be toxic and nonselective	unresolved; actin/migration expression signal does not specify safe suppression vs restoration	0	0	0	1	4.0	1	0	0	0	0	0	0	no_reachable_modality;no_genetic_target_resolution;no_fdr_response_support	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	route_score=2.0
HEXA_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	lysosomal enzyme biology is nonspecific; no MS anchor, no genetics, and no autoimmune intervention direction in local outputs	enzyme replacement/gene therapy conceptually exists for lysosomal disease, not supported here for autoimmune modulation	likely restoration if anything, but Wave81 has no MS anchor or cross-disease target-resolution support	0	0	1	0	1.0	0	0	0	0	0	0	0	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;insufficient_cross_disease_breadth;no_fdr_response_support	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	route_score=1.0
HEXB_RESIDUAL_ROUTE	Residual perturbation/model candidate	wave82_parked_intervention_route_audit	lysosomal enzyme biology is nonspecific; no MS anchor, no genetics, and no autoimmune intervention direction in local outputs	enzyme replacement/gene therapy conceptually exists for lysosomal disease, not supported here for autoimmune modulation	likely restoration if anything, but Wave81 has no MS anchor or cross-disease target-resolution support	0	0	1	0	0.0	0	0	0	0	0	0	0	no_reachable_modality;no_genetic_target_resolution;no_ms_anchor;insufficient_cross_disease_breadth;no_fdr_response_support	NO_GO_NO_CREDIBLE_INTERVENTION_ROUTE	route_score=1.0
IL7R_TARGETED_ROUTE	Canonical immune receptor/chemokine route	wave58_cxcr2_il7r_targeted_audit	IL7R targeted autoimmune route	small molecule or biologic depending on target	inhibit/rebalance immune signaling	1	0	1	1	0.0	0	1	0	0	0	0	0	strict_ms_white_matter_anchor; real_perturbation_or_efferocytosis; module_specific_not_generic_immunology; prior_art_not_blocking	NO_GO_WAVE58_TARGETED_AUDIT	gate_pass=5/9
CXCR2_TARGETED_ROUTE	Canonical immune receptor/chemokine route	wave58_cxcr2_il7r_targeted_audit	CXCR2 targeted autoimmune route	small molecule or biologic depending on target	inhibit/rebalance immune signaling	1	0	1	1	0.0	0	0	0	0	0	0	0	ms_external_genetic_anchor; strict_ms_white_matter_anchor; real_perturbation_or_efferocytosis; module_specific_not_generic_immunology; prior_art_not_blocking	NO_GO_WAVE58_TARGETED_AUDIT	gate_pass=4/9
GALC_LYSOSOMAL_SPHINGOLIPID	Lysosomal/sphingolipid enzyme route	wave59_lysosomal_sphingolipid_model_reopener_audit	GALC lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	restore lysosomal lipid handling without host-defense or storage-disease risk	1	0	0	1	0.0	0	1	0	0	0	0	0	foundation_model_support; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	NO_GO_LYSOSOMAL_MODEL_REOPENER	gate_pass=4/10
CTSB_LYSOSOMAL_SPHINGOLIPID	Lysosomal/sphingolipid enzyme route	wave59_lysosomal_sphingolipid_model_reopener_audit	CTSB lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	restore lysosomal lipid handling without host-defense or storage-disease risk	1	0	1	0	0.0	0	0	0	0	0	0	0	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	NO_GO_LYSOSOMAL_MODEL_REOPENER	gate_pass=3/10
LIPA_LYSOSOMAL_SPHINGOLIPID	Lysosomal/sphingolipid enzyme route	wave59_lysosomal_sphingolipid_model_reopener_audit	LIPA lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	restore lysosomal lipid handling without host-defense or storage-disease risk	1	0	0	1	0.0	0	0	0	0	0	0	0	foundation_model_support; cross_disease_genetic_breadth; ms_genetic_anchor; strict_ms_white_matter; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	NO_GO_LYSOSOMAL_MODEL_REOPENER	gate_pass=3/10
ASAH1_LYSOSOMAL_SPHINGOLIPID	Lysosomal/sphingolipid enzyme route	wave59_lysosomal_sphingolipid_model_reopener_audit	ASAH1 lysosomal or sphingolipid modulation	enzyme, small molecule, or gene therapy depending on target	restore lysosomal lipid handling without host-defense or storage-disease risk	1	0	1	0	0.0	0	0	0	0	0	0	0	cross_disease_genetic_breadth; ms_genetic_anchor; local_recurrence; strict_ms_white_matter; module_specific_residual; real_perturbation_or_efferocytosis; directionality_safe_and_selective; prior_art_not_blocking	NO_GO_LYSOSOMAL_MODEL_REOPENER	gate_pass=2/10
