artifact	status	latest_source_mtime	oldest_output_mtime	missing_sources	missing_outputs	sources	outputs	refresh_command
cross_route_readiness_linter	FRESH	1781297863.632723	1781297870.5033576			analysis/v45_external_blocker_board/external_blocker_board.tsv;analysis/v45_route_arrival_packets/route_arrival_packet_index.tsv;analysis/v45_validation_command_runner/gafson_primary_plan/command_plan_summary.json;analysis/v45_validation_command_runner/karolinska_primary_plan/command_plan_summary.json;analysis/v45_validation_command_runner/gse228330_pharmacodynamic_plan/command_plan_summary.json;analysis/v45_author_run_return_gate_runner/synthetic_check_summary.json;scripts/v45_cross_route_readiness_linter.py	analysis/v45_cross_route_readiness_linter/live/cross_route_readiness_lint_summary.json;analysis/v45_cross_route_readiness_linter/live/cross_route_readiness_lint.tsv;analysis/v45_cross_route_readiness_linter/live/cross_route_readiness_issues.tsv	.venv/bin/python scripts/v45_cross_route_readiness_linter.py --outdir analysis/v45_cross_route_readiness_linter/live --expect-status PASS
state_machine_transition_validator	FRESH	1781301565.7543569	1781301577.9407487			analysis/v45_received_data_triage/received_data_triage_status.tsv;analysis/v45_external_blocker_board/external_blocker_board.tsv;analysis/v45_followup_due_board/live_template/followup_due_board.tsv;analysis/v45_readiness_status_dashboard/readiness_status_dashboard_summary.json;scripts/v45_state_machine_validator.py	analysis/v45_state_machine_validator/live/state_machine_validator_summary.json;analysis/v45_state_machine_validator/live/route_state_validation.tsv	.venv/bin/python scripts/v45_state_machine_validator.py --outdir analysis/v45_state_machine_validator/live --expect-status PASS
received_package_decision_tree	FRESH	1781301577.976505	1781301595.254067			analysis/v45_current_action_card/current_action_card.tsv;analysis/v45_state_machine_validator/live/route_state_validation.tsv;analysis/v45_state_machine_validator/live/state_machine_validator_summary.json;scripts/v45_received_package_decision_tree.py	analysis/v45_received_package_decision_tree/live/received_package_decision_tree_summary.json;analysis/v45_received_package_decision_tree/live/received_package_decision_tree.tsv;analysis/v45_received_package_decision_tree/live/received_package_decision_tree_issues.tsv	.venv/bin/python scripts/v45_received_package_decision_tree.py --outdir analysis/v45_received_package_decision_tree/live --expect-status PASS
current_action_card	FRESH	1781301577.941657	1781301577.976505			analysis/v45_external_blocker_board/external_blocker_board.tsv;analysis/v45_followup_due_board/live_template/followup_due_board.tsv;analysis/v45_readiness_status_dashboard/readiness_status_dashboard_summary.json;analysis/v45_state_machine_validator/live/state_machine_validator_summary.json;analysis/v45_route_packet_integrity_manifest/live/route_packet_integrity_summary.json;analysis/v45_precommit_readiness/precommit_readiness_summary.json;scripts/v45_current_action_card.py	analysis/v45_current_action_card/current_action_card_summary.json;analysis/v45_current_action_card/current_action_card.tsv;analysis/v45_current_action_card/CURRENT_ACTION_CARD.md	.venv/bin/python scripts/v45_current_action_card.py --outdir analysis/v45_current_action_card
cold_start_operator_sequence	FRESH	1781301595.254067	1781301595.5607107			analysis/v45_current_action_card/current_action_card.tsv;analysis/v45_received_package_decision_tree/live/received_package_decision_tree.tsv;analysis/v45_route_arrival_packets/route_arrival_packet_index.tsv;analysis/v45_validation_command_runner/gafson_primary_plan/command_plan.md;analysis/v45_validation_command_runner/karolinska_primary_plan/command_plan.md;analysis/v45_validation_command_runner/gse228330_pharmacodynamic_plan/command_plan.md;scripts/v45_cold_start_operator_sequence.py	analysis/v45_cold_start_operator_sequence/cold_start_operator_sequence_summary.json;analysis/v45_cold_start_operator_sequence/cold_start_operator_sequence.tsv;analysis/v45_cold_start_operator_sequence/COLD_START_OPERATOR_SEQUENCE.md	.venv/bin/python scripts/v45_cold_start_operator_sequence.py --outdir analysis/v45_cold_start_operator_sequence
author_run_bundle_dryrun_manifest	FRESH	1781301577.976505	1781301595.279022			analysis/v45_author_run_packet_bundle/author_run_packet_bundle_index.tsv;analysis/v45_author_run_packet_checksums/write/author_run_packet_sha256_manifest.tsv;analysis/v45_author_run_packet_checksums/verify/author_run_packet_checksum_verify.tsv;analysis/v45_command_plan_consistency/command_plan_consistency_summary.json;analysis/v45_current_action_card/current_action_card.tsv;scripts/v45_author_run_bundle_dryrun_manifest.py	analysis/v45_author_run_bundle_dryrun_manifest/live/author_run_bundle_dryrun_summary.json;analysis/v45_author_run_bundle_dryrun_manifest/live/author_run_bundle_dryrun_manifest.tsv	.venv/bin/python scripts/v45_author_run_bundle_dryrun_manifest.py --outdir analysis/v45_author_run_bundle_dryrun_manifest/live --expect-status PASS
generated_checker_registry	FRESH	1781346124.1534696	1781346136.0535734			scripts/v45_generated_checker_registry.py;docs/validation/GENERATED_CHECKER_REGISTRY_V45.md	analysis/v45_generated_checker_registry/generated_checker_registry_summary.json;analysis/v45_generated_checker_registry/generated_checker_registry.tsv	.venv/bin/python scripts/v45_generated_checker_registry.py --outdir analysis/v45_generated_checker_registry
operational_handoff_index	FRESH	1781300595.2500167	1781345986.567712			docs/validation/input_schemas/V45_operational_handoff_index.tsv	docs/validation/V45_OPERATIONAL_HANDOFF_INDEX.md	update docs/validation/V45_OPERATIONAL_HANDOFF_INDEX.md to match docs/validation/input_schemas/V45_operational_handoff_index.tsv
readiness_status_dashboard	FRESH	1781301546.0753	1781301565.753411			analysis/v45_outbound_data_requests/request_tracker.tsv;analysis/v45_received_data_triage/received_data_triage_status.tsv;analysis/v45_precommit_readiness/precommit_readiness_summary.json;analysis/v45_collaborator_path_resolver/live_sources/collaborator_package_path_resolution_summary.json;analysis/v45_followup_due_board/live_template/followup_due_board_summary.json;analysis/v45_external_blocker_board/external_blocker_board_summary.json;analysis/v45_handoff_completeness/handoff_completeness_summary.json;analysis/v45_handoff_completeness_scored_missing/handoff_completeness_summary.json;scripts/v45_readiness_status_dashboard.py	analysis/v45_readiness_status_dashboard/readiness_status_dashboard_summary.json;analysis/v45_readiness_status_dashboard/readiness_status_dashboard.tsv	.venv/bin/python scripts/v45_readiness_status_dashboard.py --outdir analysis/v45_readiness_status_dashboard
generated_doc_freshness_linter	FRESH	1781346072.3756597	1781346079.9177806			analysis/v45_artifact_index/summary.json;analysis/v45_compute_storage_summary/summary.json;analysis/v45_synthetic_artifact_index/summary.json;analysis/v45_precommit_readiness/precommit_readiness_summary.json;analysis/v45_regression_aggregator/regression_aggregator_summary.json;docs/validation/V45_GOVERNANCE_REFRESH.md;docs/validation/V45_ARTIFACT_INDEX.md;docs/validation/V45_COMPUTE_STORAGE_SUMMARY.md;docs/validation/PRECOMMIT_READINESS_CHECKLIST_V45.md;docs/validation/V45_READINESS_CHANGELOG.md;docs/validation/SYNTHETIC_ARTIFACT_RETENTION_INDEX_V45.md;docs/validation/SYNTHETIC_OUTPUT_RETENTION_POLICY_V45.md;docs/validation/V45_REGRESSION_AGGREGATOR.md;docs/validation/READINESS_STALE_OUTPUT_DETECTOR_V45.md;scripts/v45_generated_doc_freshness_linter.py;scripts/v45_readiness_stale_output_detector.py	analysis/v45_generated_doc_freshness_linter/generated_doc_freshness_summary.json;analysis/v45_generated_doc_freshness_linter/generated_doc_freshness_lint.tsv	.venv/bin/python scripts/v45_generated_doc_freshness_linter.py --outdir analysis/v45_generated_doc_freshness_linter
no_score_before_gates_linter	FRESH	1781345351.4540637	1781345529.6435645			docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md;docs/validation/HARNESS_READY_DECISION_TEMPLATE_V45.md;docs/validation/VALIDATION_COMMAND_RUNNER_V45.md;docs/validation/COLLABORATOR_VALIDATION_PACKAGE_README_V45.md;docs/validation/EXTERNAL_BLOCKER_BOARD_V45.md;analysis/v45_route_arrival_packets/gafson_dmf_2018_arrival_packet.md;analysis/v45_route_arrival_packets/karolinska_dmf_ros_2019_arrival_packet.md;analysis/v45_route_arrival_packets/gse228330_ocrelizumab_pbmc_arrival_packet.md;analysis/v45_route_arrival_packets/any_author_run_fallback_arrival_packet.md;scripts/v45_no_score_before_gates_linter.py	analysis/v45_no_score_before_gates_linter/live/no_score_before_gates_summary.json;analysis/v45_no_score_before_gates_linter/live/no_score_before_gates_lint.tsv;analysis/v45_no_score_before_gates_linter/synthetic_bad/no_score_before_gates_summary.json;analysis/v45_no_score_before_gates_linter/synthetic_bad/no_score_before_gates_lint.tsv	.venv/bin/python scripts/v45_no_score_before_gates_linter.py --outdir analysis/v45_no_score_before_gates_linter/live --expect-status PASS && .venv/bin/python scripts/v45_no_score_before_gates_linter.py --outdir analysis/v45_no_score_before_gates_linter/synthetic_bad --synthetic-case bad --expect-status FAIL
synthetic_received_package_dryrun	FRESH	1781300832.9391947	1781300968.3349748			docs/validation/input_schemas/V45_first_24h_operator_status_template.tsv;scripts/v45_synthetic_received_package_dryrun.py;scripts/v45_received_status_updater.py;scripts/v45_state_machine_validator.py;scripts/v45_received_package_decision_tree.py	analysis/v45_synthetic_received_package_dryrun/synthetic_received_package_dryrun_summary.json;analysis/v45_synthetic_received_package_dryrun/received_status_updater/received_data_triage_status.proposed.tsv;analysis/v45_synthetic_received_package_dryrun/state_machine_validator/route_state_validation.tsv;analysis/v45_synthetic_received_package_dryrun/received_package_decision_tree/received_package_decision_tree.tsv	.venv/bin/python scripts/v45_synthetic_received_package_dryrun.py --outdir analysis/v45_synthetic_received_package_dryrun
v46_terms_governance_matrix	FRESH	1781344992.5493271	1781345475.0005388			docs/validation/input_schemas/V45_data_use_terms_capture_template.tsv;docs/validation/TERMS_GOVERNANCE_MATRIX_V46.md;scripts/v46_terms_governance_matrix.py	analysis/v46_terms_governance_matrix/terms_governance_synthetic_summary.json;analysis/v46_terms_governance_matrix/terms_governance_synthetic_cases.tsv	.venv/bin/python scripts/v46_terms_governance_matrix.py synthetic-check --outdir analysis/v46_terms_governance_matrix
v46_metric_format_adapter	FRESH	1781344589.605407	1781345475.7281845			analysis/v45_author_run_output_check/synthetic_complete_author_run_package/validation_summary.json;docs/validation/AUTHOR_RUN_METRIC_FORMAT_ADAPTER_V46.md;scripts/v46_author_run_metric_format_adapter.py	analysis/v46_author_run_metric_format_adapter/metric_format_adapter_synthetic_summary.json;analysis/v46_author_run_metric_format_adapter/metric_format_adapter_synthetic_checks.tsv	.venv/bin/python scripts/v46_author_run_metric_format_adapter.py synthetic-check --outdir analysis/v46_author_run_metric_format_adapter
v46_partial_label_return_classifier	FRESH	1781344808.5977	1781345474.5906885			analysis/v45_route_analyzable_pair_calculator/route_analyzable_pair_synthetic_summary.json;docs/validation/PARTIAL_LABEL_RETURN_CLASSIFIER_V46.md;scripts/v46_partial_label_return_classifier.py	analysis/v46_partial_label_return_classifier/partial_label_synthetic_summary.json;analysis/v46_partial_label_return_classifier/partial_label_synthetic_cases.tsv	.venv/bin/python scripts/v46_partial_label_return_classifier.py synthetic-check --outdir analysis/v46_partial_label_return_classifier
v46_safe_interpretation_classifier	FRESH	1781344324.9410489	1781345474.6155953			analysis/v45_author_run_return_gate_runner/synthetic_check_summary.json;analysis/v45_author_run_schema_validator/synthetic_author_run_schema_summary.json;analysis/v45_route_analyzable_pair_calculator/route_analyzable_pair_synthetic_summary.json;docs/validation/RETURNED_PACKAGE_SAFE_INTERPRETATION_V46.md;scripts/v46_returned_package_safe_interpretation.py	analysis/v46_returned_package_safe_interpretation/safe_interpretation_synthetic_summary.json;analysis/v46_returned_package_safe_interpretation/safe_interpretation_synthetic_cases.tsv	.venv/bin/python scripts/v46_returned_package_safe_interpretation.py synthetic-check --outdir analysis/v46_returned_package_safe_interpretation
v46_returned_package_command_order_planner	FRESH	1781345986.5669217	1781346099.2935417			docs/validation/RETURNED_PACKAGE_COMMAND_ORDER_PLANNER_V46.md;docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;scripts/v46_returned_package_command_order_planner.py	analysis/v46_returned_package_command_order_planner/returned_package_command_order_synthetic_summary.json;analysis/v46_returned_package_command_order_planner/returned_package_command_order_synthetic_cases.tsv	.venv/bin/python scripts/v46_returned_package_command_order_planner.py synthetic-check --outdir analysis/v46_returned_package_command_order_planner
v46_external_blocker_aging_audit	FRESH	1781345351.4523644	1781345487.29065			analysis/v45_external_blocker_board/external_blocker_board.tsv;analysis/v45_followup_due_board/live_template/followup_due_board.tsv;analysis/v45_external_blocker_escalation_matrix/external_blocker_escalation_matrix.tsv;docs/validation/input_schemas/V45_request_sent_log_template.tsv;docs/validation/EXTERNAL_BLOCKER_AGING_AUDIT_V46.md;scripts/v46_external_blocker_aging_audit.py	analysis/v46_external_blocker_aging_audit/live/external_blocker_aging_audit_summary.json;analysis/v46_external_blocker_aging_audit/live/external_blocker_aging_audit.tsv;analysis/v46_external_blocker_aging_audit/external_blocker_aging_synthetic_summary.json	.venv/bin/python scripts/v46_external_blocker_aging_audit.py synthetic-check --outdir analysis/v46_external_blocker_aging_audit && .venv/bin/python scripts/v46_external_blocker_aging_audit.py audit --outdir analysis/v46_external_blocker_aging_audit/live
v46_operator_smoke_test_bundle	FRESH	1781346159.018013	1781346170.9194608			docs/validation/OPERATOR_SMOKE_TEST_BUNDLE_V46.md;scripts/v46_operator_smoke_test_bundle.py;scripts/v46_terms_governance_matrix.py;scripts/v46_author_run_metric_format_adapter.py;scripts/v46_partial_label_return_classifier.py;scripts/v46_returned_package_command_order_planner.py;scripts/v46_returned_package_safe_interpretation.py;scripts/v46_external_blocker_aging_audit.py	analysis/v46_operator_smoke_test_bundle/operator_smoke_test_summary.json;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	.venv/bin/python scripts/v46_operator_smoke_test_bundle.py --outdir analysis/v46_operator_smoke_test_bundle --fail-on-error
opengwas_token_expiry_sentinel	FRESH	1781301777.7965217	1781343949.158889			scripts/v45_opengwas_token_expiry_sentinel.py;scripts/check_opengwas_access.py;docs/validation/OPENGWAS_TOKEN_EXPIRY_SENTINEL_V45.md;docs/validation/OPENGWAS_JWT_RENEWAL_RUNBOOK_V45.md	analysis/v45_opengwas_token_expiry_sentinel/opengwas_token_expiry_sentinel_summary.json;analysis/v45_opengwas_token_expiry_sentinel/opengwas_token_expiry_sentinel.tsv	.venv/bin/python scripts/v45_opengwas_token_expiry_sentinel.py --outdir analysis/v45_opengwas_token_expiry_sentinel
