source	label	genes	source_call	source_score	local_breadth	state_coupling	ms_anchor	genetics_breadth	druggability_note	manual_prior_risk	blocker	gate_failures	meta_status	meta_reason	missing_tests	is_reopen_only	is_promotable_now	excluded_by_wave46_or_prior_core
wave34a_genetics_first_target_rescue	IRF5	IRF5	PARK_PRIOR_ART_OR_CROWDING	21.9	0.0		False	9.0	allosteric inhibitor or degrader	high	Target is plausible but prior-art/crowding risk is high.; Broad locus and drug-discovery feasibility, but lupus/IRF5 prior art is direct.	NO_GO_TARGET_FIRST	PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;prior_art_or_trial_delta	False	False	False
wave34a_genetics_first_target_rescue	PTPN2	PTPN2	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	20.5625	4.0		False	8.0	would require restoration/activation; inhibitors point wrong way	high	Genetics may be broad, but current modality is absent or wrong-direction restoration.; Strong genetics benchmark, but no correct-direction restoration modality.	NO_GO_TARGET_FIRST	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;target_resolved_coloc_or_mr	False	False	False
wave34a_genetics_first_target_rescue	TYK2	TYK2	DEMOTE_PRIOR_ART_BLOCKED	19.649999999999995	2.0		False	7.0	approved/clinical allosteric inhibitors	blocking	Direct clinical or therapeutic-class prior art blocks novelty.; Positive control for genetics plus druggability; excluded by direct autoimmune prior art.	NO_GO_TARGET_FIRST	CLOSED_PRIOR_WAVE_EXCLUDED_AXIS	overlaps explicitly closed central/prior branch	correct_direction_modality;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	True
wave34a_genetics_first_target_rescue	CLEC16A	CLEC16A	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	19.2625	1.0		False	7.0	indirect mitophagy restoration	medium	Genetics may be broad, but current modality is absent or wrong-direction restoration.; 16p13 locus ambiguity and no direct modality.		CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;target_resolved_coloc_or_mr	False	False	False
wave34a_genetics_first_target_rescue	TNFAIP3	TNFAIP3	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	16.924999999999997	3.0		False	7.0	restore A20 function or mimic negative-feedback complex	high	Genetics may be broad, but current modality is absent or wrong-direction restoration.; Strong locus biology but not currently target-selectively druggable.	NO_GO_TARGET_FIRST	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;target_resolved_coloc_or_mr	False	False	False
wave34a_genetics_first_target_rescue	ATG16L1	ATG16L1	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	15.825	0.0		False	8.0	indirect autophagy modulation	medium_high	Genetics may be broad, but current modality is absent or wrong-direction restoration.; Broad autophagy modulation is nonspecific.		CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;target_resolved_coloc_or_mr	False	False	False
wave34a_genetics_first_target_rescue	IL10	IL10	PARK_PRIOR_ART_OR_CROWDING	15.775	0.0		False	7.0	engineered IL-10 or IL10R agonism	high	Target is plausible but prior-art/crowding risk is high.; Direct IL-10 autoimmune/IBD therapy prior art and no local subgroup delta.		PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;prior_art_or_trial_delta	False	False	False
wave39_surfaceome_rescue	MMP7	MMP7	NO_GO_PARKED_SURFACE_FAILFAST	15.0	4.0		False		Secreted, extracellular space, extracellular matrix		; ; ; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 937; ; wave40_override=MS_anchor_nominal_or_trend_only_not_FDR_supported; breadth_or_MS_anchor_below_promotion_gate; broad_inhibition_risks_tissue_remodeling_and_epithelial_repair; no_strict_core_covariate_residual_survival; prior_art_or_trial_saturation; secreted_matrix_protease_repair_barrier_liability; wave25_NO_GO_CAUSAL_PROXY		PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta	False	False	False
wave34a_genetics_first_target_rescue	CARD9	CARD9	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	12.0375	2.0		False	4.0	none selective	medium	Genetics may be broad, but current modality is absent or wrong-direction restoration.; Genetic breadth but poor druggability and infection-risk problem.		CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;target_resolved_coloc_or_mr	False	False	False
wave34a_genetics_first_target_rescue	IL6R	IL6R	DEMOTE_PRIOR_ART_BLOCKED	11.0	0.0		True	5.0	approved anti-IL6R biologics	blocking	Direct clinical or therapeutic-class prior art blocks novelty.; Approved autoimmune mechanism; comparator only.	NO_GO_TARGET_FIRST	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	prior_art_or_trial_delta	False	False	False
wave39_surfaceome_rescue	CD82	CD82	NO_GO_PARKED_SURFACE_FAILFAST	11.0	5.0		False		Cell membrane;Cytoplasmic vesicle, phagosome		; ; ; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features; ; wave40_override=MS_anchor_nominal_or_trend_only_not_FDR_supported; no_non_IBD_strict_residual_support; no_strict_core_covariate_residual_survival; previously_demoted_as_raw_state_marker; prior_review_Do not follow up.; tetraspanin_direction_agonism_vs_blockade_undefined; wave25_MODULE_MARKER_NOT_GENETICALLY_ANCHORED		PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
wave39_surfaceome_rescue	SCD	SCD	NO_GO_PARKED_SURFACE_FAILFAST	10.5	4.0		False		Endoplasmic reticulum membrane		; ; ; directional_negative_disease_signal; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 1320; ; wave40_override=MS_anchor_nominal_or_trend_only_not_FDR_supported; breadth_or_MS_anchor_below_promotion_gate; lipid_metabolism_enzyme_reopens_failed_lipid_axis; no_strict_core_covariate_residual_survival; prior_art_or_trial_saturation; same_gene_has_negative_disease_or_compartment_signal; systemic_SCD_inhibition_has_metabolic_and_barrier_risk; wave25_NO_GO_CAUSAL_PROXY		PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta	False	False	False
wave34a_genetics_first_target_rescue	STAT4	STAT4	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	9.9625	2.0		False	0.0	indirect cytokine/JAK pathway blockade	high	Genetics may be broad, but current modality is absent or wrong-direction restoration.; Broad genetics but poor direct druggability; upstream pathways are already crowded.		CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
wave32_resolution_rescue	NPC1_NPC2_CHOLESTEROL_EGRESS	NPC1;NPC2	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	9.325	3.0	7.0	False	0.0	chaperone/cyclodextrin-like or gene/protein rescue concepts	medium	V3 found NPC1/NPC2 to be readout-like; clinical-style enhancement is not autoimmune-validated and CNS/peripheral delivery is unresolved.	local_breadth_at_least_5_or_strong_state_specific_4;ms_anchor_present;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;has_independent_validation_channel	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	disease_relevant_perturbation;target_resolved_coloc_or_mr	False	False	False
wave34a_genetics_first_target_rescue	CTLA4	CTLA4	DEMOTE_PRIOR_ART_BLOCKED	8.05	0.0		False	0.0	CTLA4-Ig or checkpoint agonism	blocking	Direct clinical or therapeutic-class prior art blocks novelty.; Abatacept-class prior art makes this a comparator, not a rescue.		CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	prior_art_or_trial_delta	False	False	False
wave38_crispr_efferocytosis_rescue	LRRC61	LRRC61	NO_GO_CRISPR_RESCUE	7.680023793775736	4.0		True		inhibit_or_reduce		too_few_guides;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	too_few_guides;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;disease_relevant_perturbation	False	False	False
wave34a_genetics_first_target_rescue	IL2RA	IL2RA	DEMOTE_PRIOR_ART_BLOCKED	7.250000000000001	0.0		False	0.0	IL-2 mutein, low-dose IL-2, anti-CD25 variants	blocking	Direct clinical or therapeutic-class prior art blocks novelty.; Genetics and modality are strong, but autoimmune/Treg prior art is direct.		CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
wave34a_genetics_first_target_rescue	IL23R	IL23R	DEMOTE_PRIOR_ART_BLOCKED	7.250000000000001	0.0		False	0.0	anti-IL23/IL23R biologic	blocking	Direct clinical or therapeutic-class prior art blocks novelty.; Validated psoriasis/IBD class; not a novel Wave34 rescue.		CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	prior_art_or_trial_delta	False	False	False
wave33_tolerance_costimulation	BTLA_HVEM_CHECKPOINT	BTLA;TNFRSF14;TNFSF14	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED	7.15	3.0	0.0	False	11.0	agonist antibody or ligand biologic	high	Wave19 parked BTLA: recurrence without state coupling and crowded checkpoint biology.	ms_anchor_or_explicit_non_ms_lead;correct_direction_druggable_modality;not_prior_art_blocked	PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;prior_art_or_trial_delta	False	False	False
wave39_surfaceome_rescue	CCL20	CCL20	NO_GO_PARKED_SURFACE_FAILFAST	7.0	4.0		False		Secreted		; ; ; generic_ifn_cytokine_or_chemokine_axis; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ; wave40_override=MS_anchor_nominal_or_trend_only_not_FDR_supported; chemokine_blockade_direction_not_module_specific; generic_CCL20_CCR6_trafficking_axis; no_strict_core_covariate_residual_survival; prior_art_or_trial_saturation; wave25_NO_GO_CAUSAL_PROXY		PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta	False	False	False
wave34a_genetics_first_target_rescue	CXCR5	CXCR5	DEMOTE_NO_TARGET_LEVEL_GENETIC_PACKAGE	6.6	0.0		False	0.0	blocking antibody or chemokine-receptor antagonist concept	medium_high	No broad local credible-set/eQTL-backed genetic package; GWAS-only evidence is insufficient.; Genetics and MS/autoimmune mapping are broad, but no local target-level coloc or V3 cell-state rescue exists.		CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	target_resolved_coloc_or_mr	False	False	False
wave33_tolerance_costimulation	CD6_ALCAM_INTERFACE	CD6;ALCAM	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED	6.050000000000001	1.0	0.0	True	9.0	anti-CD6 biologic precedent	high	Potentially tractable but prior-arted; V3 local cross-disease and MS anchoring are not established.	local_cell_state_support;not_prior_art_blocked	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	prior_art_or_trial_delta	False	False	False
wave34a_genetics_first_target_rescue	CD226	CD226	DEMOTE_NO_TARGET_LEVEL_GENETIC_PACKAGE	6.0375	0.0		False	0.0	antagonist antibody or ligand-blocking biologic	medium	No broad local credible-set/eQTL-backed genetic package; GWAS-only evidence is insufficient.; Genetics-first candidate missed by expression-first screens; needs target-resolved CD226 coloc/eQTL direction and T/NK tissue-state validation.		CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	direction_resolution;disease_relevant_perturbation;target_resolved_coloc_or_mr	False	False	False
wave32_resolution_rescue	CD300_RESOLUTION_CHECKPOINT	CD300A;CD300C;CD300E;CD300LF	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	6.0	3.0	0.0	True	0.0	antibody/ligand concepts, no mature autoimmune-grade route identified	medium	Family-level direction is ambiguous and local V3 checkpoint analyses did not show state-coupled support.	local_breadth_at_least_5_or_strong_state_specific_4;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;correct_direction_modality;has_independent_validation_channel	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation;target_resolved_coloc_or_mr	False	False	False
wave34a_genetics_first_target_rescue	TNFRSF14	TNFRSF14	PARK_DIRECTION_OR_MODALITY_UNRESOLVED	5.7125	1.0		False	0.0	agonist/inhibitory biologic depending on ligand context	high	Genetic signal survives triage but direction/modality is not clean enough for promotion.; Broad genetics maps to HVEM region, but ligand-direction complexity blocks promotion.		PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
wave38_crispr_efferocytosis_rescue	FAM49B	FAM49B	NO_GO_CRISPR_RESCUE	5.290340393850625	3.0		False	1.0	inhibit_or_reduce		no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave33_tolerance_costimulation	LAG3_MHCII_CHECKPOINT	LAG3;HLA-DRA;HLA-DRB1;CD74	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED	5.225	4.0	0.0	True	77.0	LAG3 agonist concept; MHC-II targeting not acceptable	high	LAG3 itself is locally negative; HLA-II/CD74 support would just recycle the exhausted module.	correct_direction_druggable_modality;safety_not_obviously_unacceptable;not_prior_art_blocked	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;prior_art_or_trial_delta	False	False	False
wave33_tolerance_costimulation	BACH2_IKZF_TREG_PROGRAM	BACH2;IKZF1;IKZF3;FOXP3	NO_GO_TOLERANCE_AXIS	5.125	1.0	0.0	False	43.0	no selective direct modality; degraders would likely point wrong way	medium	Strong conceptual genetics class, but transcription-factor restoration is not a tractable selective therapeutic package here.	local_cell_state_support;ms_anchor_or_explicit_non_ms_lead;correct_direction_druggable_modality;safety_not_obviously_unacceptable;not_prior_art_blocked	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
wave33_tolerance_costimulation	TNFRSF4_OX40_AXIS	TNFRSF4;TNFSF4	NO_GO_TOLERANCE_PRIOR_ART_BLOCKED	5.049999999999999	2.0	0.0	False	13.0	anti-OX40/OX40L biologics	high	Costimulation axis is crowded and local V3 support is narrow; intervention direction is not MS/progression-specific.	local_cell_state_support;ms_anchor_or_explicit_non_ms_lead;not_prior_art_blocked	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	direction_resolution;prior_art_or_trial_delta	False	False	False
wave38_crispr_efferocytosis_rescue	HSPA9	HSPA9	NO_GO_CRISPR_RESCUE	4.82074907892021	0.0		False		activate_or_restore	prior_art_heavy	no_ms_directional_anchor;no_chembl_target;prior_art_or_trial_crowded;screen_wilcoxon_fdr_not_significant	no_ms_directional_anchor;no_chembl_target;prior_art_or_trial_crowded;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta	False	False	False
wave38_crispr_efferocytosis_rescue	CCDC121	CCDC121	NO_GO_CRISPR_RESCUE	4.682727208429849	2.0		True		inhibit_or_reduce		insufficient_directional_cross_disease_state_support;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave32_resolution_rescue	LIPA_LAL_ENHANCEMENT	LIPA	NO_GO_RESOLUTION_PRIOR_ART_BLOCKED	4.2125	4.0	5.0	False	0.0	enzyme replacement, targeted enzyme, mRNA/LNP, or gene delivery concept	high	Earlier V3 work parked LIPA: support is epithelial/ductal/keratinocyte-skewed, myeloid direction is inconsistent, and CNS repair prior art crowds the MS claim.	ms_anchor_present;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;not_prior_art_blocked;has_independent_validation_channel	PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
wave38_crispr_efferocytosis_rescue	MAX	MAX	NO_GO_CRISPR_RESCUE	4.196206783191815	0.0		False		activate_or_restore	prior_art_heavy	no_ms_directional_anchor;no_chembl_target;prior_art_or_trial_crowded;screen_wilcoxon_fdr_not_significant	no_ms_directional_anchor;no_chembl_target;prior_art_or_trial_crowded;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta	False	False	False
wave39_surfaceome_rescue	IL23A	IL23A	NO_GO_PARKED_SURFACE_FAILFAST	4.0	4.0		False		Secreted		; ; ; prior_demoted_or_class_blocked; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ; wave40_override=MS_anchor_nominal_or_trend_only_not_FDR_supported; established_IL23_autoimmune_axis_not_novel; missing_local_target_resolved_coloc_or_MR_package; no_strict_core_covariate_residual_survival; prior_art_or_trial_saturation; wave25_NO_GO_CAUSAL_PROXY; wave34_NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		PARK_BUT_LIKELY_BLOCKED	parked route is already coupled to prior-art, modality, or direction blockers	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta;target_resolved_coloc_or_mr	False	False	False
wave38_crispr_efferocytosis_rescue	ABTB2	ABTB2	NO_GO_CRISPR_RESCUE	3.867067183329594	2.0		False		inhibit_or_reduce		insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
wave38_crispr_efferocytosis_rescue	TPX2	TPX2	NO_GO_CRISPR_RESCUE	3.8329885079120007	2.0		True		inhibit_or_reduce	prior_art_heavy	insufficient_directional_cross_disease_state_support;no_chembl_target;prior_art_or_trial_crowded;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_chembl_target;prior_art_or_trial_crowded;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation;prior_art_or_trial_delta	False	False	False
wave38_crispr_efferocytosis_rescue	MTX3	MTX3	NO_GO_CRISPR_RESCUE	3.603835809402245	0.0		True		activate_or_restore		insufficient_directional_cross_disease_state_support;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	insufficient_directional_cross_disease_state_support;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	CLOSED_NO_GO_OR_DEMOTED	current source call is no-go/demote or lacks a promotable call	correct_direction_modality;direction_resolution;disease_relevant_perturbation	False	False	False
