dataset	therapy_class	therapy	disease	tissue_or_compartment	design	analysis_scope	module	n_responder	n_nonresponder	mean_responder	mean_nonresponder	delta_responder_minus_nonresponder	hedges_g	welch_t	p	auc_responder_high	confounders	generic_adjusted_delta	generic_adjusted_p	generic_adjusted_hedges_g	generic_adjustment_covariates	module_generic_max_abs_r	fdr	min_group_n	non_generic_module	generic_independent	effect_claim_allowed	kill_reason
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	hla_ii_apc	17	23	-0.0587721860776794	0.26272831112745054	-0.32150049720512996	-0.34882103461825487	-1.135130915926815	0.2636606628853267	0.3938618925831202	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.01473592903168442	0.8989795966266181	0.03931042778917839	inflammatory_nfkb,ifn_apc	0.9157900665269579	0.4103425440333272	17	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	lysosomal_apc	17	23	-0.30794800430379976	0.18691373633298192	-0.4948617406367817	-0.7959441893614949	-2.351395280363443	0.027297728616339747	0.30434782608695654	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.45874399890900586	0.0342236692225173	-0.7625217392477255	inflammatory_nfkb,ifn_apc	0.2282820075534948	0.24567955754705773	17	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	mif_cd74_receptor_state	17	23	-0.0596988676794024	0.19480305467251516	-0.25450192235191754	-0.357582172465654	-1.1144015165476124	0.27356169602221814	0.41943734015345263	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.019574273016036092	0.8856377980339747	-0.04780109497455562	inflammatory_nfkb,ifn_apc	0.8244076908440721	0.4103425440333272	17	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	mixscale_validated_ifng_readout	17	23	-0.11430478828433681	0.21509387699712762	-0.32939866528146444	-0.43600897993745524	-1.4678253762338143	0.15040470744217557	0.4143222506393862	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.047905274433754065	0.5819706635006472	-0.18570146709080537	inflammatory_nfkb,ifn_apc	0.9377178388877602	0.4103425440333272	17	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	lipid_loader_repair	17	23	0.055648602408963244	0.046730241161311026	0.008918361247652218	0.020842792259744683	0.06959450573282308	0.9448813683950952	0.5319693094629155	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.03454350475202965	0.7761838869124731	-0.08517256165955207	inflammatory_nfkb,ifn_apc	0.2172492482183552	0.9448813683950952	17	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	complement_phagocytosis	17	23	-0.08150352029843629	0.24359434662663038	-0.32509786692506665	-0.5673439091925686	-1.9382493006418047	0.06024284824897638	0.2941176470588235	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.21965970011648356	0.17408593010493562	-0.4214712752358707	inflammatory_nfkb,ifn_apc	0.4495065487376553	0.27109281712039374	17	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	hif_nampt_metabolic	17	23	0.012858974174226996	-0.09134054688813631	0.1041995210623633	0.15508588656892458	0.4831852103174393	0.6323197628489764	0.5294117647058824	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.033990175794830546	0.763682435182151	0.09406067166633969	inflammatory_nfkb,ifn_apc	0.8190890897052489	0.8129825522343982	17	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD14_monocyte;drug=etanercept	inflammatory_nfkb	17	23	-0.01216412193620077	-0.036001684875804504	0.023837562939603735	0.028426365211271138	0.08858443822684965	0.9299747568626974	0.49872122762148335	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.057634248350058724	0.8312958330879102	0.06912717393355186	ifn_apc	0.10215536453593663	0.9448813683950952	17	False	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	ifn_apc	19	18	0.2116142838300608	-0.37404736697280205	0.5856616508028629	0.9132196701158987	2.8335813423172813	0.0076281896179902844	0.7514619883040935	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.43044420562758107	0.024350052665938964	0.7555632274753079	inflammatory_nfkb	0.5073774865152948	0.06865370656191257	18	False	False	False	generic_inflammation_module_not_stratum_specific
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	hla_ii_apc	19	18	0.07518606911570062	-0.4204447570647887	0.4956308261804893	0.5649068526662431	1.7423639159369408	0.0911298870694611	0.6812865497076024	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.14469019070078692	0.31653546445384634	-0.3302697571832791	inflammatory_nfkb,ifn_apc	0.8459143675085069	0.1595154402330606	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	lysosomal_apc	19	18	0.04835141625802904	-0.19913785710379217	0.2474892733618212	0.4969673084750041	1.5352657930988207	0.1343333860042196	0.6403508771929824	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.08891467518457592	0.3223532141836191	-0.32561432702142074	inflammatory_nfkb,ifn_apc	0.7886318849796953	0.17271435343399663	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	mif_cd74_receptor_state	19	18	0.06955554168033677	-0.3017422977900319	0.3712978394703687	0.5365913463229124	1.6597005743997095	0.10634362682204039	0.6578947368421053	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.08114117273004928	0.500120327613847	-0.22096556213722965	inflammatory_nfkb,ifn_apc	0.7573215367860235	0.1595154402330606	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	mixscale_validated_ifng_readout	19	18	0.09786994140282369	-0.24272713008032387	0.34059707148314755	0.702582933399791	2.1825381434562603	0.03589833789398755	0.7280701754385964	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.020126263296249797	0.8362558311805222	0.06728715718456678	inflammatory_nfkb,ifn_apc	0.7475536513460151	0.1595154402330606	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	lipid_loader_repair	19	18	0.07691716464061157	-0.17093256371389243	0.247849728354504	0.5380878164443204	1.6698122730328517	0.10397238618655241	0.6549707602339181	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.02239904826417126	0.8018764999776943	-0.08114380722975828	inflammatory_nfkb,ifn_apc	0.7363513853751122	0.1595154402330606	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	complement_phagocytosis	19	18	0.07068851835807255	-0.2713661892280875	0.34205470758616	0.38213263320241964	1.1832139519714375	0.24496296576698676	0.6169590643274853	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.2641460258733662	0.07886342941320641	-0.582050552510595	inflammatory_nfkb,ifn_apc	0.801246797763335	0.24496296576698676	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	hif_nampt_metabolic	19	18	0.1086650145265578	-0.18301255756008242	0.29167757208664025	0.5435425331060393	1.69227605020352	0.09948086806918063	0.6374269005847953	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.11649531576645437	0.29375411526273015	0.3444232961480471	inflammatory_nfkb,ifn_apc	0.7870291681479561	0.1595154402330606	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=adalimumab	inflammatory_nfkb	19	18	0.05315638597062877	-0.2172786940191176	0.27043507998974636	0.44151712080190786	1.3635650158483543	0.18206224126967666	0.6461988304093567	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.007752261117641096	0.9648863546430287	0.014308117939417272	ifn_apc	0.5073774865152948	0.20482002142838626	18	False	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	ifn_apc	18	23	-0.020834748115832597	0.13422637734017998	-0.15506112545601258	-0.22327040262645842	-0.7493283011664578	0.45816153556012024	0.44685990338164244	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.17566186612297735	0.3810457410183367	-0.26604681273313163	inflammatory_nfkb	0.30187103435824497	0.9546990158962646	18	False	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	hla_ii_apc	18	23	0.13921416012006274	0.15798327964376674	-0.018769119523703998	-0.020441045056450405	-0.06875945109184438	0.945533531528008	0.4855072463768116	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.10281864192456357	0.4529723706731409	0.22041664555512255	inflammatory_nfkb,ifn_apc	0.8132489921171627	0.9546990158962646	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	lysosomal_apc	18	23	0.02108883790930649	0.09940023637383341	-0.07831139846452692	-0.12782095458656242	-0.41194682377286657	0.6828294794203037	0.4975845410628019	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.00014874497770321323	0.9992287338016674	0.0003112682754134866	inflammatory_nfkb,ifn_apc	0.6248074019105386	0.9546990158962646	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	mif_cd74_receptor_state	18	23	0.10740666370910329	0.09462983137088866	0.012776832338214625	0.01727036651513827	0.05717562336930653	0.9546990158962646	0.49033816425120774	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.07596339461255086	0.5367264252496406	0.1829649680055557	inflammatory_nfkb,ifn_apc	0.711543353122428	0.9546990158962646	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	mixscale_validated_ifng_readout	18	23	-0.009399312202398943	0.11646726410588673	-0.12586657630828568	-0.2609428354962824	-0.8261133848758688	0.4146999325198434	0.4782608695652174	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.07431836478413126	0.4949182894480366	-0.22936930193257374	inflammatory_nfkb,ifn_apc	0.6899857935838989	0.9546990158962646	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	lipid_loader_repair	18	23	0.052272434929414295	0.029324182171700085	0.02294825275771421	0.056160751998483194	0.18919221349441606	0.8509279492575662	0.5483091787439613	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.05711745650710938	0.5206988312165481	0.18795835863547788	inflammatory_nfkb,ifn_apc	0.5999754389749253	0.9546990158962646	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	complement_phagocytosis	18	23	0.018945426022910015	0.13915182125607908	-0.12020639523316906	-0.14011215319252474	-0.48647517633661835	0.6296585992997821	0.5024154589371981	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.0006763182553625376	0.9964674343222442	0.001364203161810165	inflammatory_nfkb,ifn_apc	0.791602699078152	0.9546990158962646	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	hif_nampt_metabolic	18	23	0.10634092263513684	-0.029762862928500403	0.13610378556363723	0.2665723352606224	0.8541880607966771	0.398816830390249	0.57487922705314	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.10469408697887109	0.30965526041023506	0.3162125654718321	inflammatory_nfkb,ifn_apc	0.7575238452086877	0.9546990158962646	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=CD4_T_cell;drug=etanercept	inflammatory_nfkb	18	23	0.10667725120381534	0.04264585379276128	0.06403139741105407	0.09773550612692519	0.3157063532594553	0.7540375069981657	0.5410628019323671	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.10795075331966267	0.5819011489160404	0.1733103429071624	ifn_apc	0.30187103435824497	0.9546990158962646	18	False	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=PBMC;drug=adalimumab	ifn_apc	19	18	-0.038901417878021746	-0.129749945726089	0.09084852784806725	0.11609847038570051	0.3608102409117506	0.7204154553024782	0.5350877192982456	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	0.10754004479562207	0.6653028503500862	0.1403470348229472	inflammatory_nfkb	0.1987715659711304	0.8344269648799686	18	False	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=PBMC;drug=adalimumab	hla_ii_apc	19	18	-0.17106799154291044	-0.06366447134399264	-0.1074035201989178	-0.12881359567878903	-0.40316149846357435	0.6893847170575328	0.47076023391812855	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.1936428737472052	0.21929344949424617	-0.4028929046630258	inflammatory_nfkb,ifn_apc	0.8055573054215533	0.8344269648799686	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=PBMC;drug=adalimumab	lysosomal_apc	19	18	-0.24527711907499206	-0.015891663085281078	-0.22938545598971097	-0.3141464764110769	-0.9703111795137448	0.33903253852616094	0.39181286549707606	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.2699908174524711	0.19317548392980335	-0.4373395336269287	inflammatory_nfkb,ifn_apc	0.5157997892924546	0.8344269648799686	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=PBMC;drug=adalimumab	mif_cd74_receptor_state	19	18	-0.19645544844528184	-0.0734250001931875	-0.12303044825209435	-0.18118959724988207	-0.5700827561781918	0.5728382195144545	0.4649122807017544	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.1799215598535288	0.16020755500232262	-0.4592573986384111	inflammatory_nfkb,ifn_apc	0.8034735437721244	0.8344269648799686	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=PBMC;drug=adalimumab	mixscale_validated_ifng_readout	19	18	-0.09837444611273004	-0.0636726551945647	-0.03470179091816533	-0.05942282698514638	-0.18463823430460002	0.8545819971247802	0.4678362573099415	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.08315871294050242	0.38785660918285486	-0.28387118611669787	inflammatory_nfkb,ifn_apc	0.853549372842727	0.8545819971247802	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=PBMC;drug=adalimumab	lipid_loader_repair	19	18	-0.11984729016906293	-0.05857590077212385	-0.061271389396939074	-0.17359747025448624	-0.5360484596246181	0.5955802409907162	0.4883040935672514	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.06893677830786277	0.5356459943216076	-0.20382546771619028	inflammatory_nfkb,ifn_apc	0.2710492687491653	0.8344269648799686	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=PBMC;drug=adalimumab	complement_phagocytosis	19	18	-0.19980397323614998	-0.028913902699351186	-0.1708900705367988	-0.2740800866009773	-0.8413089169641819	0.4072467311525176	0.42105263157894735	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.2058218160239832	0.20601328523736775	-0.42188607946121787	inflammatory_nfkb,ifn_apc	0.5996486957636096	0.8344269648799686	18	True	False	False	not_corrected_significant
GSE138746	anti-TNF	adalimumab/etanercept	rheumatoid arthritis	sorted PBMC/CD14/CD4	baseline sorted RNA-seq; moderate/good vs none	compartment=PBMC;drug=adalimumab	hif_nampt_metabolic	19	18	-0.11233559798980279	-0.00523557316234365	-0.10710002482745914	-0.2155673666452329	-0.6695574025919481	0.5075551918427801	0.45614035087719296	drug, compartment, response-class encoding, baseline disease activity; generic inflammation tested by inflammatory_nfkb/ifn_apc residualization	-0.06782789195226878	0.5048233916075358	-0.22141088767179057	inflammatory_nfkb,ifn_apc	0.7860718012481483	0.8344269648799686	18	True	False	False	not_corrected_significant
