dataset	therapy_class	therapy	disease	tissue_or_compartment	design	analysis_scope	module	n_pairs	mean_post_minus_pre	median_post_minus_pre	one_sample_t	p	confounders	fdr
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	lipid_loader_repair	4	0.061487937777502624	0.07062041639553834	3.893527515152507	0.030050470857164564	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.13522711885724054
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	complement_phagocytosis	4	0.019579194628675772	0.01860026119312049	5.353025089847776	0.01275364971035093	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.11478284739315837
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	hif_nampt_metabolic	4	0.15690332373233049	0.1599427560183532	2.066266024118383	0.1307086506109416	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3502849932041258
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	inflammatory_nfkb	4	0.19051954528322365	0.27133309850460474	1.886561594636565	0.1556822192018337	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3502849932041258
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	ifn_apc	4	0.15043660093968914	0.18821773084175725	1.4254714104625705	0.2492551460609771	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	hla_ii_apc	4	0.0488778630757158	0.05340684267869525	0.24415497470426425	0.8228562522586278	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	lysosomal_apc	4	0.030971538373371073	0.01765199966644385	0.2812401573804996	0.7968086498634319	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	mif_cd74_receptor_state	4	0.05113600420090604	0.1417642818760985	0.2734581186008808	0.8022467982382501	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	mixscale_validated_ifng_readout	4	0.1352693242840758	0.0924951339965476	1.3078086623564837	0.28212897704742074	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	lipid_loader_repair	4	0.027210310709787973	0.023854602531037956	0.3769678409012179	0.7312828532869478	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	complement_phagocytosis	4	-0.028684677430198813	-0.1202225142006238	-0.2220103907555969	0.8385605286366249	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	hif_nampt_metabolic	4	0.1906869411015603	0.3023434551516515	0.9830740708189474	0.3980604300012908	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	inflammatory_nfkb	4	0.11033079894792619	0.2478511818030822	0.5808457316891549	0.602102504374321	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	ifn_apc	4	0.04925144797013893	-0.03807418733175195	0.3585698175073994	0.7436654559941438	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8366236379934118
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	hla_ii_apc	4	-0.10701543940780117	-0.06850802770363346	-1.2070938835540022	0.31389049680303077	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	lysosomal_apc	4	-0.05612965161219238	-0.08964843480795107	-0.5700489851385586	0.6085397221558629	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	mif_cd74_receptor_state	4	-0.06241899124754832	-0.013530180634360903	-0.7348576183435092	0.5156585105912541	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	mixscale_validated_ifng_readout	4	0.023321933354146382	-0.052901716103579945	0.22462098933894617	0.8367037106859846	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8367037106859846
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	lipid_loader_repair	4	-0.038798317723538575	-0.04234725196961085	-1.4138978879335475	0.25229905068612685	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	complement_phagocytosis	4	0.0678520812478152	0.06511069701244769	1.378830261120807	0.2617688737886857	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	hif_nampt_metabolic	4	0.06723324292035561	0.06498640685772383	0.5871909214141905	0.5983418519134257	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	inflammatory_nfkb	4	0.11124649402316207	0.12467747353659116	0.7901984913149185	0.48711424708136464	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	ifn_apc	4	0.007214056322444831	-0.02719657714772485	0.14352071766670932	0.8949771363758837	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.9818974884341821
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	hla_ii_apc	4	-0.038390797109728605	-0.090696253949583	-0.5629071222036406	0.6128241430846401	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.9818974884341821
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	lysosomal_apc	4	-0.02378442203520598	-0.019309607776639346	-0.38700835655063026	0.7245708462789455	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.9818974884341821
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	mif_cd74_receptor_state	4	-0.08200417584372324	-0.09828463097746956	-0.8408592351952623	0.462162589499374	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.9818974884341821
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	mixscale_validated_ifng_readout	4	0.009837497758077149	0.0034553294768464513	0.16285091097914722	0.8809874002977022	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.9818974884341821
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	lipid_loader_repair	4	0.0007124545076900232	0.005263817563607452	0.024629062319563414	0.9818974884341821	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.9818974884341821
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	complement_phagocytosis	4	0.018903364746330125	0.01569565830491825	1.5636227018412898	0.21585520563181002	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.9818974884341821
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	hif_nampt_metabolic	4	0.0032186156241838515	0.05254083194459175	0.04163467125077877	0.9694059204800469	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.9818974884341821
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=t_cell_like	inflammatory_nfkb	4	0.018791846100807176	-0.001839427399972001	0.5871328104188427	0.5983762172528847	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.9818974884341821
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	ifn_apc	5	-0.16215872073837806	-0.06210769216676329	-1.1851776403483392	0.3015475134900561	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	hla_ii_apc	5	-0.19728854422824937	-0.09146965254823541	-0.8772237824484792	0.4298932955785085	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	lysosomal_apc	5	-0.01781227496097148	0.0205874300115235	-0.510910997053096	0.6363202300196444	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	mif_cd74_receptor_state	5	-0.22660981646435974	-0.09513764503444369	-0.9237011402425209	0.4079192840175134	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	mixscale_validated_ifng_readout	5	-0.10280858034608162	-0.014441767770805192	-0.8550781283526635	0.44070059057994276	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	lipid_loader_repair	5	0.006203295946090259	0.0218438425772107	0.3445769445750976	0.7477668082102927	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	complement_phagocytosis	5	-0.0110748727340509	0.0095405987797181	-0.42850827708219896	0.6903481216893528	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	hif_nampt_metabolic	5	-0.10036056710447323	-0.0598012799327424	-1.6854748811204228	0.16717772746566356	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=b_plasma_like	inflammatory_nfkb	5	-0.018590041393456002	0.012260479103972502	-0.5090209665060094	0.6375312167394551	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7477668082102927
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	ifn_apc	5	-0.26355949659173705	-0.1868099782125796	-2.3271308595486064	0.08050477666941722	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.17340420192843034
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	hla_ii_apc	5	-0.29015679791334537	-0.1491563881052479	-2.1651136409049085	0.09633566773801686	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.17340420192843034
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	lysosomal_apc	5	-0.046549760420340036	-0.0496775244113853	-1.2154555102167761	0.2910230328330999	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.32740091193723736
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	mif_cd74_receptor_state	5	-0.327501425113525	-0.18103195277170128	-2.231632050288744	0.08944866821320649	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.17340420192843034
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	mixscale_validated_ifng_readout	5	-0.19747822904148993	-0.18381335399911158	-2.24878745245948	0.08776296879544608	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.17340420192843034
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	lipid_loader_repair	5	-0.0128680299173596	0.022416290652246998	-0.3557727103599736	0.7399805470057684	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7399805470057684
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	complement_phagocytosis	5	-0.02723450175612708	-0.0144090252711251	-1.478284333805948	0.21340688872550062	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.27438028550421506
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	hif_nampt_metabolic	5	-0.24572169092235302	-0.1478660997274262	-2.2822092431431633	0.0845802279880793	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.17340420192843034
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=epithelial_like	inflammatory_nfkb	5	-0.17875791702419738	-0.0721925005972858	-1.5093349925838586	0.2057186413548233	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.27438028550421506
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	ifn_apc	5	-0.05081286421129436	-0.054419886631969894	-0.886641592553983	0.4253633780670138	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.5468957718004464
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	hla_ii_apc	5	0.14908605187644747	0.0959961602331389	1.2837056893125414	0.26856261961314426	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.48341271530365965
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	lysosomal_apc	5	-0.10992292164709969	-0.11467394349338289	-3.1859454421851576	0.03334512387239538	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.30010611485155847
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	mif_cd74_receptor_state	5	0.04954865710372391	0.007466588537764003	0.6323613996942798	0.5614936773290232	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.6316803869951512
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	mixscale_validated_ifng_readout	5	-0.10834394750494929	-0.1047066413874503	-2.295407586840374	0.08335922939259144	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3325202530718079
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	lipid_loader_repair	5	0.04369260091253018	0.0303391081484721	1.0008125437241193	0.37355226263440205	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.5468957718004464
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	complement_phagocytosis	5	0.0445833680408657	-0.0939709609859492	0.4192502470447033	0.6965692993301597	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.6965692993301597
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	hif_nampt_metabolic	5	-0.3033385930671389	-0.1550971775608327	-1.9937585114011265	0.11694727228958428	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3325202530718079
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=myeloid_apc_like	inflammatory_nfkb	5	-0.2807926812214915	-0.1908054437184851	-1.7909515659406599	0.1477867791430257	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3325202530718079
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	ifn_apc	4	-0.24953374268938386	-0.3054346286554793	-1.5253100427630277	0.22459567740706773	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.33689351611060164
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	hla_ii_apc	4	-0.06787578708881509	-0.03972070600736915	-0.982832105391541	0.39816219461884855	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.44793246894620464
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	lysosomal_apc	4	-0.22798910842423567	-0.20922025300116237	-3.9750910088700717	0.02846978451493451	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.2562280606344106
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	mif_cd74_receptor_state	4	-0.1200847099020713	-0.0993163978795489	-1.983739387942165	0.1415420003060184	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3184695006885414
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	mixscale_validated_ifng_readout	4	-0.2333478590075251	-0.1957407806238156	-2.166279687562587	0.11887113744335243	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3184695006885414
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	lipid_loader_repair	4	0.0303561409237395	0.035772587375963	1.072473638812967	0.36210675216612526	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.44793246894620464
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	complement_phagocytosis	4	-0.022520542744152924	-0.04044650420820124	-0.6847484628194799	0.5426619010345619	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.5426619010345619
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=Responder;marker_compartment=stromal_endothelial_like	hif_nampt_metabolic	4	-0.32877208170744193	-0.28887003824660096	-2.520681120029233	0.08612524839567966	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3184695006885414
